assembly_accession	species	subsp	strain
GCF_900128725.1	Buchnera aphidicola		BCifornacula 2912
GCF_003044255.1	Shewanella putrefaciens		WS13
GCF_009730575.1	Shewanella putrefaciens		FDAARGOS_681
GCF_016406305.1	Shewanella putrefaciens		CGMCC-1.6515
GCF_016406325.1	Shewanella putrefaciens		ATCC 8071
GCF_017068195.1	Shewanella putrefaciens		XY07
GCF_900636665.1	Shewanella putrefaciens		NCTC12093
GCF_006400955.1	Myxococcus xanthus		GH3.5.6c2
GCF_006401215.1	Myxococcus xanthus		GH5.1.9c20
GCF_006401635.1	Myxococcus xanthus		KF3.2.8c11
GCF_006402015.1	Myxococcus xanthus		KF4.3.9c1
GCF_006402415.1	Myxococcus xanthus		MC3.3.5c16
GCF_006402735.1	Myxococcus xanthus		MC3.5.9c15
GCF_015775755.1	Myxococcus xanthus		DK1622::pDPO-Mxn116-Pvan-Tpase
GCF_016698685.1	Myxococcus xanthus		e-3-1
GCF_000219105.1	Corallococcus macrosporus		HW-1
GCF_002305875.1	Cystobacter fuscus		DSM 52655
GCF_001027285.1	Archangium gephyra		DSM 2261
GCF_001189295.1	Chondromyces crocatus		Cm c5
GCF_002950945.1	Sorangium cellulosum		So ce26
GCF_004135735.1	Sorangium cellulosum		So ceGT47
GCF_004135755.1	Sorangium cellulosum		So ce836
GCF_002222655.1	Vitreoscilla filiformis		ATCC 15551
GCF_001442515.1	Lysobacter enzymogenes		C3
GCF_002355975.1	Lysobacter enzymogenes		M497-1
GCF_005954665.1	Lysobacter enzymogenes		YC36
GCF_017355525.1	Lysobacter enzymogenes		CX03
GCF_006738645.1	Stella humosa		ATCC 43930
GCF_003149495.1	Gemmata obscuriglobus		DSM 5831
GCF_008065095.1	Gemmata obscuriglobus		DSM 5831
GCF_007746295.1	Gimesia maris		Mal35
GCF_007747015.1	Gimesia maris		CA11
GCF_008298035.1	Gimesia maris		DSM 8797
GCF_009720545.1	Gimesia maris		DSM 8797
GCF_009685195.1	Methylocystis parvus		BRCS2
GCF_002151465.1	Borreliella burgdorferi		PAli yes
GCF_002151485.1	Borreliella burgdorferi		PAbe
GCF_002151505.1	Borreliella burgdorferi		B31_NRZ
GCF_002442595.1	Borreliella burgdorferi		B331
GCF_003367295.1	Borreliella burgdorferi		MM1
GCF_001598195.1	Borrelia hermsii		DAH-2E7
GCF_003568645.1	Borrelia turicatae		BTE5EL
GCF_002850235.1	Brachyspira hyodysenteriae		BH718
GCF_017751165.1	Brachyspira hyodysenteriae		BHZ755
GCF_017751185.1	Brachyspira hyodysenteriae		BHZ526
GCF_017751205.1	Brachyspira hyodysenteriae		BHZ375
GCF_017751225.1	Brachyspira hyodysenteriae		Bh743-7x
GCF_009017435.1	Treponema pallidum		UW-148B
GCF_009017475.1	Treponema pallidum		UW-148B2
GCF_900291945.1	Treponema pallidum		A10
GCF_900298965.1	Treponema pallidum		BNK07
GCF_001628695.1	Treponema pallidum	pallidum	Amoy
GCF_001655235.1	Treponema pallidum	pallidum	14aa
GCF_001655275.1	Treponema pallidum	pallidum	CDC-A
GCF_001655315.1	Treponema pallidum	pallidum	14aa
GCF_001655355.1	Treponema pallidum	pallidum	14aa
GCF_001655395.1	Treponema pallidum	pallidum	14dg
GCF_001655435.1	Treponema pallidum	pallidum	13dd
GCF_001655475.1	Treponema pallidum	pallidum	15df
GCF_001655515.1	Treponema pallidum	pallidum	15df
GCF_001655555.1	Treponema pallidum	pallidum	14df
GCF_001712895.1	Treponema pallidum	pallidum	PT_SIF0697
GCF_001712915.1	Treponema pallidum	pallidum	PT_SIF0857
GCF_001712935.1	Treponema pallidum	pallidum	PT_SIF0908
GCF_001712955.1	Treponema pallidum	pallidum	PT_SIF0954
GCF_001712975.1	Treponema pallidum	pallidum	PT_SIF1002
GCF_001712995.1	Treponema pallidum	pallidum	PT_SIF1020
GCF_001713015.1	Treponema pallidum	pallidum	PT_SIF1063
GCF_001713035.1	Treponema pallidum	pallidum	PT_SIF1127
GCF_001713055.1	Treponema pallidum	pallidum	PT_SIF1135
GCF_001713075.1	Treponema pallidum	pallidum	PT_SIF1140
GCF_001713095.1	Treponema pallidum	pallidum	PT_SIF1142
GCF_001713115.1	Treponema pallidum	pallidum	PT_SIF1156
GCF_001713135.1	Treponema pallidum	pallidum	PT_SIF1167
GCF_001713155.1	Treponema pallidum	pallidum	PT_SIF1183
GCF_001713175.1	Treponema pallidum	pallidum	PT_SIF1196
GCF_001713195.1	Treponema pallidum	pallidum	PT_SIF1200
GCF_001713215.1	Treponema pallidum	pallidum	PT_SIF1242
GCF_001713235.1	Treponema pallidum	pallidum	PT_SIF1252
GCF_001713255.1	Treponema pallidum	pallidum	PT_SIF1261
GCF_001713275.1	Treponema pallidum	pallidum	PT_SIF1278
GCF_001713295.1	Treponema pallidum	pallidum	PT_SIF1280
GCF_001713315.1	Treponema pallidum	pallidum	PT_SIF1299
GCF_001713335.1	Treponema pallidum	pallidum	PT_SIF1348
GCF_001761515.1	Treponema pallidum	pallidum	PT_SIF0751
GCF_001761565.1	Treponema pallidum	pallidum	PT_SIF0877_3
GCF_001941545.1	Treponema pallidum	pallidum	Seattle Nichols
GCF_003055985.1	Treponema pallidum	pallidum	UZ1974
GCF_003627115.1	Treponema pallidum	pallidum	Haiti B
GCF_005311045.1	Treponema pallidum	pallidum	CW88
GCF_005311065.1	Treponema pallidum	pallidum	CW86
GCF_005311085.1	Treponema pallidum	pallidum	CW83
GCF_005311105.1	Treponema pallidum	pallidum	CW82
GCF_005311125.1	Treponema pallidum	pallidum	CW65
GCF_005311145.1	Treponema pallidum	pallidum	CW56
GCF_005311165.1	Treponema pallidum	pallidum	CW30
GCF_005311185.1	Treponema pallidum	pallidum	CW85
GCF_005311205.1	Treponema pallidum	pallidum	CW84
GCF_005311445.1	Treponema pallidum	pallidum	CW59
GCF_005341485.1	Treponema pallidum	pallidum	CW87
GCF_005408385.1	Treponema pallidum	pallidum	Philadelphia 1
GCF_005408405.1	Treponema pallidum	pallidum	Grady
GCF_005885795.1	Treponema pallidum	pallidum	X-4
GCF_015239315.1	Treponema pallidum	pallidum	SMUTp_01
GCF_015239335.1	Treponema pallidum	pallidum	SMUTp_02
GCF_015239355.1	Treponema pallidum	pallidum	SMUTp_04
GCF_015239375.1	Treponema pallidum	pallidum	SMUTp_08
GCF_015239395.1	Treponema pallidum	pallidum	SMUTp_09
GCF_015239415.1	Treponema pallidum	pallidum	SMUTp_07
GCF_008152505.1	Treponema phagedenis		S11.1
GCF_008152665.1	Treponema phagedenis		S8.5
GCF_008152825.1	Treponema phagedenis		S2.3
GCF_008153055.1	Treponema phagedenis		B31.4
GCF_008153205.1	Treponema phagedenis		B36.5
GCF_008153345.1	Treponema phagedenis		B43.1
GCF_013348685.1	Treponema phagedenis		KS1
GCF_013388315.1	Treponema phagedenis		KS-1
GCF_017161245.1	Treponema phagedenis		T320A
GCF_017161285.1	Treponema phagedenis		Reiter
GCF_002271195.1	Treponema pallidum	pertenue	Ghana-051
GCF_002271235.1	Treponema pallidum	pertenue	CDC 2575
GCF_003076575.1	Treponema pallidum	pertenue	LMNP-1
GCF_003611295.1	Treponema pallidum	pertenue	Kampung Dalan K363
GCF_003611315.1	Treponema pallidum	pertenue	Sei Geringging K403
GCF_003952805.1	Treponema pallidum	pertenue	CDC-1
GCF_005222565.1	Leptospira interrogans		FMAS_KW1
GCF_005222585.1	Leptospira interrogans		FMAS_KW2
GCF_005222625.1	Leptospira interrogans		FMAS_AW1
GCF_009884035.1	Leptospira interrogans		R13-L
GCF_009884055.1	Leptospira interrogans		R17
GCF_009884075.1	Leptospira interrogans		R21
GCF_009884095.1	Leptospira interrogans		R22
GCF_009884115.1	Leptospira interrogans		R16
GCF_009884135.1	Leptospira interrogans		R13
GCF_009884175.1	Leptospira interrogans		R11
GCF_009884195.1	Leptospira interrogans		R7
GCF_009884255.1	Leptospira interrogans		R19
GCF_009884275.1	Leptospira interrogans		R12
GCF_009858015.1	Leptospira borgpetersenii		R29
GCF_009858035.1	Leptospira borgpetersenii		R23
GCF_009858055.1	Leptospira borgpetersenii		R28
GCF_009858075.1	Leptospira borgpetersenii		R6
GCF_009858095.1	Leptospira borgpetersenii		Mo4
GCF_009884155.1	Leptospira borgpetersenii		R14
GCF_009884215.1	Leptospira borgpetersenii		R6L
GCF_009884235.1	Leptospira borgpetersenii		R14-L
GCF_018399095.1	Leptospira borgpetersenii		FMAS_PN4
GCF_018402785.1	Leptospira borgpetersenii		FMAS_AP8
GCF_018402805.1	Leptospira borgpetersenii		FMAS_AP9
GCF_018402825.1	Leptospira borgpetersenii		FMAS_AP2
GCF_018402845.1	Leptospira borgpetersenii		FMAS_AP3
GCF_018403805.1	Leptospira borgpetersenii		FMAS_PD2
GCF_018403825.1	Leptospira borgpetersenii		FMAS_AP4
GCF_008118365.1	Leptospira interrogans		serovar Hardjo L53
GCF_000632475.1	Azospirillum brasilense		Az39
GCF_001315015.1	Azospirillum brasilense		Sp 7
GCF_005222145.1	Azospirillum brasilense		MTCC4038
GCF_005222165.1	Azospirillum brasilense		MTCC4035
GCF_005222185.1	Azospirillum brasilense		MTCC4036
GCF_005222205.1	Azospirillum brasilense		MTCC4039
GCF_008274945.1	Azospirillum brasilense		Sp 7
GCF_008274965.1	Azospirillum brasilense		Cd
GCF_000954195.1	Campylobacter coli		FB1
GCF_001417615.1	Campylobacter coli		CO2-160
GCF_001417635.1	Campylobacter coli		HC2-48
GCF_001417655.1	Campylobacter coli		CF2-75
GCF_001639125.1	Campylobacter coli		YH501
GCF_001717605.1	Campylobacter coli		14983A
GCF_001865455.1	Campylobacter coli		YF2105
GCF_001865475.1	Campylobacter coli		MG1116
GCF_001865495.1	Campylobacter coli		BP3183
GCF_001865515.1	Campylobacter coli		WA333
GCF_001865535.1	Campylobacter coli		ZV1224
GCF_001865555.1	Campylobacter coli		BG2108
GCF_001936355.1	Campylobacter coli		YH502
GCF_002024185.1	Campylobacter coli		aerotolerant OR12
GCF_002407145.1	Campylobacter coli		CFSAN032805
GCF_002843985.1	Campylobacter coli		YH503
GCF_003030205.1	Campylobacter coli		CFSAN054106
GCF_004307315.1	Campylobacter coli		RM2228
GCF_005517455.1	Campylobacter coli		S9
GCF_008727315.1	Campylobacter coli		AR-0420
GCF_008727495.1	Campylobacter coli		AR-0411
GCF_009498195.1	Campylobacter coli		18-84
GCF_009498315.1	Campylobacter coli		18-75
GCF_009649055.1	Campylobacter coli		CFSAN032805
GCF_009730395.1	Campylobacter coli		FDAARGOS_735
GCF_010232325.1	Campylobacter coli		16SHKX65C
GCF_013391125.1	Campylobacter coli		20A420
GCF_013416175.1	Campylobacter coli		R7B144
GCF_014705905.1	Campylobacter coli		PSU-32
GCF_014906165.1	Campylobacter coli		meC0467
GCF_014906185.1	Campylobacter coli		meC0280
GCF_014906205.1	Campylobacter coli		meC0281
GCF_016127675.1	Campylobacter coli		FDAARGOS_1028
GCF_018176575.1	Campylobacter coli		CC19DZ036
GCF_018176655.1	Campylobacter coli		CC19DZ037
GCF_018176875.1	Campylobacter coli		CC19CH075
GCF_018176975.1	Campylobacter coli		CC19CH076
GCF_011600845.2	Campylobacter fetus		CFV08A1102-42A
GCF_011600855.2	Campylobacter fetus		CFF02A725-35A
GCF_011600945.2	Campylobacter fetus		CFF00A031
GCF_011600955.2	Campylobacter fetus		CFViADRI1362
GCF_011600995.2	Campylobacter fetus		CFF09A980
GCF_011601005.2	Campylobacter fetus		CFV08A948-2A
GCF_011601375.2	Campylobacter fetus		CFViADRI545
GCF_000759575.2	Campylobacter jejuni		G1
GCF_001314285.1	Campylobacter jejuni		RM1285
GCF_001412295.1	Campylobacter jejuni		CJM1cam
GCF_001432345.1	Campylobacter jejuni		T1-21
GCF_001457695.1	Campylobacter jejuni		NCTC11351
GCF_001506185.1	Campylobacter jejuni		CJ677CC519
GCF_001506205.1	Campylobacter jejuni		CJ677CC002
GCF_001506225.1	Campylobacter jejuni		CJ677CC534
GCF_001506245.1	Campylobacter jejuni		CJ677CC536
GCF_001506265.1	Campylobacter jejuni		CJ677CC073
GCF_001506285.1	Campylobacter jejuni		CJ677CC521
GCF_001506305.1	Campylobacter jejuni		CJ677CC526
GCF_001506345.1	Campylobacter jejuni		CJ677CC036
GCF_001506365.1	Campylobacter jejuni		CJ677CC524
GCF_001506385.1	Campylobacter jejuni		CJ677CC016
GCF_001506405.1	Campylobacter jejuni		CJ677CC041
GCF_001506425.1	Campylobacter jejuni		CJ677CC535
GCF_001506445.1	Campylobacter jejuni		CJ677CC092
GCF_001506465.1	Campylobacter jejuni		CJ677CC530
GCF_001506485.1	Campylobacter jejuni		CJ677CC532
GCF_001506505.1	Campylobacter jejuni		CJ677CC529
GCF_001506525.1	Campylobacter jejuni		CJ677CC531
GCF_001506545.1	Campylobacter jejuni		CJ677CC062
GCF_001506565.1	Campylobacter jejuni		CJ677CC059
GCF_001506585.1	Campylobacter jejuni		CJ677CC032
GCF_001506605.1	Campylobacter jejuni		CJ677CC033
GCF_001506625.1	Campylobacter jejuni		CJ677CC537
GCF_001506645.1	Campylobacter jejuni		CJ677CC542
GCF_001506665.1	Campylobacter jejuni		CJ677CC528
GCF_001506685.1	Campylobacter jejuni		CJ677CC538
GCF_001506705.1	Campylobacter jejuni		CJ677CC520
GCF_001506725.1	Campylobacter jejuni		CJ677CC014
GCF_001506745.1	Campylobacter jejuni		CJ677CC039
GCF_001506765.1	Campylobacter jejuni		CJ677CC085
GCF_001506785.1	Campylobacter jejuni		CJ677CC052
GCF_001506805.1	Campylobacter jejuni		CJ677CC527
GCF_001506825.1	Campylobacter jejuni		CJ677CC078
GCF_001506845.1	Campylobacter jejuni		CJ677CC523
GCF_001506865.1	Campylobacter jejuni		CJ677CC540
GCF_001506885.1	Campylobacter jejuni		CJ677CC040
GCF_001506905.1	Campylobacter jejuni		CJ677CC061
GCF_001506925.1	Campylobacter jejuni		CJ677CC539
GCF_001506945.1	Campylobacter jejuni		CJ677CC533
GCF_001506965.1	Campylobacter jejuni		CJ677CC047
GCF_001506985.1	Campylobacter jejuni		CJ677CC058
GCF_001507005.1	Campylobacter jejuni		CJ677CC013
GCF_001507025.1	Campylobacter jejuni		CJ677CC100
GCF_001507045.1	Campylobacter jejuni		CJ677CC522
GCF_001507065.1	Campylobacter jejuni		CJ677CC094
GCF_001507085.1	Campylobacter jejuni		CJ677CC008
GCF_001507105.1	Campylobacter jejuni		CJ677CC541
GCF_001507125.1	Campylobacter jejuni		CJ677CC024
GCF_001507145.1	Campylobacter jejuni		CJ677CC064
GCF_001507165.1	Campylobacter jejuni		CJ677CC525
GCF_001507185.1	Campylobacter jejuni		CJ677CC026
GCF_001507205.1	Campylobacter jejuni		CJ677CC034
GCF_001507225.1	Campylobacter jejuni		CJ677CC086
GCF_001507245.1	Campylobacter jejuni		CJ677CC095
GCF_001507265.1	Campylobacter jejuni		CJ677CC012
GCF_001563565.1	Campylobacter jejuni		RM3194
GCF_001587015.1	Campylobacter jejuni		OD267
GCF_001587035.1	Campylobacter jejuni		WP2202
GCF_001865395.1	Campylobacter jejuni		FJ3124
GCF_001865415.1	Campylobacter jejuni		TS1218
GCF_001865435.1	Campylobacter jejuni		IF1100
GCF_001870085.1	Campylobacter jejuni		YQ2210
GCF_001870105.1	Campylobacter jejuni		ZP3204
GCF_001951235.1	Campylobacter jejuni		HF5-4A-4
GCF_001951255.1	Campylobacter jejuni		HF5-5-1
GCF_001951275.1	Campylobacter jejuni		HF5-7-1
GCF_001951295.1	Campylobacter jejuni		NS4-1-1
GCF_001951315.1	Campylobacter jejuni		NS4-5-1
GCF_001951335.1	Campylobacter jejuni		NS4-9-1
GCF_002024325.1	Campylobacter jejuni		NCTC12662
GCF_002101355.1	Campylobacter jejuni		YH002
GCF_002209005.1	Campylobacter jejuni		FDAARGOS_262
GCF_002209025.1	Campylobacter jejuni		FDAARGOS_263
GCF_002209045.1	Campylobacter jejuni		FDAARGOS_265
GCF_002209065.1	Campylobacter jejuni		FDAARGOS_266
GCF_002214785.1	Campylobacter jejuni		FORC_046 Not reported
GCF_002224325.1	Campylobacter jejuni		11168H/lacY
GCF_002224385.1	Campylobacter jejuni		81-176_G1_B0
GCF_002234455.1	Campylobacter jejuni		jejuni
GCF_002407125.1	Campylobacter jejuni		CFSAN032806
GCF_002587105.1	Campylobacter jejuni		FDAARGOS_422
GCF_002587225.1	Campylobacter jejuni		FDAARGOS_421
GCF_003030185.1	Campylobacter jejuni		CFSAN054107
GCF_003060725.1	Campylobacter jejuni		12567
GCF_003060745.1	Campylobacter jejuni		NCTC 12660
GCF_003060765.1	Campylobacter jejuni		NCTC 12661
GCF_003060785.1	Campylobacter jejuni		NCTC 12664
GCF_003368045.1	Campylobacter jejuni		CJ067CC45
GCF_003368065.1	Campylobacter jejuni		CJ515CC45
GCF_003368085.1	Campylobacter jejuni		CJ031CC45
GCF_003368105.1	Campylobacter jejuni		CJ017CCUA
GCF_003368125.1	Campylobacter jejuni		CJ513CC45
GCF_003368145.1	Campylobacter jejuni		CJ088CC52
GCF_003368165.1	Campylobacter jejuni		CJ074CC443
GCF_003368185.1	Campylobacter jejuni		CJ071CC464
GCF_003368205.1	Campylobacter jejuni		CJ090CC1332
GCF_003368225.1	Campylobacter jejuni		CJ018CCUA
GCF_003368245.1	Campylobacter jejuni		CJ066CC508
GCF_004328905.1	Campylobacter jejuni		FORC_083
GCF_004924295.1	Campylobacter jejuni		BC
GCF_007107025.1	Campylobacter jejuni		YH003
GCF_008386335.1	Campylobacter jejuni		BfR-CA-14430
GCF_008727335.1	Campylobacter jejuni		AR-0419
GCF_008727415.1	Campylobacter jejuni		AR-0415
GCF_008727435.1	Campylobacter jejuni		AR-0414
GCF_008727455.1	Campylobacter jejuni		AR-0413
GCF_009649035.1	Campylobacter jejuni		CFSAN032806
GCF_009939645.1	Campylobacter jejuni		15AR1555
GCF_009939665.1	Campylobacter jejuni		15AR0984
GCF_009939705.1	Campylobacter jejuni		15AR0919
GCF_009939725.1	Campylobacter jejuni		15AR0917
GCF_012220765.1	Campylobacter jejuni		ZS007
GCF_012220945.1	Campylobacter jejuni		ZS006
GCF_012224585.1	Campylobacter jejuni		ZS005
GCF_012224765.1	Campylobacter jejuni		ZS004
GCF_012224905.1	Campylobacter jejuni		ZH006
GCF_012225065.1	Campylobacter jejuni		ZH003
GCF_012225225.1	Campylobacter jejuni		ZJB023
GCF_012225445.1	Campylobacter jejuni		ZJB021
GCF_012225685.1	Campylobacter jejuni		ZJB020
GCF_013177475.1	Campylobacter jejuni		2016-IZSVE-19-111250
GCF_013363775.1	Campylobacter jejuni		BfR-CA-12970
GCF_013363815.1	Campylobacter jejuni		BfR-CA-14138
GCF_013389555.1	Campylobacter jejuni		D33a
GCF_013389575.1	Campylobacter jejuni		A9a
GCF_013394995.1	Campylobacter jejuni		A14a
GCF_014082005.1	Campylobacter jejuni		C41
GCF_014151305.1	Campylobacter jejuni		C1922C72
GCF_014151465.1	Campylobacter jejuni		C220
GCF_014151665.1	Campylobacter jejuni		C219
GCF_014151825.1	Campylobacter jejuni		C203
GCF_014151925.1	Campylobacter jejuni		C201
GCF_014152105.1	Campylobacter jejuni		C197
GCF_014152305.1	Campylobacter jejuni		C109
GCF_014152385.1	Campylobacter jejuni		C57
GCF_014152565.1	Campylobacter jejuni		C34
GCF_015245165.1	Campylobacter jejuni		R4B202
GCF_016350125.1	Campylobacter jejuni		RM1221
GCF_016458845.1	Campylobacter jejuni		CJP19-D445 CFSAN091031
GCF_016458865.1	Campylobacter jejuni		CJP19-D996 CFSAN091032
GCF_016600925.1	Campylobacter jejuni		RM1221
GCF_017351955.1	Campylobacter jejuni		CAMSA2038
GCF_017352015.1	Campylobacter jejuni		CAMSA2002
GCF_017356685.1	Campylobacter jejuni		RM1245
GCF_017356745.1	Campylobacter jejuni		RM1510
GCF_017356765.1	Campylobacter jejuni		RM3147
GCF_017356785.1	Campylobacter jejuni		R12
GCF_017356805.1	Campylobacter jejuni		GB03
GCF_017356825.1	Campylobacter jejuni		R23
