assembly_accession	species	subsp	strain
GCF_000940915.1	Aeromonas hydrophila		AL06-06 Goldfish
GCF_000963645.1	Aeromonas hydrophila		AH10
GCF_001455365.1	Aeromonas hydrophila		JBN2301
GCF_001518775.1	Aeromonas hydrophila		D4
GCF_001683535.1	Aeromonas hydrophila		GYK1
GCF_001687125.1	Aeromonas hydrophila		AHNIH1
GCF_001895965.1	Aeromonas hydrophila		MX16A
GCF_003014775.1	Aeromonas hydrophila		KN-Mc-1R2
GCF_003491225.1	Aeromonas hydrophila		ZYAH72
GCF_003491245.1	Aeromonas hydrophila		ZYAH75
GCF_004296435.1	Aeromonas hydrophila		GSH8-2
GCF_004684305.1	Aeromonas hydrophila		WCX23
GCF_004684325.1	Aeromonas hydrophila		23-C-23
GCF_009791455.1	Aeromonas hydrophila		HX-3
GCF_011602425.1	Aeromonas hydrophila		LHW39
GCF_012273595.1	Aeromonas hydrophila		NEB724
GCF_014161955.1	Aeromonas hydrophila		WP7-S18-ESBL-06
GCF_014169715.1	Aeromonas hydrophila		WP8-S18-ESBL-02
GCF_014679585.1	Aeromonas hydrophila		KAM330
GCF_016026875.1	Aeromonas hydrophila		FDAARGOS_916
GCF_016592295.1	Aeromonas hydrophila		Aeromonas hydrophila
GCF_017310075.1	Aeromonas hydrophila		Aer_LaG34
GCF_017310115.1	Aeromonas hydrophila		Aer_OnP4.2
GCF_017310135.1	Aeromonas hydrophila		Aer_LaG33
GCF_017310155.1	Aeromonas hydrophila		Aer_OnP2.2
GCF_017310195.1	Aeromonas hydrophila		Brac6
GCF_017310215.1	Aeromonas hydrophila		OnP3.1
GCF_002850695.3	Aeromonas hydrophila	hydrophila	WCHAH045096
GCF_000014805.1	Aeromonas hydrophila	hydrophila ATCC 7966	ATCC 7966
GCF_000401555.1	Aeromonas hydrophila		ML09-119
GCF_000633175.1	Aeromonas hydrophila	hydrophila AL09-71	AL09-71 4
GCF_000512185.1	Aeromonas hydrophila		4AK4
GCF_001019645.1	Aeromonas hydrophila		NJ-35
GCF_000635955.1	Aeromonas hydrophila		pc104A PC-104A
GCF_000819505.1	Aeromonas hydrophila		J-1
GCF_000612075.2	Aeromonas hydrophila		YL17
