assembly_accession	species	subsp	strain
GCF_000534935.2	Bacillus anthracis		CZC5
GCF_000725325.1	Bacillus anthracis		HYU01
GCF_000742655.1	Bacillus anthracis		2000031021
GCF_000742695.1	Bacillus anthracis		delta Sterne
GCF_000742875.1	Bacillus anthracis		BFV
GCF_000831505.1	Bacillus anthracis		Pollino
GCF_000832425.1	Bacillus anthracis		PAK-1
GCF_000832445.1	Bacillus anthracis		Vollum 1B
GCF_000832465.1	Bacillus anthracis		K3
GCF_000832505.1	Bacillus anthracis		Ohio ACB
GCF_000832565.1	Bacillus anthracis		SK-102
GCF_000832585.1	Bacillus anthracis		Pasteur
GCF_000832725.1	Bacillus anthracis		BA1035
GCF_000832745.1	Bacillus anthracis		RA3
GCF_000832965.1	Bacillus anthracis		2002013094
GCF_000833065.1	Bacillus anthracis		Ames BACI008
GCF_000833125.1	Bacillus anthracis		Canadian Bison A0369
GCF_000875715.1	Bacillus anthracis		A1144
GCF_001277955.1	Bacillus anthracis		Larissa
GCF_001543225.1	Bacillus anthracis		Stendal
GCF_001654475.1	Bacillus anthracis		Tangail-1
GCF_001683065.1	Bacillus anthracis		Parent2
GCF_001683095.1	Bacillus anthracis		Parent1
GCF_001683135.1	Bacillus anthracis		PR01
GCF_001683155.1	Bacillus anthracis		PR02
GCF_001683175.1	Bacillus anthracis		PR05
GCF_001683195.1	Bacillus anthracis		PR06
GCF_001683215.1	Bacillus anthracis		PR07
GCF_001683235.1	Bacillus anthracis		PR08
GCF_001683255.1	Bacillus anthracis		PR09-1
GCF_001683275.1	Bacillus anthracis		PR09-4
GCF_001683295.1	Bacillus anthracis		PR10-4
GCF_001936375.1	Bacillus anthracis		Tyrol 4675
GCF_001990245.1	Bacillus anthracis		SPV842_15
GCF_002208785.1	Bacillus anthracis		FDAARGOS_341
GCF_002277915.1	Bacillus anthracis		14RA5914
GCF_002356575.1	Bacillus anthracis		Shikan-NIID
GCF_002980615.3	Bacillus anthracis		STI1
GCF_003227955.1	Bacillus anthracis		London_499
GCF_003410255.1	Bacillus anthracis		MCCC 1A02161
GCF_003410355.1	Bacillus anthracis		MCCC 1A01412
GCF_004328845.1	Bacillus anthracis		HDZK-BYSB7
GCF_006088855.1	Bacillus anthracis		17OD930
GCF_006742565.1	Bacillus anthracis		PCr
GCF_009806595.1	Bacillus anthracis		FDAARGOS_698
GCF_009806615.1	Bacillus anthracis		FDAARGOS_701
GCF_009806635.1	Bacillus anthracis		FDAARGOS_700
GCF_009806655.1	Bacillus anthracis		FDAARGOS_706
GCF_009806675.1	Bacillus anthracis		FDAARGOS_705
GCF_009806695.1	Bacillus anthracis		FDAARGOS_704
GCF_012273315.1	Bacillus anthracis		FDAARGOS_694
GCF_012273335.1	Bacillus anthracis		FDAARGOS_696
GCF_012273355.1	Bacillus anthracis		FDAARGOS_697
GCF_012273375.1	Bacillus anthracis		FDAARGOS_699
GCF_013349165.1	Bacillus anthracis		FDAARGOS_703
GCF_013349185.1	Bacillus anthracis		FDAARGOS_702
GCF_013349245.1	Bacillus anthracis		FDAARGOS_695
GCF_014249775.1	Bacillus anthracis		Kanchipuram
GCF_000007845.1	Bacillus anthracis		str. Ames
GCF_000008165.1	Bacillus anthracis		str. Sterne
GCF_000832635.1	Bacillus anthracis		str. Sterne
GCF_000742895.1	Bacillus anthracis		str. Vollum
GCF_000008445.1	Bacillus anthracis		str. 'Ames Ancestor' Ames Ancestor; A2084
GCF_000022865.1	Bacillus anthracis		str. A0248
GCF_000512775.2	Bacillus anthracis		str. A16R
GCF_000512835.2	Bacillus anthracis		str. A16
GCF_000258885.1	Bacillus anthracis		str. H9401
GCF_000295695.2	Bacillus anthracis		str. BF1
GCF_000583105.1	Bacillus anthracis		str. SVA11
GCF_000558985.1	Bacillus anthracis		9080-G
GCF_000558965.1	Bacillus anthracis		8903-G
GCF_000559005.1	Bacillus anthracis		52-G
GCF_000832785.1	Bacillus anthracis		str. V770-NP-1R
GCF_000833275.1	Bacillus anthracis		str. Turkey32 35
