assembly_accession	species	subsp	strain
GCF_001596055.1	Bacillus licheniformis		HRBL-15TDI7
GCF_001726125.1	Bacillus licheniformis		BL1202
GCF_001914255.1	Bacillus licheniformis		YNP1-TSU
GCF_002074075.1	Bacillus licheniformis		SCK B11
GCF_002074095.1	Bacillus licheniformis		SCDB 14
GCF_002074115.1	Bacillus licheniformis		SCDB 34
GCF_002074135.1	Bacillus licheniformis		SCCB 37
GCF_002173675.1	Bacillus licheniformis		SRCM100141
GCF_002174255.1	Bacillus licheniformis		SRCM100027
GCF_002236895.1	Bacillus licheniformis		BL-010
GCF_002504325.1	Bacillus licheniformis		ATCC 9789
GCF_002966955.1	Bacillus licheniformis		14ADL4
GCF_003253815.1	Bacillus licheniformis		CBA7132
GCF_003339545.1	Bacillus licheniformis		0DA23-1
GCF_003595625.1	Bacillus licheniformis		TAB7
GCF_003952865.1	Bacillus licheniformis		PB3
GCF_004101525.1	Bacillus licheniformis		SRCM103914
GCF_004103575.1	Bacillus licheniformis		SRCM103529
GCF_004119755.1	Bacillus licheniformis		SRCM103583
GCF_004119795.1	Bacillus licheniformis		SRCM103608
GCF_004526275.1	Bacillus licheniformis		MCC 2514
GCF_006094335.1	Bacillus licheniformis		ATCC 14580
GCF_006494795.1	Bacillus licheniformis		CSL2
GCF_007855455.1	Bacillus licheniformis		KNU11
GCF_014673515.1	Bacillus licheniformis		OK12
GCF_015689075.1	Bacillus licheniformis		LCDD6
GCF_016126875.1	Bacillus licheniformis		H2
GCF_017338795.1	Bacillus licheniformis		CP6
GCF_902386215.1	Bacillus licheniformis		MGYG-HGUT-02357
GCF_000008425.1	Bacillus licheniformis		DSM 13 = ATCC 14580
GCF_000011645.1	Bacillus licheniformis		DSM 13 = ATCC 14580 ATCC 14580; DSM 13
GCF_000258125.2	Bacillus licheniformis		WX-02
