assembly_accession	species	subsp	strain
GCF_000772125.1	Bacillus subtilis		ATCC 13952
GCF_000772165.1	Bacillus subtilis		ATCC 19217
GCF_000772205.1	Bacillus subtilis		Bs-916
GCF_000782835.1	Bacillus subtilis		SG6
GCF_000789295.1	Bacillus subtilis		PS832
GCF_000952895.1	Bacillus subtilis		BS34A
GCF_000953615.1	Bacillus subtilis		BS49
GCF_001015095.1	Bacillus subtilis		UD1022
GCF_001037985.1	Bacillus subtilis		TO-A JPC
GCF_001704095.1	Bacillus subtilis		HJ0-6
GCF_001720505.1	Bacillus subtilis		BS16045
GCF_001746575.1	Bacillus subtilis		BS38
GCF_001747445.1	Bacillus subtilis		HRBS-10TDI13
GCF_001808235.1	Bacillus subtilis		VV2
GCF_001889385.1	Bacillus subtilis		J-5
GCF_001889625.1	Bacillus subtilis		MJ01
GCF_001890405.1	Bacillus subtilis		KH2
GCF_001902555.1	Bacillus subtilis		29R7-12
GCF_002072735.1	Bacillus subtilis		GQJK2
GCF_002096095.1	Bacillus subtilis		Bacillus subtilis Bs-115
GCF_002142595.1	Bacillus subtilis		TLO3
GCF_002163815.1	Bacillus subtilis		CW14
GCF_002202055.1	Bacillus subtilis		ge28
GCF_002205435.1	Bacillus subtilis		SR1
GCF_002216085.1	Bacillus subtilis		SX01705
GCF_002269175.1	Bacillus subtilis		DKU_NT_02
GCF_002269195.1	Bacillus subtilis		DKU_NT_03
GCF_002290305.1	Bacillus subtilis		TLO3
GCF_002982175.1	Bacillus subtilis		ATCC 21228
GCF_003148355.1	Bacillus subtilis		QB61
GCF_003184225.1	Bacillus subtilis		50-1
GCF_003515125.1	Bacillus subtilis		FB6-3
GCF_004101345.1	Bacillus subtilis		SRCM103862
GCF_004101365.1	Bacillus subtilis		SRCM103886
GCF_004101405.1	Bacillus subtilis		SRCM103923
GCF_004101425.1	Bacillus subtilis		SRCM104005
GCF_004101445.1	Bacillus subtilis		SRCM103881
GCF_004101465.1	Bacillus subtilis		SRCM103971
GCF_004101485.1	Bacillus subtilis		SRCM104008
GCF_004101565.1	Bacillus subtilis		SRCM104011
GCF_004103535.1	Bacillus subtilis		SRCM103517
GCF_004103555.1	Bacillus subtilis		SRCM103551
GCF_004103595.1	Bacillus subtilis		SRCM103571
GCF_004119535.1	Bacillus subtilis		SRCM103689
GCF_004119555.1	Bacillus subtilis		SRCM103641
GCF_004119595.1	Bacillus subtilis		SRCM103696
GCF_004119615.1	Bacillus subtilis		SRCM103576
