assembly_accession	species	subsp	strain
GCF_000832485.1	Bacillus thuringiensis		HD1011
GCF_000832825.1	Bacillus thuringiensis		HD571
GCF_000832925.1	Bacillus thuringiensis		HD682
GCF_000833085.1	Bacillus thuringiensis		97-27
GCF_001017635.1	Bacillus thuringiensis		YC-10
GCF_001182785.1	Bacillus thuringiensis		HS18-1
GCF_001420855.1	Bacillus thuringiensis		YWC2-8
GCF_001455345.1	Bacillus thuringiensis		CTC
GCF_001595725.1	Bacillus thuringiensis		Bt185
GCF_001598095.1	Bacillus thuringiensis		HD12
GCF_001685565.1	Bacillus thuringiensis		MYBT18246
GCF_001692675.1	Bacillus thuringiensis		KNU-07
GCF_002025105.1	Bacillus thuringiensis		Bacillus thuringiensis L-7601
GCF_002119445.1	Bacillus thuringiensis		ATCC 10792
GCF_002173755.1	Bacillus thuringiensis		SCG04-02
GCF_002184245.1	Bacillus thuringiensis		YGd22-03
GCF_002192515.1	Bacillus thuringiensis		BM-BT15426
GCF_002222555.1	Bacillus thuringiensis		c25
GCF_003054785.2	Bacillus thuringiensis		BT62
GCF_003626955.1	Bacillus thuringiensis		QZL38
GCF_003991175.1	Bacillus thuringiensis		C15
GCF_004194435.2	Bacillus thuringiensis		T0131
GCF_004194455.2	Bacillus thuringiensis		T0137
GCF_004194475.2	Bacillus thuringiensis		T0139
GCF_004354265.1	Bacillus thuringiensis		Bti
GCF_005155285.1	Bacillus thuringiensis		BT-59
GCF_006151925.1	Bacillus thuringiensis		HM-311
GCF_009025915.1	Bacillus thuringiensis		JW-1
GCF_009224065.1	Bacillus thuringiensis		GA-A07
GCF_013267295.1	Bacillus thuringiensis		FDAARGOS_796
GCF_013267315.1	Bacillus thuringiensis		FDAARGOS_795
GCF_013267335.1	Bacillus thuringiensis		FDAARGOS_793
GCF_013267795.1	Bacillus thuringiensis		FDAARGOS_794
GCF_013267815.1	Bacillus thuringiensis		FDAARGOS_792
GCF_013340745.1	Bacillus thuringiensis		HER1410
GCF_013343075.1	Bacillus thuringiensis		FDAARGOS_791
GCF_016070565.1	Bacillus thuringiensis		H3
GCF_017378115.1	Bacillus thuringiensis		TAND672
GCF_017751245.1	Bacillus thuringiensis		Bt-GS57
GCF_003445395.2	Bacillus thuringiensis		serovar israelensis AM65-52
GCF_001640965.1	Bacillus thuringiensis		serovar alesti BGSC 4C1
GCF_000940785.1	Bacillus thuringiensis		serovar morrisoni BGSC 4AA1
GCF_001548175.1	Bacillus thuringiensis		serovar tolworthi Pasteur Institute Standard strain
GCF_000803665.1	Bacillus thuringiensis		serovar galleriae 4G5
GCF_000835235.1	Bacillus thuringiensis		serovar kurstaki HD 1i
GCF_001183785.1	Bacillus thuringiensis		serovar indiana HD521
GCF_012222085.2	Bacillus thuringiensis		serovar andalousiensis NRRL B-23139
GCF_000008505.1	Bacillus thuringiensis		serovar konkukian str. 97-27
GCF_000015065.1	Bacillus thuringiensis		str. Al Hakam
GCF_000306745.1	Bacillus thuringiensis		Bt407
GCF_000161515.1	Bacillus thuringiensis		serovar thuringiensis str. T01001
GCF_000161655.1	Bacillus thuringiensis		serovar pondicheriensis BGSC 4BA1
GCF_000161615.1	Bacillus thuringiensis		serovar berliner ATCC 10792
GCF_000497525.1	Bacillus thuringiensis		YBT-1518
GCF_000193355.1	Bacillus thuringiensis		serovar chinensis CT-43
GCF_000747545.1	Bacillus thuringiensis		serovar kurstaki str. YBT-1520
GCF_000092165.1	Bacillus thuringiensis		BMB171
GCF_000300475.1	Bacillus thuringiensis		MC28
GCF_000292705.1	Bacillus thuringiensis		HD-789
GCF_000292455.1	Bacillus thuringiensis		HD-771
GCF_000342025.1	Bacillus thuringiensis		DAR 81934
GCF_000341665.1	Bacillus thuringiensis		serovar thuringiensis str. IS5056
GCF_003546665.1	Bacillus thuringiensis		LM1212
GCF_001721165.1	Bacillus thuringiensis		Bt18247
GCF_000835025.1	Bacillus thuringiensis		HD1002
