assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000015785.2	PRJNA224116	SAMN02603158			na	assembly from synonym type material	326423	492670	Bacillus velezensis FZB42	strain=FZB42		latest	Complete Genome	Major	Full	2019/06/24	ASM1578v2	Competence Network	GCA_000015785.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/785/GCF_000015785.2_ASM1578v2	./data/refseq/bacteria/GCF_000015785.2/GCF_000015785.2_ASM1578v2_assembly_stats.txt
GCF_000769555.1	PRJNA224116	SAMN03104819			na		492670	492670	Bacillus velezensis	strain=JS25R		latest	Complete Genome	Major	Full	2014/10/28	ASM76955v1	Institute of Agro-products Processing Science and Technology, Chinese Academy of Agricultural Sciences	GCA_000769555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/769/555/GCF_000769555.1_ASM76955v1	./data/refseq/bacteria/GCF_000769555.1/GCF_000769555.1_ASM76955v1_assembly_stats.txt
GCF_000815275.2	PRJNA224116	SAMN03272507			na		492670	492670	Bacillus velezensis	strain=LPL-K103		latest	Complete Genome	Major	Full	2019/04/23	ASM81527v2	China Agricultural University	GCA_000815275.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/275/GCF_000815275.2_ASM81527v2	./data/refseq/bacteria/GCF_000815275.2/GCF_000815275.2_ASM81527v2_assembly_stats.txt
GCF_000833005.1	PRJNA224116	SAMN03272519			na		492670	492670	Bacillus velezensis	strain=L-H15		latest	Complete Genome	Major	Full	2015/02/05	ASM83300v1	China Agricultural University	GCA_000833005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/833/005/GCF_000833005.1_ASM83300v1	./data/refseq/bacteria/GCF_000833005.1/GCF_000833005.1_ASM83300v1_assembly_stats.txt
GCF_000875875.2	PRJNA224116	SAMN03271888			na		492670	492670	Bacillus velezensis	strain=AP183		latest	Chromosome	Major	Full	2018/05/15	ASM87587v2	Auburn University	GCA_000875875.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/875/875/GCF_000875875.2_ASM87587v2	./data/refseq/bacteria/GCF_000875875.2/GCF_000875875.2_ASM87587v2_assembly_stats.txt
GCF_000973485.1	PRJNA224116	SAMN03470201			na		492670	492670	Bacillus velezensis	strain=L-S60		latest	Complete Genome	Major	Full	2015/04/20	ASM97348v1	China Agricultural University	GCA_000973485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/973/485/GCF_000973485.1_ASM97348v1	./data/refseq/bacteria/GCF_000973485.1/GCF_000973485.1_ASM97348v1_assembly_stats.txt
GCF_000988345.1	PRJNA224116	SAMN03571286			na		492670	492670	Bacillus velezensis	strain=YJ11-1-4		latest	Complete Genome	Major	Full	2015/05/06	ASM98834v1	Chung-Ang Univiersity	GCA_000988345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/345/GCF_000988345.1_ASM98834v1	./data/refseq/bacteria/GCF_000988345.1/GCF_000988345.1_ASM98834v1_assembly_stats.txt
GCF_001023595.1	PRJNA224116	SAMN03733934			na		492670	492670	Bacillus velezensis	strain=G341		latest	Complete Genome	Major	Full	2015/06/10	ASM102359v1	Pusan National University	GCA_001023595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/023/595/GCF_001023595.1_ASM102359v1	./data/refseq/bacteria/GCF_001023595.1/GCF_001023595.1_ASM102359v1_assembly_stats.txt
GCF_001536925.1	PRJNA224116	SAMEA3726545			na		492670	492670	Bacillus velezensis	strain=B25		latest	Complete Genome	Major	Full	2016/01/20	BMC_PRJEB12378v1	Genoscope CEA	GCA_001536925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/536/925/GCF_001536925.1_BMC_PRJEB12378v1	./data/refseq/bacteria/GCF_001536925.1/GCF_001536925.1_BMC_PRJEB12378v1_assembly_stats.txt
GCF_001593395.2	PRJNA224116	SAMN04550342			na		492670	492670	Bacillus velezensis	strain=CC09		latest	Complete Genome	Major	Full	2016/04/29	ASM159339v2	NanJing University	GCA_001593395.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/593/395/GCF_001593395.2_ASM159339v2	./data/refseq/bacteria/GCF_001593395.2/GCF_001593395.2_ASM159339v2_assembly_stats.txt
GCF_001685645.1	PRJNA224116	SAMN04816858			na		492670	492670	Bacillus velezensis	strain=S3-1		latest	Complete Genome	Major	Full	2016/07/15	ASM168564v1	Shanghai Normal University	GCA_001685645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/685/645/GCF_001685645.1_ASM168564v1	./data/refseq/bacteria/GCF_001685645.1/GCF_001685645.1_ASM168564v1_assembly_stats.txt
GCF_001687745.1	PRJNA224116	SAMN05172932			na		492670	492670	Bacillus velezensis	strain=LS69		latest	Complete Genome	Major	Full	2016/07/20	ASM168774v1	State Key Laboratory of Agricultural Microbiology, Huazhong Agricultural University	GCA_001687745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/687/745/GCF_001687745.1_ASM168774v1	./data/refseq/bacteria/GCF_001687745.1/GCF_001687745.1_ASM168774v1_assembly_stats.txt
GCF_001723585.1	PRJNA224116	SAMN05323145			na		492670	492670	Bacillus velezensis	strain=M75		latest	Complete Genome	Major	Full	2016/09/13	ASM172358v1	National Institute of Agricultural Sciences	GCA_001723585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/723/585/GCF_001723585.1_ASM172358v1	./data/refseq/bacteria/GCF_001723585.1/GCF_001723585.1_ASM172358v1_assembly_stats.txt
GCF_001752685.2	PRJNA224116	SAMN04566106			na		492670	492670	Bacillus velezensis	strain=KD1		latest	Complete Genome	Major	Full	2018/05/18	ASM175268v2	Chung-Ang Univiersity	GCA_001752685.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/752/685/GCF_001752685.2_ASM175268v2	./data/refseq/bacteria/GCF_001752685.2/GCF_001752685.2_ASM175268v2_assembly_stats.txt
GCF_001857985.1	PRJNA224116	SAMN05517979			na		492670	492670	Bacillus velezensis	strain=9912D		latest	Complete Genome	Major	Full	2016/10/31	ASM185798v1	Institute of Applied Ecology, Chinese Academy of Sciences	GCA_001857985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/857/985/GCF_001857985.1_ASM185798v1	./data/refseq/bacteria/GCF_001857985.1/GCF_001857985.1_ASM185798v1_assembly_stats.txt
GCF_002005345.1	PRJNA224116	SAMN06196402			na		492670	492670	Bacillus velezensis	strain=GH1-13		latest	Complete Genome	Major	Full	2017/02/21	ASM200534v1	National Institute of Agricultural Sciences	GCA_002005345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/005/345/GCF_002005345.1_ASM200534v1	./data/refseq/bacteria/GCF_002005345.1/GCF_002005345.1_ASM200534v1_assembly_stats.txt
GCF_002057535.1	PRJNA224116	SAMN05949245			na		492670	492670	Bacillus velezensis	strain=sx01604		latest	Complete Genome	Major	Full	2017/03/21	ASM205753v1	Beijing Academy of Agricultural And Forestry Sciences	GCA_002057535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/057/535/GCF_002057535.1_ASM205753v1	./data/refseq/bacteria/GCF_002057535.1/GCF_002057535.1_ASM205753v1_assembly_stats.txt
GCF_002072695.1	PRJNA224116	SAMN06617410			na		492670	492670	Bacillus velezensis	strain=JTYP2		latest	Complete Genome	Major	Full	2017/03/27	ASM207269v1	Shandong Agricultural University	GCA_002072695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/072/695/GCF_002072695.1_ASM207269v1	./data/refseq/bacteria/GCF_002072695.1/GCF_002072695.1_ASM207269v1_assembly_stats.txt
GCF_002105595.1	PRJNA224116	SAMN06711603			na		492670	492670	Bacillus velezensis	strain=9D-6		latest	Complete Genome	Major	Full	2017/04/24	ASM210559v1	Agriculture and Agri-Food Canada	GCA_002105595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/105/595/GCF_002105595.1_ASM210559v1	./data/refseq/bacteria/GCF_002105595.1/GCF_002105595.1_ASM210559v1_assembly_stats.txt
GCF_002117165.1	PRJNA224116	SAMN03571282			representative genome	assembly from synonym type material	492670	492670	Bacillus velezensis	strain=CBMB205		latest	Complete Genome	Major	Full	2017/05/02	ASM211716v1	Chung-Ang University	GCA_002117165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/117/165/GCF_002117165.1_ASM211716v1	./data/refseq/bacteria/GCF_002117165.1/GCF_002117165.1_ASM211716v1_assembly_stats.txt
GCF_002157265.1	PRJNA224116	SAMN06759456			na		492670	492670	Bacillus velezensis	strain=ZL918		latest	Complete Genome	Major	Full	2017/05/24	ASM215726v1	College of Plant Protection, Nanjing Agricultural University	GCA_002157265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/157/265/GCF_002157265.1_ASM215726v1	./data/refseq/bacteria/GCF_002157265.1/GCF_002157265.1_ASM215726v1_assembly_stats.txt
GCF_002192235.1	PRJNA224116	SAMN06231161			na		492670	492670	Bacillus velezensis	strain=GQJK49		latest	Complete Genome	Major	Full	2017/06/13	ASM219223v1	Shandong Agricultural University, college of life science	GCA_002192235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/192/235/GCF_002192235.1_ASM219223v1	./data/refseq/bacteria/GCF_002192235.1/GCF_002192235.1_ASM219223v1_assembly_stats.txt
GCF_002205715.1	PRJNA224116	SAMN07248583			na		492670	492670	Bacillus velezensis	strain=T20E-257		latest	Complete Genome	Major	Full	2017/06/22	ASM220571v1	Rural development administration	GCA_002205715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/205/715/GCF_002205715.1_ASM220571v1	./data/refseq/bacteria/GCF_002205715.1/GCF_002205715.1_ASM220571v1_assembly_stats.txt
GCF_002216755.1	PRJNA224116	SAMN07311555			na		492670	492670	Bacillus velezensis	strain=157		latest	Complete Genome	Major	Full	2017/07/12	ASM221675v1	Jilin Agricultural University	GCA_002216755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/216/755/GCF_002216755.1_ASM221675v1	./data/refseq/bacteria/GCF_002216755.1/GCF_002216755.1_ASM221675v1_assembly_stats.txt
GCF_002237515.1	PRJNA224116	SAMN07371515			na		492670	492670	Bacillus velezensis	strain=TB1501		latest	Complete Genome	Major	Full	2017/07/31	ASM223751v1	Tianjin science and technology plan projects 17YFZCNC00430	GCA_002237515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/237/515/GCF_002237515.1_ASM223751v1	./data/refseq/bacteria/GCF_002237515.1/GCF_002237515.1_ASM223751v1_assembly_stats.txt
GCF_002238395.1	PRJNA224116	SAMN07371516			na		492670	492670	Bacillus velezensis	strain=NJAU-Z9		latest	Complete Genome	Major	Full	2017/08/01	ASM223839v1	Nanjing Agricultural University	GCA_002238395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/238/395/GCF_002238395.1_ASM223839v1	./data/refseq/bacteria/GCF_002238395.1/GCF_002238395.1_ASM223839v1_assembly_stats.txt
GCF_002327165.1	PRJNA224116	SAMN07606138			na		492670	492670	Bacillus velezensis	strain=SCGB 574		latest	Complete Genome	Major	Full	2017/09/21	ASM232716v1	Microbial Institute for Fermentation Industry	GCA_002327165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/327/165/GCF_002327165.1_ASM232716v1	./data/refseq/bacteria/GCF_002327165.1/GCF_002327165.1_ASM232716v1_assembly_stats.txt
GCF_002556565.1	PRJNA224116	SAMN07722662			na		492670	492670	Bacillus velezensis	strain=LABIM40		latest	Complete Genome	Major	Full	2017/10/16	ASM255656v1	Londrina State University	GCA_002556565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/556/565/GCF_002556565.1_ASM255656v1	./data/refseq/bacteria/GCF_002556565.1/GCF_002556565.1_ASM255656v1_assembly_stats.txt
GCF_002741705.1	PRJNA224116	SAMN07836906			na		492670	492670	Bacillus velezensis	strain=NKG-1		latest	Complete Genome	Major	Full	2017/11/02	ASM274170v1	Institute of Plant Protection, Chinese Academy of Agricultural Sciences	GCA_002741705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/741/705/GCF_002741705.1_ASM274170v1	./data/refseq/bacteria/GCF_002741705.1/GCF_002741705.1_ASM274170v1_assembly_stats.txt
GCF_002761535.1	PRJNA224116	SAMN05980781			na		492670	492670	Bacillus velezensis	strain=ATR2		latest	Complete Genome	Major	Full	2017/11/07	ASM276153v1	Wuhan Institute of Virology, Chinese Academy of Sciences	GCA_002761535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/761/535/GCF_002761535.1_ASM276153v1	./data/refseq/bacteria/GCF_002761535.1/GCF_002761535.1_ASM276153v1_assembly_stats.txt
GCF_002764075.1	PRJNA224116	SAMN07977821			na		492670	492670	Bacillus velezensis	strain=TJ02		latest	Complete Genome	Major	Full	2017/11/13	ASM276407v1	Tianjin Agricultural University	GCA_002764075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/764/075/GCF_002764075.1_ASM276407v1	./data/refseq/bacteria/GCF_002764075.1/GCF_002764075.1_ASM276407v1_assembly_stats.txt
