assembly_accession	species	subsp	strain
GCF_000695895.1	Bifidobacterium animalis		RH
GCF_000817045.1	Bifidobacterium animalis		A6
GCF_002220485.1	Bifidobacterium animalis		BL3
GCF_004135895.1	Bifidobacterium animalis		01
GCF_008041995.1	Bifidobacterium animalis		B06
GCF_011770105.1	Bifidobacterium animalis		Probio-M8
GCF_015377505.1	Bifidobacterium animalis		TK-J6A
GCF_016696725.1	Bifidobacterium animalis		YL2
GCF_902387355.1	Bifidobacterium animalis		MGYG-HGUT-02459
GCF_000818055.1	Bifidobacterium animalis	lactis	BF052
GCF_003390755.1	Bifidobacterium animalis	lactis	S7
GCF_003428375.1	Bifidobacterium animalis	lactis	IDCC4301
GCF_003606305.1	Bifidobacterium animalis	lactis	HN019
GCF_016835115.1	Bifidobacterium animalis	lactis	H1
GCF_016835135.1	Bifidobacterium animalis	lactis	H3
GCF_001688645.2	Bifidobacterium animalis	animalis	YL2
GCF_003671995.1	Bifidobacterium animalis	animalis	CNCM I-4602
GCF_000025245.2	Bifidobacterium animalis	lactis BB-12	BB-12
GCF_000092765.1	Bifidobacterium animalis	lactis V9	V9
GCF_000022705.1	Bifidobacterium animalis	lactis Bl-04	Bl-04; ATCC SD5219
GCF_000260715.1	Bifidobacterium animalis	animalis ATCC 25527	ATCC 25527
GCF_000277345.1	Bifidobacterium animalis	lactis Bi-07	Bi-07
GCF_000220885.1	Bifidobacterium animalis	lactis CNCM I-2494	CNCM I-2494
GCF_000224965.2	Bifidobacterium animalis	lactis BLC1	BLC1
GCF_000471945.1	Bifidobacterium animalis	lactis ATCC 27673	ATCC 27673
GCF_000277325.1	Bifidobacterium animalis	lactis B420	B420
GCF_000414215.1	Bifidobacterium animalis	lactis Bl12	Bl12
GCF_000816205.1	Bifidobacterium animalis	lactis KLDS2.0603	KLDS 2.0603
