assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000755825.1	PRJNA224116	SAMN02945026			na		28450	28450	Burkholderia pseudomallei	strain=BSR		latest	Complete Genome	Major	Full	2014/09/18	ASM75582v1	Los Alamos National Laboratory	GCA_000755825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/755/825/GCF_000755825.1_ASM75582v1	./data/refseq/bacteria/GCF_000755825.1/GCF_000755825.1_ASM75582v1_genomic.fna.gz
GCF_000755825.1	PRJNA224116	SAMN02945026			na		28450	28450	Burkholderia pseudomallei	strain=BSR		latest	Complete Genome	Major	Full	2014/09/18	ASM75582v1	Los Alamos National Laboratory	GCA_000755825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/755/825/GCF_000755825.1_ASM75582v1	./data/refseq/bacteria/GCF_000755825.1/GCF_000755825.1_ASM75582v1_rna_from_genomic.fna.gz
GCF_000755825.1	PRJNA224116	SAMN02945026			na		28450	28450	Burkholderia pseudomallei	strain=BSR		latest	Complete Genome	Major	Full	2014/09/18	ASM75582v1	Los Alamos National Laboratory	GCA_000755825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/755/825/GCF_000755825.1_ASM75582v1	./data/refseq/bacteria/GCF_000755825.1/GCF_000755825.1_ASM75582v1_assembly_report.txt
GCF_000755825.1	PRJNA224116	SAMN02945026			na		28450	28450	Burkholderia pseudomallei	strain=BSR		latest	Complete Genome	Major	Full	2014/09/18	ASM75582v1	Los Alamos National Laboratory	GCA_000755825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/755/825/GCF_000755825.1_ASM75582v1	./data/refseq/bacteria/GCF_000755825.1/GCF_000755825.1_ASM75582v1_assembly_stats.txt
GCF_000755825.1	PRJNA224116	SAMN02945026			na		28450	28450	Burkholderia pseudomallei	strain=BSR		latest	Complete Genome	Major	Full	2014/09/18	ASM75582v1	Los Alamos National Laboratory	GCA_000755825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/755/825/GCF_000755825.1_ASM75582v1	./data/refseq/bacteria/GCF_000755825.1/GCF_000755825.1_ASM75582v1_feature_table.txt.gz
GCF_000756105.1	PRJNA224116	SAMN02866335			na		28450	28450	Burkholderia pseudomallei	strain=MSHR346		latest	Chromosome	Major	Full	2014/09/18	ASM75610v1	Los Alamos National Laboratory	GCA_000756105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/756/105/GCF_000756105.1_ASM75610v1	./data/refseq/bacteria/GCF_000756105.1/GCF_000756105.1_ASM75610v1_genomic.fna.gz
GCF_000756105.1	PRJNA224116	SAMN02866335			na		28450	28450	Burkholderia pseudomallei	strain=MSHR346		latest	Chromosome	Major	Full	2014/09/18	ASM75610v1	Los Alamos National Laboratory	GCA_000756105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/756/105/GCF_000756105.1_ASM75610v1	./data/refseq/bacteria/GCF_000756105.1/GCF_000756105.1_ASM75610v1_rna_from_genomic.fna.gz
GCF_000756105.1	PRJNA224116	SAMN02866335			na		28450	28450	Burkholderia pseudomallei	strain=MSHR346		latest	Chromosome	Major	Full	2014/09/18	ASM75610v1	Los Alamos National Laboratory	GCA_000756105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/756/105/GCF_000756105.1_ASM75610v1	./data/refseq/bacteria/GCF_000756105.1/GCF_000756105.1_ASM75610v1_assembly_report.txt
GCF_000756105.1	PRJNA224116	SAMN02866335			na		28450	28450	Burkholderia pseudomallei	strain=MSHR346		latest	Chromosome	Major	Full	2014/09/18	ASM75610v1	Los Alamos National Laboratory	GCA_000756105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/756/105/GCF_000756105.1_ASM75610v1	./data/refseq/bacteria/GCF_000756105.1/GCF_000756105.1_ASM75610v1_assembly_stats.txt
GCF_000756105.1	PRJNA224116	SAMN02866335			na		28450	28450	Burkholderia pseudomallei	strain=MSHR346		latest	Chromosome	Major	Full	2014/09/18	ASM75610v1	Los Alamos National Laboratory	GCA_000756105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/756/105/GCF_000756105.1_ASM75610v1	./data/refseq/bacteria/GCF_000756105.1/GCF_000756105.1_ASM75610v1_feature_table.txt.gz
