assembly_accession	species	subsp	strain
GCF_000759575.2	Campylobacter jejuni		G1
GCF_001314285.1	Campylobacter jejuni		RM1285
GCF_001412295.1	Campylobacter jejuni		CJM1cam
GCF_001432345.1	Campylobacter jejuni		T1-21
GCF_001506185.1	Campylobacter jejuni		CJ677CC519
GCF_001506205.1	Campylobacter jejuni		CJ677CC002
GCF_001506225.1	Campylobacter jejuni		CJ677CC534
GCF_001506245.1	Campylobacter jejuni		CJ677CC536
GCF_001506265.1	Campylobacter jejuni		CJ677CC073
GCF_001506285.1	Campylobacter jejuni		CJ677CC521
GCF_001506305.1	Campylobacter jejuni		CJ677CC526
GCF_001506345.1	Campylobacter jejuni		CJ677CC036
GCF_001506385.1	Campylobacter jejuni		CJ677CC016
GCF_001506425.1	Campylobacter jejuni		CJ677CC535
GCF_001506445.1	Campylobacter jejuni		CJ677CC092
GCF_001506465.1	Campylobacter jejuni		CJ677CC530
GCF_001506485.1	Campylobacter jejuni		CJ677CC532
GCF_001506505.1	Campylobacter jejuni		CJ677CC529
GCF_001506525.1	Campylobacter jejuni		CJ677CC531
GCF_001506545.1	Campylobacter jejuni		CJ677CC062
GCF_001506585.1	Campylobacter jejuni		CJ677CC032
GCF_001506625.1	Campylobacter jejuni		CJ677CC537
GCF_001506685.1	Campylobacter jejuni		CJ677CC538
GCF_001506705.1	Campylobacter jejuni		CJ677CC520
GCF_001506745.1	Campylobacter jejuni		CJ677CC039
GCF_001506765.1	Campylobacter jejuni		CJ677CC085
GCF_001506805.1	Campylobacter jejuni		CJ677CC527
GCF_001506825.1	Campylobacter jejuni		CJ677CC078
GCF_001506845.1	Campylobacter jejuni		CJ677CC523
GCF_001506865.1	Campylobacter jejuni		CJ677CC540
GCF_001506885.1	Campylobacter jejuni		CJ677CC040
GCF_001506945.1	Campylobacter jejuni		CJ677CC533
GCF_001506965.1	Campylobacter jejuni		CJ677CC047
GCF_001506985.1	Campylobacter jejuni		CJ677CC058
GCF_001507005.1	Campylobacter jejuni		CJ677CC013
GCF_001507025.1	Campylobacter jejuni		CJ677CC100
GCF_001507045.1	Campylobacter jejuni		CJ677CC522
GCF_001507065.1	Campylobacter jejuni		CJ677CC094
GCF_001507085.1	Campylobacter jejuni		CJ677CC008
GCF_001507125.1	Campylobacter jejuni		CJ677CC024
GCF_001507145.1	Campylobacter jejuni		CJ677CC064
GCF_001507165.1	Campylobacter jejuni		CJ677CC525
GCF_001507185.1	Campylobacter jejuni		CJ677CC026
GCF_001507205.1	Campylobacter jejuni		CJ677CC034
GCF_001507225.1	Campylobacter jejuni		CJ677CC086
GCF_001507245.1	Campylobacter jejuni		CJ677CC095
GCF_001507265.1	Campylobacter jejuni		CJ677CC012
GCF_001563565.1	Campylobacter jejuni		RM3194
GCF_001587015.1	Campylobacter jejuni		OD267
GCF_001587035.1	Campylobacter jejuni		WP2202
GCF_001865395.1	Campylobacter jejuni		FJ3124
GCF_001865415.1	Campylobacter jejuni		TS1218
GCF_001870105.1	Campylobacter jejuni		ZP3204
GCF_001951235.1	Campylobacter jejuni		HF5-4A-4
