assembly_accession	species	subsp	strain
GCF_000590575.1	Chlamydia trachomatis		F/1-93
GCF_000590595.1	Chlamydia trachomatis		F/2-93
GCF_000590615.1	Chlamydia trachomatis		F/6-94
GCF_000590655.1	Chlamydia trachomatis		E/12-94
GCF_000590675.1	Chlamydia trachomatis		D/13-96
GCF_000590695.1	Chlamydia trachomatis		D/14-96
GCF_000590715.1	Chlamydia trachomatis		Ia20-97
GCF_000590735.1	Chlamydia trachomatis		J/27-97
GCF_000590755.1	Chlamydia trachomatis		J/31-98
GCF_000971705.1	Chlamydia trachomatis		L2b/CS19/08
GCF_000971725.1	Chlamydia trachomatis		L2b/CS784/08
GCF_001183805.1	Chlamydia trachomatis		E/CS1025/11
GCF_001183825.1	Chlamydia trachomatis		F/CS847/08
GCF_001183845.1	Chlamydia trachomatis		Ia/CS190/96
GCF_001655335.1	Chlamydia trachomatis		E-103
GCF_001655375.1	Chlamydia trachomatis		E-160
GCF_001655415.1	Chlamydia trachomatis		E-547
GCF_001655455.1	Chlamydia trachomatis		E-8873
GCF_001655495.1	Chlamydia trachomatis		E-32931
GCF_001655535.1	Chlamydia trachomatis		E-DK-20
GCF_001655575.1	Chlamydia trachomatis		F-6068
GCF_001729845.1	Chlamydia trachomatis		SB006930
GCF_001729865.1	Chlamydia trachomatis		SB008107
GCF_001729885.1	Chlamydia trachomatis		SB013112
GCF_001729905.1	Chlamydia trachomatis		SB013321
GCF_001885175.1	Chlamydia trachomatis		QH111L
GCF_002088315.1	Chlamydia trachomatis		chxRP4F1
GCF_002088335.1	Chlamydia trachomatis		chxRP4D10
GCF_002088355.1	Chlamydia trachomatis		chxRP1H1
GCF_002192565.1	Chlamydia trachomatis		434Bu cdu1::Tn
GCF_002192615.1	Chlamydia trachomatis		434Bu Hefty_Parental
GCF_002192635.1	Chlamydia trachomatis		434Bu 383/384 IGR::Tn
GCF_002776745.1	Chlamydia trachomatis		SQ32
GCF_002776795.1	Chlamydia trachomatis		SQ29
GCF_002776845.1	Chlamydia trachomatis		SQ20
GCF_002776885.1	Chlamydia trachomatis		SQ24
GCF_002776915.1	Chlamydia trachomatis		SQ06
GCF_002776935.1	Chlamydia trachomatis		SQ07
GCF_002776955.1	Chlamydia trachomatis		SQ09
GCF_002776975.1	Chlamydia trachomatis		SQ10
GCF_002776995.1	Chlamydia trachomatis		SQ12
GCF_002777015.1	Chlamydia trachomatis		SQ14
GCF_002777035.1	Chlamydia trachomatis		SQ01
GCF_002777055.1	Chlamydia trachomatis		SQ02
GCF_002777075.1	Chlamydia trachomatis		SQ05
GCF_002777095.1	Chlamydia trachomatis		SQ25
GCF_002777115.1	Chlamydia trachomatis		SQ28
GCF_002777135.1	Chlamydia trachomatis		SQ15
GCF_002777155.1	Chlamydia trachomatis		SQ19
GCF_004135145.1	Chlamydia trachomatis		tet9
GCF_013341035.1	Chlamydia trachomatis		CH5_mutant_L2/434/Bu(i)
GCF_013341055.1	Chlamydia trachomatis		CH3_mutant_L2/434/Bu(i)
GCF_013341075.1	Chlamydia trachomatis		CH1_mutant_L2/434/Bu(i)
GCF_013341095.1	Chlamydia trachomatis		CH2_mutant_L2/434/Bu(i)
GCF_018336255.1	Chlamydia trachomatis		L2/Hefty/ct350::Tn
GCF_018336275.1	Chlamydia trachomatis		L2/Hefty/ct732::Tn
GCF_018336295.1	Chlamydia trachomatis		L2/Hefty/ct054::Tn
GCF_018336315.1	Chlamydia trachomatis		L2/Hefty/ct404::Tn
GCF_018337015.1	Chlamydia trachomatis		L2/Hefty/ct590::Tn
GCF_000008725.1	Chlamydia trachomatis		D/UW-3/CX
GCF_000012125.1	Chlamydia trachomatis		A/HAR-13
GCF_000068585.1	Chlamydia trachomatis		434/Bu
GCF_000068525.2	Chlamydia trachomatis		L2b/UCH-1/proctitis
GCF_000173475.1	Chlamydia trachomatis		6276
GCF_000173495.1	Chlamydia trachomatis		6276s
GCF_000173515.1	Chlamydia trachomatis		70
GCF_000173535.1	Chlamydia trachomatis		70s
GCF_000174055.1	Chlamydia trachomatis		D(s)2923
GCF_000226605.1	Chlamydia trachomatis		A2497
GCF_000284475.1	Chlamydia trachomatis		A2497
GCF_000026925.1	Chlamydia trachomatis		B/Jali20/OT
GCF_000318645.1	Chlamydia trachomatis		E/Bour
GCF_000210495.1	Chlamydia trachomatis		Sweden2
GCF_000175515.1	Chlamydia trachomatis		L2tet1
GCF_000026905.1	Chlamydia trachomatis		B/TZ1A828/OT
GCF_000092745.1	Chlamydia trachomatis		E/11023
GCF_000092665.1	Chlamydia trachomatis		E/150
GCF_000092685.1	Chlamydia trachomatis		G/9768
GCF_000092705.1	Chlamydia trachomatis		G/11222
GCF_000092725.1	Chlamydia trachomatis		G/11074
GCF_000092805.1	Chlamydia trachomatis		G/9301
GCF_000092485.1	Chlamydia trachomatis		D-EC
GCF_000093005.1	Chlamydia trachomatis		D-LC
GCF_000220105.1	Chlamydia trachomatis		L2c
GCF_000441585.1	Chlamydia trachomatis		RC-F/69
GCF_000441615.1	Chlamydia trachomatis		RC-L2(s)/46
GCF_000441635.1	Chlamydia trachomatis		RC-F(s)/852
GCF_000441655.1	Chlamydia trachomatis		RC-J/943
GCF_000441675.1	Chlamydia trachomatis		RC-J/953
GCF_000441695.1	Chlamydia trachomatis		RC-L2(s)/3
GCF_000441715.1	Chlamydia trachomatis		RC-F(s)/342
GCF_000441735.1	Chlamydia trachomatis		RC-J(s)/122
GCF_000441755.1	Chlamydia trachomatis		RC-J/966
GCF_000441775.1	Chlamydia trachomatis		J/6276tet1
GCF_000441815.1	Chlamydia trachomatis		RC-L2/55
GCF_000441795.1	Chlamydia trachomatis		RC-J/971
GCF_000318525.1	Chlamydia trachomatis		A/363
GCF_000318545.1	Chlamydia trachomatis		A/5291
GCF_000318565.1	Chlamydia trachomatis		A/7249
GCF_000318585.1	Chlamydia trachomatis		D/SotonD1
GCF_000318605.1	Chlamydia trachomatis		D/SotonD5
GCF_000318625.1	Chlamydia trachomatis		D/SotonD6
GCF_000304495.1	Chlamydia trachomatis		E/SW3
GCF_000318665.1	Chlamydia trachomatis		E/SotonE4
GCF_000318685.1	Chlamydia trachomatis		E/SotonE8
GCF_000304515.1	Chlamydia trachomatis		F/SW4
GCF_000304535.1	Chlamydia trachomatis		F/SW5
GCF_000318705.1	Chlamydia trachomatis		F/SotonF3
GCF_000318745.1	Chlamydia trachomatis		G/SotonG1
GCF_000318765.1	Chlamydia trachomatis		Ia/SotonIa1
GCF_000318785.1	Chlamydia trachomatis		Ia/SotonIa3
GCF_000318805.1	Chlamydia trachomatis		K/SotonK1
GCF_000318825.1	Chlamydia trachomatis		L1/440/LN
GCF_000318845.1	Chlamydia trachomatis		L1/115
GCF_000318865.1	Chlamydia trachomatis		L1/224
GCF_000318885.1	Chlamydia trachomatis		L2/25667R
GCF_000318905.1	Chlamydia trachomatis		L2b/8200/07
GCF_000318925.1	Chlamydia trachomatis		L2b/UCH-2
GCF_000318945.1	Chlamydia trachomatis		L2b/LST
GCF_000318965.1	Chlamydia trachomatis		L2b/CV204
GCF_000318985.1	Chlamydia trachomatis		L2b/795
GCF_000319005.1	Chlamydia trachomatis		L2b/Ams1
GCF_000319025.1	Chlamydia trachomatis		L2b/Ams2
GCF_000319045.1	Chlamydia trachomatis		L2b/Ams3
GCF_000319065.1	Chlamydia trachomatis		L2b/Ams4
GCF_000319085.1	Chlamydia trachomatis		L2b/Ams5
GCF_000319105.1	Chlamydia trachomatis		L3/404/LN
GCF_000319125.1	Chlamydia trachomatis		L2b/Canada1
GCF_000319145.1	Chlamydia trachomatis		L2b/Canada2
GCF_000319165.1	Chlamydia trachomatis		L1/1322/p2
GCF_000969785.1	Chlamydia trachomatis		E/C599
GCF_000969805.1	Chlamydia trachomatis		F/SWFPminus
GCF_000348845.1	Chlamydia trachomatis		IU824
GCF_000348825.1	Chlamydia trachomatis		IU888
GCF_000364785.1	Chlamydia trachomatis		L2/434/Bu(f)
GCF_000364765.1	Chlamydia trachomatis		L2/434/Bu(i)
GCF_000590635.1	Chlamydia trachomatis		F/11-96
GCF_000507225.1	Chlamydia trachomatis		C/TW-3
GCF_001183765.1	Chlamydia trachomatis		D/CS637/11
