assembly_accession	species	subsp	strain
GCF_000730365.1	Corynebacterium pseudotuberculosis		48252
GCF_000730405.1	Corynebacterium pseudotuberculosis		CS_10
GCF_000814865.1	Corynebacterium pseudotuberculosis		VD57
GCF_000972805.1	Corynebacterium pseudotuberculosis		226
GCF_001017615.1	Corynebacterium pseudotuberculosis		12C
GCF_001026945.2	Corynebacterium pseudotuberculosis		29156
GCF_001047215.2	Corynebacterium pseudotuberculosis		262
GCF_001186445.1	Corynebacterium pseudotuberculosis		E19
GCF_001298505.1	Corynebacterium pseudotuberculosis		PO269-5
GCF_001447295.1	Corynebacterium pseudotuberculosis		N1
GCF_001456175.1	Corynebacterium pseudotuberculosis		PA01
GCF_001481675.1	Corynebacterium pseudotuberculosis		MEX25
GCF_001481715.1	Corynebacterium pseudotuberculosis		PO222/4-1
GCF_001481755.1	Corynebacterium pseudotuberculosis		E56
GCF_001579825.2	Corynebacterium pseudotuberculosis		MB11
GCF_001579885.2	Corynebacterium pseudotuberculosis		MB30
GCF_001653295.1	Corynebacterium pseudotuberculosis		E55
GCF_001653315.1	Corynebacterium pseudotuberculosis		MEX9
GCF_001663495.1	Corynebacterium pseudotuberculosis		PA02
GCF_001682255.2	Corynebacterium pseudotuberculosis		T1
GCF_001682275.1	Corynebacterium pseudotuberculosis		Cp13
GCF_001865765.1	Corynebacterium pseudotuberculosis		MEX29
GCF_001866985.1	Corynebacterium pseudotuberculosis		34
GCF_001867005.1	Corynebacterium pseudotuberculosis		32
GCF_001867025.1	Corynebacterium pseudotuberculosis		33
GCF_001867045.1	Corynebacterium pseudotuberculosis		35
GCF_001867065.1	Corynebacterium pseudotuberculosis		36
GCF_001867085.1	Corynebacterium pseudotuberculosis		38
GCF_001867105.1	Corynebacterium pseudotuberculosis		39
GCF_001867125.1	Corynebacterium pseudotuberculosis		43
GCF_001867145.1	Corynebacterium pseudotuberculosis		46
GCF_001867165.1	Corynebacterium pseudotuberculosis		48
GCF_001922265.1	Corynebacterium pseudotuberculosis		MEX30
GCF_001922285.1	Corynebacterium pseudotuberculosis		MEX31
GCF_001942005.2	Corynebacterium pseudotuberculosis		PA07
GCF_001969085.2	Corynebacterium pseudotuberculosis		MB295
GCF_001969145.1	Corynebacterium pseudotuberculosis		MB278
GCF_001969165.3	Corynebacterium pseudotuberculosis		MB302
GCF_001975165.1	Corynebacterium pseudotuberculosis		MEX1
GCF_001989595.1	Corynebacterium pseudotuberculosis		PA04
GCF_002009415.1	Corynebacterium pseudotuberculosis		MIC6
GCF_002794435.1	Corynebacterium pseudotuberculosis		PA08 A19
GCF_002869805.1	Corynebacterium pseudotuberculosis		KM01
GCF_004323775.1	Corynebacterium pseudotuberculosis		Cap1R
GCF_004332355.1	Corynebacterium pseudotuberculosis		38MAT
GCF_004353245.1	Corynebacterium pseudotuberculosis		E7
GCF_004771435.1	Corynebacterium pseudotuberculosis		Cap1C
GCF_004941425.1	Corynebacterium pseudotuberculosis		OVI1FL
GCF_006971245.1	Corynebacterium pseudotuberculosis		OVID04
GCF_006971425.1	Corynebacterium pseudotuberculosis		OVIZ01
GCF_006974085.1	Corynebacterium pseudotuberculosis		E9
GCF_008461625.1	Corynebacterium pseudotuberculosis		E13
GCF_008461845.1	Corynebacterium pseudotuberculosis		E16
GCF_008462025.1	Corynebacterium pseudotuberculosis		E14
GCF_009759725.1	Corynebacterium pseudotuberculosis		SP165
GCF_009759745.1	Corynebacterium pseudotuberculosis		17
GCF_009759765.1	Corynebacterium pseudotuberculosis		MEX2
GCF_009762695.1	Corynebacterium pseudotuberculosis		MB16
GCF_009789115.1	Corynebacterium pseudotuberculosis		133
GCF_009789135.1	Corynebacterium pseudotuberculosis		414
GCF_009791415.1	Corynebacterium pseudotuberculosis		206
GCF_013342965.1	Corynebacterium pseudotuberculosis		PA09
GCF_018361455.1	Corynebacterium pseudotuberculosis		12CS0282
GCF_901482545.1	Corynebacterium pseudotuberculosis		NCTC4656
GCF_901482565.1	Corynebacterium pseudotuberculosis		NCTC4681
GCF_000144675.2	Corynebacterium pseudotuberculosis		C231
GCF_000143705.2	Corynebacterium pseudotuberculosis		FRC41
GCF_000221625.1	Corynebacterium pseudotuberculosis		PAT10
GCF_000227605.3	Corynebacterium pseudotuberculosis		CIP 52.97
GCF_000248375.2	Corynebacterium pseudotuberculosis		316
GCF_000259155.4	Corynebacterium pseudotuberculosis		31
GCF_000241855.1	Corynebacterium pseudotuberculosis		3/99-5
GCF_000227175.1	Corynebacterium pseudotuberculosis		42/02-A
GCF_000258385.1	Corynebacterium pseudotuberculosis		267
GCF_000255935.1	Corynebacterium pseudotuberculosis		P54B96
GCF_000265545.3	Corynebacterium pseudotuberculosis		Cp162
GCF_000263755.5	Corynebacterium pseudotuberculosis		258
