assembly_accession	species	subsp	strain
GCF_001298485.1	Enterococcus faecium		64/3 human patient
GCF_001412695.1	Enterococcus faecium		UW7606x64/3 TC1
GCF_001518735.1	Enterococcus faecium		6E6
GCF_001635875.1	Enterococcus faecium		E39
GCF_001720985.1	Enterococcus faecium		ISMMS_VRE_3
GCF_001721005.1	Enterococcus faecium		ISMMS_VRE_4
GCF_001721025.1	Enterococcus faecium		ISMMS_VRE_5
GCF_001721065.1	Enterococcus faecium		ISMMS_VRE_7
GCF_001721105.1	Enterococcus faecium		ISMMS_VRE_10
GCF_001721905.1	Enterococcus faecium		ISMMS_VRE_11
GCF_001886635.1	Enterococcus faecium		E1
GCF_001895905.1	Enterococcus faecium		VRE001
GCF_001953235.1	Enterococcus faecium		ISMMS_VRE_12
GCF_001953255.1	Enterococcus faecium		ISMMS_VRE_9
GCF_002025045.1	Enterococcus faecium		2014-VREF-268
GCF_002025065.1	Enterococcus faecium		2014-VREF-63
GCF_002334625.1	Enterococcus faecium		K60-39
GCF_002442955.1	Enterococcus faecium		A_020709_82
GCF_002761255.1	Enterococcus faecium		E240
GCF_002761275.1	Enterococcus faecium		E243
GCF_002777275.1	Enterococcus faecium		E232
GCF_002831505.1	Enterococcus faecium		LS170308
GCF_002848385.1	Enterococcus faecium		SC4
GCF_002848625.1	Enterococcus faecium		Efaecium_ER03933.3A isolate
GCF_002848645.1	Enterococcus faecium		Efaecium_ER04120.3A
GCF_002848665.1	Enterococcus faecium		Efaecium_ER04484.3A
GCF_002848685.1	Enterococcus faecium		Efaecium_ER04462.3A
GCF_002848705.1	Enterococcus faecium		Efaecium_ER04619.3A isolate
GCF_002848725.1	Enterococcus faecium		Efaecium_ER04526.5A
GCF_002848745.1	Enterococcus faecium		Efaecium_ER04526.3A
GCF_002880635.1	Enterococcus faecium		AALTL
GCF_002973755.2	Enterococcus faecium		15-307-1
GCF_002983785.1	Enterococcus faecium		FDAARGOS_323
GCF_003020685.1	Enterococcus faecium		AUSMDU00004167
GCF_003020705.1	Enterococcus faecium		AUSMDU00004055
GCF_003020725.1	Enterococcus faecium		AUSMDU00004028
GCF_003020745.1	Enterococcus faecium		AUSMDU00004024
GCF_003020765.1	Enterococcus faecium		AUSMDU00004142
GCF_003071425.1	Enterococcus faecium		CFSAN059070
GCF_003071445.1	Enterococcus faecium		CFSAN059071
GCF_003269465.1	Enterococcus faecium		BM4105-RF
GCF_003667965.1	Enterococcus faecium		Enterococcus faecium JE1
GCF_003957785.1	Enterococcus faecium		RBWH1
GCF_004015145.1	Enterococcus faecium		CBA7134
GCF_004101385.1	Enterococcus faecium		SRCM103341
GCF_004103475.1	Enterococcus faecium		SRCM103470
GCF_004302885.1	Enterococcus faecium		V24
GCF_004332055.1	Enterococcus faecium		FSIS1608820
GCF_005166365.1	Enterococcus faecium		NM213
GCF_005576735.1	Enterococcus faecium		VB3240
GCF_005886545.1	Enterococcus faecium		UAMSEF_01
GCF_005886655.1	Enterococcus faecium		UAMSEF_08
GCF_005886735.1	Enterococcus faecium		UAMSEF_20
GCF_005952885.1	Enterococcus faecium		HOU503
GCF_006007925.1	Enterococcus faecium		VRE1
GCF_006280355.1	Enterococcus faecium		F17E0263
GCF_006337045.1	Enterococcus faecium		DB-1
GCF_006351785.1	Enterococcus faecium		FB-1
GCF_006351845.1	Enterococcus faecium		N56454
GCF_006575625.1	Enterococcus faecium		515
GCF_006741355.1	Enterococcus faecium		QU 50
GCF_007917035.2	Enterococcus faecium		VVEswe-R
GCF_007917315.3	Enterococcus faecium		VVEswe-S
GCF_008000855.1	Enterococcus faecium		FA3
GCF_008330605.1	Enterococcus faecium		DMEA02
GCF_009036045.1	Enterococcus faecium		LAC7.2
GCF_009697285.1	Enterococcus faecium		VRE
GCF_009734005.1	Enterococcus faecium		SRR24
GCF_009937865.1	Enterococcus faecium		ME3
GCF_009938075.1	Enterococcus faecium		ZY11
GCF_009938285.1	Enterococcus faecium		KUHS13
GCF_010120755.1	Enterococcus faecium		ZY2
GCF_011745645.1	Enterococcus faecium		DT1-1
GCF_012045365.1	Enterococcus faecium		BIOPOP-3 ALE
GCF_012045505.1	Enterococcus faecium		BIOPOP-3 WT
GCF_012932975.2	Enterococcus faecium		BA17124
GCF_012932985.2	Enterococcus faecium		BP5067
GCF_012933055.2	Enterococcus faecium		BP3378
GCF_012933075.2	Enterococcus faecium		BP657
GCF_012933165.2	Enterococcus faecium		A7214
GCF_012933195.2	Enterococcus faecium		A6521
GCF_012933245.2	Enterococcus faecium		A4694
GCF_012933265.2	Enterococcus faecium		A3895
GCF_012933285.2	Enterococcus faecium		A11051
GCF_012933295.2	Enterococcus faecium		A15023
GCF_012933345.2	Enterococcus faecium		A10290
GCF_013201055.1	Enterococcus faecium		FS 86
GCF_014489995.1	Enterococcus faecium		AML0158
GCF_014490015.1	Enterococcus faecium		AML0157
GCF_014874615.1	Enterococcus faecium		VB3338
GCF_015325925.1	Enterococcus faecium		VRE3370
GCF_015377765.1	Enterococcus faecium		TK-P5D
GCF_015476295.1	Enterococcus faecium		VRE3363
GCF_015767695.1	Enterococcus faecium		KCCM 12118
