assembly_accession	species	subsp	strain
GCF_003944565.2	Escherichia fergusonii		EFCF056
GCF_008064875.1	Escherichia fergusonii		ATCC 35473
GCF_008064895.1	Escherichia fergusonii		ATCC 35471
GCF_008064915.1	Escherichia fergusonii		ATCC 35470
GCF_013171325.1	Escherichia fergusonii		HNCF11W
GCF_013591455.1	Escherichia fergusonii		RHB41-C23
GCF_013596835.1	Escherichia fergusonii		RHB28-C13
GCF_013710195.1	Escherichia fergusonii		RHB18-C03
GCF_013713585.1	Escherichia fergusonii		RHB03-C23
GCF_013714535.1	Escherichia fergusonii		RHB02-C18
GCF_013714825.1	Escherichia fergusonii		RHB02-C15
GCF_013715025.1	Escherichia fergusonii		RHB02-C14
GCF_013798785.1	Escherichia fergusonii		RHB42-C24
GCF_013799825.1	Escherichia fergusonii		RHB42-C13
GCF_013800985.1	Escherichia fergusonii		RHB42-C01
GCF_013801425.1	Escherichia fergusonii		RHB41-C20
GCF_013801845.1	Escherichia fergusonii		RHB41-C15
GCF_013812875.1	Escherichia fergusonii		RHB38-C01
GCF_013813205.1	Escherichia fergusonii		RHB38-C07
GCF_013813425.1	Escherichia fergusonii		RHB38-C04
GCF_013819085.1	Escherichia fergusonii		RHB33-C07
GCF_013819325.1	Escherichia fergusonii		RHB33-C04
GCF_013819565.1	Escherichia fergusonii		RHB32-C22
GCF_013820225.1	Escherichia fergusonii		RHB32-C16
GCF_013820465.1	Escherichia fergusonii		RHB32-C09
GCF_013820845.1	Escherichia fergusonii		RHB32-C05
GCF_013821535.1	Escherichia fergusonii		RHB31-C17
GCF_013822105.1	Escherichia fergusonii		RHB31-C13
GCF_013825725.1	Escherichia fergusonii		RHB30-C07
GCF_013829265.1	Escherichia fergusonii		RHB28-C21
GCF_013834165.1	Escherichia fergusonii		RHB26-C09
GCF_013834525.1	Escherichia fergusonii		RHB26-C03
GCF_013836325.1	Escherichia fergusonii		RHB25-C10
GCF_013838265.1	Escherichia fergusonii		RHB24-C08
GCF_013838465.1	Escherichia fergusonii		RHB24-C06
GCF_013886195.1	Escherichia fergusonii		RHB23-C02
GCF_013886335.1	Escherichia fergusonii		RHB23-C01
GCF_013892435.1	Escherichia fergusonii		RHB19-C05
GCF_013893835.1	Escherichia fergusonii		RHB18-C04
GCF_013894595.1	Escherichia fergusonii		RHB17-C11
GCF_013899685.1	Escherichia fergusonii		RHB10-C23
GCF_013899845.1	Escherichia fergusonii		RHB10-C04
GCF_013923185.1	Escherichia fergusonii		RHB02-C22
GCF_013928365.1	Escherichia fergusonii		RHB18-C08
GCF_016128235.1	Escherichia fergusonii		FDAARGOS_1032
