assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_001021995.1	PRJNA224116	SAMN03733745			na		548	548	Klebsiella aerogenes	strain=CAV1320		latest	Complete Genome	Major	Full	2015/06/09	ASM102199v1	University of Oxford	GCA_001021995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/995/GCF_001021995.1_ASM102199v1	./data/refseq/bacteria/GCF_001021995.1/GCF_001021995.1_ASM102199v1_genomic.fna.gz
GCF_001021995.1	PRJNA224116	SAMN03733745			na		548	548	Klebsiella aerogenes	strain=CAV1320		latest	Complete Genome	Major	Full	2015/06/09	ASM102199v1	University of Oxford	GCA_001021995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/995/GCF_001021995.1_ASM102199v1	./data/refseq/bacteria/GCF_001021995.1/GCF_001021995.1_ASM102199v1_rna_from_genomic.fna.gz
GCF_001021995.1	PRJNA224116	SAMN03733745			na		548	548	Klebsiella aerogenes	strain=CAV1320		latest	Complete Genome	Major	Full	2015/06/09	ASM102199v1	University of Oxford	GCA_001021995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/995/GCF_001021995.1_ASM102199v1	./data/refseq/bacteria/GCF_001021995.1/GCF_001021995.1_ASM102199v1_assembly_report.txt
GCF_001021995.1	PRJNA224116	SAMN03733745			na		548	548	Klebsiella aerogenes	strain=CAV1320		latest	Complete Genome	Major	Full	2015/06/09	ASM102199v1	University of Oxford	GCA_001021995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/995/GCF_001021995.1_ASM102199v1	./data/refseq/bacteria/GCF_001021995.1/GCF_001021995.1_ASM102199v1_assembly_stats.txt
GCF_001021995.1	PRJNA224116	SAMN03733745			na		548	548	Klebsiella aerogenes	strain=CAV1320		latest	Complete Genome	Major	Full	2015/06/09	ASM102199v1	University of Oxford	GCA_001021995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/995/GCF_001021995.1_ASM102199v1	./data/refseq/bacteria/GCF_001021995.1/GCF_001021995.1_ASM102199v1_feature_table.txt.gz
GCF_001559215.2	PRJNA224116	SAMN03996296			na		548	548	Klebsiella aerogenes	strain=FDAARGOS_152		latest	Complete Genome	Major	Full	2018/02/05	ASM155921v2	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_001559215.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/215/GCF_001559215.2_ASM155921v2	./data/refseq/bacteria/GCF_001559215.2/GCF_001559215.2_ASM155921v2_genomic.fna.gz
GCF_001559215.2	PRJNA224116	SAMN03996296			na		548	548	Klebsiella aerogenes	strain=FDAARGOS_152		latest	Complete Genome	Major	Full	2018/02/05	ASM155921v2	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_001559215.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/215/GCF_001559215.2_ASM155921v2	./data/refseq/bacteria/GCF_001559215.2/GCF_001559215.2_ASM155921v2_rna_from_genomic.fna.gz
GCF_001559215.2	PRJNA224116	SAMN03996296			na		548	548	Klebsiella aerogenes	strain=FDAARGOS_152		latest	Complete Genome	Major	Full	2018/02/05	ASM155921v2	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_001559215.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/215/GCF_001559215.2_ASM155921v2	./data/refseq/bacteria/GCF_001559215.2/GCF_001559215.2_ASM155921v2_assembly_report.txt
GCF_001559215.2	PRJNA224116	SAMN03996296			na		548	548	Klebsiella aerogenes	strain=FDAARGOS_152		latest	Complete Genome	Major	Full	2018/02/05	ASM155921v2	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_001559215.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/215/GCF_001559215.2_ASM155921v2	./data/refseq/bacteria/GCF_001559215.2/GCF_001559215.2_ASM155921v2_assembly_stats.txt
GCF_001559215.2	PRJNA224116	SAMN03996296			na		548	548	Klebsiella aerogenes	strain=FDAARGOS_152		latest	Complete Genome	Major	Full	2018/02/05	ASM155921v2	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_001559215.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/215/GCF_001559215.2_ASM155921v2	./data/refseq/bacteria/GCF_001559215.2/GCF_001559215.2_ASM155921v2_feature_table.txt.gz
