assembly_accession	species	subsp	strain
GCF_000240325.1	Klebsiella michiganensis		KCTC 1686
GCF_000724525.1	Klebsiella michiganensis		M1
GCF_000963575.1	Klebsiella michiganensis		RC10
GCF_002216835.1	Klebsiella michiganensis		K516
GCF_002290285.1	Klebsiella michiganensis		K518
GCF_003074075.1	Klebsiella michiganensis		AR375
GCF_004102625.1	Klebsiella michiganensis		M82255
GCF_007106885.1	Klebsiella michiganensis		KNU07
GCF_008693565.1	Klebsiella michiganensis		FDAARGOS_647
GCF_008931605.1	Klebsiella michiganensis		C52
GCF_009930855.1	Klebsiella michiganensis		F107
GCF_010093005.1	Klebsiella michiganensis		BD177
GCF_013610655.1	Klebsiella michiganensis		RHBSTW-00409
GCF_013636415.1	Klebsiella michiganensis		RHB20-C02
GCF_013732655.1	Klebsiella michiganensis		RHBSTW-00909
GCF_013926025.1	Klebsiella michiganensis		RHBSTW-00676
GCF_014217275.1	Klebsiella michiganensis		AKKL-001
GCF_015139575.1	Klebsiella michiganensis		THO-011
GCF_015999385.1	Klebsiella michiganensis		7525
GCF_016616645.1	Klebsiella michiganensis		B106
GCF_016618215.1	Klebsiella michiganensis		BD-50-Km
GCF_017348855.1	Klebsiella michiganensis		Kmfe267
GCF_017639895.1	Klebsiella michiganensis		12084
GCF_017798285.1	Klebsiella michiganensis		LDS17
GCF_017815775.1	Klebsiella michiganensis		X2-1
GCF_018139045.1	Klebsiella michiganensis		Sb-24
GCF_018140945.1	Klebsiella michiganensis		CZ598
GCF_018604105.1	Klebsiella michiganensis		JNQH491
GCF_000276705.2	Klebsiella michiganensis		E718
GCF_000632415.1	Klebsiella michiganensis		HKOPL1
