assembly_accession	species	subsp	strain
GCF_000364385.3	Klebsiella pneumoniae		ATCC BAA-2146
GCF_000739495.1	Klebsiella pneumoniae		carbapenem-resistant blaNDM-1
GCF_000764615.1	Klebsiella pneumoniae		PMK1
GCF_000775955.1	Klebsiella pneumoniae		XH209
GCF_000814305.1	Klebsiella pneumoniae		34618
GCF_001022035.1	Klebsiella pneumoniae		CAV1392
GCF_001022175.1	Klebsiella pneumoniae		CAV1344
GCF_001022235.1	Klebsiella pneumoniae		CAV1596
GCF_001307175.1	Klebsiella pneumoniae		KP617
GCF_001455995.1	Klebsiella pneumoniae		MS6671
GCF_001456055.3	Klebsiella pneumoniae		KpN01
GCF_001456095.3	Klebsiella pneumoniae		KpN06
GCF_001456135.1	Klebsiella pneumoniae		CAV1193
GCF_001463165.1	Klebsiella pneumoniae		U25
GCF_001548315.1	Klebsiella pneumoniae		YH43
GCF_001644765.1	Klebsiella pneumoniae		SKGH01
GCF_001646625.1	Klebsiella pneumoniae		W14
GCF_001648215.1	Klebsiella pneumoniae		AATZP
GCF_001663195.1	Klebsiella pneumoniae		BR
GCF_001663295.1	Klebsiella pneumoniae		KPNIH39
GCF_001663435.1	Klebsiella pneumoniae		Kpn223
GCF_001663455.1	Klebsiella pneumoniae		Kpn555
GCF_001675125.1	Klebsiella pneumoniae		KPNIH36
GCF_001676825.1	Klebsiella pneumoniae		TH1
GCF_001701425.2	Klebsiella pneumoniae		1_GR_13
GCF_001701835.2	Klebsiella pneumoniae		16_GR_13
GCF_001701845.2	Klebsiella pneumoniae		20_GR_12
GCF_001702045.2	Klebsiella pneumoniae		2_GR_12
GCF_001704235.1	Klebsiella pneumoniae		DHQP1002001
GCF_001705385.1	Klebsiella pneumoniae		blood sample 2
GCF_001708225.1	Klebsiella pneumoniae		ED23
GCF_001709275.1	Klebsiella pneumoniae		11
GCF_001709295.1	Klebsiella pneumoniae		23
GCF_001721725.1	Klebsiella pneumoniae		UCLAOXA232KP_Pt0
GCF_001741545.1	Klebsiella pneumoniae		UCLAOXA232KP
GCF_001741665.1	Klebsiella pneumoniae		UCLAOXA232KP
GCF_001855315.1	Klebsiella pneumoniae		KP5
GCF_001870165.1	Klebsiella pneumoniae		CAV1016
GCF_001885255.2	Klebsiella pneumoniae		Kp_Goe_822579
GCF_001887985.3	Klebsiella pneumoniae		WCHKP649
GCF_001887995.2	Klebsiella pneumoniae		WCHKP095845
GCF_001902195.1	Klebsiella pneumoniae		MNCRE78
GCF_001902215.1	Klebsiella pneumoniae		MNCRE69
GCF_001902235.1	Klebsiella pneumoniae		MNCRE53
GCF_001902255.1	Klebsiella pneumoniae		CAV1453
GCF_001902335.1	Klebsiella pneumoniae		Kp_Goe_154414
GCF_001902355.1	Klebsiella pneumoniae		Kp_Goe_62629
GCF_001902415.1	Klebsiella pneumoniae		Kp_Goe_822917
GCF_001902435.1	Klebsiella pneumoniae		Kp_Goe_33208
GCF_001902475.1	Klebsiella pneumoniae		SWU01
GCF_001902515.1	Klebsiella pneumoniae		Kp_Goe_71070
GCF_001902535.1	Klebsiella pneumoniae		CAV1417
GCF_001908515.1	Klebsiella pneumoniae		CAV1042
GCF_001908595.1	Klebsiella pneumoniae		Kp_Goe_149473
GCF_001908625.1	Klebsiella pneumoniae		Kp_Goe_827024
GCF_001908655.1	Klebsiella pneumoniae		Kp_Goe_827026
GCF_001908675.1	Klebsiella pneumoniae		Kp_Goe_152021
GCF_001908695.1	Klebsiella pneumoniae		KP_Goe_828304
GCF_001908715.1	Klebsiella pneumoniae		CAV1217
GCF_001908875.1	Klebsiella pneumoniae		Kp_Goe_149832
GCF_001908895.1	Klebsiella pneumoniae		Kp_Goe_821588
GCF_001913175.1	Klebsiella pneumoniae		Kp_Goe_121641
GCF_001922465.1	Klebsiella pneumoniae		AR_0049
GCF_001936035.1	Klebsiella pneumoniae		ATCC 35657
GCF_001939885.2	Klebsiella pneumoniae		GN-2
GCF_001952835.1	Klebsiella pneumoniae		1756
GCF_001952875.1	Klebsiella pneumoniae		CN1
GCF_001952895.1	Klebsiella pneumoniae		NY9
GCF_001952915.1	Klebsiella pneumoniae		CR14
GCF_001956965.1	Klebsiella pneumoniae		825795-1
GCF_002055765.1	Klebsiella pneumoniae		AR_0117
GCF_002055855.1	Klebsiella pneumoniae		AR_0068
GCF_002056385.1	Klebsiella pneumoniae		AR_0115
GCF_002056475.1	Klebsiella pneumoniae		AR_0098
GCF_002113865.1	Klebsiella pneumoniae		K66-45
GCF_002116885.1	Klebsiella pneumoniae		kp757
GCF_002156725.1	Klebsiella pneumoniae		BK13043
GCF_002156745.1	Klebsiella pneumoniae		KPN1482
GCF_002156785.1	Klebsiella pneumoniae		KPN528
GCF_002164855.2	Klebsiella pneumoniae		SCKP020003
GCF_002180075.1	Klebsiella pneumoniae		AR_0047
GCF_002180155.1	Klebsiella pneumoniae		AR_0112
GCF_002180175.1	Klebsiella pneumoniae		AR_0146
GCF_002180255.1	Klebsiella pneumoniae		AR_0158
GCF_002180295.1	Klebsiella pneumoniae		AR_0129
GCF_002180315.1	Klebsiella pneumoniae		AR_0143
GCF_002192315.1	Klebsiella pneumoniae		AR_0126
GCF_002192335.1	Klebsiella pneumoniae		AR_0113
GCF_002192375.1	Klebsiella pneumoniae		AR_0138
GCF_002197225.1	Klebsiella pneumoniae		AR_0120
GCF_002197505.1	Klebsiella pneumoniae		AR_0125
GCF_002202215.1	Klebsiella pneumoniae		AR_0145
GCF_002202235.1	Klebsiella pneumoniae		AR_0152
GCF_002202255.1	Klebsiella pneumoniae		AR_0148
GCF_002202275.1	Klebsiella pneumoniae		AR_0107
GCF_002209405.1	Klebsiella pneumoniae		19051
GCF_002211665.1	Klebsiella pneumoniae		704SK6
GCF_002211905.1	Klebsiella pneumoniae		DHQP1605752_NV
GCF_002243445.1	Klebsiella pneumoniae		BIC-1
GCF_002257765.2	Klebsiella pneumoniae		WCHKP2080
GCF_002257935.3	Klebsiella pneumoniae		WCHKP13F2
GCF_002258055.2	Klebsiella pneumoniae		WCHKP7E2
GCF_002258145.3	Klebsiella pneumoniae		WCHKP8F4
GCF_002269295.1	Klebsiella pneumoniae		911021
GCF_002278055.1	Klebsiella pneumoniae		721005
GCF_002386225.2	Klebsiella pneumoniae		FDAARGOS_445
GCF_002587165.1	Klebsiella pneumoniae		FDAARGOS_444
GCF_002587885.1	Klebsiella pneumoniae		FDAARGOS_446
GCF_002591075.1	Klebsiella pneumoniae		FDAARGOS_439
GCF_002635725.1	Klebsiella pneumoniae		FDAARGOS_440
GCF_002636095.1	Klebsiella pneumoniae		FDAARGOS_436
GCF_002636215.1	Klebsiella pneumoniae		FDAARGOS_447
GCF_002636375.1	Klebsiella pneumoniae		FDAARGOS_442
GCF_002741685.1	Klebsiella pneumoniae		KSB1_5D
GCF_002752775.1	Klebsiella pneumoniae		INF249
GCF_002752905.1	Klebsiella pneumoniae		KSB1_7E
GCF_002752955.1	Klebsiella pneumoniae		QS17-0161
GCF_002752995.1	Klebsiella pneumoniae		INF042
GCF_002753055.1	Klebsiella pneumoniae		INF158
GCF_002753075.1	Klebsiella pneumoniae		INF157
GCF_002753165.1	Klebsiella pneumoniae		KSB1_9D
GCF_002753355.1	Klebsiella pneumoniae		INF059
GCF_002753375.1	Klebsiella pneumoniae		KSB1_7J
GCF_002753405.1	Klebsiella pneumoniae		INF163
GCF_002753555.1	Klebsiella pneumoniae		INF164
GCF_002761315.1	Klebsiella pneumoniae		P1428
GCF_002786755.1	Klebsiella pneumoniae		CRKP-1215
GCF_002787755.1	Klebsiella pneumoniae		CRKP-2297
GCF_002811325.2	Klebsiella pneumoniae		WCHKP36
GCF_002811335.3	Klebsiella pneumoniae		WCHKP020034
GCF_002812365.1	Klebsiella pneumoniae		AUSMDU00003562
GCF_002812385.1	Klebsiella pneumoniae		AUSMDU00008119
GCF_002812665.1	Klebsiella pneumoniae		NU-CRE047
GCF_002813595.1	Klebsiella pneumoniae		SGH10
GCF_002814015.1	Klebsiella pneumoniae		Klebsiella pneumoniae 459
GCF_002831525.1	Klebsiella pneumoniae		KP6
GCF_002833425.1	Klebsiella pneumoniae		NR5632
GCF_002833445.1	Klebsiella pneumoniae		KP1768
GCF_002833465.1	Klebsiella pneumoniae		KP1766
GCF_002845865.1	Klebsiella pneumoniae		KP8
GCF_002845885.1	Klebsiella pneumoniae		KP11
GCF_002845905.1	Klebsiella pneumoniae		KP9
GCF_002845925.1	Klebsiella pneumoniae		KP10
GCF_002845945.1	Klebsiella pneumoniae		KP14
GCF_002845965.1	Klebsiella pneumoniae		KP7
GCF_002848545.1	Klebsiella pneumoniae		KP69
GCF_002848565.1	Klebsiella pneumoniae		JS187
GCF_002848585.1	Klebsiella pneumoniae		F44
GCF_002850275.3	Klebsiella pneumoniae		2N3
GCF_002852995.3	Klebsiella pneumoniae		SCKP020049
GCF_002853475.2	Klebsiella pneumoniae		SCKP020135
GCF_002870865.1	Klebsiella pneumoniae		LS356
GCF_002870885.1	Klebsiella pneumoniae		LS357
GCF_002870985.1	Klebsiella pneumoniae		LS358
GCF_002871025.1	Klebsiella pneumoniae		LS359
GCF_002887435.1	Klebsiella pneumoniae		Kp81
GCF_002903025.1	Klebsiella pneumoniae		KPNIH49
GCF_002918585.2	Klebsiella pneumoniae		KPNIH45
GCF_002935085.1	Klebsiella pneumoniae		KPNIH48
GCF_002944845.1	Klebsiella pneumoniae		NUHL30457
GCF_002948565.1	Klebsiella pneumoniae		AR_0066
GCF_002951635.1	Klebsiella pneumoniae		FDAARGOS_156
GCF_002966875.1	Klebsiella pneumoniae		HZW25
GCF_002967795.2	Klebsiella pneumoniae		BA2275
GCF_002968475.1	Klebsiella pneumoniae		AR_0363
GCF_002968495.1	Klebsiella pneumoniae		AR_0361
GCF_002970895.1	Klebsiella pneumoniae		KPHS1249
GCF_003006175.1	Klebsiella pneumoniae		DA48896
GCF_003030145.1	Klebsiella pneumoniae		CFSAN054111
GCF_003031325.1	Klebsiella pneumoniae		NH25
GCF_003031345.1	Klebsiella pneumoniae		NH54
GCF_003031505.1	Klebsiella pneumoniae		BWHC1
GCF_003037005.2	Klebsiella pneumoniae		WCHKP020098
GCF_003038215.2	Klebsiella pneumoniae		WCHKP020030
GCF_003054385.1	Klebsiella pneumoniae		SCM96
GCF_003056445.1	Klebsiella pneumoniae		Kp589
GCF_003069525.1	Klebsiella pneumoniae		AR_0153
GCF_003071305.1	Klebsiella pneumoniae		AR_0141
GCF_003073235.1	Klebsiella pneumoniae		QS17-0029
GCF_003073335.1	Klebsiella pneumoniae		AR_0079
GCF_003073675.1	Klebsiella pneumoniae		AR438
GCF_003074015.1	Klebsiella pneumoniae		AR376
GCF_003076555.1	Klebsiella pneumoniae		616
GCF_003111885.2	Klebsiella pneumoniae		L491
GCF_003112125.1	Klebsiella pneumoniae		L388
GCF_003181055.1	Klebsiella pneumoniae		DA33140
GCF_003181095.1	Klebsiella pneumoniae		DA33141
GCF_003181135.1	Klebsiella pneumoniae		DA33144
GCF_003186535.1	Klebsiella pneumoniae		203
GCF_003194285.1	Klebsiella pneumoniae		CCUG 70742
GCF_003203435.1	Klebsiella pneumoniae		TVGHCRE225
GCF_003204175.1	Klebsiella pneumoniae		AR_0087
GCF_003204465.1	Klebsiella pneumoniae		AR_0140
GCF_003261955.2	Klebsiella pneumoniae		015625
GCF_003267985.1	Klebsiella pneumoniae		CDC 0106
GCF_003288375.1	Klebsiella pneumoniae		AR_362
GCF_003367555.1	Klebsiella pneumoniae		F1
GCF_003368365.1	Klebsiella pneumoniae		JNM10C3
GCF_003429545.1	Klebsiella pneumoniae		160111
GCF_003432145.1	Klebsiella pneumoniae		KSB1_1I-sc-2280289
GCF_003432165.1	Klebsiella pneumoniae		MSB1_8A-sc-2280397
GCF_003432185.1	Klebsiella pneumoniae		INF206-sc-2280074
GCF_003432205.1	Klebsiella pneumoniae		KSB1_7F-sc-2280268
GCF_003432245.1	Klebsiella pneumoniae		INF116-sc-2279924
GCF_003432265.1	Klebsiella pneumoniae		QMP B2-170
GCF_003432285.1	Klebsiella pneumoniae		INF125-sc-2279943
GCF_003432405.1	Klebsiella pneumoniae		ZYST1
GCF_003443755.1	Klebsiella pneumoniae		1050
GCF_003571525.1	Klebsiella pneumoniae		AR_0076
GCF_003571545.1	Klebsiella pneumoniae		AR_0135
GCF_003571585.1	Klebsiella pneumoniae		AR_0160
GCF_003571605.1	Klebsiella pneumoniae		AR_0075
GCF_003571645.1	Klebsiella pneumoniae		AR_0097
GCF_003571705.1	Klebsiella pneumoniae		AR_0109
GCF_003571745.1	Klebsiella pneumoniae		AR_0046
GCF_003574235.1	Klebsiella pneumoniae		KP33
GCF_003574255.1	Klebsiella pneumoniae		KP64
GCF_003574275.1	Klebsiella pneumoniae		KP67
GCF_003584585.1	Klebsiella pneumoniae		GSU10-3
GCF_003590665.1	Klebsiella pneumoniae		INF235-sc-2280127
GCF_003597695.1	Klebsiella pneumoniae		ST307PT04
GCF_003597715.1	Klebsiella pneumoniae		ST307PT02
GCF_003597735.1	Klebsiella pneumoniae		ST307PT03
GCF_003597755.1	Klebsiella pneumoniae		ST307PT01
GCF_003660185.1	Klebsiella pneumoniae		INF078
GCF_003692695.1	Klebsiella pneumoniae		2e
GCF_003703775.1	Klebsiella pneumoniae		675920
GCF_003711065.1	Klebsiella pneumoniae		WCHKP115069
GCF_003790485.1	Klebsiella pneumoniae		4743
GCF_003812085.1	Klebsiella pneumoniae		FDAARGOS_566
GCF_003812105.1	Klebsiella pneumoniae		FDAARGOS_531
GCF_003815075.1	Klebsiella pneumoniae		KPN1343
GCF_003815095.1	Klebsiella pneumoniae		KPN1344
GCF_003855315.1	Klebsiella pneumoniae		KP_NORM_BLD_2014_104014
GCF_003855535.1	Klebsiella pneumoniae		KP17-15
GCF_003855555.1	Klebsiella pneumoniae		KP17-16
GCF_003856475.1	Klebsiella pneumoniae		BJCFK909
GCF_003856595.1	Klebsiella pneumoniae		4/1-2
GCF_003931835.1	Klebsiella pneumoniae		KP18-29
GCF_003932915.1	Klebsiella pneumoniae		cr-hvkp3
GCF_003934185.1	Klebsiella pneumoniae		I72
GCF_003953905.1	Klebsiella pneumoniae		11492
GCF_003957455.1	Klebsiella pneumoniae		TOP52_1721_U1
GCF_003963495.1	Klebsiella pneumoniae		T4
