assembly_accession	species	subsp	strain
GCF_002187935.3	Klebsiella quasipneumoniae	similipneumoniae	G747
GCF_003181175.1	Klebsiella quasipneumoniae	similipneumoniae	ATCC 700603
GCF_001278905.1	Klebsiella quasipneumoniae		HKUOPLA
GCF_001280925.1	Klebsiella quasipneumoniae		HKUOPLC
GCF_001596075.2	Klebsiella quasipneumoniae		ATCC 700603 K6
GCF_002239895.2	Klebsiella quasipneumoniae		G4584
GCF_002240295.1	Klebsiella quasipneumoniae		HKUOPA4
GCF_002240315.1	Klebsiella quasipneumoniae		HKUOPJ4
GCF_002240335.1	Klebsiella quasipneumoniae		HKUOPL4
GCF_002953295.1	Klebsiella quasipneumoniae		FDAARGOS_93
GCF_003020825.1	Klebsiella quasipneumoniae		KPC142
GCF_003146635.1	Klebsiella quasipneumoniae		CAV2018
GCF_003146655.1	Klebsiella quasipneumoniae		CAV2013
GCF_003146685.1	Klebsiella quasipneumoniae		CAV1947
GCF_003443835.1	Klebsiella quasipneumoniae		L22
GCF_003990375.1	Klebsiella quasipneumoniae		D120-1
GCF_008807175.1	Klebsiella quasipneumoniae		A708
GCF_009002435.1	Klebsiella quasipneumoniae		SNI47
GCF_009387795.1	Klebsiella quasipneumoniae		TH114
GCF_009498255.1	Klebsiella quasipneumoniae		KP18-31
GCF_013408885.1	Klebsiella quasipneumoniae		68-17
GCF_013624775.1	Klebsiella quasipneumoniae		RHBSTW-00138
GCF_013706815.1	Klebsiella quasipneumoniae		RHBSTW-00268
GCF_014168875.1	Klebsiella quasipneumoniae		WP3-S18-CRE-02
GCF_014168895.1	Klebsiella quasipneumoniae		WP3-S18-ESBL-03
GCF_014169495.1	Klebsiella quasipneumoniae		WP7-S17-ESBL-08
GCF_014170655.1	Klebsiella quasipneumoniae		WP3-W18-CRE-02
GCF_014189245.1	Klebsiella quasipneumoniae		N18-04101
GCF_014189265.1	Klebsiella quasipneumoniae		N18-04116
GCF_014333295.1	Klebsiella quasipneumoniae		UCI156
GCF_014843255.1	Klebsiella quasipneumoniae		203 19001
GCF_015135515.1	Klebsiella quasipneumoniae		STW0522-39
GCF_015278075.1	Klebsiella quasipneumoniae		S174-1
GCF_015284065.1	Klebsiella quasipneumoniae		BS324-2
GCF_015286025.1	Klebsiella quasipneumoniae		BS419-3
GCF_015288985.1	Klebsiella quasipneumoniae		BS418
GCF_015291905.1	Klebsiella quasipneumoniae		BM404-3-1
GCF_015291925.1	Klebsiella quasipneumoniae		S15-2
GCF_015992365.1	Klebsiella quasipneumoniae		Pinhead Larry
GCF_016066695.1	Klebsiella quasipneumoniae		KqPF9
GCF_016237985.1	Klebsiella quasipneumoniae		KP2011790
GCF_016415705.1	Klebsiella quasipneumoniae		KqPF26
GCF_016510335.1	Klebsiella quasipneumoniae		KqPF42
GCF_016743095.1	Klebsiella quasipneumoniae		YDKL-002
GCF_016758865.1	Klebsiella quasipneumoniae		SWMUF35
GCF_016924855.1	Klebsiella quasipneumoniae		Colony250
GCF_016924875.1	Klebsiella quasipneumoniae		Colony171
GCF_016924895.1	Klebsiella quasipneumoniae		Colony499
GCF_016924915.1	Klebsiella quasipneumoniae		Colony407
GCF_016924935.1	Klebsiella quasipneumoniae		Colony495
GCF_016925255.1	Klebsiella quasipneumoniae		B2663
GCF_016925335.1	Klebsiella quasipneumoniae		B9067
GCF_016925395.1	Klebsiella quasipneumoniae		B25110
GCF_017161385.1	Klebsiella quasipneumoniae		C3001
GCF_017743035.1	Klebsiella quasipneumoniae		B6885
GCF_018223825.1	Klebsiella quasipneumoniae		KPN710429
GCF_018604125.1	Klebsiella quasipneumoniae		JNQH473
GCF_900187335.1	Klebsiella quasipneumoniae		SGM81
GCF_900635925.1	Klebsiella quasipneumoniae		NCTC11357
GCF_901422025.1	Klebsiella quasipneumoniae		NCTC9170
GCF_003285165.1	Klebsiella quasipneumoniae	quasipneumoniae	A708
GCF_008632435.1	Klebsiella quasipneumoniae	quasipneumoniae	M17277
