assembly_accession	species	subsp	strain
GCF_000019245.4	Lacticaseibacillus paracasei		Zhang
GCF_000026485.1	Lacticaseibacillus paracasei		BL23
GCF_000194765.1	Lacticaseibacillus paracasei		BD-II
GCF_000194785.1	Lacticaseibacillus paracasei		LC2W
GCF_000318035.1	Lacticaseibacillus paracasei		W56
GCF_000388095.2	Lacticaseibacillus paracasei		LcY
GCF_000418515.1	Lacticaseibacillus paracasei		LOCK919
GCF_001191565.1	Lacticaseibacillus paracasei		CAUH35
GCF_001244395.1	Lacticaseibacillus paracasei		L9
GCF_001514415.1	Lacticaseibacillus paracasei		KL1
GCF_002079285.1	Lacticaseibacillus paracasei		IIA
GCF_002257625.1	Lacticaseibacillus paracasei		TK1501
GCF_002442835.1	Lacticaseibacillus paracasei		FAM18149
GCF_002865565.1	Lacticaseibacillus paracasei		HD1.7
GCF_002902825.1	Lacticaseibacillus paracasei		HDS-01
GCF_003177075.1	Lacticaseibacillus paracasei		EG9
GCF_003199005.1	Lacticaseibacillus paracasei		Lpc10
GCF_003268715.1	Lacticaseibacillus paracasei		LC355
GCF_003627255.1	Lacticaseibacillus paracasei		ZFM54
GCF_003966835.1	Lacticaseibacillus paracasei		IJH-SONE68
GCF_004141835.1	Lacticaseibacillus paracasei		SRCM103299
GCF_007292115.1	Lacticaseibacillus paracasei		CBA3611
GCF_008329845.1	Lacticaseibacillus paracasei		10266
GCF_008807095.1	Lacticaseibacillus paracasei		TCS
GCF_009931715.1	Lacticaseibacillus paracasei		CACC 566
GCF_012955485.1	Lacticaseibacillus paracasei		347-16
GCF_013307125.1	Lacticaseibacillus paracasei		Lp02
GCF_014905015.1	Lacticaseibacillus paracasei		NSMJ15
GCF_014905075.1	Lacticaseibacillus paracasei		NFFJ04
GCF_015377585.1	Lacticaseibacillus paracasei		TK-P4A
GCF_017638905.1	Lacticaseibacillus paracasei		HL182
GCF_018064185.1	Lacticaseibacillus paracasei		HM1
GCF_902386635.1	Lacticaseibacillus paracasei		MGYG-HGUT-02388
GCF_002813615.1	Lacticaseibacillus paracasei	paracasei	TMW 1.1434
GCF_009739485.1	Lacticaseibacillus paracasei	paracasei	IBB3423
GCF_003957435.1	Lacticaseibacillus paracasei	tolerans	AO356
GCF_015476075.1	Lacticaseibacillus paracasei	tolerans	MGB0245
GCF_015476135.1	Lacticaseibacillus paracasei	tolerans	MGB0734
GCF_015476155.1	Lacticaseibacillus paracasei	tolerans	MGB0625
GCF_015476175.1	Lacticaseibacillus paracasei	tolerans	MGB0747
GCF_015476195.1	Lacticaseibacillus paracasei	tolerans	MGB0761
GCF_015693945.1	Lacticaseibacillus paracasei	tolerans	ZY-1
GCF_016757675.1	Lacticaseibacillus paracasei	tolerans	S-NA5
GCF_016757695.1	Lacticaseibacillus paracasei	tolerans	S-NB
GCF_018286435.1	Lacticaseibacillus paracasei	tolerans	2A
GCF_000829035.1	Lacticaseibacillus paracasei	paracasei JCM 8130	JCM 8130
