assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_001590655.1	PRJNA224116	SAMN04530063			na		47715	47715	Lacticaseibacillus rhamnosus	strain=ASCC 290		latest	Chromosome	Major	Full	2016/03/14	ASM159065v1	The University of Hong Kong	GCA_001590655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/590/655/GCF_001590655.1_ASM159065v1	./data/refseq/bacteria/GCF_001590655.1/GCF_001590655.1_ASM159065v1_genomic.fna.gz
GCF_001590655.1	PRJNA224116	SAMN04530063			na		47715	47715	Lacticaseibacillus rhamnosus	strain=ASCC 290		latest	Chromosome	Major	Full	2016/03/14	ASM159065v1	The University of Hong Kong	GCA_001590655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/590/655/GCF_001590655.1_ASM159065v1	./data/refseq/bacteria/GCF_001590655.1/GCF_001590655.1_ASM159065v1_rna_from_genomic.fna.gz
GCF_001590655.1	PRJNA224116	SAMN04530063			na		47715	47715	Lacticaseibacillus rhamnosus	strain=ASCC 290		latest	Chromosome	Major	Full	2016/03/14	ASM159065v1	The University of Hong Kong	GCA_001590655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/590/655/GCF_001590655.1_ASM159065v1	./data/refseq/bacteria/GCF_001590655.1/GCF_001590655.1_ASM159065v1_assembly_report.txt
GCF_001590655.1	PRJNA224116	SAMN04530063			na		47715	47715	Lacticaseibacillus rhamnosus	strain=ASCC 290		latest	Chromosome	Major	Full	2016/03/14	ASM159065v1	The University of Hong Kong	GCA_001590655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/590/655/GCF_001590655.1_ASM159065v1	./data/refseq/bacteria/GCF_001590655.1/GCF_001590655.1_ASM159065v1_assembly_stats.txt
GCF_001590655.1	PRJNA224116	SAMN04530063			na		47715	47715	Lacticaseibacillus rhamnosus	strain=ASCC 290		latest	Chromosome	Major	Full	2016/03/14	ASM159065v1	The University of Hong Kong	GCA_001590655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/590/655/GCF_001590655.1_ASM159065v1	./data/refseq/bacteria/GCF_001590655.1/GCF_001590655.1_ASM159065v1_feature_table.txt.gz
GCF_001988935.1	PRJNA224116	SAMN04404358			na		47715	47715	Lacticaseibacillus rhamnosus	strain=BFE5264		latest	Complete Genome	Major	Full	2017/02/06	ASM198893v1	AtoGen CO., Ltd.	GCA_001988935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/988/935/GCF_001988935.1_ASM198893v1	./data/refseq/bacteria/GCF_001988935.1/GCF_001988935.1_ASM198893v1_genomic.fna.gz
GCF_001988935.1	PRJNA224116	SAMN04404358			na		47715	47715	Lacticaseibacillus rhamnosus	strain=BFE5264		latest	Complete Genome	Major	Full	2017/02/06	ASM198893v1	AtoGen CO., Ltd.	GCA_001988935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/988/935/GCF_001988935.1_ASM198893v1	./data/refseq/bacteria/GCF_001988935.1/GCF_001988935.1_ASM198893v1_rna_from_genomic.fna.gz
GCF_001988935.1	PRJNA224116	SAMN04404358			na		47715	47715	Lacticaseibacillus rhamnosus	strain=BFE5264		latest	Complete Genome	Major	Full	2017/02/06	ASM198893v1	AtoGen CO., Ltd.	GCA_001988935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/988/935/GCF_001988935.1_ASM198893v1	./data/refseq/bacteria/GCF_001988935.1/GCF_001988935.1_ASM198893v1_assembly_report.txt
GCF_001988935.1	PRJNA224116	SAMN04404358			na		47715	47715	Lacticaseibacillus rhamnosus	strain=BFE5264		latest	Complete Genome	Major	Full	2017/02/06	ASM198893v1	AtoGen CO., Ltd.	GCA_001988935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/988/935/GCF_001988935.1_ASM198893v1	./data/refseq/bacteria/GCF_001988935.1/GCF_001988935.1_ASM198893v1_assembly_stats.txt
GCF_001988935.1	PRJNA224116	SAMN04404358			na		47715	47715	Lacticaseibacillus rhamnosus	strain=BFE5264		latest	Complete Genome	Major	Full	2017/02/06	ASM198893v1	AtoGen CO., Ltd.	GCA_001988935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/988/935/GCF_001988935.1_ASM198893v1	./data/refseq/bacteria/GCF_001988935.1/GCF_001988935.1_ASM198893v1_feature_table.txt.gz
GCF_002025085.1	PRJNA224116	SAMN06479972			na		47715	47715	Lacticaseibacillus rhamnosus	strain=WQ2		latest	Chromosome	Major	Full	2017/03/13	ASM202508v1	The University of Hong Kong	GCA_002025085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/025/085/GCF_002025085.1_ASM202508v1	./data/refseq/bacteria/GCF_002025085.1/GCF_002025085.1_ASM202508v1_genomic.fna.gz
GCF_002025085.1	PRJNA224116	SAMN06479972			na		47715	47715	Lacticaseibacillus rhamnosus	strain=WQ2		latest	Chromosome	Major	Full	2017/03/13	ASM202508v1	The University of Hong Kong	GCA_002025085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/025/085/GCF_002025085.1_ASM202508v1	./data/refseq/bacteria/GCF_002025085.1/GCF_002025085.1_ASM202508v1_rna_from_genomic.fna.gz
GCF_002025085.1	PRJNA224116	SAMN06479972			na		47715	47715	Lacticaseibacillus rhamnosus	strain=WQ2		latest	Chromosome	Major	Full	2017/03/13	ASM202508v1	The University of Hong Kong	GCA_002025085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/025/085/GCF_002025085.1_ASM202508v1	./data/refseq/bacteria/GCF_002025085.1/GCF_002025085.1_ASM202508v1_assembly_report.txt
GCF_002025085.1	PRJNA224116	SAMN06479972			na		47715	47715	Lacticaseibacillus rhamnosus	strain=WQ2		latest	Chromosome	Major	Full	2017/03/13	ASM202508v1	The University of Hong Kong	GCA_002025085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/025/085/GCF_002025085.1_ASM202508v1	./data/refseq/bacteria/GCF_002025085.1/GCF_002025085.1_ASM202508v1_assembly_stats.txt
GCF_002025085.1	PRJNA224116	SAMN06479972			na		47715	47715	Lacticaseibacillus rhamnosus	strain=WQ2		latest	Chromosome	Major	Full	2017/03/13	ASM202508v1	The University of Hong Kong	GCA_002025085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/025/085/GCF_002025085.1_ASM202508v1	./data/refseq/bacteria/GCF_002025085.1/GCF_002025085.1_ASM202508v1_feature_table.txt.gz
GCF_002076955.1	PRJNA224116	SAMN06196449			na		47715	47715	Lacticaseibacillus rhamnosus	strain=Pen		latest	Complete Genome	Major	Full	2017/04/03	ASM207695v1	Genomed SA	GCA_002076955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/076/955/GCF_002076955.1_ASM207695v1	./data/refseq/bacteria/GCF_002076955.1/GCF_002076955.1_ASM207695v1_genomic.fna.gz
GCF_002076955.1	PRJNA224116	SAMN06196449			na		47715	47715	Lacticaseibacillus rhamnosus	strain=Pen		latest	Complete Genome	Major	Full	2017/04/03	ASM207695v1	Genomed SA	GCA_002076955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/076/955/GCF_002076955.1_ASM207695v1	./data/refseq/bacteria/GCF_002076955.1/GCF_002076955.1_ASM207695v1_rna_from_genomic.fna.gz
GCF_002076955.1	PRJNA224116	SAMN06196449			na		47715	47715	Lacticaseibacillus rhamnosus	strain=Pen		latest	Complete Genome	Major	Full	2017/04/03	ASM207695v1	Genomed SA	GCA_002076955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/076/955/GCF_002076955.1_ASM207695v1	./data/refseq/bacteria/GCF_002076955.1/GCF_002076955.1_ASM207695v1_assembly_report.txt
GCF_002076955.1	PRJNA224116	SAMN06196449			na		47715	47715	Lacticaseibacillus rhamnosus	strain=Pen		latest	Complete Genome	Major	Full	2017/04/03	ASM207695v1	Genomed SA	GCA_002076955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/076/955/GCF_002076955.1_ASM207695v1	./data/refseq/bacteria/GCF_002076955.1/GCF_002076955.1_ASM207695v1_assembly_stats.txt
GCF_002076955.1	PRJNA224116	SAMN06196449			na		47715	47715	Lacticaseibacillus rhamnosus	strain=Pen		latest	Complete Genome	Major	Full	2017/04/03	ASM207695v1	Genomed SA	GCA_002076955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/076/955/GCF_002076955.1_ASM207695v1	./data/refseq/bacteria/GCF_002076955.1/GCF_002076955.1_ASM207695v1_feature_table.txt.gz
GCF_002158925.1	PRJNA224116	SAMN07160384			na		47715	47715	Lacticaseibacillus rhamnosus	strain=4B15		latest	Complete Genome	Major	Full	2017/05/30	ASM215892v1	Wonkwang University	GCA_002158925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/158/925/GCF_002158925.1_ASM215892v1	./data/refseq/bacteria/GCF_002158925.1/GCF_002158925.1_ASM215892v1_genomic.fna.gz
GCF_002158925.1	PRJNA224116	SAMN07160384			na		47715	47715	Lacticaseibacillus rhamnosus	strain=4B15		latest	Complete Genome	Major	Full	2017/05/30	ASM215892v1	Wonkwang University	GCA_002158925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/158/925/GCF_002158925.1_ASM215892v1	./data/refseq/bacteria/GCF_002158925.1/GCF_002158925.1_ASM215892v1_rna_from_genomic.fna.gz
GCF_002158925.1	PRJNA224116	SAMN07160384			na		47715	47715	Lacticaseibacillus rhamnosus	strain=4B15		latest	Complete Genome	Major	Full	2017/05/30	ASM215892v1	Wonkwang University	GCA_002158925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/158/925/GCF_002158925.1_ASM215892v1	./data/refseq/bacteria/GCF_002158925.1/GCF_002158925.1_ASM215892v1_assembly_report.txt
GCF_002158925.1	PRJNA224116	SAMN07160384			na		47715	47715	Lacticaseibacillus rhamnosus	strain=4B15		latest	Complete Genome	Major	Full	2017/05/30	ASM215892v1	Wonkwang University	GCA_002158925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/158/925/GCF_002158925.1_ASM215892v1	./data/refseq/bacteria/GCF_002158925.1/GCF_002158925.1_ASM215892v1_assembly_stats.txt
