assembly_accession	species	subsp	strain
GCF_000931425.2	Lactiplantibacillus plantarum		B21
GCF_001278015.1	Lactiplantibacillus plantarum		5-2
GCF_001296095.1	Lactiplantibacillus plantarum		ZS2058
GCF_001302645.1	Lactiplantibacillus plantarum		HFC8 Lactobacillus plantarum
GCF_001331925.2	Lactiplantibacillus plantarum		WLPL04
GCF_001581895.1	Lactiplantibacillus plantarum		Zhang-LL
GCF_001596095.1	Lactiplantibacillus plantarum		JBE245
GCF_001617525.2	Lactiplantibacillus plantarum		CAUH2
GCF_001659745.1	Lactiplantibacillus plantarum		LZ206
GCF_001660025.1	Lactiplantibacillus plantarum		LZ227
GCF_001672035.1	Lactiplantibacillus plantarum		NCU116 Chinese pickle
GCF_001715615.1	Lactiplantibacillus plantarum		LY-78
GCF_001874125.1	Lactiplantibacillus plantarum		C410L1
GCF_001880185.2	Lactiplantibacillus plantarum		MF1298
GCF_001990145.1	Lactiplantibacillus plantarum		RI-113
GCF_002005385.2	Lactiplantibacillus plantarum		10CH
GCF_002024845.1	Lactiplantibacillus plantarum		CLP0611
GCF_002109405.1	Lactiplantibacillus plantarum		JBE490
GCF_002109425.1	Lactiplantibacillus plantarum		LP2
GCF_002116955.1	Lactiplantibacillus plantarum		BLS41
GCF_002117245.1	Lactiplantibacillus plantarum		TMW 1.25
GCF_002117265.1	Lactiplantibacillus plantarum		TMW 1.277
GCF_002117285.1	Lactiplantibacillus plantarum		TMW 1.708
GCF_002117305.1	Lactiplantibacillus plantarum		TMW 1.1623
GCF_002173655.1	Lactiplantibacillus plantarum		SRCM102022
GCF_002205775.2	Lactiplantibacillus plantarum		LPL-1
GCF_002220175.1	Lactiplantibacillus plantarum		dm
GCF_002220815.1	Lactiplantibacillus plantarum		GB-LP1
GCF_002286275.1	Lactiplantibacillus plantarum		LP3
GCF_002290185.1	Lactiplantibacillus plantarum		BDGP2
GCF_002576835.1	Lactiplantibacillus plantarum		PC520
GCF_002749655.1	Lactiplantibacillus plantarum		ATCC 8014
GCF_002868755.1	Lactiplantibacillus plantarum		KC3
GCF_002868775.1	Lactiplantibacillus plantarum		K259
GCF_002895245.1	Lactiplantibacillus plantarum		LM1004 kimchi
GCF_002943545.1	Lactiplantibacillus plantarum		X7021
GCF_002948215.1	Lactiplantibacillus plantarum		KC28
GCF_003020005.1	Lactiplantibacillus plantarum		K25
GCF_003076435.1	Lactiplantibacillus plantarum		plantarum
GCF_003097595.1	Lactiplantibacillus plantarum		LQ80
GCF_003143915.1	Lactiplantibacillus plantarum		HAC01
GCF_003269405.1	Lactiplantibacillus plantarum		SK151
GCF_003286955.1	Lactiplantibacillus plantarum		DSR_M2
GCF_003325395.1	Lactiplantibacillus plantarum		nF1
GCF_003345375.1	Lactiplantibacillus plantarum		TMW 1.1478
GCF_003352125.1	Lactiplantibacillus plantarum		b-2
GCF_003428355.1	Lactiplantibacillus plantarum		IDCC3501
GCF_003586485.1	Lactiplantibacillus plantarum		DR7
GCF_003597595.1	Lactiplantibacillus plantarum		ATG-K6
GCF_003597615.1	Lactiplantibacillus plantarum		ATG-K8
GCF_003597635.1	Lactiplantibacillus plantarum		ATG-K2
GCF_003611015.1	Lactiplantibacillus plantarum		NCIMB 700965
GCF_003627335.1	Lactiplantibacillus plantarum		ZFM9
GCF_003627355.1	Lactiplantibacillus plantarum		ZFM4
GCF_003692595.1	Lactiplantibacillus plantarum		KACC 92189
GCF_003813125.1	Lactiplantibacillus plantarum		LMT1-48
GCF_003966855.1	Lactiplantibacillus plantarum		SN35N
GCF_003999275.1	Lactiplantibacillus plantarum		FBL-3a
GCF_003999605.1	Lactiplantibacillus plantarum		Q7
GCF_004028295.1	Lactiplantibacillus plantarum		YW11
GCF_004028315.1	Lactiplantibacillus plantarum		13_3
GCF_004028335.1	Lactiplantibacillus plantarum		12_3
GCF_004087995.1	Lactiplantibacillus plantarum		SRCM103295
GCF_004101325.1	Lactiplantibacillus plantarum		SRCM103311
GCF_004101505.1	Lactiplantibacillus plantarum		SRCM103357
GCF_004101545.1	Lactiplantibacillus plantarum		SRCM103361
GCF_004101625.1	Lactiplantibacillus plantarum		SRCM103418
GCF_004101645.1	Lactiplantibacillus plantarum		SRCM103426
GCF_004103495.1	Lactiplantibacillus plantarum		SRCM103472
GCF_004103515.1	Lactiplantibacillus plantarum		SRCM103473
GCF_004141755.1	Lactiplantibacillus plantarum		SRCM103297
GCF_004141875.1	Lactiplantibacillus plantarum		SRCM103300
GCF_004141895.1	Lactiplantibacillus plantarum		SRCM103303
GCF_004319665.1	Lactiplantibacillus plantarum		IRG1
GCF_004328745.1	Lactiplantibacillus plantarum		NCIMB700965.EF.A
GCF_004337615.1	Lactiplantibacillus plantarum		EM
GCF_004730965.1	Lactiplantibacillus plantarum		UNQLp11
GCF_006770485.1	Lactiplantibacillus plantarum		pc-26
GCF_006770505.1	Lactiplantibacillus plantarum		LLY-606
GCF_007833595.1	Lactiplantibacillus plantarum		Y44
GCF_009619495.1	Lactiplantibacillus plantarum		TMW 1.1308
GCF_009720585.1	Lactiplantibacillus plantarum		KCCP11226
GCF_009759825.1	Lactiplantibacillus plantarum		83-18
GCF_009759845.1	Lactiplantibacillus plantarum		123-17
GCF_009762745.1	Lactiplantibacillus plantarum		8P-A3
GCF_009913615.1	Lactiplantibacillus plantarum		SRCM100438
GCF_009913635.1	Lactiplantibacillus plantarum		SRCM100440
GCF_009913655.1	Lactiplantibacillus plantarum		SRCM100442
GCF_009913675.1	Lactiplantibacillus plantarum		SRCM100995
GCF_009913695.1	Lactiplantibacillus plantarum		SRCM101105
GCF_009913795.1	Lactiplantibacillus plantarum		SRCM101187
GCF_009913835.1	Lactiplantibacillus plantarum		SRCM101222
GCF_009913855.1	Lactiplantibacillus plantarum		SRCM101518
GCF_009913975.1	Lactiplantibacillus plantarum		SRCM102737
GCF_009914095.1	Lactiplantibacillus plantarum		SRCM101167
GCF_009937825.1	Lactiplantibacillus plantarum		SRCM101511
GCF_010092485.1	Lactiplantibacillus plantarum		CACC 558
GCF_010586945.1	Lactiplantibacillus plantarum		202195
GCF_011022295.1	Lactiplantibacillus plantarum		X7022
GCF_011304595.1	Lactiplantibacillus plantarum		LS/07
GCF_012109355.1	Lactiplantibacillus plantarum		SPC-SNU 72-2
GCF_012974545.1	Lactiplantibacillus plantarum		AMT74419
GCF_013155145.1	Lactiplantibacillus plantarum		CNEI-KCA4
GCF_013305265.1	Lactiplantibacillus plantarum		TCI507
