assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000963635.1	PRJNA224116	SAMN03435925			na		75985	75985	Mannheimia haemolytica	strain=89010807N	laboratory, frozen stock	latest	Complete Genome	Major	Full	2015/03/26	ASM96363v1	USDA, ARS, USMARC	GCA_000963635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/963/635/GCF_000963635.1_ASM96363v1	./data/refseq/bacteria/GCF_000963635.1/GCF_000963635.1_ASM96363v1_genomic.fna.gz
GCF_000963635.1	PRJNA224116	SAMN03435925			na		75985	75985	Mannheimia haemolytica	strain=89010807N	laboratory, frozen stock	latest	Complete Genome	Major	Full	2015/03/26	ASM96363v1	USDA, ARS, USMARC	GCA_000963635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/963/635/GCF_000963635.1_ASM96363v1	./data/refseq/bacteria/GCF_000963635.1/GCF_000963635.1_ASM96363v1_rna_from_genomic.fna.gz
GCF_000963635.1	PRJNA224116	SAMN03435925			na		75985	75985	Mannheimia haemolytica	strain=89010807N	laboratory, frozen stock	latest	Complete Genome	Major	Full	2015/03/26	ASM96363v1	USDA, ARS, USMARC	GCA_000963635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/963/635/GCF_000963635.1_ASM96363v1	./data/refseq/bacteria/GCF_000963635.1/GCF_000963635.1_ASM96363v1_assembly_report.txt
GCF_000963635.1	PRJNA224116	SAMN03435925			na		75985	75985	Mannheimia haemolytica	strain=89010807N	laboratory, frozen stock	latest	Complete Genome	Major	Full	2015/03/26	ASM96363v1	USDA, ARS, USMARC	GCA_000963635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/963/635/GCF_000963635.1_ASM96363v1	./data/refseq/bacteria/GCF_000963635.1/GCF_000963635.1_ASM96363v1_assembly_stats.txt
GCF_000963635.1	PRJNA224116	SAMN03435925			na		75985	75985	Mannheimia haemolytica	strain=89010807N	laboratory, frozen stock	latest	Complete Genome	Major	Full	2015/03/26	ASM96363v1	USDA, ARS, USMARC	GCA_000963635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/963/635/GCF_000963635.1_ASM96363v1	./data/refseq/bacteria/GCF_000963635.1/GCF_000963635.1_ASM96363v1_feature_table.txt.gz
GCF_000963675.1	PRJNA224116	SAMN03435924			na		75985	75985	Mannheimia haemolytica	strain=89010807N	laboratory, frozen stock	latest	Complete Genome	Major	Full	2015/03/26	ASM96367v1	USDA, ARS, USMARC	GCA_000963675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/963/675/GCF_000963675.1_ASM96367v1	./data/refseq/bacteria/GCF_000963675.1/GCF_000963675.1_ASM96367v1_genomic.fna.gz
GCF_000963675.1	PRJNA224116	SAMN03435924			na		75985	75985	Mannheimia haemolytica	strain=89010807N	laboratory, frozen stock	latest	Complete Genome	Major	Full	2015/03/26	ASM96367v1	USDA, ARS, USMARC	GCA_000963675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/963/675/GCF_000963675.1_ASM96367v1	./data/refseq/bacteria/GCF_000963675.1/GCF_000963675.1_ASM96367v1_rna_from_genomic.fna.gz
GCF_000963675.1	PRJNA224116	SAMN03435924			na		75985	75985	Mannheimia haemolytica	strain=89010807N	laboratory, frozen stock	latest	Complete Genome	Major	Full	2015/03/26	ASM96367v1	USDA, ARS, USMARC	GCA_000963675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/963/675/GCF_000963675.1_ASM96367v1	./data/refseq/bacteria/GCF_000963675.1/GCF_000963675.1_ASM96367v1_assembly_report.txt
GCF_000963675.1	PRJNA224116	SAMN03435924			na		75985	75985	Mannheimia haemolytica	strain=89010807N	laboratory, frozen stock	latest	Complete Genome	Major	Full	2015/03/26	ASM96367v1	USDA, ARS, USMARC	GCA_000963675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/963/675/GCF_000963675.1_ASM96367v1	./data/refseq/bacteria/GCF_000963675.1/GCF_000963675.1_ASM96367v1_assembly_stats.txt
GCF_000963675.1	PRJNA224116	SAMN03435924			na		75985	75985	Mannheimia haemolytica	strain=89010807N	laboratory, frozen stock	latest	Complete Genome	Major	Full	2015/03/26	ASM96367v1	USDA, ARS, USMARC	GCA_000963675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/963/675/GCF_000963675.1_ASM96367v1	./data/refseq/bacteria/GCF_000963675.1/GCF_000963675.1_ASM96367v1_feature_table.txt.gz
