assembly_accession	species	subsp	strain
GCF_001430775.1	Mycobacteroides abscessus		NOV0213
GCF_001606195.1	Mycobacteroides abscessus		FLAC003
GCF_001606215.1	Mycobacteroides abscessus		FLAC004
GCF_001606235.1	Mycobacteroides abscessus		FLAC005
GCF_001606255.1	Mycobacteroides abscessus		FLAC007
GCF_001606275.1	Mycobacteroides abscessus		FLAC008
GCF_001606295.1	Mycobacteroides abscessus		FLAC013
GCF_001606315.1	Mycobacteroides abscessus		FLAC029
GCF_001606335.1	Mycobacteroides abscessus		FLAC031
GCF_001610615.1	Mycobacteroides abscessus		FLAC045
GCF_001610635.1	Mycobacteroides abscessus		FLAC048
GCF_001610655.1	Mycobacteroides abscessus		FLAC049
GCF_001610675.1	Mycobacteroides abscessus		FLAC054
GCF_001677095.1	Mycobacteroides abscessus		FLAC006
GCF_001677155.1	Mycobacteroides abscessus		FLAC028
GCF_001677175.1	Mycobacteroides abscessus		FLAC030
GCF_001677195.1	Mycobacteroides abscessus		FLAC046
GCF_001677215.1	Mycobacteroides abscessus		FLAC055
GCF_003076795.1	Mycobacteroides abscessus		G220
GCF_003076815.1	Mycobacteroides abscessus		G122
GCF_003076835.1	Mycobacteroides abscessus		199
GCF_003076855.1	Mycobacteroides abscessus		G141
GCF_003076875.1	Mycobacteroides abscessus		G153
GCF_003586385.1	Mycobacteroides abscessus		7C
GCF_004027995.1	Mycobacteroides abscessus		GZ0 1
GCF_010731915.1	Mycobacteroides abscessus		JCM 30620
GCF_012273395.1	Mycobacteroides abscessus		FDAARGOS_678
GCF_014843135.1	Mycobacteroides abscessus		JHN_AB_0004_2
GCF_014843155.1	Mycobacteroides abscessus		JHN_AB_0009_1
GCF_014843175.1	Mycobacteroides abscessus		JHN_AB_0023_1
GCF_014843195.1	Mycobacteroides abscessus		JHN_AB_0032_1
GCF_014843215.1	Mycobacteroides abscessus		JHN_AB_0006_3
GCF_014843235.1	Mycobacteroides abscessus		JHN_AB_0006_2
GCF_017183915.1	Mycobacteroides abscessus	bolletii	GD91
GCF_000497265.2	Mycobacteroides abscessus	massiliense CCUG 48898 = JCM 15300	JCM 15300
GCF_003609715.1	Mycobacteroides abscessus	bolletii BD	BD
GCF_001050395.1	Mycobacteroides abscessus		UC22
GCF_017183555.1	Mycobacteroides abscessus	abscessus	GD38
GCF_017183735.1	Mycobacteroides abscessus	abscessus	GD26
GCF_017183775.1	Mycobacteroides abscessus	abscessus	GD22
GCF_017183795.1	Mycobacteroides abscessus	abscessus	GD20
GCF_017183815.1	Mycobacteroides abscessus	abscessus	GD19
GCF_017183835.1	Mycobacteroides abscessus	abscessus	GD17
GCF_017183875.1	Mycobacteroides abscessus	abscessus	GD100B
GCF_017183895.1	Mycobacteroides abscessus	abscessus	GD100A
GCF_017183935.1	Mycobacteroides abscessus	abscessus	GD69B
GCF_017183955.1	Mycobacteroides abscessus	abscessus	GD69A
GCF_017189355.1	Mycobacteroides abscessus	abscessus	GD59
GCF_017189375.1	Mycobacteroides abscessus	abscessus	GD57
GCF_017189395.1	Mycobacteroides abscessus	abscessus	GD54
GCF_017189415.1	Mycobacteroides abscessus	abscessus	GD43B
GCF_017189435.1	Mycobacteroides abscessus	abscessus	GD43A
GCF_017190595.1	Mycobacteroides abscessus	abscessus	GD42
GCF_017190695.1	Mycobacteroides abscessus	abscessus	GD41
GCF_017190795.1	Mycobacteroides abscessus	abscessus	GD05
GCF_017190875.1	Mycobacteroides abscessus	abscessus	GD21
GCF_000277775.2	Mycobacteroides abscessus	massiliense	GO 06
GCF_000445035.1	Mycobacteroides abscessus	bolletii 50594	50594
GCF_002140035.1	Mycobacteroides abscessus	massiliense	FLAC047
GCF_004209815.1	Mycobacteroides abscessus	massiliense	GD01A
GCF_004209835.1	Mycobacteroides abscessus	massiliense	GD01B
GCF_005222645.1	Mycobacteroides abscessus	massiliense	381
GCF_017183975.1	Mycobacteroides abscessus	massiliense	GD68B
GCF_017190535.1	Mycobacteroides abscessus	massiliense	GD68A
