assembly_accession	species	subsp	strain
GCF_000626595.1	Neisseria meningitidis		510612
GCF_000787195.2	Neisseria meningitidis		L91543
GCF_000800235.1	Neisseria meningitidis		NM3686
GCF_000800355.1	Neisseria meningitidis		NM3683
GCF_000800415.1	Neisseria meningitidis		M10208
GCF_001029815.1	Neisseria meningitidis		B6116/77
GCF_001697125.1	Neisseria meningitidis		DE10444
GCF_001697165.1	Neisseria meningitidis		DE8555
GCF_001697205.1	Neisseria meningitidis		WUE2121
GCF_001697305.1	Neisseria meningitidis		M22718
GCF_001697325.1	Neisseria meningitidis		M12752
GCF_001697345.1	Neisseria meningitidis		M22819
GCF_001697365.1	Neisseria meningitidis		M22809
GCF_001697385.1	Neisseria meningitidis		M09293
GCF_001697405.1	Neisseria meningitidis		M22189
GCF_001697425.1	Neisseria meningitidis		M07149
GCF_001697465.1	Neisseria meningitidis		M08001
GCF_001697485.1	Neisseria meningitidis		M22748
GCF_001697505.1	Neisseria meningitidis		M22811
GCF_001697525.1	Neisseria meningitidis		M22772
GCF_001697545.1	Neisseria meningitidis		M22769
GCF_001697565.1	Neisseria meningitidis		M22745
GCF_001697585.1	Neisseria meningitidis		M24730
GCF_001697605.1	Neisseria meningitidis		M22801
GCF_001697625.1	Neisseria meningitidis		M22804
GCF_001697645.1	Neisseria meningitidis		M25438
GCF_001697665.1	Neisseria meningitidis		M23413
GCF_001697685.1	Neisseria meningitidis		M22722
GCF_001697705.1	Neisseria meningitidis		M25070
GCF_001697725.1	Neisseria meningitidis		M09261
GCF_001697745.1	Neisseria meningitidis		M25462
GCF_001697765.1	Neisseria meningitidis		M27559
GCF_001697785.1	Neisseria meningitidis		M25472
GCF_001697805.1	Neisseria meningitidis		M22759
GCF_001697825.1	Neisseria meningitidis		M25087
GCF_001697845.1	Neisseria meningitidis		M22783
GCF_001697865.1	Neisseria meningitidis		M22828
GCF_001697885.1	Neisseria meningitidis		M25459
GCF_001697905.1	Neisseria meningitidis		M22160
GCF_001697925.1	Neisseria meningitidis		M07161
GCF_001697945.1	Neisseria meningitidis		M25476
GCF_001697965.1	Neisseria meningitidis		M25456
GCF_001697985.1	Neisseria meningitidis		M25419
GCF_001698005.1	Neisseria meningitidis		M22740
GCF_001698025.1	Neisseria meningitidis		M22822
GCF_001698045.1	Neisseria meningitidis		M07162
GCF_001698065.1	Neisseria meningitidis		M08000
GCF_001698085.1	Neisseria meningitidis		M24705
GCF_001698105.1	Neisseria meningitidis		M22191
GCF_001703675.1	Neisseria meningitidis		M07165
GCF_001703695.1	Neisseria meningitidis		M22747
GCF_001703715.1	Neisseria meningitidis		M07999
GCF_001703755.1	Neisseria meningitidis		M22797
GCF_001703775.1	Neisseria meningitidis		M25074
GCF_001703795.1	Neisseria meningitidis		M25073
GCF_001750825.1	Neisseria meningitidis		331401
GCF_002073275.2	Neisseria meningitidis		FDAARGOS_215
GCF_002073555.2	Neisseria meningitidis		FDAARGOS_211
GCF_002073575.2	Neisseria meningitidis		FDAARGOS_209
GCF_002073595.2	Neisseria meningitidis		FDAARGOS_210
GCF_002073675.2	Neisseria meningitidis		FDAARGOS_212
GCF_002075815.1	Neisseria meningitidis		COL-201504-11
GCF_002556585.1	Neisseria meningitidis		M26417
GCF_002556605.1	Neisseria meningitidis		M26263
GCF_002951575.1	Neisseria meningitidis		M21273
GCF_003355215.1	Neisseria meningitidis		M22293
GCF_003355235.1	Neisseria meningitidis		M25964
GCF_003355255.1	Neisseria meningitidis		M21717
GCF_003355275.1	Neisseria meningitidis		M26263
GCF_003355295.1	Neisseria meningitidis		M22814
GCF_003355315.1	Neisseria meningitidis		M23347
GCF_003355335.1	Neisseria meningitidis		M21374
GCF_003355355.1	Neisseria meningitidis		M27477
GCF_003355375.1	Neisseria meningitidis		M18755
GCF_003355395.1	Neisseria meningitidis		M22425
GCF_003355415.1	Neisseria meningitidis		M21955
GCF_003355435.1	Neisseria meningitidis		M18727
GCF_008329765.1	Neisseria meningitidis		12-221
GCF_008330745.1	Neisseria meningitidis		14-563
GCF_008330765.1	Neisseria meningitidis		12-176
GCF_008330785.1	Neisseria meningitidis		11-14
GCF_008330805.1	Neisseria meningitidis		11-7
GCF_008330845.1	Neisseria meningitidis		06-178
GCF_008330865.1	Neisseria meningitidis		98-182
GCF_008330885.1	Neisseria meningitidis		95-134
GCF_008330905.1	Neisseria meningitidis		12-330
GCF_008330925.1	Neisseria meningitidis		13-600
GCF_009664675.1	Neisseria meningitidis		AUSMDU00005726
GCF_009664695.1	Neisseria meningitidis		AUSMDU00010537
GCF_014302495.1	Neisseria meningitidis		LNP24198
GCF_015679665.1	Neisseria meningitidis		16-579
GCF_015679735.1	Neisseria meningitidis		16-92
GCF_015679795.1	Neisseria meningitidis		15-236
GCF_015679815.1	Neisseria meningitidis		15-215
GCF_015679845.1	Neisseria meningitidis		15-198
GCF_015679865.1	Neisseria meningitidis		14-627
GCF_015679905.1	Neisseria meningitidis		12-208
GCF_015679925.1	Neisseria meningitidis		11-251
GCF_015732685.1	Neisseria meningitidis		15-123
GCF_016026895.1	Neisseria meningitidis		FDAARGOS_914
GCF_017347365.1	Neisseria meningitidis		NIID777
GCF_900638555.1	Neisseria meningitidis		NCTC10025
GCF_900638575.1	Neisseria meningitidis		NCTC3372
GCF_900638605.1	Neisseria meningitidis		NCTC10026
GCF_000008805.1	Neisseria meningitidis		MC58
GCF_000009105.1	Neisseria meningitidis		Z2491
GCF_000009465.1	Neisseria meningitidis		FAM18
GCF_000014105.1	Neisseria meningitidis		053442
GCF_000152165.1	Neisseria meningitidis		alpha710
GCF_000083565.1	Neisseria meningitidis		alpha14
GCF_000191445.1	Neisseria meningitidis		H44/76
GCF_000191485.1	Neisseria meningitidis		M01-240355
GCF_000191465.1	Neisseria meningitidis		M01-240149
GCF_000191505.1	Neisseria meningitidis		M04-240196
GCF_000191425.1	Neisseria meningitidis		G2136
GCF_000253215.1	Neisseria meningitidis		WUE 2594
GCF_000816165.1	Neisseria meningitidis		LNP21362
