assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000754275.1	PRJNA224116	SAMN02904551			na	assembly from type material	747	747	Pasteurella multocida	strain=ATCC 43137		latest	Complete Genome	Major	Full	2014/09/12	ASM75427v1	Los Alamos National Laboratory	GCA_000754275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/754/275/GCF_000754275.1_ASM75427v1	./data/refseq/bacteria/GCF_000754275.1/GCF_000754275.1_ASM75427v1_genomic.fna.gz
GCF_000754275.1	PRJNA224116	SAMN02904551			na	assembly from type material	747	747	Pasteurella multocida	strain=ATCC 43137		latest	Complete Genome	Major	Full	2014/09/12	ASM75427v1	Los Alamos National Laboratory	GCA_000754275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/754/275/GCF_000754275.1_ASM75427v1	./data/refseq/bacteria/GCF_000754275.1/GCF_000754275.1_ASM75427v1_rna_from_genomic.fna.gz
GCF_000754275.1	PRJNA224116	SAMN02904551			na	assembly from type material	747	747	Pasteurella multocida	strain=ATCC 43137		latest	Complete Genome	Major	Full	2014/09/12	ASM75427v1	Los Alamos National Laboratory	GCA_000754275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/754/275/GCF_000754275.1_ASM75427v1	./data/refseq/bacteria/GCF_000754275.1/GCF_000754275.1_ASM75427v1_assembly_report.txt
GCF_000754275.1	PRJNA224116	SAMN02904551			na	assembly from type material	747	747	Pasteurella multocida	strain=ATCC 43137		latest	Complete Genome	Major	Full	2014/09/12	ASM75427v1	Los Alamos National Laboratory	GCA_000754275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/754/275/GCF_000754275.1_ASM75427v1	./data/refseq/bacteria/GCF_000754275.1/GCF_000754275.1_ASM75427v1_assembly_stats.txt
GCF_000754275.1	PRJNA224116	SAMN02904551			na	assembly from type material	747	747	Pasteurella multocida	strain=ATCC 43137		latest	Complete Genome	Major	Full	2014/09/12	ASM75427v1	Los Alamos National Laboratory	GCA_000754275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/754/275/GCF_000754275.1_ASM75427v1	./data/refseq/bacteria/GCF_000754275.1/GCF_000754275.1_ASM75427v1_feature_table.txt.gz
GCF_001721885.1	PRJNA224116	SAMN04520874			na		747	747	Pasteurella multocida	strain=Pm-3		latest	Complete Genome	Major	Full	2016/09/08	ASM172188v1	Jilin Agricultural University	GCA_001721885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/885/GCF_001721885.1_ASM172188v1	./data/refseq/bacteria/GCF_001721885.1/GCF_001721885.1_ASM172188v1_genomic.fna.gz
GCF_001721885.1	PRJNA224116	SAMN04520874			na		747	747	Pasteurella multocida	strain=Pm-3		latest	Complete Genome	Major	Full	2016/09/08	ASM172188v1	Jilin Agricultural University	GCA_001721885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/885/GCF_001721885.1_ASM172188v1	./data/refseq/bacteria/GCF_001721885.1/GCF_001721885.1_ASM172188v1_rna_from_genomic.fna.gz
GCF_001721885.1	PRJNA224116	SAMN04520874			na		747	747	Pasteurella multocida	strain=Pm-3		latest	Complete Genome	Major	Full	2016/09/08	ASM172188v1	Jilin Agricultural University	GCA_001721885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/885/GCF_001721885.1_ASM172188v1	./data/refseq/bacteria/GCF_001721885.1/GCF_001721885.1_ASM172188v1_assembly_report.txt
GCF_001721885.1	PRJNA224116	SAMN04520874			na		747	747	Pasteurella multocida	strain=Pm-3		latest	Complete Genome	Major	Full	2016/09/08	ASM172188v1	Jilin Agricultural University	GCA_001721885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/885/GCF_001721885.1_ASM172188v1	./data/refseq/bacteria/GCF_001721885.1/GCF_001721885.1_ASM172188v1_assembly_stats.txt
GCF_001721885.1	PRJNA224116	SAMN04520874			na		747	747	Pasteurella multocida	strain=Pm-3		latest	Complete Genome	Major	Full	2016/09/08	ASM172188v1	Jilin Agricultural University	GCA_001721885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/885/GCF_001721885.1_ASM172188v1	./data/refseq/bacteria/GCF_001721885.1/GCF_001721885.1_ASM172188v1_feature_table.txt.gz
GCF_001874445.1	PRJNA224116	SAMN05967336			na		747	747	Pasteurella multocida	strain=Razi_Pm0001		latest	Complete Genome	Major	Full	2016/11/10	ASM187444v1	Friedrich-Loeffler-Institut	GCA_001874445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/874/445/GCF_001874445.1_ASM187444v1	./data/refseq/bacteria/GCF_001874445.1/GCF_001874445.1_ASM187444v1_genomic.fna.gz
GCF_001874445.1	PRJNA224116	SAMN05967336			na		747	747	Pasteurella multocida	strain=Razi_Pm0001		latest	Complete Genome	Major	Full	2016/11/10	ASM187444v1	Friedrich-Loeffler-Institut	GCA_001874445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/874/445/GCF_001874445.1_ASM187444v1	./data/refseq/bacteria/GCF_001874445.1/GCF_001874445.1_ASM187444v1_rna_from_genomic.fna.gz
GCF_001874445.1	PRJNA224116	SAMN05967336			na		747	747	Pasteurella multocida	strain=Razi_Pm0001		latest	Complete Genome	Major	Full	2016/11/10	ASM187444v1	Friedrich-Loeffler-Institut	GCA_001874445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/874/445/GCF_001874445.1_ASM187444v1	./data/refseq/bacteria/GCF_001874445.1/GCF_001874445.1_ASM187444v1_assembly_report.txt
GCF_001874445.1	PRJNA224116	SAMN05967336			na		747	747	Pasteurella multocida	strain=Razi_Pm0001		latest	Complete Genome	Major	Full	2016/11/10	ASM187444v1	Friedrich-Loeffler-Institut	GCA_001874445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/874/445/GCF_001874445.1_ASM187444v1	./data/refseq/bacteria/GCF_001874445.1/GCF_001874445.1_ASM187444v1_assembly_stats.txt
GCF_001874445.1	PRJNA224116	SAMN05967336			na		747	747	Pasteurella multocida	strain=Razi_Pm0001		latest	Complete Genome	Major	Full	2016/11/10	ASM187444v1	Friedrich-Loeffler-Institut	GCA_001874445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/874/445/GCF_001874445.1_ASM187444v1	./data/refseq/bacteria/GCF_001874445.1/GCF_001874445.1_ASM187444v1_feature_table.txt.gz
GCF_002073255.2	PRJNA224116	SAMN04875555			na		747	747	Pasteurella multocida	strain=FDAARGOS_218		latest	Complete Genome	Major	Full	2018/03/01	ASM207325v2	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_002073255.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/255/GCF_002073255.2_ASM207325v2	./data/refseq/bacteria/GCF_002073255.2/GCF_002073255.2_ASM207325v2_genomic.fna.gz
GCF_002073255.2	PRJNA224116	SAMN04875555			na		747	747	Pasteurella multocida	strain=FDAARGOS_218		latest	Complete Genome	Major	Full	2018/03/01	ASM207325v2	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_002073255.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/255/GCF_002073255.2_ASM207325v2	./data/refseq/bacteria/GCF_002073255.2/GCF_002073255.2_ASM207325v2_rna_from_genomic.fna.gz
GCF_002073255.2	PRJNA224116	SAMN04875555			na		747	747	Pasteurella multocida	strain=FDAARGOS_218		latest	Complete Genome	Major	Full	2018/03/01	ASM207325v2	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_002073255.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/255/GCF_002073255.2_ASM207325v2	./data/refseq/bacteria/GCF_002073255.2/GCF_002073255.2_ASM207325v2_assembly_report.txt
