assembly_accession	species	subsp	strain
GCF_000756415.2	Piscirickettsia salmonis		PM32597B1
GCF_000756435.2	Piscirickettsia salmonis		PM15972A1
GCF_001514395.1	Piscirickettsia salmonis		PSCGR01
GCF_001534725.1	Piscirickettsia salmonis		CGR02
GCF_001746795.1	Piscirickettsia salmonis		AY3800B
GCF_001932595.1	Piscirickettsia salmonis		AY6492A
GCF_001932735.1	Piscirickettsia salmonis		PM21567A
GCF_001932755.1	Piscirickettsia salmonis		PM23019A
GCF_001932775.1	Piscirickettsia salmonis		PM37984A
GCF_001932795.1	Piscirickettsia salmonis		PM51819A
GCF_001932815.1	Piscirickettsia salmonis		PM49811B
GCF_001932835.1	Piscirickettsia salmonis		PM58386B
GCF_001932855.1	Piscirickettsia salmonis		AY6297B
GCF_001932875.1	Piscirickettsia salmonis		AY6532B
GCF_001932895.1	Piscirickettsia salmonis		PM22180B
GCF_001932915.1	Piscirickettsia salmonis		PM31429B
GCF_001932935.1	Piscirickettsia salmonis		AY3864B
GCF_009708295.1	Piscirickettsia salmonis		Psal-005
GCF_009708335.1	Piscirickettsia salmonis		Psal-006a
GCF_009708355.1	Piscirickettsia salmonis		Psal-006b
GCF_009708435.1	Piscirickettsia salmonis		Psal-009
GCF_009708575.1	Piscirickettsia salmonis		Psal-008
GCF_009708715.1	Piscirickettsia salmonis		Psal-010b
GCF_009708735.1	Piscirickettsia salmonis		Psal-011
GCF_009708755.1	Piscirickettsia salmonis		Psal-013
GCF_009708815.1	Piscirickettsia salmonis		Psal-028
GCF_009708835.1	Piscirickettsia salmonis		Psal-040
GCF_009708855.1	Piscirickettsia salmonis		Psal-041
GCF_009708875.1	Piscirickettsia salmonis		Psal-051
GCF_009708915.1	Piscirickettsia salmonis		Psal-025
GCF_009708935.1	Piscirickettsia salmonis		Psal-069
GCF_009708975.1	Piscirickettsia salmonis		Psal-071
GCF_009708995.1	Piscirickettsia salmonis		Psal-072
GCF_009709015.1	Piscirickettsia salmonis		Psal-073
GCF_009709035.1	Piscirickettsia salmonis		Psal-098
GCF_009709055.1	Piscirickettsia salmonis		Psal-099
GCF_009709075.1	Piscirickettsia salmonis		Psal-107
GCF_009709095.1	Piscirickettsia salmonis		Psal-108
GCF_009709115.1	Piscirickettsia salmonis		Psal-109
GCF_009709135.1	Piscirickettsia salmonis		Psal-110
GCF_009709155.1	Piscirickettsia salmonis		Psal-111
GCF_009709175.1	Piscirickettsia salmonis		Psal-114
GCF_009709195.1	Piscirickettsia salmonis		Psal-117
GCF_009709215.1	Piscirickettsia salmonis		Psal-118
GCF_009709235.1	Piscirickettsia salmonis		Psal-134
GCF_009709255.1	Piscirickettsia salmonis		Psal-135
GCF_009709275.1	Piscirickettsia salmonis		Psal-138
GCF_009709295.1	Piscirickettsia salmonis		Psal-139
GCF_009709315.1	Piscirickettsia salmonis		Psal-158
GCF_009709335.1	Piscirickettsia salmonis		Psal-159
GCF_009709355.1	Piscirickettsia salmonis		Psal-160
GCF_009709375.1	Piscirickettsia salmonis		Psal-161
GCF_009709395.1	Piscirickettsia salmonis		Psal-163
GCF_009709415.1	Piscirickettsia salmonis		Psal-182
GCF_009709435.1	Piscirickettsia salmonis		Psal-081
GCF_009709455.1	Piscirickettsia salmonis		Psal-103
GCF_009709495.1	Piscirickettsia salmonis		NVI 5692
GCF_009709515.1	Piscirickettsia salmonis		BI1
GCF_009724885.1	Piscirickettsia salmonis		Psal-113
GCF_010092545.1	Piscirickettsia salmonis		Ps-11091B
GCF_010092565.1	Piscirickettsia salmonis		Ps-8942B
GCF_012272975.1	Piscirickettsia salmonis		Ps-2192A
GCF_014622645.1	Piscirickettsia salmonis		Ps12201A
GCF_000300295.4	Piscirickettsia salmonis		LF-89 = ATCC VR-1361
