assembly_accession	species	subsp	strain
GCF_000750905.1	Pseudomonas aeruginosa		PSE305
GCF_000763245.3	Pseudomonas aeruginosa		CCBH4851
GCF_000816985.1	Pseudomonas aeruginosa		F22031
GCF_000829255.1	Pseudomonas aeruginosa		NCGM1984
GCF_000981825.1	Pseudomonas aeruginosa		Carb01 63
GCF_000988505.1	Pseudomonas aeruginosa		S04 90
GCF_001077475.1	Pseudomonas aeruginosa		F9676
GCF_001293085.1	Pseudomonas aeruginosa		PA1RG
GCF_001447845.1	Pseudomonas aeruginosa		VA-134
GCF_001457615.1	Pseudomonas aeruginosa		NCTC10332
GCF_001482325.1	Pseudomonas aeruginosa		12-4-4(59)
GCF_001515845.2	Pseudomonas aeruginosa		S86968
GCF_001515915.2	Pseudomonas aeruginosa		T38079
GCF_001516005.1	Pseudomonas aeruginosa		T52373
GCF_001516105.1	Pseudomonas aeruginosa		T63266
GCF_001516165.2	Pseudomonas aeruginosa		W16407
GCF_001516205.2	Pseudomonas aeruginosa		W45909
GCF_001516245.2	Pseudomonas aeruginosa		F23197
GCF_001516265.1	Pseudomonas aeruginosa		F30658
GCF_001516305.2	Pseudomonas aeruginosa		H5708
GCF_001516325.2	Pseudomonas aeruginosa		H27930
GCF_001516365.2	Pseudomonas aeruginosa		M1608
GCF_001516385.1	Pseudomonas aeruginosa		M37351
GCF_001518975.1	Pseudomonas aeruginosa		USDA-ARS-USMARC-41639
GCF_001542795.2	Pseudomonas aeruginosa		X78812
GCF_001542835.1	Pseudomonas aeruginosa		F9670
GCF_001547955.1	Pseudomonas aeruginosa		NCGM257
GCF_001548135.1	Pseudomonas aeruginosa		8380
GCF_001548335.1	Pseudomonas aeruginosa		IOMTU 133
GCF_001594325.2	Pseudomonas aeruginosa		F63912
GCF_001606045.1	Pseudomonas aeruginosa		N17-1
GCF_001618925.1	Pseudomonas aeruginosa		ATCC 27853
GCF_001632245.1	Pseudomonas aeruginosa		BAMCPA07-48
GCF_001679685.1	Pseudomonas aeruginosa		PA121617
GCF_001687285.1	Pseudomonas aeruginosa		ATCC 27853
GCF_001721745.1	Pseudomonas aeruginosa		PA_D1
GCF_001721765.1	Pseudomonas aeruginosa		PA_D2
GCF_001721805.1	Pseudomonas aeruginosa		PA_D16
GCF_001721825.1	Pseudomonas aeruginosa		PA_D22
GCF_001721845.1	Pseudomonas aeruginosa		PA_D25
GCF_001722025.1	Pseudomonas aeruginosa		PA_D5
GCF_001722045.1	Pseudomonas aeruginosa		PA_D21
GCF_001729505.1	Pseudomonas aeruginosa		ATCC 15692
GCF_001750705.1	Pseudomonas aeruginosa		FA-HZ1
GCF_001792835.1	Pseudomonas aeruginosa		PA1088
GCF_001792855.1	Pseudomonas aeruginosa		PA8281
GCF_001792875.1	Pseudomonas aeruginosa		PA11803
GCF_001870265.1	Pseudomonas aeruginosa		PA7790
GCF_001874465.1	Pseudomonas aeruginosa		B10W
GCF_001879525.1	Pseudomonas aeruginosa		Paer4_119
GCF_001900195.1	Pseudomonas aeruginosa		SCVFeb
GCF_001900225.1	Pseudomonas aeruginosa		SCVJan
GCF_001900265.1	Pseudomonas aeruginosa		NHmuc
GCF_002075065.1	Pseudomonas aeruginosa		PA_154197
GCF_002085605.1	Pseudomonas aeruginosa		RIVM-EMC2982
GCF_002085755.1	Pseudomonas aeruginosa		E6130952
GCF_002104595.1	Pseudomonas aeruginosa		PASGNDM699
GCF_002104615.1	Pseudomonas aeruginosa		PASGNDM345
GCF_002116945.1	Pseudomonas aeruginosa		M8A1
GCF_002116985.1	Pseudomonas aeruginosa		M8A4
GCF_002117025.1	Pseudomonas aeruginosa		M28A1
GCF_002117045.1	Pseudomonas aeruginosa		Pb18
GCF_002192475.1	Pseudomonas aeruginosa		Pa124
GCF_002192495.1	Pseudomonas aeruginosa		Pa58
GCF_002205335.1	Pseudomonas aeruginosa		Pa84
GCF_002205355.1	Pseudomonas aeruginosa		Pa127
GCF_002215345.1	Pseudomonas aeruginosa		PA83
GCF_002223805.1	Pseudomonas aeruginosa		L10
GCF_002237425.1	Pseudomonas aeruginosa		Ocean-1175
GCF_002287725.2	Pseudomonas aeruginosa		PPF-1
GCF_002411865.3	Pseudomonas aeruginosa		97
GCF_002442855.1	Pseudomonas aeruginosa		PA_150577
GCF_002753655.1	Pseudomonas aeruginosa		12939
GCF_002812825.1	Pseudomonas aeruginosa		PB369
GCF_002812845.1	Pseudomonas aeruginosa		PB368
GCF_002812865.1	Pseudomonas aeruginosa		PB353
GCF_002812885.1	Pseudomonas aeruginosa		PB354
GCF_002812905.2	Pseudomonas aeruginosa		PB350
GCF_002812925.2	Pseudomonas aeruginosa		PB367
GCF_002946935.1	Pseudomonas aeruginosa		F5677
GCF_002968515.1	Pseudomonas aeruginosa		AR_0360
GCF_002968585.1	Pseudomonas aeruginosa		AR_0354
GCF_002968655.1	Pseudomonas aeruginosa		AR_0353
GCF_002968695.1	Pseudomonas aeruginosa		AR_0230
GCF_002968755.1	Pseudomonas aeruginosa		AR_0356
GCF_002968955.1	Pseudomonas aeruginosa		AR_0357
GCF_002997005.1	Pseudomonas aeruginosa		AR_0095
