assembly_accession	species	subsp	strain
GCF_003945765.1	Pseudomonas chlororaphis	chlororaphis	DSM 50083
GCF_000761195.1	Pseudomonas chlororaphis	aurantiaca	JD37
GCF_002355875.1	Pseudomonas chlororaphis	aurantiaca	StFRB508
GCF_003851165.1	Pseudomonas chlororaphis	aurantiaca	M12
GCF_003851205.1	Pseudomonas chlororaphis	aurantiaca	449
GCF_003851225.1	Pseudomonas chlororaphis	aurantiaca	CW2
GCF_003851265.1	Pseudomonas chlororaphis	aurantiaca	M71
GCF_003851305.1	Pseudomonas chlororaphis	aurantiaca	PCM 2210
GCF_003851345.1	Pseudomonas chlororaphis	aurantiaca	Q16
GCF_003851805.1	Pseudomonas chlororaphis	aurantiaca	464
GCF_003851835.1	Pseudomonas chlororaphis	aurantiaca	DSM 19603
GCF_009362955.1	Pseudomonas chlororaphis	aurantiaca	ARS 38
GCF_010092525.1	Pseudomonas chlororaphis	aurantiaca	zm-1
GCF_012029635.1	Pseudomonas chlororaphis	aurantiaca	B-162
GCF_013466605.1	Pseudomonas chlororaphis	aurantiaca	YS05
GCF_016757635.1	Pseudomonas chlororaphis	aurantiaca	YS21
GCF_000963835.1	Pseudomonas chlororaphis		PCL1606
GCF_001602135.1	Pseudomonas chlororaphis		189
GCF_002844145.1	Pseudomonas chlororaphis		Lzh-T5
GCF_003850605.1	Pseudomonas chlororaphis		TAMOak81
GCF_003851145.1	Pseudomonas chlororaphis		ATCC 17415
GCF_003851785.1	Pseudomonas chlororaphis		Pb-St2
GCF_003851985.1	Pseudomonas chlororaphis		B25
GCF_009834495.1	Pseudomonas chlororaphis		R47
GCF_014524625.1	Pseudomonas chlororaphis		qlu-1
GCF_016772375.1	Pseudomonas chlororaphis		PCM120
GCF_017922675.1	Pseudomonas chlororaphis		PCLSL01
GCF_017922815.1	Pseudomonas chlororaphis		PCLRT04
GCF_017922915.1	Pseudomonas chlororaphis		PCLRT02
GCF_017922975.1	Pseudomonas chlororaphis		PCLAR04
GCF_900636995.1	Pseudomonas chlororaphis		NCTC7357
GCF_003851365.1	Pseudomonas chlororaphis	aureofaciens	P2
GCF_003851385.1	Pseudomonas chlororaphis	aureofaciens	C50
GCF_003851405.1	Pseudomonas chlororaphis	aureofaciens	66
GCF_003851445.1	Pseudomonas chlororaphis	aureofaciens	ChPhzS24
GCF_003851865.1	Pseudomonas chlororaphis	aureofaciens	ChPhzTR36
GCF_003851905.1	Pseudomonas chlororaphis	aureofaciens	DSM 6698
GCF_003851925.1	Pseudomonas chlororaphis	aureofaciens	ChPhzTR39
GCF_003851955.1	Pseudomonas chlororaphis	aureofaciens	ChPhzTR18
GCF_003852005.1	Pseudomonas chlororaphis	aureofaciens	ChPhzTR38
GCF_016413685.1	Pseudomonas chlororaphis	aureofaciens	SPS-41
GCF_000264555.1	Pseudomonas chlororaphis		O6
GCF_000281915.1	Pseudomonas chlororaphis	aureofaciens 30-84	30-84
GCF_003008635.1	Pseudomonas chlororaphis	piscium	ZJU60
GCF_003850345.1	Pseudomonas chlororaphis	piscium	DSM 21509
GCF_003850365.1	Pseudomonas chlororaphis	piscium	ATCC 17809
GCF_003850385.1	Pseudomonas chlororaphis	piscium	ATCC 17411
GCF_003850405.1	Pseudomonas chlororaphis	piscium	SLPH10
GCF_003850425.1	Pseudomonas chlororaphis	piscium	DTR133
GCF_003850445.1	Pseudomonas chlororaphis	piscium	PCL1391
GCF_003850465.1	Pseudomonas chlororaphis	piscium	PCL1607
GCF_003850485.1	Pseudomonas chlororaphis	piscium	ChPhzS135
GCF_003850505.1	Pseudomonas chlororaphis	piscium	ChPhzS140
GCF_003850525.1	Pseudomonas chlororaphis	piscium	ChPhzTR44
GCF_003850585.1	Pseudomonas chlororaphis	piscium	ToZa7
