assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000219605.1	PRJNA224116	SAMN02603041			na	assembly from type material	316	316	Pseudomonas stutzeri	strain=CGMCC 1.1803		latest	Complete Genome	Major	Full	2011/06/29	ASM21960v1	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences	GCA_000219605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/605/GCF_000219605.1_ASM21960v1	./data/refseq/bacteria/GCF_000219605.1/GCF_000219605.1_ASM21960v1_assembly_stats.txt
GCF_000590475.1	PRJNA224116	SAMN02673421			na		316	316	Pseudomonas stutzeri	strain=28a24		latest	Complete Genome	Major	Full	2014/03/12	ASM59047v1	University of Arizona	GCA_000590475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/590/475/GCF_000590475.1_ASM59047v1	./data/refseq/bacteria/GCF_000590475.1/GCF_000590475.1_ASM59047v1_assembly_stats.txt
GCF_000661915.1	PRJNA224116	SAMN02692943			na		316	316	Pseudomonas stutzeri	strain=19SMN4		latest	Complete Genome	Major	Full	2014/05/01	ASM66191v1	Univesitat de les Illes Balears (UIB)	GCA_000661915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/661/915/GCF_000661915.1_ASM66191v1	./data/refseq/bacteria/GCF_000661915.1/GCF_000661915.1_ASM66191v1_assembly_stats.txt
GCF_001038645.1	PRJNA224116	SAMN03765687			na		316	316	Pseudomonas stutzeri	strain=SLG510A3-8		latest	Complete Genome	Major	Full	2015/06/24	ASM103864v1	Peking University	GCA_001038645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/038/645/GCF_001038645.1_ASM103864v1	./data/refseq/bacteria/GCF_001038645.1/GCF_001038645.1_ASM103864v1_assembly_stats.txt
GCF_001648195.1	PRJNA224116	SAMN04979180			na		316	316	Pseudomonas stutzeri	strain=273		latest	Complete Genome	Major	Full	2016/05/18	ASM164819v1	Institute of Oceanology, Chinese Academy of Sciences	GCA_001648195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/648/195/GCF_001648195.1_ASM164819v1	./data/refseq/bacteria/GCF_001648195.1/GCF_001648195.1_ASM164819v1_assembly_stats.txt
GCF_003001655.1	PRJNA224116	SAMN08644040			na		316	316	Pseudomonas stutzeri	strain=DW2-1		latest	Complete Genome	Major	Full	2018/03/15	ASM300165v1	Yangtze university	GCA_003001655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/001/655/GCF_003001655.1_ASM300165v1	./data/refseq/bacteria/GCF_003001655.1/GCF_003001655.1_ASM300165v1_assembly_stats.txt
GCF_003008495.1	PRJNA224116	SAMN08643206			na		316	316	Pseudomonas stutzeri	strain=1W1-1A		latest	Complete Genome	Major	Full	2018/03/19	ASM300849v1	Yangtze university	GCA_003008495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/008/495/GCF_003008495.1_ASM300849v1	./data/refseq/bacteria/GCF_003008495.1/GCF_003008495.1_ASM300849v1_assembly_stats.txt
GCF_003952645.1	PRJNA224116	SAMN06014795			na		316	316	Pseudomonas stutzeri	strain=KGS-2		latest	Complete Genome	Major	Full	2018/12/18	ASM395264v1	University of Manitoba	GCA_003952645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/952/645/GCF_003952645.1_ASM395264v1	./data/refseq/bacteria/GCF_003952645.1/GCF_003952645.1_ASM395264v1_assembly_stats.txt
GCF_003952685.1	PRJNA224116	SAMN06014797			na		316	316	Pseudomonas stutzeri	strain=KGS-8		latest	Complete Genome	Major	Full	2018/12/18	ASM395268v1	University of Manitoba	GCA_003952685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/952/685/GCF_003952685.1_ASM395268v1	./data/refseq/bacteria/GCF_003952685.1/GCF_003952685.1_ASM395268v1_assembly_stats.txt
GCF_005844005.1	PRJNA224116	SAMN11657392			na		316	316	Pseudomonas stutzeri	strain=PheN2		latest	Complete Genome	Major	Full	2019/05/26	ASM584400v1	Tsinghua university	GCA_005844005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/844/005/GCF_005844005.1_ASM584400v1	./data/refseq/bacteria/GCF_005844005.1/GCF_005844005.1_ASM584400v1_assembly_stats.txt
