assembly_accession	species	subsp	strain
GCF_000783915.2	Serratia marcescens		FDAARGOS_65
GCF_001022215.1	Serratia marcescens		CAV1492
GCF_001280365.1	Serratia marcescens		RSC-14
GCF_001294565.1	Serratia marcescens		SmUNAM836
GCF_001417865.2	Serratia marcescens		B3R3
GCF_001932655.1	Serratia marcescens		AS1
GCF_002205475.1	Serratia marcescens		S2I7
GCF_002220515.1	Serratia marcescens		UMH2
GCF_002220535.1	Serratia marcescens		UMH8
GCF_002220555.1	Serratia marcescens		UMH9
GCF_002220575.1	Serratia marcescens		UMH11
GCF_002220595.1	Serratia marcescens		UMH12
GCF_002220615.1	Serratia marcescens		UMH1
GCF_002220635.1	Serratia marcescens		UMH5
GCF_002220655.1	Serratia marcescens		UMH3
GCF_002220675.1	Serratia marcescens		UMH6
GCF_002220695.1	Serratia marcescens		UMH10
GCF_002220715.1	Serratia marcescens		UMH7
GCF_002810285.1	Serratia marcescens		12TM
GCF_002946295.1	Serratia marcescens		GN26
GCF_002996885.1	Serratia marcescens		AR_0091
GCF_002997125.1	Serratia marcescens		AR_0099
GCF_003031545.1	Serratia marcescens		95
GCF_003031645.1	Serratia marcescens		BWH-35
GCF_003071565.1	Serratia marcescens		AR_0124
GCF_003071585.1	Serratia marcescens		AR_0130
GCF_003071605.1	Serratia marcescens		AR_0123
GCF_003071625.1	Serratia marcescens		AR_0121
GCF_003146705.1	Serratia marcescens		CAV1761
GCF_003182655.1	Serratia marcescens		SGAir0764
GCF_003186475.1	Serratia marcescens		332
GCF_003204075.1	Serratia marcescens		AR_0131
GCF_003204405.1	Serratia marcescens		AR_0122
GCF_003355135.1	Serratia marcescens		N4-5
GCF_003516165.1	Serratia marcescens		KS10
GCF_003516185.1	Serratia marcescens		EL1
GCF_003967055.1	Serratia marcescens		AS-1
GCF_006711125.1	Serratia marcescens		WVU-004
GCF_006711245.1	Serratia marcescens		WVU-006
GCF_006711405.1	Serratia marcescens		WVU-007
GCF_006716725.1	Serratia marcescens		WVU-009
GCF_006716825.1	Serratia marcescens		WVU-010
GCF_006842785.1	Serratia marcescens		WVU-002
GCF_008364265.2	Serratia marcescens		S7.1
GCF_008931425.1	Serratia marcescens		E28
GCF_009834305.1	Serratia marcescens		N10A28
GCF_009858195.1	Serratia marcescens		1602
GCF_009909345.1	Serratia marcescens		4201
GCF_009909385.1	Serratia marcescens		1140-
GCF_009909405.1	Serratia marcescens		2838
GCF_009909425.1	Serratia marcescens		C110
GCF_009936295.1	Serratia marcescens		ATCC 274
GCF_011602465.1	Serratia marcescens		BP2
GCF_011769885.1	Serratia marcescens		SER00094
GCF_012273115.1	Serratia marcescens		FDAARGOS_659
GCF_013112395.1	Serratia marcescens		FZSF02
GCF_013122155.1	Serratia marcescens		FY
GCF_013367735.1	Serratia marcescens		JW-CZ2
GCF_013377375.1	Serratia marcescens		1912768R
GCF_013426135.1	Serratia marcescens		12/2010
GCF_013426155.1	Serratia marcescens		11/2010
GCF_014333335.1	Serratia marcescens		MGH246
GCF_015074945.1	Serratia marcescens		SCH909
GCF_015160915.1	Serratia marcescens		SCQ1
GCF_015708655.1	Serratia marcescens		Byron
GCF_017142405.1	Serratia marcescens		MRSN696556
GCF_018502425.1	Serratia marcescens		ED3958
GCF_904866365.1	Serratia marcescens		MSB1_9C-sc-2280320
GCF_000513215.1	Serratia marcescens	marcescens Db11	Db11
GCF_000336425.1	Serratia marcescens		WW4
GCF_017298675.1	Serratia marcescens	marcescens ATCC 13880	ATCC 13880 substr. Sm_S94_jyu2015
GCF_017298695.1	Serratia marcescens	marcescens ATCC 13880	ATCC 13880 substr. Sm_S79_jyu2015
GCF_017298715.1	Serratia marcescens	marcescens ATCC 13880	ATCC 13880 substr. Sm_S4_jyu2015
GCF_017298735.1	Serratia marcescens	marcescens ATCC 13880	ATCC 13880 substr. Sm_S60_jyu2015
GCF_017298755.1	Serratia marcescens	marcescens ATCC 13880	ATCC 13880 substr. Sm_S54_jyu2015
GCF_017298775.1	Serratia marcescens	marcescens ATCC 13880	ATCC 13880 substr. Sm_S68_jyu2015
GCF_017298795.1	Serratia marcescens	marcescens ATCC 13880	ATCC 13880 substr. Sm_S96_jyu2015
GCF_017298815.1	Serratia marcescens	marcescens ATCC 13880	ATCC 13880 substr. Sm_S97_jyu2015
GCF_017298835.1	Serratia marcescens	marcescens ATCC 13880	ATCC 13880 substr. Sm_S6_jyu2015
GCF_017298855.1	Serratia marcescens	marcescens ATCC 13880	ATCC 13880 substr. Sm_S71_jyu2015
GCF_017298875.1	Serratia marcescens	marcescens ATCC 13880	ATCC 13880 substr. Sm_S81_jyu2015
GCF_017298895.1	Serratia marcescens	marcescens ATCC 13880	ATCC 13880 substr. Sm_S89_jyu2015
