assembly_accession	species	subsp	strain
GCF_000730215.1	Streptococcus agalactiae		NGBS061
GCF_000730255.1	Streptococcus agalactiae		NGBS572
GCF_000831105.1	Streptococcus agalactiae		GBS6
GCF_000831125.1	Streptococcus agalactiae		GBS2-NM
GCF_001026925.1	Streptococcus agalactiae		SS1
GCF_001190805.1	Streptococcus agalactiae		HN016
GCF_001190825.1	Streptococcus agalactiae		YM001
GCF_001190845.1	Streptococcus agalactiae		GX064
GCF_001190885.1	Streptococcus agalactiae		H002
GCF_001275545.2	Streptococcus agalactiae		SG-M1
GCF_001448985.1	Streptococcus agalactiae		GBS ST-1
GCF_001552035.1	Streptococcus agalactiae		NGBS128
GCF_001592385.1	Streptococcus agalactiae		CU_GBS_08
GCF_001683515.1	Streptococcus agalactiae		FWL1402
GCF_001712835.1	Streptococcus agalactiae		NGBS357
GCF_001729925.2	Streptococcus agalactiae		WC1535
GCF_001932715.1	Streptococcus agalactiae		GBS-M002
GCF_002025005.1	Streptococcus agalactiae		Sag158
GCF_002025025.1	Streptococcus agalactiae		Sag37
GCF_002073695.2	Streptococcus agalactiae		FDAARGOS_254
GCF_002197205.1	Streptococcus agalactiae		CUGBS591
GCF_002197245.1	Streptococcus agalactiae		SG-M50
GCF_002197265.1	Streptococcus agalactiae		SG-M158
GCF_002197285.1	Streptococcus agalactiae		SG-M29
GCF_002197305.1	Streptococcus agalactiae		SG-M25
GCF_002197325.1	Streptococcus agalactiae		SG-M8
GCF_002197365.1	Streptococcus agalactiae		SG-M6
GCF_002197425.1	Streptococcus agalactiae		SG-M163
GCF_002214425.1	Streptococcus agalactiae		C001
GCF_002289205.1	Streptococcus agalactiae		874391
GCF_002812425.1	Streptococcus agalactiae		SGEHI2015-107
GCF_002812445.1	Streptococcus agalactiae		SGEHI2015-95
GCF_002812465.1	Streptococcus agalactiae		SGEHI2015-25
GCF_002812505.1	Streptococcus agalactiae		SGEHI2015-113
GCF_003287995.1	Streptococcus agalactiae		B509
GCF_003288035.1	Streptococcus agalactiae		B105
GCF_003288055.1	Streptococcus agalactiae		B507
GCF_003288075.1	Streptococcus agalactiae		B111
GCF_003319215.1	Streptococcus agalactiae		S73
GCF_003403115.1	Streptococcus agalactiae		Sag27
GCF_003812805.1	Streptococcus agalactiae		FDAARGOS_512
GCF_003939065.1	Streptococcus agalactiae		TFJ0901
GCF_006874565.1	Streptococcus agalactiae		PLGBS13
GCF_008693505.1	Streptococcus agalactiae		FDAARGOS_669
GCF_008693585.1	Streptococcus agalactiae		FDAARGOS_670
GCF_009866845.1	Streptococcus agalactiae		BSE009
GCF_009930895.1	Streptococcus agalactiae		YZ1605
GCF_011383065.1	Streptococcus agalactiae		ZQ0910
GCF_012222485.1	Streptococcus agalactiae		Sag153
GCF_013000945.1	Streptococcus agalactiae		01173
GCF_013414325.1	Streptococcus agalactiae		S9968
GCF_014218075.1	Streptococcus agalactiae		GBS7
GCF_014218095.1	Streptococcus agalactiae		GBS11
GCF_014218115.1	Streptococcus agalactiae		GBS19
GCF_014218135.1	Streptococcus agalactiae		GBS28
GCF_014218155.1	Streptococcus agalactiae		GBS30
GCF_900078265.1	Streptococcus agalactiae		SA111
GCF_900155855.1	Streptococcus agalactiae		BM110
GCF_900474905.1	Streptococcus agalactiae		NCTC11930
GCF_900638415.1	Streptococcus agalactiae		NCTC13949
GCF_900638495.1	Streptococcus agalactiae		NCTC13947
GCF_000012705.1	Streptococcus agalactiae		A909
GCF_012593885.1	Streptococcus agalactiae		515
GCF_015221735.2	Streptococcus agalactiae		CJB111
GCF_000299135.1	Streptococcus agalactiae		GD201008-001
GCF_000427035.1	Streptococcus agalactiae		09mas018883
GCF_000427075.1	Streptococcus agalactiae		ILRI005
GCF_000782855.1	Streptococcus agalactiae		CNCTC 10/84
