assembly_accession	species	subsp	strain
GCF_009017435.1	Treponema pallidum		UW-148B
GCF_009017475.1	Treponema pallidum		UW-148B2
GCF_900291945.1	Treponema pallidum		A10
GCF_900298965.1	Treponema pallidum		BNK07
GCF_001628695.1	Treponema pallidum	pallidum	Amoy
GCF_001655235.1	Treponema pallidum	pallidum	14aa
GCF_001655275.1	Treponema pallidum	pallidum	CDC-A
GCF_001655315.1	Treponema pallidum	pallidum	14aa
GCF_001655355.1	Treponema pallidum	pallidum	14aa
GCF_001655395.1	Treponema pallidum	pallidum	14dg
GCF_001655435.1	Treponema pallidum	pallidum	13dd
GCF_001655475.1	Treponema pallidum	pallidum	15df
GCF_001655515.1	Treponema pallidum	pallidum	15df
GCF_001655555.1	Treponema pallidum	pallidum	14df
GCF_001712895.1	Treponema pallidum	pallidum	PT_SIF0697
GCF_001712915.1	Treponema pallidum	pallidum	PT_SIF0857
GCF_001712935.1	Treponema pallidum	pallidum	PT_SIF0908
GCF_001712955.1	Treponema pallidum	pallidum	PT_SIF0954
GCF_001712975.1	Treponema pallidum	pallidum	PT_SIF1002
GCF_001712995.1	Treponema pallidum	pallidum	PT_SIF1020
GCF_001713015.1	Treponema pallidum	pallidum	PT_SIF1063
GCF_001713035.1	Treponema pallidum	pallidum	PT_SIF1127
GCF_001713055.1	Treponema pallidum	pallidum	PT_SIF1135
GCF_001713075.1	Treponema pallidum	pallidum	PT_SIF1140
GCF_001713095.1	Treponema pallidum	pallidum	PT_SIF1142
GCF_001713115.1	Treponema pallidum	pallidum	PT_SIF1156
GCF_001713135.1	Treponema pallidum	pallidum	PT_SIF1167
GCF_001713155.1	Treponema pallidum	pallidum	PT_SIF1183
GCF_001713175.1	Treponema pallidum	pallidum	PT_SIF1196
GCF_001713195.1	Treponema pallidum	pallidum	PT_SIF1200
GCF_001713215.1	Treponema pallidum	pallidum	PT_SIF1242
GCF_001713235.1	Treponema pallidum	pallidum	PT_SIF1252
GCF_001713255.1	Treponema pallidum	pallidum	PT_SIF1261
GCF_001713275.1	Treponema pallidum	pallidum	PT_SIF1278
GCF_001713295.1	Treponema pallidum	pallidum	PT_SIF1280
GCF_001713315.1	Treponema pallidum	pallidum	PT_SIF1299
GCF_001713335.1	Treponema pallidum	pallidum	PT_SIF1348
GCF_001761515.1	Treponema pallidum	pallidum	PT_SIF0751
GCF_001761565.1	Treponema pallidum	pallidum	PT_SIF0877_3
GCF_001941545.1	Treponema pallidum	pallidum	Seattle Nichols
GCF_003055985.1	Treponema pallidum	pallidum	UZ1974
GCF_003627115.1	Treponema pallidum	pallidum	Haiti B
GCF_005311045.1	Treponema pallidum	pallidum	CW88
GCF_005311065.1	Treponema pallidum	pallidum	CW86
GCF_005311085.1	Treponema pallidum	pallidum	CW83
GCF_005311105.1	Treponema pallidum	pallidum	CW82
GCF_005311125.1	Treponema pallidum	pallidum	CW65
GCF_005311145.1	Treponema pallidum	pallidum	CW56
GCF_005311165.1	Treponema pallidum	pallidum	CW30
GCF_005311185.1	Treponema pallidum	pallidum	CW85
GCF_005311205.1	Treponema pallidum	pallidum	CW84
GCF_005311445.1	Treponema pallidum	pallidum	CW59
GCF_005341485.1	Treponema pallidum	pallidum	CW87
GCF_005408385.1	Treponema pallidum	pallidum	Philadelphia 1
GCF_005408405.1	Treponema pallidum	pallidum	Grady
GCF_005885795.1	Treponema pallidum	pallidum	X-4
GCF_015239355.1	Treponema pallidum	pallidum	SMUTp_04
GCF_002271195.1	Treponema pallidum	pertenue	Ghana-051
GCF_002271235.1	Treponema pallidum	pertenue	CDC 2575
GCF_003076575.1	Treponema pallidum	pertenue	LMNP-1
GCF_003611295.1	Treponema pallidum	pertenue	Kampung Dalan K363
GCF_003611315.1	Treponema pallidum	pertenue	Sei Geringging K403
GCF_003952805.1	Treponema pallidum	pertenue	CDC-1
GCF_004194495.1	Treponema pallidum	endemicum	Iraq B
GCF_000008605.1	Treponema pallidum	pallidum	Nichols
GCF_000017825.1	Treponema pallidum	pallidum SS14	SS14
GCF_000410555.1	Treponema pallidum	pallidum SS14	SS14
GCF_000246755.1	Treponema pallidum	pertenue	pertenue Samoa D
GCF_000246775.1	Treponema pallidum	pertenue	CDC2
GCF_000246795.1	Treponema pallidum	pertenue	Gauthier
GCF_000246815.1	Treponema pallidum	pallidum DAL-1	DAL-1
GCF_000024485.1	Treponema pallidum	pallidum	Chicago
GCF_000304295.1	Treponema pallidum	pallidum	Mexico A
GCF_000387485.1	Treponema pallidum		str. Fribourg-Blanc
GCF_000813285.1	Treponema pallidum	endemicum	Bosnia A
