assembly_accession	species	subsp	strain
GCF_000765415.1	Vibrio cholerae		2012EL-2176
GCF_001854425.1	Vibrio cholerae		Env-390
GCF_001887395.1	Vibrio cholerae		C5
GCF_001887415.1	Vibrio cholerae		E1320
GCF_001887435.1	Vibrio cholerae		CRC711
GCF_001887455.1	Vibrio cholerae		CRC1106
GCF_001887475.1	Vibrio cholerae		E506
GCF_001887495.1	Vibrio cholerae		E1162
GCF_001887515.1	Vibrio cholerae		NCTC5395
GCF_001887615.1	Vibrio cholerae		NCTC9420
GCF_001887635.1	Vibrio cholerae		M2140
GCF_001887655.1	Vibrio cholerae		E9120
GCF_002073335.2	Vibrio cholerae		FDAARGOS_223
GCF_002313025.1	Vibrio cholerae		FORC_055 MFDS
GCF_002749635.1	Vibrio cholerae		E7946
GCF_003063785.1	Vibrio cholerae		N16961
GCF_003063885.1	Vibrio cholerae		Sa5Y
GCF_003591575.1	Vibrio cholerae		FORC_073
GCF_003719755.1	Vibrio cholerae		E4
GCF_004117115.1	Vibrio cholerae		FORC_076
GCF_004328575.1	Vibrio cholerae		20000
GCF_008369605.1	Vibrio cholerae		RFB16
GCF_008369625.1	Vibrio cholerae		RFB05
GCF_009762895.1	Vibrio cholerae		3528-08
GCF_009762915.1	Vibrio cholerae		2015V-1126
GCF_009762945.1	Vibrio cholerae		3566-06
GCF_009762965.1	Vibrio cholerae		3523-03
GCF_009762985.1	Vibrio cholerae		3569-08
GCF_009763045.1	Vibrio cholerae		3541-04
GCF_009763065.1	Vibrio cholerae		2015V-1118
GCF_009763665.1	Vibrio cholerae		2011EL-1271
GCF_009763825.1	Vibrio cholerae		F9993
GCF_009799825.1	Vibrio cholerae		CTMA_1441
GCF_012275105.1	Vibrio cholerae		2010V-1116
GCF_013357605.1	Vibrio cholerae		W10G
GCF_013357625.1	Vibrio cholerae		SL4G
GCF_013357645.1	Vibrio cholerae		SL5Y
GCF_013357665.1	Vibrio cholerae		SO5Y
GCF_013357685.1	Vibrio cholerae		L6G
GCF_013357725.1	Vibrio cholerae		SL6Y
GCF_013357745.1	Vibrio cholerae		SP6G
GCF_013357765.1	Vibrio cholerae		SP7G
GCF_013357785.1	Vibrio cholerae		W6G
GCF_013357805.1	Vibrio cholerae		W7G
GCF_013357825.1	Vibrio cholerae		E7G
GCF_013357845.1	Vibrio cholerae		SA7G
GCF_013357865.1	Vibrio cholerae		SA10G
GCF_013357885.1	Vibrio cholerae		SA3G
GCF_013462495.1	Vibrio cholerae		VC1374
GCF_015168795.1	Vibrio cholerae		VC_hf7
GCF_900185995.1	Vibrio cholerae		Vibrio cholerae str. BC1071
GCF_900324425.1	Vibrio cholerae		4295STDY6534232
GCF_900324435.1	Vibrio cholerae		4295STDY6534200
GCF_900324445.1	Vibrio cholerae		4295STDY6534216
GCF_900324455.1	Vibrio cholerae		4295STDY6534248
GCF_002946655.1	Vibrio cholerae		O1 biovar El Tor HC1037
GCF_013085105.1	Vibrio cholerae		O1 biovar El Tor C6709
GCF_013085125.1	Vibrio cholerae		O1 biovar El Tor P27459
GCF_013085145.1	Vibrio cholerae		O1 biovar El Tor DRC-193A
GCF_013085165.1	Vibrio cholerae		O1 biovar El Tor E7946
GCF_018336415.1	Vibrio cholerae		O37 ATCC 25872
GCF_000006745.1	Vibrio cholerae		O1 biovar El Tor str. N16961
GCF_900205735.1	Vibrio cholerae		O1 biovar El Tor str. N16961
GCF_014217395.1	Vibrio cholerae		MO10
GCF_017948345.1	Vibrio cholerae		MO10
GCF_000016245.1	Vibrio cholerae		O395
GCF_000021625.1	Vibrio cholerae		O395
GCF_009646135.1	Vibrio cholerae		O395 substr. TCP2
GCF_001683415.1	Vibrio cholerae		2740-80
GCF_000021605.1	Vibrio cholerae		M66-2
GCF_000022585.1	Vibrio cholerae		MJ-1236
GCF_000166455.1	Vibrio cholerae		O1 str. 2010EL-1786
GCF_013085075.1	Vibrio cholerae		C6706
GCF_015482825.1	Vibrio cholerae		C6706
GCF_000275645.1	Vibrio cholerae		H1
GCF_000250855.1	Vibrio cholerae		IEC224
GCF_000338075.1	Vibrio cholerae		O1 str. Inaba G4222
GCF_000829215.1	Vibrio cholerae		MS6
GCF_001318185.1	Vibrio cholerae		O1 str. KW3
