assembly_accession	start	end	orientation
GCF_001469735.1	1909766	1911318	-
GCF_001469735.1	2015220	2016770	-
GCF_001469735.1	2189751	2191303	-
GCF_001469735.1	2195023	2196575	-
GCF_001469735.1	2238666	2240218	-
GCF_001469735.1	2243943	2245495	-
GCF_001469735.1	2303374	2304925	-
GCF_001469735.1	2347271	2348823	-
GCF_001469735.1	2431258	2432809	+
GCF_001469735.1	2960529	2962081	+
GCF_001469735.1	1321179	1322730	-
GCF_001679745.1	384109	385670	+
GCF_001679745.1	2819110	2820671	-
GCF_001679745.1	2957964	2959525	-
GCF_001679745.1	3138267	3139828	-
GCF_001679745.1	3197696	3199257	-
GCF_001679745.1	3241518	3243079	-
GCF_001679745.1	3333305	3334866	+
GCF_001679745.1	1816345	1817906	+
GCF_001679745.1	1859851	1861412	+
GCF_002119505.2	26049	27601	+
GCF_002119505.2	569976	571528	+
GCF_002119505.2	2965971	2967523	-
GCF_002119505.2	3072757	3074309	-
GCF_002119505.2	3078184	3079736	-
GCF_002119505.2	3252727	3254279	-
GCF_002119505.2	3257976	3259528	-
GCF_002119505.2	3301705	3303257	-
GCF_002119505.2	3306975	3308527	-
GCF_002119505.2	3366431	3367983	-
GCF_002119505.2	3410373	3411925	-
GCF_002119505.2	1775907	1777459	-
GCF_002119525.1	23435	24989	+
GCF_002119525.1	67020	68574	+
GCF_002119525.1	72553	74107	+
GCF_002119525.1	137665	139219	+
GCF_002119525.1	143186	144740	+
GCF_002119525.1	148828	150382	+
GCF_002119525.1	401416	402970	+
GCF_002119525.1	406936	408490	+
GCF_002119525.1	2658901	2660455	-
GCF_002119525.1	2948981	2950535	-
GCF_002119525.1	2954962	2956516	-
GCF_002119525.1	2960752	2962306	-
GCF_002119525.1	3242651	3244205	-
GCF_002119525.1	1311327	1312895	-
GCF_002119545.1	26049	27601	+
GCF_002119545.1	569976	571528	+
GCF_002119545.1	2968584	2970136	-
GCF_002119545.1	3075370	3076922	-
GCF_002119545.1	3080797	3082349	-
GCF_002119545.1	3255340	3256892	-
GCF_002119545.1	3260589	3262141	-
GCF_002119545.1	3304318	3305870	-
GCF_002119545.1	3309588	3311140	-
GCF_002119545.1	3369044	3370596	-
GCF_002119545.1	3412986	3414538	-
GCF_002119545.1	1792777	1794329	-
GCF_002119565.1	26049	27601	+
GCF_002119565.1	569976	571528	+
GCF_002119565.1	2968965	2970517	-
GCF_002119565.1	3075751	3077303	-
GCF_002119565.1	3081178	3082730	-
GCF_002119565.1	3255721	3257273	-
GCF_002119565.1	3260970	3262522	-
GCF_002119565.1	3304699	3306251	-
GCF_002119565.1	3309969	3311521	-
GCF_002119565.1	3369425	3370977	-
GCF_002119565.1	3413367	3414919	-
GCF_002119565.1	1771888	1773440	-
GCF_002119585.1	26049	27601	+
GCF_002119585.1	569976	571528	+
GCF_002119585.1	2954802	2956354	-
GCF_002119585.1	3099101	3100653	-
GCF_002119585.1	3104528	3106080	-
GCF_002119585.1	3279071	3280623	-
GCF_002119585.1	3284320	3285872	-
GCF_002119585.1	3328049	3329601	-
GCF_002119585.1	3333319	3334871	-
GCF_002119585.1	3392775	3394327	-
GCF_002119585.1	3436717	3438269	-
GCF_002119585.1	1786690	1788242	-
GCF_002149065.1	823737	825289	-
GCF_002149065.1	1141814	1143366	-
GCF_002149065.1	1685750	1687302	-
GCF_002149065.1	1769731	1771283	+
GCF_002149065.1	1813673	1815225	+
GCF_002149065.1	1873130	1874682	+
GCF_002149065.1	1878400	1879952	+
GCF_002149065.1	1922132	1923684	+
GCF_002149065.1	1927381	1928933	+
GCF_002149065.1	2101924	2103476	+
GCF_002149065.1	2107351	2108903	+
GCF_002149065.1	2214138	2215690	+
GCF_002149085.1	26049	27601	+
GCF_002149085.1	569976	571528	+
GCF_002149085.1	2965806	2967358	-
GCF_002149085.1	3072592	3074144	-
GCF_002149085.1	3078019	3079571	-
GCF_002149085.1	3252562	3254114	-
GCF_002149085.1	3257811	3259363	-
GCF_002149085.1	3301540	3303092	-
GCF_002149085.1	3306810	3308362	-
GCF_002149085.1	3366266	3367818	-
GCF_002149085.1	3410209	3411761	-
GCF_002149085.1	1778736	1780288	-
GCF_002149105.1	26049	27601	+
GCF_002149105.1	569977	571529	+
GCF_002149105.1	2973842	2975394	-
GCF_002149105.1	3080628	3082180	-
GCF_002149105.1	3086055	3087607	-
GCF_002149105.1	3260598	3262150	-
GCF_002149105.1	3265847	3267399	-
GCF_002149105.1	3309576	3311128	-
GCF_002149105.1	3314846	3316398	-
GCF_002149105.1	3374302	3375854	-
GCF_002149105.1	3418244	3419796	-
GCF_002149105.1	1795989	1797541	-
GCF_002953515.1	1739394	1740946	-
GCF_002953515.1	1829382	1830934	-
GCF_002953515.1	1834820	1836372	-
