assembly_accession	seq_id	origin	terminus	repl_1_mean	repl_2_mean	c_skew_min	c_skew_max	length
GCF_000015785.2	NC_009725.2	2370	1861930	0.0729968253137338	-0.0638985668126362	-2.040341873565186	13572.172164828527	3918596
GCF_000769555.1	NZ_CP009679.1	3996460	1887500	0.0709931914194939	-0.0676616720188344	-801.8126038491515	13605.884177496357	4006002
GCF_000815275.2	NZ_CP039380.1	2370	1888550	0.0726260412904111	-0.0642366007988952	-5.871088288087626	13692.725708418411	3933292
GCF_000833005.1	NZ_CP010556.1	740	1883360	0.0729859312393424	-0.0631844953089159	-1.5777334009314083	13738.912421259112	3905973
GCF_000875875.2	NZ_CP029296.1	2410	1907340	0.0751141079662144	-0.0645459078182862	-2.8682979635060555	14305.855711017524	4006441
GCF_000973485.1	NZ_CP011278.1	740	1880790	0.0731834177909399	-0.0631879205892144	-1.57773340093141	13757.283496063394	3903017
GCF_000988345.1	NZ_CP011347.1	4006000	2098300	0.0656891262043729	-0.0762569469136443	-762.4351585446597	13812.924580254774	4006637
GCF_001023595.1	NZ_CP011686.1	2420	1898510	0.0733657878444332	-0.0650139021261826	-3.1383614659836816	13938.346107886196	4009746
GCF_001536925.1	NZ_LN999829.1	1280	1848420	0.0727455188327018	-0.0634833199828477	-0.4335011176940304	13437.06524101499	3854619
GCF_001593395.2	NZ_CP015443.1	2016700	4164440	0.068221431373546	-0.0665567921559143	-13446.01107600582	1211.577980272506	4167153
GCF_001685645.1	NZ_CP016371.1	2070	1878440	0.0721760841318635	-0.0647608536428144	-2.858179367901456	13559.957946929782	3929772
GCF_001687745.1	NZ_CP015911.1	3908560	1853250	0.0719129888631034	-0.0647949353393378	-2.1150591542753188	13315.265364928777	3917761
GCF_001723585.1	NZ_CP016395.1	2060	1936670	0.0743690362640563	-0.0639985215338208	-0.7771969673774233	14386.738008762684	4007450
GCF_001752685.2	NZ_CP014990.2	2880	1838170	0.0722614457162007	-0.0640849368617866	-110.40473422657836	13252.825937831922	3921966
GCF_001857985.1	NZ_CP017775.1	2360	2064290	0.0717723889756885	-0.0659715228258299	-0.8574899876776702	14825.29717499432	4206167
GCF_002005345.1	NZ_CP019040.1	2060	2017590	0.0755123376997043	-0.064013636138141	-1.2803983893866209	15218.469601311444	4071980
GCF_002057535.1	NZ_CP018007.1	3849330	1974840	0.0648754326618882	-0.0723671916390383	-825.6255759516438	12739.549539270116	3926520
GCF_002072695.1	NZ_CP020375.1	2380	1876860	0.0723685391680387	-0.0647805406575354	-2.5890843109968875	13562.75615146337	3929789
GCF_002105595.1	NZ_CP020805.1	516110	2388730	0.0709423879544318	-0.0646728969928677	-2961.749684510608	10323.280636107636	3963726
GCF_002117165.1	NZ_CP011937.1	3928910	2051160	0.06475406584353	-0.0720966300448997	-252.50809318325284	13313.634408456994	3929792
GCF_002157265.1	NZ_CP021338.1	3912680	1838460	0.0710743512042817	-0.0647206357130114	-286.3898807527006	13247.540872838725	3922711
GCF_002192235.1	NZ_CP021495.1	2110	1878480	0.0721756745231912	-0.0647536908719862	-3.0738319792837228	13559.643928627143	3929760
GCF_002205715.1	NZ_CP021976.1	1970	1879760	0.0742995937051746	-0.0625855868115711	-4.212382499713334	13947.70276660887	3893083
GCF_002216755.1	NZ_CP022341.1	4003260	1897940	0.0717414259643709	-0.0676107744649968	-545.9674956630779	13825.31230685114	4013317
GCF_002237515.1	NZ_CP022531.1	1061690	2947440	0.0723706647393492	-0.0640796568128968	-5879.303805566721	7786.253984950551	3979382
GCF_002238395.1	NZ_CP022556.1	2923430	1077790	0.0625548214430804	-0.0735345575049653	-6074.632035538008	7497.209382418869	3847297
GCF_002327165.1	NZ_CP023431.1	1892710	3788380	0.0725133868491351	-0.0676022107666437	-12992.244878280208	783.6850067169506	3989154
GCF_002556565.1	NZ_CP023748.1	3965020	1871560	0.0718448889547295	-0.0649408580830457	-148.4167505750049	13475.15340949996	3972310
GCF_002741705.1	NZ_CP024203.1	4186620	1983500	0.0725392582979475	-0.0664017920237329	-164.05810713882133	14574.41318284041	4197217
GCF_002761535.1	NZ_CP018133.1	4006600	1940000	0.0682934009277832	-0.0671829842150966	-646.9158322566249	13260.553154034144	4006746
GCF_002764075.1	NZ_CP024797.1	2090	1970960	0.0744439734014235	-0.064292527400016	-2.9453461017987683	14654.137372042784	4061552
GCF_002796465.1	NZ_CP024897.1	3984130	1852780	0.0719657989454821	-0.067647721723942	-1126.885986645902	13291.248370268602	3995812
