assembly_accession	start	end	orientation
GCF_000742715.1	112205	113728	+
GCF_000742715.1	945383	946909	+
GCF_000742715.1	1570490	1572013	+
GCF_000742715.1	2576552	2578075	-
GCF_000742715.1	2585203	2586726	-
GCF_000742715.1	3035030	3036555	-
GCF_000742735.1	112210	113733	+
GCF_000742735.1	914566	916092	+
GCF_000742735.1	1539529	1541052	+
GCF_000742735.1	2546147	2547670	-
GCF_000742735.1	2554798	2556321	-
GCF_000742735.1	3004631	3006156	-
GCF_000828015.1	79272	80809	+
GCF_000828015.1	919893	921429	+
GCF_000828015.1	1543857	1545393	+
GCF_000828015.1	2573750	2575286	-
GCF_000828015.1	2582424	2583960	-
GCF_000828015.1	3025074	3026611	-
GCF_001447865.2	114323	115846	+
GCF_001447865.2	1004489	1006015	+
GCF_001447865.2	1661413	1662938	+
GCF_001447865.2	2702207	2703733	-
GCF_001447865.2	2710925	2712448	-
GCF_001447865.2	3164546	3166069	-
GCF_001518935.2	112716	114248	+
GCF_001518935.2	978152	979686	+
GCF_001518935.2	1559836	1561368	+
GCF_001518935.2	2648333	2649867	-
GCF_001518935.2	2664086	2665620	-
GCF_001518935.2	3110617	3112149	-
GCF_001643035.1	106894	108420	+
GCF_001643035.1	903067	904594	+
GCF_001643035.1	1543334	1544861	+
GCF_001643035.1	2657114	2658640	-
GCF_001643035.1	3138497	3140024	-
GCF_001687645.1	113023	114547	+
GCF_001687645.1	963736	965262	+
GCF_001687645.1	1619161	1620686	+
GCF_001687645.1	2657932	2659458	-
GCF_001687645.1	2666642	2668165	-
GCF_001687645.1	3118149	3119672	-
GCF_001936195.1	113005	114528	+
GCF_001936195.1	972555	974081	+
GCF_001936195.1	1632066	1633591	+
GCF_001936195.1	2676973	2678499	-
GCF_001936195.1	2685691	2687214	-
GCF_001936195.1	3155287	3156810	-
GCF_002163915.1	46257	47788	+
GCF_002163915.1	55124	56655	+
GCF_002163915.1	1251739	1253269	-
GCF_002163915.1	1876437	1877969	-
GCF_002163915.1	2657556	2659087	-
GCF_002163915.1	2893921	2895452	+
GCF_002220135.1	514357	515883	+
GCF_002220135.1	1169837	1171362	+
GCF_002220135.1	2209947	2211473	-
GCF_002220135.1	2218665	2220188	-
GCF_002220135.1	2670206	2671729	-
GCF_002220135.1	2961589	2963112	+
GCF_002277975.1	76620	78143	+
GCF_002277975.1	764064	765588	+
GCF_002277975.1	1311477	1313000	+
GCF_002277975.1	2252884	2254407	-
GCF_002277975.1	2261751	2263274	-
GCF_002277975.1	2683649	2685172	-
GCF_002355675.1	113031	114554	+
GCF_002355675.1	965352	966878	+
GCF_002355675.1	1620831	1622356	+
GCF_002355675.1	2657931	2659457	-
GCF_002355675.1	2666649	2668172	-
GCF_002355675.1	3119635	3121158	-
GCF_002847405.1	78373	79904	+
GCF_002847405.1	857848	859380	+
GCF_002847405.1	1481094	1482625	+
GCF_002847405.1	2714641	2716172	-
GCF_002847405.1	2723508	2725039	-
GCF_002847405.1	3156896	3158427	-
GCF_002847425.1	179184	180707	-
GCF_002847425.1	188051	189574	-
GCF_002847425.1	621436	622959	-
GCF_002847425.1	857794	859317	+
GCF_002847425.1	1637267	1638791	+
GCF_002847425.1	2260508	2262031	+
GCF_007430945.1	229880	231411	-
GCF_007430945.1	460827	462358	+
GCF_007430945.1	1257337	1258868	+
GCF_007430945.1	1875552	1877084	+
GCF_007430945.1	2886427	2887958	-
GCF_007430945.1	2895070	2896601	-
GCF_007431185.1	777940	779471	-
GCF_007431185.1	786583	788114	-
GCF_007431185.1	1225744	1227275	-
GCF_007431185.1	1456693	1458224	+
GCF_007431185.1	2253247	2254778	+
GCF_007431185.1	2871467	2872999	+
GCF_007833315.1	114597	116128	+
GCF_007833315.1	918064	919595	+
GCF_007833315.1	1523384	1524915	+
GCF_007833315.1	2585117	2586648	-
GCF_007833315.1	2594022	2595553	-
GCF_007833315.1	3026311	3027842	-
GCF_007833335.1	114598	116129	+
GCF_007833335.1	920227	921758	+
GCF_007833335.1	1525559	1527090	+
GCF_007833335.1	2589093	2590624	-
GCF_007833335.1	2598003	2599534	-
GCF_007833335.1	3030303	3031834	-
GCF_013046805.1	495778	497305	+
GCF_013046805.1	1138002	1139528	+
GCF_013046805.1	2251459	2252986	-
GCF_013046805.1	2260146	2261673	-
GCF_013046805.1	2726660	2728187	-
GCF_013046805.1	3039264	3040790	+
GCF_017579845.1	76620	78143	+
GCF_017579845.1	846941	848465	+
GCF_017579845.1	1457401	1458924	+
GCF_017579845.1	2457478	2459001	-
GCF_017579845.1	2466345	2467868	-
GCF_017579845.1	2901423	2902946	-
GCF_018286655.1	90445	91970	+
GCF_018286655.1	932157	933682	+
GCF_018286655.1	1617200	1618726	+
GCF_018286655.1	2714950	2716476	-
GCF_018286655.1	2728566	2730092	-
GCF_018286655.1	3200283	3201808	-
GCF_000011325.1	76641	78164	+
GCF_000011325.1	856117	857641	+
GCF_000011325.1	1479362	1480885	+
GCF_000011325.1	2707427	2708950	-
GCF_000011325.1	2716294	2717817	-
GCF_000011325.1	3149681	3151204	-
GCF_000196335.1	76642	78165	+
GCF_000196335.1	857587	859111	+
GCF_000196335.1	1480829	1482352	+
GCF_000196335.1	2679100	2680623	-
GCF_000196335.1	2687964	2689487	-
GCF_000196335.1	3122987	3124510	-
GCF_000010225.1	105308	106832	+
GCF_000010225.1	1020720	1022244	+
GCF_000010225.1	1623749	1625273	+
GCF_000010225.1	2701764	2703288	-
GCF_000010225.1	2715334	2716858	-
GCF_000010225.1	3175592	3177116	-
GCF_002243555.1	106895	108420	+
GCF_002243555.1	904668	906192	+
GCF_002243555.1	1543959	1545484	+
GCF_002243555.1	2654173	2655698	-
GCF_002243555.1	2662852	2664378	-
GCF_002243555.1	3126291	3127817	-
GCF_000382905.1	76641	78164	+
GCF_000382905.1	856116	857640	+
GCF_000382905.1	1479361	1480884	+
GCF_000382905.1	2707426	2708949	-
GCF_000382905.1	2716293	2717816	-
GCF_000382905.1	3149680	3151203	-
GCF_000404145.1	96041	97565	+
GCF_000404145.1	1057646	1059170	+
GCF_000404145.1	1671114	1672638	+
GCF_000404145.1	2721471	2722996	-
GCF_000404145.1	2735043	2736567	-
GCF_000404145.1	3203832	3205357	-
GCF_000404185.1	96041	97565	+
GCF_000404185.1	1057645	1059169	+
GCF_000404185.1	1671113	1672637	+
GCF_000404185.1	2721470	2722995	-
GCF_000404185.1	2735042	2736566	-
GCF_000404185.1	3203831	3205356	-
GCF_001683115.1	113055	114578	+
GCF_001683115.1	976759	978282	+
GCF_001683115.1	1644557	1646081	+
GCF_001683115.1	2688526	2690049	-
GCF_001683115.1	2697239	2698762	-
GCF_001683115.1	3152814	3154337	-
GCF_000445015.1	76620	78143	+
GCF_000445015.1	859011	860535	+
GCF_000445015.1	1469293	1470816	+
GCF_000445015.1	2475640	2477163	-
GCF_000445015.1	2484507	2486030	-
GCF_000445015.1	2919533	2921056	-
