assembly_accession	rel_start	rel_center	rel_end	orientation	has_tandem
GCF_000759575.2	0.0484816036321583	0.0492911294813038	0.0501006553304493	+	False
GCF_000759575.2	0.4301162890307106	0.430925814879856	0.4317353407290016	+	False
GCF_000759575.2	0.8312117188503876	0.8320212446995332	0.8328307705486786	+	False
GCF_001314285.1	0.0462552774251673	0.0471807012411207	0.0481061250570739	+	False
GCF_001314285.1	0.4845340380917173	0.4854594619076706	0.4863848857236238	+	False
GCF_001314285.1	0.8568310599652599	0.857756483781213	0.8586819075971664	+	False
GCF_001412295.1	0.0527470840258721	0.0536683027641435	0.0545895215024151	+	False
GCF_001412295.1	0.4862706725871624	0.487191891325434	0.4881131100637054	+	False
GCF_001412295.1	0.8557378767126627	0.8566590954509341	0.8575803141892057	+	False
GCF_001432345.1	0.0004943767875862	0.0014747181922891	0.0024550595969923	+	False
GCF_001432345.1	0.4544655683391787	0.4554459097438816	0.4564262511485848	+	False
GCF_001432345.1	0.8473255768807672	0.8483059182854702	0.8492862596901732	+	False
GCF_001506185.1	0.850380137354464	0.8513251680679623	0.8522701987814604	+	False
GCF_001506205.1	0.4920182573859851	0.4929048570651204	0.4937914567442558	+	False
GCF_001506225.1	0.0449341788320496	0.0458609094954343	0.046787640158819	+	False
GCF_001506245.1	0.826766247923588	0.8277473525747507	0.8287284572259136	+	False
GCF_001506265.1	0.0434032532876132	0.0442996325556412	0.0451960118236693	+	False
GCF_001506285.1	0.0431684358809626	0.0440596247811813	0.0449508136813999	+	False
GCF_001506305.1	0.84010305432385	0.8410494715836967	0.8419958888435433	+	False
GCF_001506345.1	0.0537281926350476	0.0546560219929921	0.0555838513509367	+	False
GCF_001506385.1	0.5402714277304659	0.541198589144853	0.5421257505592402	+	False
GCF_001506425.1	0.1196680831728745	0.1206066271633998	0.1215451711539249	+	False
GCF_001506445.1	0.8359059296047094	0.8368361987921267	0.8377664679795439	+	False
GCF_001506465.1	0.04386664808148	0.0447750791873147	0.0456835102931492	+	False
GCF_001506485.1	0.4786998430172681	0.4796447390787013	0.4805896351401346	+	False
GCF_001506505.1	0.0453848290372453	0.0463139343678027	0.0472430396983603	+	False
GCF_001506525.1	0.4904616882197608	0.491346197720633	0.4922307072215053	+	False
GCF_001506545.1	0.0472289789461178	0.0481744339463365	0.0491198889465555	+	False
GCF_001506585.1	0.5161951209173683	0.5170852667906121	0.5179754126638557	+	False
GCF_001506625.1	0.8586380480053629	0.8595765547120857	0.8605150614188086	+	False
GCF_001506685.1	0.049970184411272	0.0509054783979254	0.051840772384579	-	False
GCF_001506705.1	0.0480511603249578	0.0489538210248303	0.0498564817247028	+	False
GCF_001506745.1	0.4702359129328085	0.4711691460299942	0.4721023791271801	+	False
GCF_001506765.1	0.564588740653755	0.5655173769219146	0.5664460131900744	+	False
GCF_001506805.1	0.7517030670189335	0.752646995659926	0.7535909243009185	+	False
GCF_001506825.1	0.0532013691373404	0.0542000837546385	0.0551987983719366	-	False
GCF_001506845.1	0.5095066498858923	0.5103860120923935	0.5112653742988947	+	False
GCF_001506865.1	0.0458850335587091	0.0468212100948559	0.0477573866310028	+	False
GCF_001506885.1	0.0460443784816612	0.0469984830242589	0.0479525875668567	+	False
GCF_001506945.1	0.3079089074996008	0.3088233159644107	0.3097377244292204	+	False
GCF_001506965.1	0.0489650379308358	0.0498917049815708	0.0508183720323058	+	False
GCF_001506985.1	0.0458048189247269	0.04674173567546	0.047678652426193	+	False
GCF_001507005.1	0.0467263040089733	0.0476812425316481	0.0486361810543228	+	False
GCF_001507025.1	0.0433347215917865	0.0442191514153216	0.0451035812388568	+	False
GCF_001507045.1	0.42919893813812	0.4301496339946706	0.4311003298512211	+	False
GCF_001507065.1	0.5348075833712872	0.535761371335139	0.536715159298991	+	False
GCF_001507085.1	0.0453875604554979	0.046316746864303	0.0472459332731082	+	False
GCF_001507125.1	0.7548031396645694	0.7557389488486206	0.7566747580326716	+	False
GCF_001507145.1	0.5979768667032118	0.5989208790303144	0.5998648913574173	+	False
GCF_001507165.1	0.8328187733541915	0.833766416092879	0.8347140588315666	+	False
GCF_001507185.1	0.5457845549536031	0.5467113901424456	0.5476382253312884	+	False
GCF_001507205.1	0.0451573130459813	0.0460912955548116	0.0470252780636417	+	False
GCF_001507225.1	0.0451921533770354	0.0461254521437477	0.0470587509104601	+	False
GCF_001507245.1	0.0451520697551308	0.0460763350192616	0.0470006002833924	+	False
GCF_001507265.1	0.8349712666065658	0.8359061684975162	0.8368410703884666	+	False
