assembly_accession	start	end	orientation
GCF_000695895.1	1858533	1860070	-
GCF_000695895.1	1867240	1868777	-
GCF_000817045.1	1480409	1481954	-
GCF_000817045.1	1775291	1776836	-
GCF_000817045.1	1871612	1873157	-
GCF_000817045.1	1886117	1887662	-
GCF_000817045.1	1894826	1896371	-
GCF_002220485.1	1480413	1481950	-
GCF_002220485.1	1775505	1777042	-
GCF_002220485.1	1871826	1873363	-
GCF_002220485.1	1880536	1882073	-
GCF_004135895.1	1480416	1481953	-
GCF_004135895.1	1775296	1776833	-
GCF_004135895.1	1867814	1869351	-
GCF_008041995.1	1420219	1421764	-
GCF_008041995.1	1715098	1716643	-
GCF_008041995.1	1811419	1812964	-
GCF_008041995.1	1820128	1821673	-
GCF_011770105.1	1482177	1483714	-
GCF_011770105.1	1777058	1778595	-
GCF_011770105.1	1873379	1874916	-
GCF_015377505.1	1480206	1481743	-
GCF_015377505.1	1775301	1776838	-
GCF_015377505.1	1871622	1873159	-
GCF_015377505.1	1880332	1881869	-
GCF_016696725.1	844293	845833	-
GCF_016696725.1	934921	936461	-
GCF_016696725.1	944026	945566	-
GCF_902387355.1	1480416	1481953	-
GCF_902387355.1	1775298	1776835	-
GCF_902387355.1	1871619	1873156	-
GCF_902387355.1	1886124	1887661	-
GCF_902387355.1	1894833	1896370	-
GCF_000818055.1	1474762	1476299	-
GCF_000818055.1	1769642	1771179	-
GCF_000818055.1	1865963	1867500	-
GCF_000818055.1	1874673	1876210	-
GCF_003390755.1	38421	39958	-
GCF_003390755.1	333293	334830	-
GCF_003390755.1	429611	431147	-
GCF_003390755.1	438318	439855	-
GCF_003428375.1	290517	292054	+
GCF_003428375.1	299227	300764	+
GCF_003428375.1	395548	397085	+
GCF_003428375.1	690426	691963	+
GCF_003606305.1	1480270	1481807	-
GCF_003606305.1	1775151	1776688	-
GCF_003606305.1	1871472	1873009	-
GCF_016835115.1	1480410	1481947	-
GCF_016835115.1	1775503	1777040	-
GCF_016835115.1	1871824	1873361	-
GCF_016835115.1	1880534	1882071	-
GCF_016835135.1	1480409	1481946	-
GCF_016835135.1	1775502	1777039	-
GCF_016835135.1	1871823	1873360	-
GCF_016835135.1	1880533	1882070	-
GCF_001688645.2	787505	789045	+
GCF_001688645.2	796610	798150	+
GCF_001688645.2	887238	888778	+
GCF_001688645.2	1249718	1251258	+
GCF_003671995.1	1488196	1489736	-
GCF_003671995.1	1767594	1769134	-
GCF_003671995.1	1859617	1861157	-
GCF_003671995.1	1868326	1869866	-
GCF_000025245.2	1480289	1481826	-
GCF_000025245.2	1775170	1776707	-
GCF_000025245.2	1871491	1873028	-
GCF_000025245.2	1880201	1881738	-
GCF_000092765.1	1480414	1481951	-
GCF_000092765.1	1775294	1776831	-
GCF_000092765.1	1871523	1873060	-
GCF_000092765.1	1880233	1881770	-
GCF_000022705.1	1474912	1476449	-
GCF_000022705.1	1769953	1771490	-
GCF_000022705.1	1866182	1867719	-
GCF_000022705.1	1874892	1876430	-
GCF_000260715.1	1488332	1489872	-
GCF_000260715.1	1767730	1769270	-
GCF_000260715.1	1859756	1861296	-
GCF_000260715.1	1868465	1870005	-
GCF_000277345.1	1474968	1476505	-
GCF_000277345.1	1770063	1771600	-
GCF_000277345.1	1866292	1867829	-
GCF_000277345.1	1875002	1876540	-
GCF_000220885.1	1479760	1481297	-
GCF_000220885.1	1774494	1776031	-
GCF_000220885.1	1870670	1872207	-
GCF_000220885.1	1879379	1880916	-
GCF_000224965.2	1474771	1476308	-
GCF_000224965.2	1769654	1771191	-
GCF_000224965.2	1865942	1867479	-
GCF_000224965.2	1874641	1876178	-
GCF_000471945.1	1496819	1498356	-
GCF_000471945.1	1798254	1799791	-
GCF_000471945.1	1888997	1890534	-
GCF_000471945.1	1897705	1899242	-
GCF_000277325.1	1474962	1476499	-
GCF_000277325.1	1769843	1771380	-
GCF_000277325.1	1866070	1867607	-
GCF_000277325.1	1874780	1876317	-
GCF_000414215.1	1474822	1476359	-
GCF_000414215.1	1769630	1771167	-
GCF_000414215.1	1865949	1867486	-
GCF_000414215.1	1874656	1876193	-
GCF_000816205.1	1474878	1476415	-
GCF_000816205.1	1769470	1771007	-
GCF_000816205.1	1778063	1779571	-
GCF_000816205.1	1874354	1875891	-
GCF_000816205.1	1882989	1884497	-
