assembly_accession	rel_start	rel_center	rel_end	orientation	has_tandem
GCF_000940915.1	0.0465313089213059	0.0468377493301577	0.0471441897390096	+	False
GCF_000940915.1	0.0780402897687803	0.0783467301776321	0.078653170586484	+	False
GCF_000940915.1	0.0984963778902451	0.0988028182990969	0.0991092587079487	+	False
GCF_000940915.1	0.1522627766200258	0.1525692170288777	0.1528756574377295	+	False
GCF_000940915.1	0.3466960404882405	0.3470024808970924	0.3473089213059442	+	False
GCF_000940915.1	0.397794978664285	0.3981014190731369	0.3984078594819887	+	False
GCF_000940915.1	-0.3669867723380339	-0.3666604243453911	-0.3663340763527483	-	False
GCF_000940915.1	-0.1564331348049711	-0.1561067868123283	-0.1557804388196855	-	False
GCF_000940915.1	-0.1208954447823001	-0.1205690967896573	-0.1202427487970145	-	False
GCF_000940915.1	-0.0194811151463091	-0.0191547671536663	-0.0188284191610235	-	False
GCF_000963645.1	-0.0140988022412995	-0.013781319076749	-0.0134638359121986	-	True
GCF_000963645.1	0.037764471219071	0.0380761838620065	0.0383878965049421	+	False
GCF_000963645.1	0.1290934491892241	0.1294057674914399	0.1297180857936559	+	False
GCF_000963645.1	0.1692676367982427	0.1695793494411783	0.1698910620841139	+	False
GCF_000963645.1	0.3356268977324116	0.3359386103753472	0.3362503230182828	+	False
GCF_000963645.1	-0.3625793450881612	-0.362261245052177	-0.3619431450161929	-	False
GCF_000963645.1	-0.3096127075515344	-0.3092950187631728	-0.3089773299748111	-	False
GCF_000963645.1	-0.1246602580578831	-0.1243427748933326	-0.1240252917287822	-	False
GCF_000963645.1	-0.0696587672852516	-0.0693412841207011	-0.0690238009561507	-	False
GCF_000963645.1	-0.0484523723847221	-0.0481348892201717	-0.0478174060556212	-	False
GCF_000963645.1	-0.0160287873335732	-0.0157113041690227	-0.0153938210044723	-	True
GCF_001455365.1	0.0318304585353876	0.032126634337978	0.0324228101405684	+	False
GCF_001455365.1	0.1297487876741759	0.1300449634767662	0.1303411392793567	+	False
GCF_001455365.1	0.1619847615247683	0.1622809373273586	0.162577113129949	+	False
GCF_001455365.1	0.3277837456264195	0.3280799214290097	0.3283760972316003	+	False
GCF_001455365.1	-0.3626873510890581	-0.3623810993485407	-0.3620748476080231	-	False
GCF_001455365.1	-0.3104797600128848	-0.3101735082723673	-0.3098672565318497	-	False
GCF_001455365.1	-0.1217033309240471	-0.1213970791835297	-0.1210908274430121	-	False
GCF_001455365.1	-0.0695818235625011	-0.0692755718219836	-0.0689693200814661	-	False
GCF_001455365.1	-0.0491180981290874	-0.0488118463885699	-0.0485055946480524	-	False
GCF_001455365.1	-0.0181505727145567	-0.0178443209740392	-0.0175380692335217	-	False
GCF_001518775.1	0.0323016188184727	0.0326021786695944	0.032902738520716	+	False
GCF_001518775.1	0.1316693530176676	0.1319699128687892	0.1322704727199109	+	False
GCF_001518775.1	0.1643824896633885	0.1646830495145101	0.1649836093656318	+	False
GCF_001518775.1	0.3323962250928543	0.3326967849439759	0.3329973447950976	+	False
GCF_001518775.1	-0.3656111027733236	-0.365306203050577	-0.3650013033278304	-	False
GCF_001518775.1	-0.3136339939493993	-0.3133290942266526	-0.313024194503906	-	False
GCF_001518775.1	-0.125646332119527	-0.1253414323967803	-0.1250365326740337	-	False
GCF_001518775.1	-0.0737264907305745	-0.0734215910078278	-0.0731166912850812	-	False
GCF_001518775.1	-0.053353107054558	-0.0530482073318114	-0.0527433076090648	-	False
GCF_001518775.1	-0.0180704428944936	-0.017765543171747	-0.0174606434490003	-	False
GCF_001683535.1	0.0400525342540256	0.0403635499296992	0.0406745656053726	+	False
GCF_001683535.1	0.1252373911747287	0.1255484068504022	0.1258594225260757	+	False
GCF_001683535.1	0.1590990214286577	0.1594100371043312	0.1597210527800047	+	False
GCF_001683535.1	0.3327988590720291	0.3331098747477026	0.3334208904233761	+	False
GCF_001683535.1	-0.3702394136642944	-0.3699268092688013	-0.3696142048733081	-	False
GCF_001683535.1	-0.3169512972879948	-0.3166386928925018	-0.3163260884970086	-	False
GCF_001683535.1	-0.1242541732889262	-0.1239415688934331	-0.1236289644979399	-	False
GCF_001683535.1	-0.0710251763967484	-0.0707125720012552	-0.0703999676057621	-	False
GCF_001683535.1	-0.0501369668870149	-0.0498243624915217	-0.0495117580960286	-	False
GCF_001683535.1	-0.0185270744966239	-0.0182144701011307	-0.0179018657056376	-	False
GCF_001687125.1	0.0253441361150496	0.0256568766457363	0.0259696171764229	+	False
GCF_001687125.1	0.1281835122544055	0.1284962527850921	0.1288089933157788	+	False
GCF_001687125.1	0.1628409965566133	0.1631537370872999	0.1634664776179866	+	False
GCF_001687125.1	0.3632805347376949	0.3635932752683817	0.3639060157990683	+	False
GCF_001687125.1	-0.3773868588105273	-0.3770701561934643	-0.3767534535764012	-	False
GCF_001687125.1	-0.3181462394846116	-0.3178295368675485	-0.3175128342504855	-	False
GCF_001687125.1	-0.1290456503028776	-0.1287289476858146	-0.1284122450687515	-	False
GCF_001687125.1	-0.0739549839228295	-0.0736382813057665	-0.0733215786887034	-	False
GCF_001687125.1	-0.0523978736619109	-0.0520811710448478	-0.0517644684277848	-	False
GCF_001687125.1	-0.0189020593054367	-0.0185853566883736	-0.0182686540713106	-	False
