assembly_accession	rel_start	rel_center	rel_end	orientation	has_tandem
GCF_000754275.1	0.0121001063477396	0.01277175334298	0.0134434003382206	+	False
GCF_000754275.1	0.0691364912219529	0.0698081382171935	0.0704797852124339	+	False
GCF_000754275.1	0.267749612092261	0.2684212590875015	0.269092906082742	+	False
GCF_000754275.1	0.6522707857528897	0.652941996896738	0.6536132080405865	+	False
GCF_000754275.1	0.8202174026743841	0.8208890496696246	0.8215606966648652	+	False
GCF_000754275.1	-0.6743042341685487	-0.6736191382284423	-0.672934042288336	-	False
GCF_001721885.1	0.6754219175161523	0.6760951855004027	0.6767684534846533	+	False
GCF_001721885.1	-0.8685903991692496	-0.8679842503579465	-0.8673781015466432	-	False
GCF_001721885.1	-0.6318186824425319	-0.6312125336312286	-0.6306063848199254	-	False
GCF_001721885.1	-0.24298897053039	-0.2423828217190868	-0.2417766729077835	-	False
GCF_001721885.1	-0.0627019840458171	-0.0620958352345138	-0.0614896864232106	-	False
GCF_001721885.1	-0.0113370675141998	-0.0107309187028966	-0.0101247698915933	-	False
GCF_001874445.1	-0.2461505987689942	-0.2455322065566428	-0.2449138143442915	-	False
GCF_001874445.1	-0.0615848015968243	-0.060966409384473	-0.0603480171721217	-	False
GCF_001874445.1	-0.0116695947664997	-0.0110512025541484	-0.0104328103417971	-	False
GCF_001874445.1	0.6717185944074138	0.6724098179762983	0.673101041545183	+	False
GCF_001874445.1	0.8458261938296746	0.8465174173985592	0.8472086409674439	+	False
GCF_001874445.1	-0.6696718147182965	-0.6690534225059452	-0.6684350302935939	-	False
GCF_002073255.2	-0.6579028003282488	-0.6572243784581465	-0.6565459565880443	-	False
GCF_002073255.2	-0.2667998563031159	-0.2661214344330136	-0.2654430125629114	-	False
GCF_002073255.2	-0.0667987997083798	-0.0661203778382776	-0.0654419559681753	-	False
GCF_002073255.2	-0.0129494489858451	-0.0122710271157429	-0.0115926052456406	-	False
GCF_002073255.2	0.6396162367793988	0.6402604406170309	0.6409046444546632	+	False
GCF_002073255.2	-0.8305204433471512	-0.829842021477049	-0.8291635996069467	-	False
GCF_002073295.2	0.8530399117637704	0.853702285253013	0.8543646587422554	+	False
GCF_002073295.2	-0.6792349485401299	-0.6785547064799682	-0.6778744644198065	-	False
GCF_002073295.2	-0.2776571403330535	-0.2769764565572684	-0.2762957727814832	-	False
GCF_002073295.2	-0.073156058129776	-0.0724753743539908	-0.0717946905782057	-	False
GCF_002073295.2	-0.0128150536684482	-0.0121343698926631	-0.0114536861168779	-	False
GCF_002073295.2	0.6745266028277889	0.6751889763170316	0.675851349806274	+	False
GCF_002393385.1	-0.6314514342201694	-0.6307948289673273	-0.6301382237144854	-	False
GCF_002393385.1	0.0111074934669323	0.0117642095286474	0.0124209255903625	+	False
GCF_002393385.1	0.0716131605728302	0.0722698766345453	0.0729265926962605	+	False
GCF_002393385.1	0.2709411879017644	0.2715979039634795	0.2722546200251947	+	False
GCF_002393385.1	0.6827187789257643	0.6833754949874793	0.6840322110491944	+	False
GCF_002393385.1	0.845390884559459	0.8460476006211741	0.8467043166828893	+	False
GCF_002591295.1	-0.63144999786953	-0.6307933870211768	-0.6301367761728237	-	False
