assembly_accession	seq_id	origin	terminus	repl_1_mean	repl_2_mean	c_skew_min	c_skew_max	length
GCF_000783915.2	NZ_CP026050.1	3046310	396340	0.0418067242525211	-0.0422899160645994	-9491.852780721496	1716.0291026675752	5248423
GCF_001022215.1	NZ_CP011642.1	2589740	5384350	0.0436689852914892	-0.0421992813662031	-10949.598462802956	1254.71615198283	5477084
GCF_001280365.1	NZ_CP012639.1	2112120	4672980	0.0430024205639625	-0.0432917470149903	-9220.162860182068	1792.1604109413895	5127030
GCF_001294565.1	NZ_CP012685.1	4498090	1913750	0.0426523440560578	-0.0415819481473189	-2411.450057098922	8334.749351815184	5207023
GCF_001417865.2	NZ_CP013046.2	870	2738140	0.0450833279980889	-0.0429669509329631	-1.60965891693529	12338.921510042032	5471721
GCF_001932655.1	NZ_CP010584.1	582110	3287400	0.0414500684592226	-0.0413187752590791	-2082.968947673773	9130.962689194266	5506053
GCF_002205475.1	NZ_CP021984.1	5240820	2640110	0.0384070784284602	-0.0394310753942157	-116.1856678822448	10138.699465735406	5241555
GCF_002220515.1	NZ_CP018924.1	4632370	1943840	0.0432822791288639	-0.0432450769212454	-2982.5703659256646	8657.062269147485	5308626
GCF_002220535.1	NZ_CP018927.1	4418040	1838090	0.0421471498597692	-0.0410538906401597	-2647.099442989708	7944.611678037063	5155137
GCF_002220555.1	NZ_CP018923.1	4333120	1814840	0.0418345745039027	-0.0425193276470282	-2894.554110230128	7813.012044597604	5024591
GCF_002220575.1	NZ_CP018929.1	4469640	1827010	0.0448257391403923	-0.0436999141963962	-3315.874269028883	8232.411993400767	5221717
GCF_002220595.1	NZ_CP018930.1	4509740	1827370	0.0436599367249073	-0.0432617502456588	-3294.464294830445	8309.943356824748	5196805
GCF_002220615.1	NZ_CP018915.1	4390400	1835630	0.0430470706156878	-0.042229990295117	-2671.9265936705724	8116.870280010476	5056149
GCF_002220635.1	NZ_CP018917.1	4609310	1935320	0.0421820372217936	-0.0408683971590609	-2751.887630969024	8191.663579874725	5357156
GCF_002220655.1	NZ_CP018925.1	4619020	1945010	0.0423272255877457	-0.0414078174185312	-2486.600644972348	8585.899789086572	5300955
GCF_002220675.1	NZ_CP018926.1	4576540	1899930	0.0421331885815272	-0.0425094899889697	-3318.6613030691296	8059.474983982676	5192910
GCF_002220695.1	NZ_CP018928.1	4469890	1826990	0.0448273075118708	-0.0436919741723456	-3315.687304921488	8231.91137469401	5221713
GCF_002220715.1	NZ_CP018919.1	4510190	1908400	0.0428314392458691	-0.0430139103769731	-2804.163091825764	8387.163785107767	5182841
GCF_002810285.1	NZ_CM008894.1	3307520	714390	0.0410502382271377	-0.0407988596622165	-7571.48441823564	3008.199252094463	5276151
GCF_002946295.1	NZ_CP026650.1	4225410	1627570	0.041629481994445	-0.0417522738692931	-3792.39243380584	7054.2337433647	5118982
GCF_002996885.1	NZ_CP027533.1	4900480	2190680	0.0420084967917354	-0.0417888002723574	-1946.0457108926444	9384.810998781206	5309542
GCF_002997125.1	NZ_CP027539.1	1052370	3707400	0.0414312199365713	-0.0416462650374992	-4084.051753095388	6916.071725577728	5284831
GCF_003031545.1	NZ_CP020503.1	5326330	2642760	0.0396663754101798	-0.0407992939910983	-463.13169952924966	10485.651837302155	5356402
GCF_003031645.1	NZ_CP020507.1	5259650	2610970	0.0399603700693527	-0.0417633042637091	-624.5050308326632	10437.266175445471	5289724
GCF_003071565.1	NZ_CP028946.1	1548080	4106540	0.041711351081919	-0.0415386717025352	-6391.297981449931	4280.3879782160175	5180277
GCF_003071585.1	NZ_CP028947.1	5132840	2524510	0.0434284443164691	-0.043243864498318	-319.5564639638244	10974.384286794197	5138817
GCF_003071605.1	NZ_CP028948.1	1499090	4105730	0.0423235046444086	-0.0414836696349788	-5880.698431012784	5161.183176840244	5140937
GCF_003071625.1	NZ_CP028949.1	2399220	5005860	0.0423193597240776	-0.0414763750413567	-9947.22319651309	1093.577979827608	5140918
GCF_003146705.1	NZ_CP029449.1	2700390	5535880	0.0443462883175376	-0.0410582387282506	-11144.62700805025	1469.4470520357834	5540160
GCF_003182655.1	NZ_CP027300.1	760	2517840	0.0426257656522287	-0.0391875598251257	-1.9084525285120084	10727.350172243638	5142714
GCF_003186475.1	NZ_CP021164.1	5029270	2417950	0.0428198955223342	-0.0413553608803771	-430.5020495528729	10368.71908987912	5059456
GCF_003204075.1	NZ_CP029715.1	4061050	1451070	0.0415720401809176	-0.0423066270808121	-4688.89840298923	6353.052310222853	5140937
GCF_003204405.1	NZ_CP029746.1	2638370	28410	0.0415715573353649	-0.0422991804302101	-10951.196092074277	88.7244603902895	5140912
GCF_003355135.1	NZ_CP031316.1	930	2514830	0.0428707908422763	-0.0386523199538084	-2.1873244692678524	10779.134887161372	5074473
GCF_003516165.1	NZ_CP027798.1	4795180	2189180	0.04097539452757	-0.0434919159401581	-2410.458275165077	8923.547963695153	5199559
GCF_003516185.1	NZ_CP027796.1	3146680	563000	0.0434020947947087	-0.0408002273350694	-8169.296905650527	2372.1835478536605	5201791
GCF_003967055.1	NZ_AP019009.1	5039520	2481680	0.0423164566076629	-0.0411337666682476	-12.422103566936604	10508.950185937323	5071908
GCF_006711125.1	NZ_CP041125.1	980	2658860	0.0436878690982844	-0.0416500833135322	-3.1576519150764697	11608.593992290434	5307451
GCF_006711245.1	NZ_CP041129.1	5199760	2509120	0.04318692501683	-0.0438524278836968	-954.3360428951474	10845.471970728557	5233072
GCF_006711405.1	NZ_CP041130.1	980	2692980	0.0429798649723777	-0.0416085885605548	-3.1576519150764764	11567.0664489636	5325027
GCF_006716725.1	NZ_CP041132.1	5277260	2584200	0.0432447099701688	-0.0432589109289956	-462.6023169587624	11188.4492021066	5309876
GCF_006716825.1	NZ_CP041134.1	980	2692950	0.0429781129710479	-0.0416077258784012	-3.1576519150764737	11566.465875866765	5324996
GCF_006842785.1	NZ_CP041123.1	980	2658840	0.0436831663023553	-0.041651304414404	-3.157651915076475	11607.260837237143	5307415
GCF_008364265.2	NZ_CP053572.1	5058110	2512010	0.0417493865560665	-0.0425820096040537	-331.2719050010305	10523.85843625041	5088187
GCF_008931425.1	NZ_CP042512.1	5389610	2558370	0.0437641077900821	-0.0426573448001353	-866.8019130457869	11210.527720443555	5419694
GCF_009834305.1	NZ_CP033623.1	4603030	1946760	0.0435089485569352	-0.0420485361127256	-2430.879311473659	8738.66110505357	5276341
GCF_009858195.1	NZ_CP047391.1	5092190	2549940	0.0417363201382339	-0.0422984506700624	-87.50964360510959	10665.823928241503	5122776
GCF_009909345.1	NZ_CP047679.1	5299180	2602930	0.0444055954949872	-0.0430738928765363	-45.87292217095015	11567.930798201569	5331789
GCF_009909385.1	NZ_CP047688.1	890	2726330	0.0414174577711512	-0.0395211093678432	-2.314704097108497	11285.768639927654	5429004
GCF_009909405.1	NZ_CP047685.1	890	2725990	0.0414190948823129	-0.0398106501922592	-2.314704097108494	11284.806559461606	5416416
GCF_009909425.1	NZ_CP047691.1	890	2730010	0.041321254848113	-0.0395559025553335	-2.3147040971084984	11285.098097337745	5427741
GCF_009936295.1	NZ_AP021873.1	5114660	2486160	0.0413460580214487	-0.0411541444455042	-512.6362362040257	10304.745216722418	5148533
GCF_011602465.1	NZ_CP050013.1	18210	2558950	0.0443003319711103	-0.0412514761312547	-64.90028178371257	11190.66977529157	5088390
GCF_011769885.1	NZ_CP050447.1	3118910	533240	0.0431260507843313	-0.0424248752444665	-8672.022313719759	2297.9418626102133	5217372
GCF_012273115.1	NZ_CP050960.1	4433030	1827550	0.0425081390527512	-0.0412058869727953	-2674.912390505891	8061.202727531691	5121484
GCF_013112395.1	NZ_CP053286.1	5375320	2629740	0.0436242736290493	-0.0419847879901729	-50.34652863816795	11476.920520476737	5407775
GCF_013122155.1	NZ_CP053378.1	5041870	2447200	0.0423264468483563	-0.0427710713712834	-713.8599148964242	10404.35823412636	5074453
GCF_013367735.1	NZ_CP055161.1	162360	2623690	0.0413014602977864	-0.0422280684592162	-548.8996770666524	9617.816191257103	4925622
GCF_013377375.1	NZ_CP040350.1	4530410	1995960	0.0416897965415091	-0.0425537352083894	-2354.1348326197112	8430.90195726351	5117289
