assembly_accession	seq_id	origin	terminus	repl_1_mean	repl_2_mean	c_skew_min	c_skew_max	length
GCF_008586825.1	NZ_CP043771.1	1419130	458970	0.0232950643230601	-0.0443273257857732	-2160.1984648901366	2374.9732755823125	1984979
GCF_000767075.1	NZ_CP009610.1	436850	1393290	0.0397683621507911	-0.0398434338449255	-1209.2269107662007	2594.600616896862	1850897
GCF_000931575.1	NZ_CP007470.1	1238200	267040	0.0122080916808957	-0.0412259220218181	-3299.913036970946	1896.6453458723984	1846259
GCF_000931605.1	NZ_CP007471.1	388780	1330560	0.0463555676622205	-0.0374535113000529	-1017.7147209165812	3347.96601209912	1846503
GCF_000931625.1	NZ_CP007472.1	1056140	166320	0.0458274581707966	-0.0398354927133684	-2256.429325191506	1295.9906388345912	1887620
GCF_001457655.1	NZ_LN831035.1	426850	1433500	0.0455197819407345	-0.0382405290895556	-1133.185865959773	3570.8670047311625	1890645
GCF_001856725.1	NZ_CP017811.1	1011860	98960	0.0395504786388051	-0.042341855548454	-3238.353829756925	627.047056519094	1829217
GCF_002073475.2	NZ_CP020411.2	1480960	613560	0.0426963020056417	-0.0369610990912488	-19.0052202032393	3318.580251256876	1830681
GCF_002966575.1	NZ_CP020006.1	704470	1590870	0.039122731216066	-0.0378428295138279	-2172.305986939252	1295.5545152539044	1857175
GCF_002966595.1	NZ_CP020007.1	708610	1590770	0.0392465835964976	-0.0378909078009634	-2188.3637729032976	1273.8496546524627	1857048
GCF_002966615.1	NZ_CP020008.1	671660	1603920	0.0331199395881466	-0.0450912949697833	-2344.938080959464	742.7126192306964	1886450
GCF_002966635.1	NZ_CP020009.1	667410	1581830	0.0377595730864154	-0.0401014397010754	-2332.5911791231024	1131.004699662518	1886411
GCF_002966655.1	NZ_CP020010.1	660090	1541660	0.0332762913249907	-0.0444846891016986	-2085.4781977954653	848.069310496096	1823096
GCF_002966675.1	NZ_CP020011.1	584350	1556640	0.0376590774181633	-0.0318759999112952	-1548.211526143204	2493.509636953307	1823172
