assembly_accession	rel_start	rel_center	rel_end	orientation	has_tandem
GCF_000019245.4	0.1993569872066496	0.199921367981301	0.2004857487559522	+	False
GCF_000019245.4	0.558293088080091	0.5588574688547423	0.5594218496293936	+	False
GCF_000019245.4	0.5722259911555165	0.5727903719301679	0.5733547527048192	+	False
GCF_000019245.4	-0.7307150378749279	-0.7301820714018818	-0.729649104928836	-	False
GCF_000019245.4	-0.2875600394035123	-0.2870270729304663	-0.2864941064574204	-	False
GCF_000026485.1	0.1608418367346938	0.1613347617372071	0.1618276867397205	+	False
GCF_000026485.1	0.555130944003217	0.5556238690057302	0.5561167940082437	+	False
GCF_000026485.1	0.5687518849904494	0.5692448099929628	0.569737734995476	+	False
GCF_000026485.1	-0.7341316254345704	-0.7336042928702218	-0.7330769603058731	-	False
GCF_000026485.1	-0.2950951685716513	-0.2945678360073026	-0.2940405034429539	-	False
GCF_000194765.1	0.1599595806492358	0.1604550334722749	0.1609504862953139	+	False
GCF_000194765.1	0.552913982569155	0.5534094353921941	0.5539048882152331	+	False
GCF_000194765.1	0.566604774535809	0.5671002273588481	0.5675956801818871	+	False
GCF_000194765.1	-0.7338627107766699	-0.7333349702595178	-0.7328072297423658	-	False
GCF_000194765.1	-0.2951653721495621	-0.2946376316324101	-0.294109891115258	-	False
GCF_000194785.1	0.1648884022029695	0.1653937324873586	0.1658990627717478	+	False
GCF_000194785.1	0.5704492898322007	0.5709546201165898	0.5714599504009791	+	False
GCF_000194785.1	0.5844130245740603	0.5849183548584496	0.5854236851428387	+	False
GCF_000194785.1	-0.7338314749440331	-0.7333037578568968	-0.7327760407697607	-	False
GCF_000194785.1	-0.2951542857757878	-0.2946265686886515	-0.2940988516015154	-	False
GCF_000318035.1	0.1610013084065118	0.1614947915356164	0.1619882746647208	+	False
GCF_000318035.1	0.5547196990665023	0.5552131821956068	0.5557066653247112	+	False
GCF_000318035.1	0.568353546536497	0.5688470296656014	0.569340512794706	+	False
GCF_000318035.1	-0.7338068449456954	-0.7332789389392084	-0.7327510329327214	-	False
GCF_000318035.1	-0.2953999165578779	-0.2948720105513909	-0.2943441045449039	-	False
GCF_000388095.2	0.1652007697406952	0.1657056707234661	0.1662105717062371	+	False
GCF_000388095.2	0.569828224254555	0.570333125237326	0.5708380262200969	+	False
GCF_000388095.2	0.5837800961532273	0.5842849971359982	0.5847898981187691	+	False
GCF_000388095.2	-0.7337464564739826	-0.7332195867917901	-0.7326927171095976	-	False
GCF_000388095.2	-0.294903299769037	-0.2943764300868445	-0.293849560404652	-	False
GCF_000418515.1	0.1716200570003562	0.1721191281999083	0.1726181993994605	+	False
GCF_000418515.1	0.592098198381597	0.5925972695811492	0.5930963407807013	+	False
GCF_000418515.1	0.6044181637742378	0.6049172349737901	0.6054163061733422	+	False
GCF_000418515.1	-0.743575357029113	-0.743066496895272	-0.7425576367614312	-	False
GCF_000418515.1	-0.2760344065990305	-0.2755255464651895	-0.2750166863313487	-	False
GCF_001191565.1	0.1790043453382674	0.1795791080883662	0.1801538708384649	+	False
GCF_001191565.1	0.5441409732942294	0.5447157360443282	0.5452904987944269	+	False
GCF_001191565.1	0.5622637666485214	0.5628385293986202	0.5634132921487188	+	False
GCF_001191565.1	-0.681834934187122	-0.6812767698327997	-0.6807186054784774	-	False
GCF_001191565.1	-0.2145713269299181	-0.2140131625755958	-0.2134549982212735	-	False
GCF_001244395.1	0.1740362053663696	0.1745381867370699	0.1750401681077701	+	False
GCF_001244395.1	0.571536344539025	0.5720383259097253	0.5725403072804255	+	False
GCF_001244395.1	0.5839761403679405	0.5844781217386408	0.5849801031093411	+	False
GCF_001244395.1	-0.7230624393015466	-0.7225441488342593	-0.7220258583669721	-	False
GCF_001244395.1	-0.2902466256614893	-0.289728335194202	-0.2892100447269147	-	False
GCF_001514415.1	0.7024220851575552	0.7029467788688553	0.7034714725801554	+	False
GCF_001514415.1	-0.571730594986409	-0.5711795775884473	-0.5706285601904856	-	False
GCF_001514415.1	-0.5564524172420332	-0.5559013998440716	-0.5553503824461099	-	False
GCF_001514415.1	-0.2151117135973815	-0.2145606961994197	-0.2140096788014581	-	False
GCF_001514415.1	0.2528669210879385	0.2533916147992385	0.2539163085105387	+	False
GCF_002079285.1	-0.5768539369467308	-0.576346288243516	-0.5758386395403012	-	False
GCF_002079285.1	-0.56427304964539	-0.5637654009421753	-0.5632577522389605	-	False
GCF_002079285.1	-0.1743522544908629	-0.1738446057876481	-0.1733369570844334	-	False
GCF_002079285.1	0.2908465361872506	0.291365889633586	0.2918852430799215	+	False
GCF_002079285.1	0.7281408139648813	0.7286601674112168	0.7291795208575522	+	False
GCF_002257625.1	0.1968299384230648	0.1973736924258429	0.1979174464286209	+	False
GCF_002257625.1	0.5535034531324944	0.5540472071352724	0.5545909611380504	+	False
GCF_002257625.1	0.5669784328240275	0.5675221868268054	0.5680659408295835	+	False
GCF_002257625.1	-0.7339640883056961	-0.7334410150754439	-0.7329179418451917	-	False
GCF_002257625.1	-0.2937684609178618	-0.2932453876876095	-0.2927223144573573	-	False
GCF_002442835.1	0.511940803526674	0.5125216474495806	0.5131024913724872	+	False
GCF_002442835.1	0.5290855095544938	0.5296663534774004	0.530247197400307	+	False
GCF_002442835.1	-0.6803406551399671	-0.6797639525993884	-0.6791872500588096	-	False
GCF_002442835.1	-0.2197350623382733	-0.2191583597976947	-0.2185816572571159	-	False
GCF_002442835.1	0.1800579141002546	0.1806387580231612	0.1812196019460677	+	False
GCF_002865565.1	0.1782190991368583	0.1787328583216545	0.1792466175064506	+	False
GCF_002865565.1	0.5799368688522443	0.5804506280370405	0.5809643872218365	+	False
GCF_002865565.1	0.592618108947072	0.5931318681318682	0.5936456273166643	+	False
GCF_002865565.1	-0.6933240759108642	-0.6928056602525954	-0.6922872445943266	-	False
GCF_002865565.1	-0.2824294121536732	-0.2819106658731733	-0.2813919195926734	-	False
GCF_002902825.1	0.1802625053335485	0.1807751140709628	0.1812877228083771	+	False
GCF_002902825.1	0.5808663969780588	0.5813786790049966	0.5818909610319346	+	False
GCF_002902825.1	0.5935172800438053	0.5940298887812197	0.594542497518634	+	False
GCF_002902825.1	-0.6925210162030284	-0.6920012463868042	-0.69148147657058	-	False
GCF_002902825.1	-0.2806399002890556	-0.2801197989869792	-0.2795996976849028	-	False
GCF_003177075.1	0.1821425537337524	0.1827121848785258	0.1832818160232993	+	False
GCF_003177075.1	0.5406899616397535	0.541259592784527	0.5418292239293004	+	False
GCF_003177075.1	0.5547517548197185	0.5553213859644919	0.5558910171092654	+	False
GCF_003177075.1	-0.7088132640882552	-0.7083071513822135	-0.7078010386761717	-	False
GCF_003177075.1	-0.2792761523821812	-0.2787700396761394	-0.2782639269700977	-	False
GCF_003199005.1	-0.5740991774533444	-0.5735763384877457	-0.5730534995221471	-	False
GCF_003199005.1	-0.5611918195862341	-0.5606689806206355	-0.560146141655037	-	False
GCF_003199005.1	-0.1870064020281753	-0.1864835630625767	-0.1859607240969781	-	False
GCF_003199005.1	0.2778353505278218	0.2783409380921078	0.2788465256563938	+	False
GCF_003199005.1	0.7217889228310326	0.7222941881597773	0.7227994534885219	+	False
GCF_003268715.1	-0.2787899237448474	-0.2782828273034428	-0.2777757308620381	-	False
GCF_003268715.1	0.1802434025622025	0.180766791505611	0.1812901804490196	+	False
GCF_003268715.1	0.5913814397201471	0.5919051624575247	0.5924288851949023	+	False
GCF_003268715.1	0.6054067947100332	0.6059305174474108	0.6064542401847883	+	False
GCF_003268715.1	-0.7293604638009415	-0.7288536905567589	-0.7283469173125763	-	False
GCF_003627255.1	-0.5973150919196237	-0.5967990923142696	-0.5962830927089157	-	False
GCF_003627255.1	-0.5845778932482653	-0.5840618936429112	-0.5835458940375572	-	False
GCF_003627255.1	-0.185898641760121	-0.1853826421547669	-0.1848666425494129	-	False
GCF_003627255.1	0.2816459907043423	0.2821705514474066	0.2826951121904707	+	False
GCF_003627255.1	0.7122565339406515	0.7127810946837156	0.7133056554267798	+	False
GCF_003966835.1	0.1880541382507845	0.1885660646012554	0.1890779909517262	+	False
GCF_003966835.1	0.6055276299930764	0.6060395563435472	0.6065514826940182	+	False
GCF_003966835.1	0.6182132236873444	0.6187251500378153	0.6192370763882862	+	False
GCF_003966835.1	-0.7034544950949133	-0.7029491713205409	-0.7024438475461684	-	False
GCF_003966835.1	-0.2640514792556377	-0.2635461554812653	-0.2630408317068929	-	False
GCF_004141835.1	0.171301803684532	0.1718062566311931	0.1723107095778542	+	False
GCF_004141835.1	0.577098029129023	0.577602482075684	0.5781069350223451	+	False
GCF_004141835.1	0.5895990740443044	0.5901035269909656	0.5906079799376266	+	False
GCF_004141835.1	-0.7250486480111644	-0.7245346498325984	-0.7240206516540324	-	False
GCF_004141835.1	-0.2870160587576248	-0.2865020605790587	-0.2859880624004927	-	False
GCF_007292115.1	-0.5844141925111939	-0.5839076860499275	-0.5834011795886612	-	False
GCF_007292115.1	-0.5704179566063744	-0.5699114501451081	-0.5694049436838419	-	False
GCF_007292115.1	-0.1662813257621001	-0.1657748193008338	-0.1652683128395675	-	False
GCF_007292115.1	0.2942914405235088	0.2948190518464715	0.2953466631694342	+	False
GCF_007292115.1	0.7328800382005394	0.7334073132511483	0.7339345883017574	+	False
GCF_008329845.1	0.1699682633880768	0.1704743075355101	0.1709803516829435	+	False
GCF_008329845.1	0.5692948279643415	0.5698011946383188	0.570307561312296	+	False
GCF_008329845.1	0.5818353050456052	0.5823413491930385	0.582847393340472	+	False
GCF_008329845.1	-0.7166046511627907	-0.7160680574555404	-0.71553146374829	-	False
GCF_008329845.1	-0.2683939808481532	-0.2678573871409029	-0.2673207934336525	-	False
GCF_008807095.1	0.160903262304356	0.1613963794078823	0.1618894965114086	+	False
GCF_008807095.1	0.5542994531397323	0.5547925702432586	0.5552856873467849	+	False
GCF_008807095.1	0.5679250738575649	0.5684181909610913	0.5689113080646175	+	False
GCF_008807095.1	-0.7339758313318325	-0.7334481884260233	-0.7329205455202142	-	False
GCF_008807095.1	-0.2953603071291988	-0.2948326642233897	-0.2943050213175805	-	False
GCF_009931715.1	-0.5694609959197218	-0.5689753369433261	-0.5684896779669306	-	False
GCF_009931715.1	-0.5574256917003388	-0.5569400327239433	-0.5564543737475477	-	False
GCF_009931715.1	-0.1648392806180281	-0.1643536216416325	-0.163867962665237	-	False
GCF_009931715.1	0.291770267671845	0.2922904275986449	0.2928105875254444	+	False
GCF_009931715.1	0.7225243503802571	0.7230445103070569	0.7235646702338565	+	False
GCF_012955485.1	0.1660529683344206	0.1665450770311638	0.1670371857279068	+	False
GCF_012955485.1	0.5725811712751543	0.5730732799718974	0.5735653886686405	+	False
GCF_012955485.1	0.5847763085261204	0.5852684172228635	0.5857605259196066	+	False
GCF_012955485.1	-0.7235540614909262	-0.7230339015641265	-0.7225137416373268	-	False
GCF_012955485.1	-0.2927999787825141	-0.2922798188557145	-0.2917596589289148	-	False
GCF_013307125.1	-0.2933790907632821	-0.2928594814776522	-0.2923398721920221	-	False
GCF_013307125.1	0.1746935608999224	0.1752227881404526	0.1757520153809829	+	False
GCF_013307125.1	0.5687779539245118	0.5693071811650421	0.5698364084055723	+	False
GCF_013307125.1	0.58186460687422	0.5823938341147503	0.5829230613552805	+	False
GCF_013307125.1	-0.723514838689153	-0.72299489802005	-0.722474957350947	-	False
GCF_014905015.1	-0.5110608884629606	-0.5104692841134613	-0.5098776797639619	-	False
GCF_014905015.1	-0.495660310441364	-0.4950683287931724	-0.4944763471449808	-	False
GCF_014905015.1	-0.1796462447461157	-0.1790542630979241	-0.1784622814497325	-	False
GCF_014905015.1	0.2425850933142891	0.2431198574144293	0.2436546215145692	+	False
GCF_014905015.1	0.6792199810786274	0.6797550862273005	0.6802901913759739	+	False
GCF_014905075.1	0.5691973811752952	0.5697164483761368	0.5702355155769784	+	False
GCF_014905075.1	0.5820103019455922	0.5825293691464339	0.5830484363472754	+	False
GCF_014905075.1	-0.7334752611063575	-0.7329428621874533	-0.7324104632685491	-	False
GCF_014905075.1	-0.2728510505371525	-0.2723183120781214	-0.2717855736190903	-	False
GCF_014905075.1	0.1537424778263358	0.1542615450271773	0.154780612228019	+	False
GCF_015377585.1	0.175967971482915	0.1764896984690689	0.1770114254552225	+	False
GCF_015377585.1	0.526497346474602	0.5270190734607558	0.5275408004469095	+	False
GCF_015377585.1	0.5393772528364125	0.5398989798225662	0.54042070680872	+	False
GCF_015377585.1	-0.715800267057912	-0.7152829659913289	-0.7147656649247457	-	False
GCF_015377585.1	-0.2907766110021266	-0.2902593099355435	-0.2897420088689603	-	False
GCF_017638905.1	0.1781044976887049	0.1786140413207735	0.179123584952842	+	False
GCF_017638905.1	0.5634506853345613	0.5639602289666299	0.5644697725986985	+	False
GCF_017638905.1	0.5760778845073404	0.576587428139409	0.5770969717714777	+	False
GCF_017638905.1	-0.7282505948483218	-0.7277419752205964	-0.727233355592871	-	False
GCF_017638905.1	-0.2823250627265124	-0.2818164430987869	-0.2813078234710615	-	False
GCF_018064185.1	0.5933028081175106	0.5938697359539926	0.5944366637904744	+	False
GCF_018064185.1	-0.7252226933116049	-0.7246809788838404	-0.7241392644560759	-	False
GCF_018064185.1	-0.2616276982143103	-0.2610859837865459	-0.2605442693587814	-	False
GCF_902386635.1	0.1740362053663696	0.1745381867370699	0.1750401681077701	+	False
GCF_902386635.1	0.571536344539025	0.5720383259097253	0.5725403072804255	+	False
GCF_902386635.1	0.5839761403679405	0.5844781217386408	0.5849801031093411	+	False
GCF_902386635.1	-0.7230624393015466	-0.7225441488342593	-0.7220258583669721	-	False
GCF_902386635.1	-0.2902466256614893	-0.289728335194202	-0.2892100447269147	-	False
GCF_002813615.1	0.1813758102225854	0.1818728734627155	0.1823699367028455	+	False
GCF_002813615.1	0.6010353108150063	0.6015320572525613	0.6020288036901164	+	False
GCF_002813615.1	0.613303807333346	0.6138008705734761	0.6142979338136061	+	False
GCF_002813615.1	-0.7352527352385979	-0.73472494122906	-0.7341971472195219	-	False
GCF_002813615.1	-0.3030924420436399	-0.302564648034102	-0.302036854024564	-	False
GCF_009739485.1	0.1743985581554333	0.1748861129237748	0.1753736676921164	+	False
GCF_009739485.1	0.5656666977409031	0.5661542525092447	0.5666418072775862	+	False
GCF_009739485.1	0.5777483608340325	0.578235915602374	0.5787234703707156	+	False
GCF_009739485.1	-0.7510251941135818	-0.7505268887962926	-0.7500285834790033	-	False
GCF_009739485.1	-0.2859954927029554	-0.2854971873856661	-0.2849988820683767	-	False
GCF_003957435.1	0.1667411412193851	0.1672521495570609	0.1677631578947368	+	False
GCF_003957435.1	0.5655810317873893	0.5660920401250651	0.566603048462741	+	False
GCF_003957435.1	0.5797016675351746	0.5802126758728505	0.5807236842105263	+	False
GCF_003957435.1	-0.7339287575787127	-0.733401148029955	-0.7328735384811974	-	False
GCF_003957435.1	-0.2953416347489231	-0.2948140252001654	-0.2942864156514078	-	False
GCF_015476075.1	-0.7290410285136557	-0.7285051166095118	-0.727969204705368	-	False
