assembly_accession	start	end	orientation
GCF_001598635.1	11869	13429	+
GCF_001598635.1	1475521	1477081	-
GCF_001598635.1	1845692	1847252	-
GCF_001598635.1	2112705	2114265	+
GCF_001878735.2	217194	218754	+
GCF_001878735.2	823219	824779	+
GCF_001878735.2	2291358	2292918	-
GCF_001878735.2	2643161	2644721	-
GCF_001886675.1	251213	252773	+
GCF_001886675.1	875956	877516	+
GCF_001886675.1	2282922	2284482	-
GCF_001886675.1	2666532	2668092	-
GCF_001931845.1	106961	108528	+
GCF_001931845.1	1501333	1502900	-
GCF_001931845.1	1882611	1884178	-
GCF_001931845.1	2157976	2159543	+
GCF_001989555.1	220043	221603	+
GCF_001989555.1	1032362	1033922	+
GCF_001989555.1	2671528	2673088	-
GCF_001989555.1	3043637	3045197	-
GCF_002140075.1	2888223	2889783	+
GCF_002163735.1	364215	365782	+
GCF_002163735.1	978819	980386	+
GCF_002163735.1	2456948	2458515	-
GCF_002163735.1	2823539	2825106	-
GCF_002289045.2	252811	254371	+
GCF_002289045.2	936778	938338	+
GCF_002289045.2	2643964	2645524	-
GCF_002289045.2	3076799	3078359	-
GCF_002355755.1	224795	226355	+
GCF_002355755.1	836256	837816	+
GCF_002355755.1	2282200	2283760	-
GCF_002355755.1	2655504	2657064	-
GCF_003030425.1	97587	99147	+
GCF_003030425.1	1067244	1068804	+
GCF_003030425.1	2521025	2522585	-
GCF_003030425.1	2752692	2754252	-
GCF_003345275.1	221247	222814	+
GCF_003345275.1	992299	993866	+
GCF_003345275.1	2624730	2626297	-
GCF_003345275.1	2998176	2999743	-
GCF_003812665.1	759549	761116	-
GCF_003812665.1	1028707	1030274	+
GCF_003812665.1	1400802	1402368	+
GCF_003812665.1	2937545	2939111	-
GCF_003966385.1	208520	210080	+
GCF_003966385.1	841609	843169	+
GCF_003966385.1	2429872	2431432	-
GCF_003966385.1	2825937	2827497	-
GCF_003966405.1	206986	208546	+
GCF_003966405.1	838541	840101	+
GCF_003966405.1	2426804	2428364	-
GCF_003966405.1	2822869	2824429	-
GCF_004006595.1	213421	214981	+
GCF_004006595.1	818900	820459	+
GCF_004006595.1	2313794	2315354	-
GCF_004006595.1	2691724	2693284	-
GCF_004332015.1	73684	75244	-
GCF_004332015.1	816353	817913	-
GCF_004332015.1	1096864	1098424	+
GCF_004332015.1	1552778	1554338	+
GCF_004332035.1	970868	972428	-
GCF_004332035.1	1358409	1359969	-
GCF_004332035.1	1644379	1645939	+
GCF_004332035.1	2246011	2247571	+
GCF_005158025.1	307928	309495	+
GCF_005158025.1	994265	995832	+
GCF_005158025.1	2546618	2548185	-
GCF_005158025.1	2932829	2934396	-
GCF_005484525.1	216792	218359	+
GCF_005484525.1	820398	821965	+
GCF_005484525.1	2282858	2284425	-
GCF_005484525.1	2647379	2648946	-
GCF_005979285.1	62082	63642	+
GCF_005979285.1	439805	441365	+
GCF_005979285.1	1994736	1996296	-
GCF_005979285.1	2609432	2610992	-
GCF_005979305.1	225368	226928	+
GCF_005979305.1	863371	864931	+
GCF_005979305.1	2393491	2395051	-
GCF_005979305.1	2764380	2765940	-
GCF_006349345.1	138669	140236	+
GCF_006349345.1	529771	531336	+
GCF_006349345.1	1984163	1985730	-
GCF_006349345.1	2766351	2767918	-
GCF_006494835.1	248457	250022	+
GCF_006494835.1	1018173	1019740	+
GCF_006494835.1	2772123	2773690	-
GCF_006494835.1	3189301	3190866	-
GCF_006494855.1	248457	250022	+
GCF_006494855.1	1018173	1019740	+
GCF_006494855.1	2772123	2773690	-
GCF_006494855.1	3168762	3170327	-
GCF_006494875.1	248457	250022	+
GCF_006494875.1	1018173	1019740	+
GCF_006494875.1	2755309	2756876	-
GCF_006494875.1	3151948	3153513	-
GCF_006766145.1	245383	246950	+
GCF_006766145.1	874429	875996	+
GCF_006766145.1	2352176	2353743	-
GCF_006766145.1	2736664	2738231	-
GCF_007632055.1	1270435	1272002	-
GCF_007632055.1	1637583	1638760	-
GCF_007632055.1	1920103	1921429	+
GCF_007632055.1	2573378	2574945	+
GCF_009498155.1	288977	290537	+
GCF_009498155.1	915203	916763	+
GCF_009498155.1	2459950	2461510	-
GCF_009498155.1	2844411	2845971	-
GCF_009498175.3	230461	232021	+
GCF_009498175.3	879872	881431	+
GCF_009498175.3	2362581	2364141	-
GCF_009498175.3	2773577	2775137	-
GCF_009914685.2	3943	5503	-
GCF_009914685.2	303533	305093	+
GCF_009914685.2	894600	896160	+
GCF_009914685.2	2419680	2421240	-
GCF_011193375.1	266501	268061	+
GCF_011193375.1	870308	871868	+
GCF_011193375.1	2399416	2400976	-
GCF_011193375.1	2784187	2785747	-
GCF_012594215.1	204084	205644	+
GCF_012594215.1	1009425	1010985	+
GCF_012594215.1	2545972	2547532	-
GCF_012594215.1	2944119	2945679	-
GCF_013344625.1	75066	76633	-
GCF_013344625.1	333132	334699	+
