assembly_accession	start	end	orientation
GCF_000590575.1	854212	855765	+
GCF_000590575.1	876262	877815	+
GCF_000590595.1	854307	855860	+
GCF_000590595.1	876358	877911	+
GCF_000590615.1	854378	855931	+
GCF_000590615.1	876429	877982	+
GCF_000590655.1	854620	856173	+
GCF_000590655.1	876671	878224	+
GCF_000590675.1	854364	855917	+
GCF_000590675.1	876415	877968	+
GCF_000590695.1	853200	854753	+
GCF_000590695.1	875246	876799	+
GCF_000590715.1	854794	856347	+
GCF_000590715.1	876840	878393	+
GCF_000590735.1	854394	855947	+
GCF_000590735.1	876445	877998	+
GCF_000590755.1	854820	856373	+
GCF_000590755.1	876866	878419	+
GCF_000971705.1	133973	135525	+
GCF_000971705.1	156017	157569	+
GCF_000971725.1	133973	135525	+
GCF_000971725.1	156017	157569	+
GCF_001183805.1	855246	856798	+
GCF_001183805.1	877297	878849	+
GCF_001183825.1	855272	856824	+
GCF_001183825.1	877323	878875	+
GCF_001183845.1	854324	855876	+
GCF_001183845.1	876369	877921	+
GCF_001655335.1	854624	856176	+
GCF_001655335.1	876676	878228	+
GCF_001655375.1	854620	856172	+
GCF_001655375.1	876671	878223	+
GCF_001655415.1	854616	856168	+
GCF_001655415.1	876667	878219	+
GCF_001655455.1	854329	855881	+
GCF_001655455.1	876380	877932	+
GCF_001655495.1	860530	862082	+
GCF_001655495.1	882581	884133	+
GCF_001655535.1	859647	861199	+
GCF_001655535.1	881697	883249	+
GCF_001655575.1	854350	855902	+
GCF_001655575.1	876401	877953	+
GCF_001729845.1	856870	858422	+
GCF_001729845.1	878916	880468	+
GCF_001729865.1	856869	858421	+
GCF_001729865.1	878915	880467	+
GCF_001729885.1	856870	858422	+
GCF_001729885.1	878916	880468	+
GCF_001729905.1	856870	858422	+
GCF_001729905.1	878916	880468	+
GCF_001885175.1	860633	862186	+
GCF_002088315.1	853999	855551	+
GCF_002088315.1	876044	877596	+
GCF_002088335.1	853975	855527	+
GCF_002088335.1	876020	877572	+
GCF_002088355.1	853981	855533	+
GCF_002088355.1	876026	877578	+
GCF_002192565.1	133955	135507	+
GCF_002192565.1	155999	157551	+
GCF_002192615.1	133955	135507	+
GCF_002192615.1	155999	157551	+
GCF_002192635.1	133955	135507	+
GCF_002192635.1	155999	157551	+
GCF_002776745.1	859328	860880	+
GCF_002776745.1	881379	882931	+
GCF_002776795.1	859328	860880	+
GCF_002776795.1	881379	882931	+
GCF_002776845.1	860134	861686	+
GCF_002776845.1	882178	883730	+
GCF_002776885.1	860142	861694	+
GCF_002776885.1	882186	883738	+
GCF_002776915.1	854610	856162	+
GCF_002776915.1	876656	878208	+
GCF_002776935.1	854654	856206	+
GCF_002776935.1	876700	878252	+
GCF_002776955.1	854186	855737	+
GCF_002776955.1	876231	877783	+
GCF_002776975.1	854194	855745	+
GCF_002776975.1	876239	877791	+
GCF_002776995.1	854196	855747	+
GCF_002776995.1	876241	877793	+
GCF_002777015.1	854197	855748	+
GCF_002777015.1	876242	877794	+
GCF_002777035.1	860298	861850	+
GCF_002777035.1	882344	883896	+
GCF_002777055.1	860298	861850	+
GCF_002777055.1	882344	883896	+
GCF_002777075.1	860298	861850	+
GCF_002777075.1	882344	883896	+
GCF_002777095.1	854858	856410	+
GCF_002777095.1	876909	878461	+
GCF_002777115.1	854785	856337	+
GCF_002777115.1	876836	878388	+
GCF_002777135.1	859917	861469	+
GCF_002777135.1	881963	883515	+
GCF_002777155.1	859916	861468	+
GCF_002777155.1	881962	883514	+
GCF_004135145.1	133967	135519	+
GCF_004135145.1	171740	173288	+
GCF_013341035.1	322561	324114	+
GCF_013341035.1	344605	346158	+
GCF_013341055.1	322561	324114	+
GCF_013341055.1	344605	346158	+
GCF_013341075.1	799007	800560	+
GCF_013341075.1	821051	822604	+
GCF_013341095.1	799006	800559	+
GCF_013341095.1	821050	822603	+
GCF_018336255.1	133967	135519	+
GCF_018336255.1	156011	157563	+
GCF_018336275.1	135390	136942	+
GCF_018336275.1	157434	158986	+
GCF_018336295.1	133967	135519	+
GCF_018336295.1	156011	157563	+
GCF_018336315.1	133967	135519	+
GCF_018336315.1	156011	157563	+
GCF_018337015.1	133967	135519	+
GCF_018337015.1	156011	157563	+
GCF_000008725.1	854128	855677	+
GCF_000008725.1	876174	877723	+
GCF_000012125.1	856870	858422	+
GCF_000012125.1	878916	880468	+
GCF_000068585.1	133967	135519	+
GCF_000068585.1	156011	157563	+
GCF_000068525.2	133973	135525	+
GCF_000068525.2	156017	157569	+
GCF_000173475.1	854794	856346	+
GCF_000173475.1	876840	878392	+
GCF_000173495.1	854793	856345	+
GCF_000173495.1	876839	878391	+
GCF_000173515.1	859631	861183	+
GCF_000173515.1	881681	883233	+
GCF_000173535.1	857689	859241	+
GCF_000173535.1	879739	881291	+
GCF_000174055.1	854368	855920	+
GCF_000174055.1	876419	877971	+
GCF_000226605.1	856724	858276	+
GCF_000226605.1	878771	880323	+
GCF_000284475.1	856723	858275	+
GCF_000284475.1	878770	880322	+
GCF_000026925.1	856754	858306	+
GCF_000026925.1	878800	880352	+
GCF_000318645.1	854891	856443	+
GCF_000318645.1	876882	878434	+
GCF_000210495.1	855052	856604	+
GCF_000210495.1	877103	878655	+
GCF_000175515.1	133967	135519	+
GCF_000175515.1	156011	157563	+
GCF_000175515.1	193793	195345	+
GCF_000026905.1	856679	858231	+
GCF_000026905.1	878726	880278	+
GCF_000092745.1	854635	856187	+
GCF_000092745.1	876686	878238	+
GCF_000092665.1	854620	856172	+
GCF_000092665.1	876671	878223	+
GCF_000092685.1	854419	855971	+
GCF_000092685.1	876465	878017	+
GCF_000092705.1	853969	855521	+
GCF_000092705.1	876012	877564	+
GCF_000092725.1	854484	856036	+
GCF_000092725.1	876530	878082	+
GCF_000092805.1	854420	855972	+
GCF_000092805.1	876466	878018	+
GCF_000092485.1	854128	855680	+
GCF_000092485.1	876173	877725	+
GCF_000093005.1	854126	855678	+
GCF_000093005.1	876171	877723	+
GCF_000220105.1	133892	135444	+
GCF_000220105.1	155936	157487	+
GCF_000441585.1	857809	859361	+
GCF_000441585.1	879853	881405	+
GCF_000441615.1	850539	852091	+
GCF_000441615.1	872583	874135	+
GCF_000441635.1	857728	859280	+
GCF_000441635.1	879773	881325	+
GCF_000441635.1	917551	919099	+
GCF_000441655.1	850519	852071	+
GCF_000441655.1	872563	874115	+
GCF_000441675.1	850514	852066	+
GCF_000441675.1	872558	874110	+
GCF_000441695.1	857852	859404	+
GCF_000441695.1	879894	881446	+
GCF_000441715.1	857689	859241	+
GCF_000441715.1	879738	881290	+
GCF_000441715.1	917516	919064	+
GCF_000441735.1	857793	859345	+
GCF_000441735.1	895571	897119	+
GCF_000441755.1	850561	852113	+
GCF_000441755.1	872605	874157	+
GCF_000441775.1	854794	856346	+
GCF_000441775.1	876839	878391	+
GCF_000441775.1	914617	916165	+
GCF_000441815.1	850592	852144	+
GCF_000441815.1	872636	874188	+
GCF_000441795.1	850164	851716	+
GCF_000441795.1	872208	873760	+
GCF_000318525.1	856424	857976	+
GCF_000318525.1	878471	880023	+
GCF_000318545.1	856418	857970	+
GCF_000318545.1	878465	880017	+
GCF_000318565.1	856723	858275	+
GCF_000318565.1	878771	880323	+
GCF_000318585.1	854790	856342	+
GCF_000318585.1	876841	878393	+
GCF_000318605.1	854351	855903	+
GCF_000318605.1	876391	877943	+
GCF_000318625.1	854766	856318	+
GCF_000318625.1	876811	878363	+
GCF_000304495.1	855115	856667	+
GCF_000304495.1	877166	878718	+
GCF_000318665.1	854838	856390	+
GCF_000318665.1	876889	878441	+
GCF_000318685.1	861025	862577	+
GCF_000318685.1	883076	884628	+
GCF_000304515.1	854959	856511	+
GCF_000304515.1	877010	878562	+
GCF_000304535.1	854957	856509	+
GCF_000304535.1	877008	878560	+
GCF_000318705.1	855001	856553	+
GCF_000318705.1	877052	878604	+
GCF_000318745.1	854460	856012	+
GCF_000318745.1	876505	878057	+
GCF_000318765.1	854842	856394	+
GCF_000318765.1	876888	878440	+
GCF_000318785.1	854995	856547	+
GCF_000318785.1	877041	878593	+
GCF_000318805.1	854652	856204	+
GCF_000318805.1	876696	878248	+
GCF_000318825.1	851568	853120	+
GCF_000318825.1	873612	875164	+
GCF_000318845.1	851403	852955	+
GCF_000318845.1	873447	874999	+
GCF_000318865.1	851137	852689	+
GCF_000318865.1	873181	874733	+
GCF_000318885.1	851158	852710	+
GCF_000318885.1	873202	874754	+
GCF_000318905.1	851159	852711	+
GCF_000318905.1	873203	874755	+
GCF_000318925.1	851159	852711	+
GCF_000318925.1	873203	874755	+
GCF_000318945.1	851171	852723	+
GCF_000318945.1	873215	874767	+
GCF_000318965.1	851172	852724	+
GCF_000318965.1	873216	874768	+
GCF_000318985.1	851015	852567	+
GCF_000318985.1	873059	874611	+
GCF_000319005.1	851174	852726	+
GCF_000319005.1	873218	874770	+
GCF_000319025.1	851159	852711	+
GCF_000319025.1	873203	874755	+
GCF_000319045.1	851012	852564	+
GCF_000319045.1	873056	874608	+
GCF_000319065.1	851159	852711	+
GCF_000319065.1	873203	874755	+
GCF_000319085.1	851144	852696	+
GCF_000319085.1	873188	874740	+
GCF_000319105.1	851575	853127	+
GCF_000319105.1	873619	875171	+
GCF_000319125.1	850888	852440	+
GCF_000319125.1	872932	874484	+
GCF_000319145.1	851015	852567	+
GCF_000319145.1	873059	874611	+
GCF_000319165.1	851747	853299	+
GCF_000319165.1	873791	875343	+
GCF_000969785.1	854836	856388	+
GCF_000969785.1	876887	878439	+
GCF_000969805.1	854950	856502	+
GCF_000969805.1	877001	878553	+
GCF_000348845.1	855234	856786	+
GCF_000348845.1	877285	878837	+
GCF_000348825.1	855234	856786	+
GCF_000348825.1	877285	878837	+
GCF_000364785.1	133967	135519	+
GCF_000364785.1	156011	157563	+
GCF_000364765.1	133967	135519	+
GCF_000364765.1	156011	157563	+
GCF_000590635.1	854466	856019	+
GCF_000590635.1	876517	878070	+
GCF_000507225.1	856430	857982	+
GCF_000507225.1	878475	880027	+
GCF_001183765.1	854884	856436	+
GCF_001183765.1	876929	878481	+
