assembly_accession	rel_start	rel_center	rel_end	orientation	has_tandem
GCF_000364385.3	0.0057905414808141	0.0060723414852086	0.0063541414896032	+	False
GCF_000364385.3	0.0440402686529996	0.0443220686573941	0.0446038686617887	+	False
GCF_000364385.3	0.0776845158313374	0.0779663158357319	0.0782481158401265	+	False
GCF_000364385.3	0.0942116557901752	0.0944934557945698	0.0947752557989643	+	False
GCF_000364385.3	0.2375378113716097	0.2378196113760042	0.2381014113803988	+	False
GCF_000364385.3	0.373893124739074	0.3741749247434685	0.3744567247478632	+	False
GCF_000364385.3	-0.4936397585880818	-0.4933552944342619	-0.4930708302804421	-	False
GCF_000364385.3	-0.1815461689572901	-0.1812617048034701	-0.1809772406496503	-	False
GCF_000739495.1	-0.5000851499949912	-0.4997886661889019	-0.4994921823828128	-	False
GCF_000739495.1	-0.1905818711422428	-0.1902853873361536	-0.1899889035300645	-	False
GCF_000739495.1	0.0064124413278457	0.0066972207819795	0.0069820002361134	+	False
GCF_000739495.1	0.0451039583788999	0.0453887378330337	0.0456735172871676	+	False
GCF_000739495.1	0.0791165064389023	0.0794012858930361	0.07968606534717	+	False
GCF_000739495.1	0.0958239378318494	0.0961087172859833	0.0963934967401171	+	False
GCF_000739495.1	0.2423301065730206	0.2426148860271544	0.2428996654812883	+	False
GCF_000739495.1	0.3822532253724985	0.3825380048266324	0.3828227842807662	+	False
GCF_000764615.1	-0.4762615265613951	-0.4759776851599453	-0.4756938437584954	-	False
GCF_000764615.1	-0.1801538977381584	-0.1798700563367086	-0.1795862149352587	-	False
GCF_000764615.1	0.0060671992877919	0.0063624816767589	0.0066577640657257	+	False
GCF_000764615.1	0.0441499934765424	0.0444452758655093	0.0447405582544762	+	False
GCF_000764615.1	0.0794131190569382	0.079708401445905	0.0800036838348721	+	False
GCF_000764615.1	0.096681862485514	0.0969771448744809	0.0972724272634479	+	False
GCF_000764615.1	0.2337750097851863	0.2340702921741533	0.2343655745631202	+	False
GCF_000764615.1	0.3749706444408629	0.3752659268298299	0.3755612092187967	+	False
GCF_000775955.1	0.1932544035226599	0.1935586742259187	0.1938629449291775	+	False
GCF_000775955.1	0.4950075089027353	0.495311779605994	0.4956160503092529	+	False
GCF_000775955.1	-0.3868966901941402	-0.3865995721809504	-0.3863024541677606	-	False
GCF_000775955.1	-0.2422598730443109	-0.2419627550311212	-0.2416656370179313	-	False
GCF_000775955.1	-0.1006374812732636	-0.1003403632600737	-0.100043245246884	-	False
GCF_000775955.1	-0.0832243192734798	-0.08292720126029	-0.0826300832471002	-	False
GCF_000775955.1	-0.0452750706596444	-0.0449779526464546	-0.0446808346332648	-	False
GCF_000775955.1	-0.007281032325822	-0.0069839143126322	-0.0066867962994424	-	False
GCF_000814305.1	0.1851559711996618	0.1854525286065897	0.1857490860135179	+	False
GCF_000814305.1	0.4952313415805265	0.4955278989874547	0.4958244563943826	+	False
GCF_000814305.1	-0.3720974559020555	-0.371810810010585	-0.3715241641191144	-	False
GCF_000814305.1	-0.2342983189856177	-0.2340116730941471	-0.2337250272026766	-	False
GCF_000814305.1	-0.0964096167938592	-0.0961229709023886	-0.095836325010918	-	False
GCF_000814305.1	-0.0797056929465495	-0.0794190470550789	-0.0791324011636083	-	False
GCF_000814305.1	-0.0456397995514334	-0.0453531536599628	-0.0450665077684922	-	False
GCF_000814305.1	-0.0069835007439099	-0.0066968548524393	-0.0064102089609687	-	False
GCF_001022035.1	-0.5034543130700467	-0.5031614432864944	-0.5028685735029419	-	False
GCF_001022035.1	-0.1838208824285692	-0.1835280126450168	-0.1832351428614644	-	False
GCF_001022035.1	0.0064665796507115	0.0067551631102031	0.0070437465696946	+	False
GCF_001022035.1	0.045870797328712	0.0461593807882034	0.0464479642476951	+	False
GCF_001022035.1	0.0801024964984337	0.0803910799579252	0.0806796634174168	+	False
GCF_001022035.1	0.0969182118333004	0.0972067952927919	0.0974953787522836	+	False
GCF_001022035.1	0.2342045734423479	0.2344931569018395	0.2347817403613311	+	False
GCF_001022035.1	0.3738711431072148	0.3741597265667065	0.3744483100261979	+	False
GCF_001022175.1	-0.374996326536376	-0.3747007319829489	-0.374405137429522	-	False
GCF_001022175.1	-0.2349547333866892	-0.2346591388332621	-0.2343635442798351	-	False
GCF_001022175.1	-0.0967889920511972	-0.0964933974977702	-0.0961978029443431	-	False
GCF_001022175.1	-0.0795639779966208	-0.0792683834431937	-0.0789727888897667	-	False
GCF_001022175.1	-0.0444948997058557	-0.0441993051524287	-0.0439037105990016	-	False
GCF_001022175.1	-0.0066240659383858	-0.0063284713849587	-0.0060328768315317	-	False
GCF_001022175.1	0.1880330977678689	0.1883262613224723	0.1886194248770757	+	False
GCF_001022175.1	0.4970785844875032	0.4973717480421065	0.4976649115967099	+	False
GCF_001022235.1	-0.1784952487144861	-0.1782117346630611	-0.1779282206116362	-	False
GCF_001022235.1	0.0064998726763432	0.0067899084767597	0.0070799442771761	+	False
GCF_001022235.1	0.0456133255441213	0.0459033613445378	0.0461933971449542	+	False
GCF_001022235.1	0.0800581195044862	0.0803481553049028	0.0806381911053191	+	False
GCF_001022235.1	0.0969595859734268	0.0972496217738432	0.0975396575742596	+	False
GCF_001022235.1	0.2365235398972423	0.2368135756976588	0.2371036114980751	+	False
GCF_001022235.1	0.3758171182911667	0.3761071540915832	0.3763971898919996	+	False
GCF_001022235.1	-0.4883689687373137	-0.4880854546858888	-0.4878019406344638	-	False
GCF_001307175.1	-0.3716331673502747	-0.3713420032994808	-0.371050839248687	-	False
GCF_001307175.1	-0.2372640795507862	-0.2369729154999924	-0.2366817514491986	-	False
GCF_001307175.1	-0.0964859772063386	-0.0961948131555447	-0.0959036491047509	-	False
GCF_001307175.1	-0.079458082971349	-0.0791669189205551	-0.0788757548697613	-	False
GCF_001307175.1	-0.0446871547274901	-0.0443959906766963	-0.0441048266259024	-	False
GCF_001307175.1	-0.007135505743821	-0.0068443416930271	-0.0065531776422333	-	False
GCF_001307175.1	0.1870744006905498	0.1873518537614993	0.1876293068324486	+	False
