assembly_accession	start	end	orientation
GCF_000953495.1	285774	287315	+
GCF_000953495.1	2681086	2682625	-
GCF_000953495.1	3448540	3450079	-
GCF_000953495.1	3965565	3967106	+
GCF_000953495.1	4060487	4062026	+
GCF_000953495.1	4240082	4241623	+
GCF_000953495.1	4283181	4284722	+
GCF_001931555.1	110213	111764	-
GCF_001931555.1	205134	206685	-
GCF_001931555.1	723743	725292	+
GCF_001931555.1	1459620	1461171	+
GCF_001931555.1	3899479	3901030	-
GCF_001931555.1	4613965	4615518	-
GCF_001931555.1	4657064	4658617	-
GCF_001931575.1	62247	63788	+
GCF_001931575.1	105346	106887	+
GCF_001931575.1	819833	821374	+
GCF_001931575.1	3260673	3262212	-
GCF_001931575.1	3996559	3998098	-
GCF_001931575.1	4515156	4516697	+
GCF_001931575.1	4610078	4611619	+
GCF_001931595.1	103337	104878	+
GCF_001931595.1	146436	147977	+
GCF_001931595.1	860925	862466	+
GCF_001931595.1	3300797	3302336	-
GCF_001931595.1	4036685	4038224	-
GCF_001931595.1	4555283	4556824	+
GCF_001931595.1	4650205	4651746	+
GCF_001931615.1	116414	117965	-
GCF_001931615.1	211336	212887	-
GCF_001931615.1	729946	731495	+
GCF_001931615.1	1465828	1467379	+
GCF_001931615.1	3905644	3907195	-
GCF_001931615.1	4620130	4621683	-
GCF_001931615.1	4663229	4664782	-
GCF_002863785.1	464675	466214	+
GCF_002863785.1	1200570	1202109	+
GCF_002863785.1	3634237	3635778	-
GCF_002863785.1	4347510	4349051	-
GCF_002863785.1	4390614	4392155	-
GCF_002863785.1	4485536	4487078	-
GCF_002863785.1	1	1101	+
GCF_005885995.1	286140	287693	+
GCF_005885995.1	2761667	2763217	-
GCF_005885995.1	4369991	4371544	+
GCF_005886015.1	286140	287693	+
GCF_005886015.1	2761982	2763532	-
GCF_005886015.1	4370306	4371859	+
GCF_010919335.1	101552	103093	+
GCF_010919335.1	144655	146196	+
GCF_010919335.1	898083	899624	+
GCF_010919335.1	3298172	3299713	-
GCF_010919335.1	4034071	4035612	-
GCF_010919335.1	4552208	4553749	+
GCF_010919335.1	4647233	4648774	+
GCF_012223825.1	4658461	4659917	-
GCF_012224005.1	4672208	4673752	+
GCF_013377315.1	466249	467798	+
GCF_013377315.1	1202142	1203693	+
GCF_013377315.1	3641988	3643539	-
GCF_013377315.1	4356471	4358024	-
GCF_013377315.1	4399570	4401123	-
GCF_013377315.1	4579844	4581395	-
GCF_013377315.1	4674766	4676317	-
GCF_013377335.1	466249	467798	+
GCF_013377335.1	1202143	1203694	+
GCF_013377335.1	3641987	3643538	-
GCF_013377335.1	4356472	4358025	-
GCF_013377335.1	4399571	4401124	-
GCF_013377335.1	4579848	4581399	-
GCF_013377335.1	4674770	4676321	-
GCF_013377355.1	466249	467798	+
GCF_013377355.1	1202142	1203693	+
GCF_013377355.1	3641990	3643541	-
GCF_013377355.1	4356475	4358028	-
GCF_013377355.1	4399574	4401127	-
GCF_013377355.1	4579847	4581398	-
GCF_013377355.1	4674769	4676320	-
GCF_009650355.1	291397	292938	+
GCF_009650355.1	2791960	2793501	-
GCF_009650355.1	3643511	3645052	-
GCF_009650355.1	4156566	4158107	+
GCF_009650355.1	4250911	4252452	+
GCF_009650355.1	4438481	4440022	+
GCF_009650355.1	4480606	4482145	+
GCF_009650375.1	291510	293051	+
GCF_009650375.1	2792073	2793614	-
GCF_009650375.1	3643622	3645163	-
GCF_009650375.1	4156677	4158218	+
GCF_009650375.1	4251022	4252563	+
GCF_009650375.1	4438592	4440133	+
GCF_009650375.1	4480717	4482256	+
GCF_009650395.1	291397	292938	+
GCF_009650395.1	2791958	2793499	-
GCF_009650395.1	3643508	3645048	-
GCF_009650395.1	4156562	4158103	+
GCF_009650395.1	4250907	4252448	+
GCF_009650395.1	4438477	4440018	+
GCF_009650395.1	4480602	4482141	+
GCF_016454465.1	460454	461995	+
GCF_016454465.1	1167771	1169312	+
GCF_016454465.1	3539235	3540776	-
GCF_016454465.1	4333677	4335218	-
GCF_016454465.1	4375807	4377348	-
GCF_016454465.1	4596597	4598136	-
GCF_016454465.1	4692530	4694071	-
GCF_016454705.1	460457	461998	+
GCF_016454705.1	1167774	1169315	+
GCF_016454705.1	3628405	3629946	-
GCF_016454705.1	4422833	4424374	-
GCF_016454705.1	4464963	4466504	-
GCF_016454705.1	4685753	4687292	-
GCF_016454705.1	4781686	4783227	-
GCF_001305815.1	303510	305051	+
GCF_001305815.1	2713851	2715392	-
GCF_001305815.1	3431407	3432948	-
GCF_001305815.1	3954257	3955798	+
GCF_001305815.1	4049312	4050853	+
GCF_001305815.1	4205599	4207140	+
GCF_001305815.1	4247528	4249069	+
GCF_001305835.1	303518	305059	+
GCF_001305835.1	2707210	2708751	-
GCF_001305835.1	3424706	3426247	-
GCF_001305835.1	3947010	3948551	+
GCF_001305835.1	4041964	4043505	+
GCF_001305835.1	4198152	4199693	+
GCF_001305835.1	4240295	4241836	+
GCF_001953015.1	470990	472531	+
GCF_001953015.1	1188623	1190164	+
GCF_001953015.1	3600319	3601860	-
GCF_001953015.1	4365100	4366641	-
GCF_001953015.1	4407243	4408784	-
GCF_001953015.1	4563426	4564967	-
GCF_001953015.1	4658376	4659917	-
GCF_003052785.2	385762	387313	+
GCF_003052785.2	2845098	2846649	-
GCF_003052785.2	3565464	3567017	-
GCF_003052785.2	4088629	4090182	+
GCF_003052785.2	4183580	4185131	+
GCF_003052785.2	4339685	4341238	+
GCF_003052785.2	4381828	4383381	+
GCF_003902395.1	470826	472367	+
GCF_003902395.1	1187703	1189244	+
GCF_003902395.1	3599514	3601055	-
GCF_003902395.1	4364293	4365834	-
GCF_003902395.1	4406436	4407977	-
GCF_003902395.1	4562622	4564163	-
GCF_003902395.1	4657573	4659114	-
GCF_006516995.1	470939	472480	+
GCF_006516995.1	1191299	1192840	+
GCF_006516995.1	3652723	3654264	-
GCF_006516995.1	4410305	4411846	-
GCF_006516995.1	4452447	4453988	-
GCF_006516995.1	4608552	4610093	-
GCF_006516995.1	4703503	4705044	-
GCF_003606225.1	461458	462999	+
GCF_003606225.1	649966	651507	+
GCF_003606225.1	1350664	1352205	+
GCF_003606225.1	3839293	3840834	-
GCF_003606225.1	4538344	4539885	-
GCF_003606225.1	4581882	4583423	-
GCF_003606225.1	4676577	4678118	-
GCF_001188125.2	382100	383641	+
GCF_001188125.2	2847744	2849285	-
GCF_001188125.2	3584247	3585788	-
GCF_001188125.2	3626391	3627932	-
GCF_001188125.2	3769891	3771432	-
GCF_001188125.2	3864303	3865844	-
GCF_001188125.2	4388366	4389907	+
GCF_001441205.1	295711	297252	+
GCF_001441205.1	2761523	2763064	-
GCF_001441205.1	3506537	3508078	-
GCF_001441205.1	4030600	4032141	+
GCF_001441205.1	4125012	4126553	+
GCF_001441205.1	4268512	4270053	+
GCF_001441205.1	4310655	4312196	+
GCF_001441225.1	295711	297252	+
GCF_001441225.1	2800320	2801861	-
GCF_001441225.1	3545319	3546860	-
GCF_001441225.1	4069382	4070923	+
GCF_001441225.1	4163898	4165439	+
GCF_001441225.1	4307398	4308939	+
GCF_001441225.1	4349542	4351083	+
GCF_001441245.1	295711	297252	+
GCF_001441245.1	2760890	2762431	-
GCF_001441245.1	3565042	3566583	-
GCF_001441245.1	4088774	4090315	+
GCF_001441245.1	4183186	4184727	+
GCF_001441245.1	4326686	4328227	+
GCF_001441245.1	4368830	4370371	+
GCF_001689935.1	295711	297252	+
GCF_001689935.1	2761432	2762973	-
GCF_001689935.1	3506431	3507972	-
GCF_001689935.1	4030493	4032034	+
GCF_001689935.1	4125009	4126550	+
GCF_001689935.1	4268509	4270050	+
GCF_001689935.1	4310653	4312194	+
GCF_001690005.1	295711	297252	+
GCF_001690005.1	2761432	2762973	-
GCF_001690005.1	3506431	3507972	-
GCF_001690005.1	4030493	4032034	+
GCF_001690005.1	4125009	4126550	+
GCF_001690005.1	4268509	4270050	+
GCF_001690005.1	4310653	4312194	+
GCF_001690055.1	295711	297252	+
GCF_001690055.1	2761524	2763065	-
GCF_001690055.1	3506538	3508079	-
GCF_001690055.1	4030601	4032142	+
GCF_001690055.1	4125013	4126554	+
GCF_001690055.1	4268513	4270054	+
GCF_001690055.1	4310656	4312197	+
GCF_001690075.1	295702	297243	+
GCF_001690075.1	2761529	2763070	-
GCF_001690075.1	3506543	3508084	-
GCF_001690075.1	4030606	4032147	+
GCF_001690075.1	4125018	4126559	+
GCF_001690075.1	4268518	4270059	+
GCF_001690075.1	4310661	4312202	+
GCF_001690095.1	295711	297252	+
GCF_001690095.1	2761531	2763072	-
GCF_001690095.1	3506539	3508080	-
GCF_001690095.1	4030602	4032143	+
GCF_001690095.1	4125014	4126555	+
GCF_001690095.1	4268514	4270055	+
GCF_001690095.1	4310657	4312198	+
GCF_001690115.1	295710	297251	+
GCF_001690115.1	2759206	2760747	-
GCF_001690115.1	3504099	3505640	-
GCF_001690115.1	4028158	4029699	+
GCF_001690115.1	4122674	4124215	+
GCF_001690115.1	4267538	4269079	+
GCF_001690115.1	4309682	4311223	+
GCF_001690135.1	295711	297262	+
GCF_001690135.1	2761510	2763063	-
GCF_001690135.1	3506453	3508006	-
GCF_001690135.1	4030528	4032081	+
GCF_001690135.1	4124940	4126493	+
GCF_001690135.1	4268440	4269991	+
GCF_001690135.1	4310583	4312136	+
GCF_001692495.1	295712	297253	+
GCF_001692495.1	2761537	2763078	-
GCF_001692495.1	3506317	3507858	-
GCF_001692495.1	4030380	4031921	+
GCF_001692495.1	4124792	4126333	+
GCF_001692495.1	4268292	4269833	+
GCF_001692495.1	4310435	4311976	+
GCF_001692515.1	295711	297252	+
GCF_001692515.1	2761523	2763064	-
GCF_001692515.1	3506543	3508084	-
GCF_001692515.1	4030606	4032147	+
GCF_001692515.1	4125018	4126559	+
GCF_001692515.1	4268518	4270059	+
GCF_001692515.1	4310661	4312202	+
GCF_001692535.1	295712	297253	+
GCF_001692535.1	2760721	2762262	-
GCF_001692535.1	3505421	3506962	-
GCF_001692535.1	4029481	4031022	+
GCF_001692535.1	4123893	4125434	+
GCF_001692535.1	4267393	4268934	+
GCF_001692535.1	4309537	4311078	+
GCF_001692555.1	295711	297252	+
GCF_001692555.1	2761537	2763078	-
GCF_001692555.1	3506317	3507858	-
GCF_001692555.1	4030380	4031921	+
GCF_001692555.1	4124792	4126333	+
GCF_001692555.1	4268292	4269833	+
GCF_001692555.1	4310434	4311975	+
GCF_001692575.1	295711	297252	+
GCF_001692575.1	2761785	2763326	-
GCF_001692575.1	3506805	3508346	-
GCF_001692575.1	4030868	4032409	+
GCF_001692575.1	4125280	4126821	+
GCF_001692575.1	4268780	4270321	+
GCF_001692575.1	4310923	4312495	+
GCF_001692595.1	295711	297260	+
GCF_001692595.1	2761531	2763072	-
GCF_001692595.1	3506552	3508093	-
GCF_001692595.1	4030615	4032156	+
GCF_001692595.1	4125027	4126568	+
GCF_001692595.1	4268527	4270068	+
GCF_001692595.1	4310670	4312211	+
GCF_001692615.1	295711	297252	+
GCF_001692615.1	2761524	2763065	-
GCF_001692615.1	3506544	3508085	-
GCF_001692615.1	4030607	4032148	+
GCF_001692615.1	4125019	4126560	+
GCF_001692615.1	4268519	4270060	+
GCF_001692615.1	4310662	4312203	+
GCF_001692635.1	295712	297253	+
GCF_001692635.1	2760722	2762263	-
GCF_001692635.1	3505422	3506963	-
GCF_001692635.1	4029482	4031023	+
GCF_001692635.1	4123894	4125435	+
GCF_001692635.1	4267394	4268935	+
GCF_001692635.1	4309538	4311079	+
GCF_002984035.1	337587	339128	+
GCF_002984035.1	431925	433466	+
GCF_002984035.1	575421	576962	+
GCF_002984035.1	617565	619105	+
GCF_002984035.1	1354065	1355606	+
GCF_002984035.1	3819979	3821520	-
GCF_002984035.1	4564560	4566101	-
GCF_003971525.1	512202	513743	-
GCF_003971525.1	1036746	1038287	+
GCF_003971525.1	1131158	1132699	+
GCF_003971525.1	1275435	1276976	+
GCF_003971525.1	1316679	1318220	+
GCF_003971525.1	2052077	2053618	+
GCF_003971525.1	4505765	4507306	-
GCF_003986635.1	483005	484558	+
GCF_003986635.1	1227996	1229549	+
GCF_003986635.1	3695001	3696552	-
GCF_003986635.1	4429660	4431213	-
GCF_003986635.1	4471806	4473357	-
GCF_003986635.1	4646703	4648256	-
GCF_003986635.1	4741115	4742668	-
GCF_008124065.1	471733	473286	+
GCF_008124065.1	1216677	1218230	+
GCF_008124065.1	3682473	3684024	-
GCF_008124065.1	4418974	4420527	-
GCF_008124065.1	4461117	4462668	-
GCF_008124065.1	4604614	4606167	-
GCF_008124065.1	4699026	4700579	-
GCF_008727595.1	1101908	1103449	-
GCF_008727595.1	1838397	1839938	-
GCF_008727595.1	1880539	1882080	-
GCF_008727595.1	2024036	2025577	-
GCF_008727595.1	2118446	2119987	-
GCF_008727595.1	2642503	2644044	+
GCF_008727595.1	3387487	3389028	+
GCF_016452005.1	483301	484842	+
GCF_016452005.1	1287698	1289239	+
GCF_016452005.1	3753635	3755176	-
GCF_016452005.1	4492584	4494125	-
GCF_016452005.1	4534728	4536269	-
GCF_016452005.1	4709551	4711092	-
GCF_016452005.1	4803963	4805504	-
GCF_016454265.1	471727	473268	+
GCF_016454265.1	1277500	1279041	+
GCF_016454265.1	3745296	3746837	-
GCF_016454265.1	4481698	4483239	-
GCF_016454265.1	4523835	4525376	-
GCF_016454265.1	4667334	4668875	-
GCF_016454265.1	4709470	4711011	-
GCF_016454265.1	4803882	4805423	-
GCF_016454385.1	483005	484546	+
GCF_016454385.1	1228118	1229659	+
GCF_016454385.1	3694061	3695602	-
GCF_016454385.1	4428732	4430273	-
GCF_016454385.1	4470876	4472417	-
GCF_016454385.1	4645776	4647317	-
GCF_016454385.1	4740188	4741729	-
GCF_016454645.1	471695	473236	+
GCF_016454645.1	1216709	1218250	+
GCF_016454645.1	3643593	3645134	-
GCF_016454645.1	4381163	4382704	-
GCF_016454645.1	4423307	4424848	-
GCF_016454645.1	4598130	4599671	-
GCF_016454645.1	4692542	4694083	-
GCF_003324875.1	464166	465717	+
GCF_003324875.1	1201764	1203317	+
