assembly_accession	start	end	orientation
GCF_002151465.1	443773	445308	-
GCF_009017435.1	231294	232842	+
GCF_009017435.1	279729	281277	+
GCF_009858015.1	2181520	2183028	+
GCF_000954195.1	36952	38464	+
GCF_000954195.1	430099	431611	+
GCF_000954195.1	702769	704281	+
GCF_011600945.2	133608	135125	+
GCF_011600945.2	515866	517383	+
GCF_011600945.2	610698	612215	+
GCF_001298465.1	1115772	1117283	-
GCF_001298465.1	1199394	1200905	-
GCF_001298465.1	1686171	1687682	-
GCF_000740155.1	1784468	1785951	+
GCF_000740155.1	1988539	1990023	+
GCF_000740155.1	654081	655565	+
GCF_002025665.1	453820	455336	+
GCF_002025665.1	460090	461606	+
GCF_002025665.1	595672	597188	+
GCF_002025665.1	1028014	1029530	+
GCF_002025665.1	4719831	4721347	-
GCF_002025665.1	4979507	4981023	-
GCF_001412545.1	721573	723100	-
GCF_001412545.1	1601450	1602976	+
GCF_001412545.1	1894909	1896436	+
GCF_000750905.1	6742213	6743748	-
GCF_009586235.1	16044	17576	-
GCF_009586235.1	295979	297511	+
GCF_009586235.1	511264	512796	+
GCF_009586235.1	2598386	2599918	-
GCF_009586235.1	3157933	3159465	+
GCF_009586235.1	719998	721529	-
GCF_000730425.1	3188625	3190161	-
GCF_000730425.1	3996516	3998052	+
GCF_000730425.1	4704540	4706076	+
GCF_000730425.1	4916438	4917974	+
GCF_000730425.1	5114745	5116281	+
GCF_000730425.1	6059406	6060942	+
GCF_003515345.1	438524	440059	+
GCF_003515345.1	631735	633270	+
GCF_003515345.1	2095931	2097466	-
GCF_003515345.1	1123827	1125362	-
GCF_000219605.1	719459	720995	+
GCF_000219605.1	1648843	1650379	+
GCF_000219605.1	2363477	2365013	-
GCF_000219605.1	3527318	3528854	-
GCF_016694755.2	793356	794894	+
GCF_016694755.2	1105245	1106783	+
GCF_016694755.2	3829252	3830790	-
GCF_016694755.2	5347975	5349513	-
GCF_016694755.2	5868522	5870060	-
GCF_004319485.1	583876	585422	+
GCF_004319485.1	5081458	5083004	-
GCF_001941585.1	359861	361406	+
GCF_001941585.1	608220	609765	+
GCF_001941585.1	3111515	3113060	-
GCF_002116925.1	18293	19829	+
GCF_002116925.1	491400	492936	+
GCF_002116925.1	523620	525156	+
GCF_002116925.1	3286478	3288014	-
GCF_002116925.1	3736212	3737748	-
GCF_002116925.1	3946595	3948131	-
GCF_001047275.1	281955	283495	-
GCF_001047275.1	663658	665198	-
GCF_001047275.1	745048	746588	-
GCF_001047275.1	972875	974415	+
GCF_008330805.1	1275562	1277109	-
GCF_008330805.1	1569389	1570936	-
GCF_008330805.1	1819204	1820751	-
GCF_008330805.1	2011887	2013434	+
GCF_001641975.2	277925	279466	+
GCF_001641975.2	1264429	1265970	+
GCF_001641975.2	3049862	3051403	-
GCF_900636925.1	824696	826226	+
GCF_900636925.1	1620751	1622281	+
GCF_900636925.1	3238368	3239898	-
