assembly_accession	seq_id	origin	terminus	repl_1_mean	repl_2_mean	c_skew_min	c_skew_max	length
GCF_000750905.1	NZ_HG974234.1	5839950	2383420	0.0272384184431409	-0.0348989989491819	-4887.729488161521	7175.220582559929	6762448
GCF_000763245.3	NZ_CP021380.2	6320	3453840	0.0313520570884149	-0.0316454096164992	-20.74800444144845	10794.628212640378	6834257
GCF_000816985.1	NZ_CP007399.1	2518650	5756080	0.0321706659226173	-0.0310608954196297	-8249.58278899752	2165.451176922895	6603099
GCF_000829255.1	NZ_AP014646.1	6820330	3263610	0.0308298396336038	-0.0310064468521111	-955.5631410604116	10072.83667183933	6850954
GCF_000981825.1	NZ_CP011317.1	7475400	3747860	0.0296605533596902	-0.0317042349227745	-703.1143419368151	11114.773111290444	7497593
GCF_000988505.1	NZ_CP011369.1	6690	3437130	0.0309402018747971	-0.0285573285129524	-16.460800319446484	10597.396372862104	7099963
GCF_001077475.1	NZ_CP012066.1	5952690	2809170	0.0304554591302313	-0.0312287925833596	-1110.3054038859914	8706.541342282064	6368008
GCF_001293085.1	NZ_CP012679.1	6478610	3120570	0.0312768571811273	-0.0309460363906779	-627.3813418086227	9765.084087223346	6500439
GCF_001447845.1	NZ_CP013245.1	2233660	5545560	0.0317118998806691	-0.0313578427064455	-6361.317761006892	4142.321779820672	6400418
GCF_001457615.1	NZ_LN831024.1	6294730	3037560	0.0299602653312282	-0.0307567759289132	-920.6780810599706	9097.74555123114	6316979
GCF_001482325.1	NZ_CP013696.1	1481090	4742610	0.031940160838778	-0.0302077491669665	-4681.935307206962	5736.359832260712	6431911
GCF_001515845.2	NZ_CP008865.2	6913090	3333690	0.0289541761676543	-0.0302590243121126	-1184.2740102474563	9647.425856929904	6934277
GCF_001515915.2	NZ_CP008866.2	6773980	3213850	0.0298818099074582	-0.0296048748048988	-938.0663280788716	9601.670006149974	6795741
GCF_001516005.1	NZ_CP008867.1	2466660	5568540	0.0312501312208122	-0.0305060216710644	-7707.592638578436	1985.8262508509893	6322459
GCF_001516105.1	NZ_CP008868.1	1631560	4787470	0.0315302147609152	-0.0310842605644415	-5160.600747207677	4790.05609548461	6456866
GCF_001516165.2	NZ_CP008869.2	6590	3372220	0.0331096715452212	-0.0306460803325101	-20.95672071109768	11122.54044419054	6808844
GCF_001516205.2	NZ_CP008871.2	6755730	3232390	0.0309491061298367	-0.0308713063062906	-870.3099877732396	10006.71116669147	6777566
GCF_001516245.2	NZ_CP008856.2	6496110	3125280	0.0319360343736576	-0.0319036246270192	-774.8912953795125	9980.287644659917	6517340
GCF_001516265.1	NZ_CP008857.1	4648220	1025490	0.031892821817309	-0.0314955401028592	-7586.759075652395	3824.3969330548666	7273258
GCF_001516305.2	NZ_CP008859.2	6600	3127120	0.031337793716577	-0.0297833817151703	-21.25072988943728	9757.780527897	6334378
GCF_001516325.2	NZ_CP008860.2	6547090	3134680	0.0315501319119941	-0.0318614761222214	-982.5449078162668	9891.90638260795	6568228
GCF_001516365.2	NZ_CP008862.2	6438230	3164580	0.0293689534768488	-0.0331446241898052	-1560.8313899412206	9289.567450405006	6460023
GCF_001516385.1	NZ_CP008863.1	3530150	148940	0.0295511821674251	-0.0315268264827019	-10130.868280555198	529.0172633957611	6897231
GCF_001518975.1	NZ_CP013989.1	2540	3139840	0.0330961727149051	-0.0305482419374254	-18.390459667461663	10365.9069751206	6364583
GCF_001542795.2	NZ_CP008872.2	6327580	3075600	0.0321200314949493	-0.0314614936076074	-349.4122098524594	9882.921886563116	6348761
GCF_001542835.1	NZ_CP008873.1	1405470	4965470	0.0296107372860324	-0.0298940097496006	-3498.393490672015	7043.036668678142	6794354
GCF_001547955.1	NZ_AP014651.1	7068930	3495800	0.0306171471832808	-0.0314749210083918	-542.9824653496077	10703.421217819154	7090694
GCF_001548135.1	NZ_AP014839.1	6591420	3337390	0.0308324684849654	-0.0319715691344066	-112.9113372732035	10290.757846025605	6613260
GCF_001548335.1	NZ_AP017302.1	6853500	3441510	0.030960371879997	-0.0323121860393953	-364.982451631505	10665.897061317655	6897018
