assembly_accession	start	end	orientation
GCF_000438605.1	1241279	1242836	-
GCF_000438605.1	1347205	1348762	-
GCF_000438605.1	1935005	1936562	-
GCF_000438605.1	2168889	2170446	-
GCF_000438605.1	2670278	2671835	+
GCF_000438605.1	2676299	2677854	+
GCF_000438625.1	2199	3756	-
GCF_000438625.1	233488	235045	-
GCF_000438625.1	739032	740589	+
GCF_000438625.1	2282537	2284094	-
GCF_000438625.1	2385358	2386915	-
GCF_000438645.1	277195	278752	-
GCF_000438645.1	283218	284775	-
GCF_000438645.1	797617	799174	+
GCF_000438645.1	1032970	1034527	+
GCF_000438645.1	1622907	1624464	+
GCF_000438645.1	1726836	1728393	+
GCF_000438685.2	646568	648125	-
GCF_000438685.2	804309	805866	-
GCF_000438685.2	1366449	1368006	-
GCF_000438685.2	1636288	1637845	-
GCF_000438685.2	2197772	2199329	+
GCF_000438685.2	2203791	2205348	+
GCF_000438705.2	1492046	1493603	-
GCF_000438705.2	1594887	1596444	-
GCF_000438705.2	2199788	2201345	-
GCF_000438705.2	2428536	2430093	-
GCF_000438705.2	2945682	2947239	+
GCF_000438705.2	2951701	2953258	+
GCF_000438725.2	2952619	463	-
GCF_000438725.2	516051	517608	+
GCF_000438725.2	744801	746358	+
GCF_000438725.2	1349699	1351256	+
GCF_000438725.2	1452540	1454097	+
GCF_000438725.2	2946599	2948156	-
GCF_000600015.1	242733	244282	+
GCF_000600015.1	248752	250301	+
GCF_000600015.1	1727185	1728734	-
GCF_000600015.1	1831862	1833411	-
GCF_000600015.1	2394407	2395956	-
GCF_000600015.1	2624686	2626235	-
GCF_000681515.1	2057	3614	-
GCF_000681515.1	8076	9633	-
GCF_000681515.1	525376	526933	+
GCF_000681515.1	753921	755478	+
GCF_000681515.1	1314615	1316172	+
GCF_000681515.1	1417456	1419013	+
GCF_000746625.1	184280	185829	+
GCF_000746625.1	288262	289811	+
GCF_000746625.1	1804809	1806358	-
GCF_000746625.1	1810832	1812381	-
GCF_000746625.1	2316548	2318097	+
GCF_000746625.1	2551122	2552671	+
GCF_000800335.1	242325	243874	+
GCF_000800335.1	248344	249893	+
GCF_000800335.1	1726585	1728134	-
GCF_000800335.1	1831263	1832812	-
GCF_000800335.1	2394101	2395650	-
GCF_000800335.1	2624528	2626077	-
GCF_000808055.1	241866	243415	+
GCF_000808055.1	247885	249434	+
GCF_000808055.1	1736834	1738383	-
GCF_000808055.1	1839675	1841224	-
GCF_000808055.1	2400172	2401721	-
GCF_000808055.1	2629003	2630552	-
GCF_000950775.1	353404	354953	+
GCF_000950775.1	359423	360972	+
GCF_000950775.1	1852401	1853950	-
GCF_000950775.1	1958358	1959907	-
GCF_000950775.1	2529909	2531458	-
GCF_000950775.1	2761446	2762995	-
GCF_001005925.2	236512	238061	+
GCF_001005925.2	242531	244080	+
GCF_001005925.2	1830291	1831840	-
GCF_001005925.2	1933114	1934663	-
GCF_001005925.2	2535074	2536623	-
GCF_001005925.2	2766510	2768059	-
GCF_001005985.1	241300	242857	+
GCF_001005985.1	247321	248878	+
GCF_001005985.1	1752994	1754551	-
GCF_001005985.1	1858912	1860469	-
GCF_001005985.1	2408984	2410541	-
GCF_001005985.1	2642308	2643865	-
GCF_001027085.1	231936	233493	+
GCF_001027085.1	237958	239515	+
GCF_001027085.1	1748186	1749743	-
GCF_001027085.1	1852159	1853716	-
GCF_001027085.1	2441154	2442711	-
GCF_001027085.1	2675253	2676810	-
GCF_001027125.1	234110	235667	+
GCF_001027125.1	240133	241690	+
GCF_001027125.1	1738362	1739919	-
GCF_001027125.1	1842347	1843904	-
GCF_001027125.1	2391786	2393343	-
GCF_001027125.1	2625312	2626869	-
GCF_001027165.1	236832	238389	+
GCF_001027165.1	242851	244408	+
GCF_001027165.1	1765031	1766588	-
GCF_001027165.1	1867853	1869410	-
GCF_001027165.1	2427950	2429507	-
GCF_001027165.1	2659443	2661000	-
GCF_001027205.1	231937	233494	+
GCF_001027205.1	237959	239516	+
GCF_001027205.1	1747112	1748669	-
GCF_001027205.1	1851085	1852642	-
GCF_001027205.1	2440784	2442341	-
GCF_001027205.1	2675268	2676825	-
GCF_001047715.1	252650	254207	+
GCF_001047715.1	258669	260226	+
GCF_001047715.1	1760886	1762443	-
GCF_001047715.1	1865564	1867121	-
GCF_001047715.1	2436669	2438226	-
GCF_001047715.1	2669549	2671106	-
GCF_001188025.2	105639	107188	+
GCF_001188025.2	111658	113207	+
GCF_001188025.2	1602938	1604487	-
GCF_001188025.2	1705779	1707328	-
GCF_001188025.2	2266473	2268022	-
GCF_001188025.2	2495018	2496567	-
GCF_001188045.2	386581	388130	-
GCF_001188045.2	489423	490972	-
GCF_001188045.2	1050980	1052529	-
GCF_001188045.2	1281166	1282714	-
GCF_001188045.2	1781076	1782625	+
GCF_001188045.2	1787094	1788643	+
GCF_001188655.1	217952	219509	+
GCF_001188655.1	224054	225611	+
GCF_001188655.1	1696481	1698048	-
GCF_001188655.1	1801985	1803552	-
GCF_001188655.1	2364519	2366086	-
GCF_001188655.1	2599915	2601482	-
GCF_001262395.1	1740102	1741652	-
GCF_001262395.1	1846473	1848023	-
GCF_001262395.1	1865173	1866723	-
GCF_001262395.1	2667414	2668964	-
GCF_001454845.1	426041	427590	-
GCF_001454845.1	656575	658124	-
GCF_001454845.1	1179810	1181359	+
GCF_001454845.1	1185829	1187378	+
GCF_001454845.1	2665177	2666726	-
GCF_001454845.1	2769855	2771404	-
GCF_001454865.1	1457012	1458561	-
GCF_001454865.1	1561037	1562586	-
GCF_001454865.1	2108183	2109732	-
GCF_001454865.1	2344729	2346278	-
GCF_001454865.1	2833385	2834934	+
GCF_001454885.1	263313	264862	-
GCF_001454885.1	367338	368887	-
GCF_001454885.1	914483	916032	-
GCF_001454885.1	1151028	1152577	-
GCF_001454885.1	1639684	1641233	+
GCF_001454885.1	1645681	1647230	+
GCF_001454925.1	111036	112585	+
GCF_001454925.1	215714	217263	+
GCF_001454925.1	1706869	1708418	-
GCF_001454925.1	1712888	1714437	-
GCF_001454925.1	2220198	2221747	+
GCF_001454925.1	2463026	2464575	+
GCF_001483405.1	1282686	1284235	-
GCF_001483405.1	1288708	1290257	-
GCF_001483405.1	1800048	1801597	+
GCF_001483405.1	2074263	2075812	+
GCF_001483405.1	2627882	2629431	+
GCF_001483405.1	2731862	2733411	+
GCF_001483425.1	1064075	1065624	-
GCF_001483425.1	1171260	1172809	-
GCF_001483425.1	1759036	1760585	-
GCF_001483425.1	1994046	1995595	-
GCF_001483425.1	2498659	2500208	+
GCF_001483425.1	2504680	2506229	+
GCF_001483445.1	313813	315362	-
GCF_001483445.1	417795	419344	-
GCF_001483445.1	1002547	1004096	-
GCF_001483445.1	1237121	1238670	-
GCF_001483445.1	1742838	1744387	+
GCF_001483445.1	1748861	1750410	+
GCF_001513695.1	263877	265434	+
GCF_001513695.1	1782164	1783721	-
GCF_001513695.1	1886146	1887703	-
GCF_001513695.1	2431184	2432741	-
GCF_001513695.1	2664249	2665806	-
GCF_001548585.1	236512	238069	+
GCF_001548585.1	242531	244088	+
GCF_001548585.1	1774699	1776256	-
GCF_001548585.1	1932415	1933972	-
GCF_001548585.1	2535072	2536629	-
GCF_001548585.1	2766509	2768066	-
GCF_001548635.1	260175	261732	+
GCF_001548635.1	266194	267751	+
GCF_001548635.1	1809382	1810939	-
GCF_001548635.1	1912204	1913761	-
GCF_001548635.1	2472128	2473685	-
GCF_001548635.1	2703565	2705122	-
GCF_001551855.1	231937	233494	+
GCF_001551855.1	237959	239516	+
GCF_001551855.1	1704806	1706363	-
GCF_001551855.1	1808779	1810336	-
GCF_001551855.1	2357635	2359192	-
GCF_001551855.1	2592142	2593699	-
GCF_001596775.2	231529	233078	+
GCF_001596775.2	237551	239100	+
GCF_001596775.2	1735843	1737392	-
GCF_001596775.2	1839816	1841365	-
