assembly_accession	start	end	orientation
GCF_000783755.2	338320	339861	+
GCF_000783755.2	2972931	2974472	-
GCF_000783755.2	4004844	4006385	-
GCF_000783755.2	4458031	4459572	+
GCF_000783755.2	4548346	4549887	+
GCF_000783755.2	4676663	4678204	+
GCF_000783755.2	4719634	4721175	+
GCF_000783755.2	4874781	4876322	+
GCF_000783995.2	58541	60080	-
GCF_000783995.2	649783	651324	-
GCF_000783995.2	819492	821030	-
GCF_000783995.2	862347	863885	-
GCF_000783995.2	996575	998114	-
GCF_000783995.2	1092034	1093573	-
GCF_000783995.2	1567074	1568613	+
GCF_000783995.2	2516616	2518157	+
GCF_001022155.1	1889213	1890754	-
GCF_001022155.1	2702813	2704354	-
GCF_001022155.1	3196603	3198144	+
GCF_001022155.1	3286640	3288181	+
GCF_001022155.1	3414934	3416475	+
GCF_001022155.1	3457913	3459454	+
GCF_001022155.1	3619582	3621123	+
GCF_001022155.1	4114406	4115947	+
GCF_001022275.1	1894995	1896536	-
GCF_001022275.1	2390964	2392505	-
GCF_001022275.1	2598101	2599642	-
GCF_001022275.1	2641080	2642621	-
GCF_001022275.1	2769374	2770915	-
GCF_001022275.1	2859411	2860952	-
GCF_001022275.1	3353201	3354742	+
GCF_001022275.1	4167862	4169403	+
GCF_001702455.1	431183	432722	+
GCF_001702455.1	1202014	1203553	+
GCF_001702455.1	4060199	4061740	-
GCF_001702455.1	4653668	4655209	-
GCF_001702455.1	4826119	4827660	-
GCF_001702455.1	4868998	4870539	-
GCF_001702455.1	4991306	4992845	-
GCF_001702455.1	5082098	5083639	-
GCF_001718055.1	9845	11385	-
GCF_001718055.1	545323	546864	-
GCF_001718055.1	746841	748382	-
GCF_001718055.1	789676	791217	-
GCF_001718055.1	917827	919368	-
GCF_001718055.1	1007985	1009526	-
GCF_001718055.1	1485981	1487522	+
GCF_001718055.1	2355924	2357465	+
GCF_001718055.1	5083089	5084630	-
GCF_001922445.1	1084883	1086422	-
GCF_001922445.1	1638191	1639732	-
GCF_001922445.1	1804896	1806437	-
GCF_001922445.1	1847586	1849127	-
GCF_001922445.1	1980983	1982522	-
GCF_001922445.1	2076448	2077989	-
GCF_001922445.1	2560304	2561843	+
GCF_001922445.1	3436938	3438479	+
GCF_002211705.1	430179	431718	+
GCF_002211705.1	1234433	1235972	+
GCF_002211705.1	4148169	4149708	-
GCF_002211705.1	4737642	4739183	-
GCF_002211705.1	4897195	4898736	-
GCF_002211705.1	4940036	4941577	-
GCF_002211705.1	5097849	5099390	-
GCF_002211705.1	5189972	5191513	-
GCF_002215385.1	2144949	2146490	-
GCF_002215385.1	2685616	2687157	-
GCF_002215385.1	2847701	2849242	-
GCF_002215385.1	2890411	2891952	-
GCF_002215385.1	3035736	3037277	-
GCF_002215385.1	3128468	3130009	-
GCF_002215385.1	3634282	3635823	+
GCF_002215385.1	4444101	4445640	+
GCF_002786865.1	247745	249284	-
GCF_002786865.1	720120	721659	+
GCF_002786865.1	815446	816985	+
GCF_002786865.1	957922	959463	+
GCF_002786865.1	1000610	1002149	+
GCF_002786865.1	1171977	1173516	+
GCF_002786865.1	1729144	1730685	+
GCF_002786865.1	4590369	4591910	-
GCF_002796485.1	129567	131108	-
GCF_002796485.1	653838	655379	-
GCF_002796485.1	805120	806661	-
GCF_002796485.1	847863	849404	-
GCF_002796485.1	979314	980855	-
GCF_002796485.1	1071728	1073269	-
GCF_002796485.1	1550867	1552408	+
GCF_002796485.1	2302730	2304271	+
GCF_002796505.1	2102558	2104099	-
GCF_002796505.1	2994414	2995955	-
GCF_002796505.1	3447602	3449143	+
GCF_002796505.1	3537917	3539458	+
GCF_002796505.1	3666234	3667775	+
GCF_002796505.1	3709205	3710746	+
GCF_002796505.1	3864379	3865920	+
GCF_002796505.1	4380031	4381572	+
GCF_002946635.1	503074	504615	-
GCF_002946635.1	1027345	1028886	-
GCF_002946635.1	1178627	1180168	-
GCF_002946635.1	1221370	1222911	-
GCF_002946635.1	1352821	1354362	-
GCF_002946635.1	1445235	1446776	-
GCF_002946635.1	1924374	1925915	+
GCF_002946635.1	2676237	2677778	+
GCF_003019835.1	1894776	1896317	-
GCF_003019835.1	2390676	2392217	-
GCF_003019835.1	2597709	2599250	-
GCF_003019835.1	2640683	2642224	-
GCF_003019835.1	2768805	2770346	-
GCF_003019835.1	2858842	2860383	-
GCF_003019835.1	3352496	3354037	+
GCF_003019835.1	4167146	4168687	+
GCF_003571565.1	11359	12900	+
GCF_003571565.1	54231	55772	+
GCF_003571565.1	214851	216392	+
GCF_003571565.1	731279	732820	+
GCF_003571565.1	3529888	3531429	-
GCF_003571565.1	4411945	4413486	-
GCF_003571565.1	4913874	4915415	+
GCF_003571565.1	5004027	5005568	+
GCF_003665535.1	244994	246535	+
GCF_003665535.1	2921156	2922697	-
GCF_003665535.1	3761774	3763315	-
GCF_003665535.1	4267067	4268608	+
GCF_003665535.1	4356185	4357726	+
GCF_003665535.1	4485690	4487231	+
GCF_003665535.1	4528663	4530204	+
GCF_003665535.1	4677855	4679396	+
GCF_003665595.1	240918	242459	+
GCF_003665595.1	3022943	3024484	-
GCF_003665595.1	3947928	3949469	-
GCF_003665595.1	4436816	4438357	+
GCF_003665595.1	4530583	4532124	+
GCF_003665595.1	4652761	4654302	+
GCF_003665595.1	4695462	4697003	+
GCF_003665595.1	4901973	4903514	+
GCF_003665615.1	240896	242437	+
GCF_003665615.1	2866388	2867929	-
GCF_003665615.1	3648826	3650367	-
GCF_003665615.1	4136614	4138155	+
GCF_003665615.1	4229340	4230881	+
GCF_003665615.1	4351652	4353193	+
GCF_003665615.1	4394622	4396163	+
GCF_003665615.1	4566841	4568382	+
GCF_003665635.1	223968	225509	+
GCF_003665635.1	2828597	2830138	-
GCF_003665635.1	3743156	3744697	-
GCF_003665635.1	4196343	4197884	+
GCF_003665635.1	4286658	4288199	+
GCF_003665635.1	4414975	4416516	+
GCF_003665635.1	4457946	4459487	+
GCF_003665635.1	4613093	4614634	+
GCF_003665655.1	232236	233775	+
GCF_003665655.1	2957083	2958624	-
GCF_003665655.1	3756907	3758448	-
GCF_003665655.1	4212055	4213596	+
GCF_003665655.1	4304161	4305702	+
GCF_003665655.1	4432338	4433879	+
GCF_003665655.1	4475313	4476854	+
GCF_003665655.1	4632920	4634461	+
GCF_003665675.1	231849	233390	+
GCF_003665675.1	3083123	3084664	-
GCF_003665675.1	3976459	3978000	-
GCF_003665675.1	4445705	4447246	+
GCF_003665675.1	4535868	4537409	+
GCF_003665675.1	4664322	4665863	+
GCF_003665675.1	4707163	4708704	+
GCF_003665675.1	4867453	4868994	+
GCF_003812325.1	1309718	1311259	-
GCF_003812325.1	2084905	2086446	-
GCF_003812325.1	2569051	2570592	+
GCF_003812325.1	2662821	2664362	+
GCF_003812325.1	2784999	2786540	+
GCF_003812325.1	2827700	2829241	+
GCF_003812325.1	2995163	2996704	+
GCF_003812325.1	3544694	3546235	+
GCF_003812345.1	1420996	1422547	-
GCF_003812345.1	2229218	2230769	-
GCF_003812345.1	2717018	2718571	+
GCF_003812345.1	2809745	2811296	+
GCF_003812345.1	2932065	2933616	+
GCF_003812345.1	2975034	2976587	+
GCF_003812345.1	3147253	3148804	+
GCF_003812345.1	3680629	3682182	+
GCF_004103775.1	455366	456907	+
GCF_004103775.1	1343980	1345521	+
GCF_004103775.1	4114321	4115862	-
GCF_004103775.1	4652439	4653980	-
GCF_004103775.1	4815519	4817060	-
GCF_004103775.1	4858332	4859873	-
GCF_004103775.1	4986558	4988099	-
GCF_004103775.1	5076715	5078256	-
GCF_004344985.1	446246	447787	+
GCF_004344985.1	1259845	1261386	+
GCF_004344985.1	3982440	3983981	-
GCF_004344985.1	4477264	4478805	-
GCF_004344985.1	4638933	4640474	-
GCF_004344985.1	4681912	4683453	-
GCF_004344985.1	4810206	4811747	-
GCF_004344985.1	4900244	4901785	-
GCF_004792475.1	408440	409981	+
GCF_004792475.1	1216315	1217856	+
GCF_004792475.1	3889125	3890666	-
GCF_004792475.1	4392103	4393644	-
GCF_004792475.1	4536533	4538074	-
GCF_004792475.1	4578316	4579857	-
GCF_004792475.1	4694808	4696349	-
GCF_004792475.1	4782752	4784293	-
GCF_005960425.1	730336	731887	-
GCF_005960425.1	1210334	1211885	+
GCF_005960425.1	1301088	1302639	+
GCF_005960425.1	1420323	1421874	+
GCF_005960425.1	1463026	1464579	+
GCF_005960425.1	1633793	1635344	+
GCF_005960425.1	2189415	2190966	+
GCF_005960425.1	4898795	4900346	-
GCF_008931485.1	461089	462630	+
GCF_008931485.1	1306885	1308426	+
GCF_008931485.1	4058567	4060108	-
GCF_008931485.1	4608212	4609753	-
GCF_008931485.1	4767505	4769046	-
GCF_008931485.1	4810377	4811918	-
GCF_008931485.1	4940995	4942536	-
GCF_008931485.1	5031148	5032689	-
GCF_008931625.1	467711	469252	+
GCF_008931625.1	1309446	1310985	+
GCF_008931625.1	4026505	4028046	-
GCF_008931625.1	4588004	4589545	-
GCF_008931625.1	4748723	4750264	-
GCF_008931625.1	4791433	4792974	-
GCF_008931625.1	4943092	4944633	-
GCF_008931625.1	5035828	5037369	-
GCF_008931685.1	467711	469252	+
GCF_008931685.1	1322115	1323654	+
GCF_008931685.1	4040991	4042532	-
GCF_008931685.1	4602490	4604031	-
GCF_008931685.1	4763211	4764752	-
GCF_008931685.1	4805921	4807462	-
GCF_008931685.1	4925166	4926707	-
GCF_008931685.1	5017902	5019443	-
GCF_009664045.1	50176	51727	-
GCF_009664045.1	581586	583137	-
GCF_009664045.1	749100	750653	-
GCF_009664045.1	791903	793456	-
GCF_009664045.1	924331	925882	-
GCF_009664045.1	1015418	1016969	-
GCF_009664045.1	1475955	1477506	+
GCF_009664045.1	2329804	2331355	+
GCF_009664065.1	130942	132493	-
GCF_009664065.1	222029	223580	-
GCF_009664065.1	682566	684117	+
GCF_009664065.1	1539151	1540702	+
GCF_009664065.1	3638003	3639554	-
GCF_009664065.1	4169413	4170964	-
GCF_009664065.1	4346593	4348146	-
GCF_009856695.1	437348	438899	+
GCF_009856695.1	1281255	1282806	+
GCF_009856695.1	3891998	3893549	-
GCF_009856695.1	4411623	4413174	-
GCF_009856695.1	4565947	4567498	-
GCF_009856695.1	4608697	4610248	-
GCF_009856695.1	4738265	4739816	-
GCF_009856695.1	4830633	4832184	-
GCF_009857035.1	431306	432847	+
GCF_009857035.1	1328211	1329752	+
GCF_009857035.1	3986771	3988312	-
GCF_009857035.1	4632256	4633797	-
GCF_009857035.1	4807615	4809156	-
GCF_009857035.1	4850584	4852125	-
GCF_009857035.1	4978731	4980272	-
GCF_009857035.1	5072980	5074521	-
GCF_010365585.1	310963	312504	-
GCF_010365585.1	1118951	1120492	-
GCF_010365585.1	1585338	1586879	+
GCF_010365585.1	1675498	1677039	+
GCF_010365585.1	1803650	1805191	+
GCF_010365585.1	1846485	1848026	+
GCF_010365585.1	2006842	2008383	+
GCF_010365585.1	2505757	2507298	+
GCF_012955545.1	128186	129727	-
GCF_012955545.1	219211	220749	-
GCF_012955545.1	682614	684165	+
GCF_012955545.1	1463478	1465029	+
GCF_012955545.1	3254187	3255738	-
GCF_012955545.1	3730972	3732523	-
GCF_012955545.1	3896150	3897703	-
GCF_013085885.1	423518	425069	+
GCF_013085885.1	1236480	1238031	+
GCF_013085885.1	3859698	3861249	-
GCF_013085885.1	4348445	4349996	-
GCF_013085885.1	4507820	4509373	-
GCF_013085885.1	4550682	4552235	-
GCF_013085885.1	4679029	4680580	-
GCF_013085885.1	4769182	4770733	-
GCF_013371705.1	423583	425134	+
GCF_013371705.1	1237468	1239021	+
GCF_013371705.1	3969935	3971486	-
GCF_013371705.1	4518549	4520102	-
GCF_013371705.1	4677926	4679479	-
GCF_013371705.1	4720788	4722341	-
GCF_013371705.1	4849135	4850686	-
GCF_013371705.1	4939280	4940831	-
GCF_013389635.1	410779	412332	+
GCF_013389635.1	1429811	1431362	+
GCF_013389635.1	4230259	4231812	-
GCF_013389635.1	4835849	4837402	-
GCF_013389635.1	4990459	4992010	-
GCF_013389635.1	5033432	5034983	-
GCF_013389635.1	5198547	5200098	-
GCF_013389635.1	5290668	5292219	-
GCF_013390245.1	407535	409086	+
GCF_013390245.1	1303513	1305064	+
GCF_013390245.1	3957430	3958981	-
GCF_013390245.1	4465732	4467283	-
GCF_013390245.1	4643320	4644871	-
GCF_013390245.1	4686299	4687852	-
GCF_013390245.1	4816632	4818185	-
GCF_013390245.1	4906797	4908348	-
GCF_013589875.1	421186	422737	+
GCF_013589875.1	1289129	1290680	+
GCF_013589875.1	4032264	4033815	-
GCF_013589875.1	4545745	4547296	-
GCF_013589875.1	4714691	4716242	-
GCF_013589875.1	4757527	4759078	-
GCF_013589875.1	4885679	4887230	-
GCF_013589875.1	4975839	4977390	-
GCF_013590555.1	420856	422407	+
GCF_013590555.1	1288799	1290350	+
GCF_013590555.1	4033436	4034987	-
GCF_013590555.1	4546917	4548468	-
GCF_013590555.1	4715863	4717414	-
GCF_013590555.1	4758699	4760250	-
GCF_013590555.1	4886851	4888402	-
GCF_013590555.1	4977011	4978562	-
GCF_013604545.1	421186	422737	+
GCF_013604545.1	1289133	1290684	+
GCF_013604545.1	3986443	3987994	-
GCF_013604545.1	4501123	4502674	-
GCF_013604545.1	4670069	4671620	-
GCF_013604545.1	4712905	4714456	-
GCF_013604545.1	4841057	4842608	-
GCF_013604545.1	4931217	4932768	-
GCF_013612875.1	372686	374237	+
GCF_013612875.1	925337	926888	+
GCF_013612875.1	3675974	3677525	-
GCF_013612875.1	4583598	4585149	-
GCF_013612875.1	4753832	4755383	-
GCF_013612875.1	4795781	4797332	-
GCF_013612875.1	4928346	4929897	-
GCF_013612875.1	5017291	5018842	-
GCF_013614655.1	464648	466199	+
GCF_013614655.1	1369974	1371527	+
GCF_013614655.1	4180634	4182185	-
GCF_013614655.1	4740596	4742147	-
GCF_013614655.1	4947345	4948896	-
GCF_013614655.1	4990024	4991575	-
GCF_013614655.1	5123027	5124576	-
GCF_013614655.1	5218400	5219951	-
GCF_013705425.1	398767	400308	+
GCF_013705425.1	1333464	1335005	+
GCF_013705425.1	3901451	3902992	-
GCF_013705425.1	4462764	4464305	-
GCF_013705425.1	4625739	4627280	-
GCF_013705425.1	4667515	4669056	-
GCF_013705425.1	4788990	4790531	-
GCF_013705425.1	4877049	4878590	-
GCF_013706575.1	417268	418809	+
GCF_013706575.1	963544	965085	+
GCF_013706575.1	3656390	3657931	-
GCF_013706575.1	4519886	4521427	-
GCF_013706575.1	4679462	4681003	-
GCF_013706575.1	4722683	4724224	-
GCF_013706575.1	4890408	4891949	-
GCF_013706575.1	4978214	4979755	-
GCF_013707835.1	480888	482429	+
GCF_013707835.1	1373796	1375335	+
GCF_013707835.1	4085032	4086573	-
GCF_013707835.1	4647360	4648901	-
GCF_013707835.1	4856030	4857571	-
GCF_013707835.1	4898739	4900280	-
GCF_013707835.1	5017980	5019521	-
GCF_013707835.1	5110716	5112257	-
GCF_013724765.1	429434	430985	+
GCF_013724765.1	1283809	1285360	+
GCF_013724765.1	4126432	4127983	-
GCF_013724765.1	4665843	4667396	-
GCF_013724765.1	4823178	4824729	-
GCF_013724765.1	4865901	4867454	-
GCF_013724765.1	5017353	5018906	-
GCF_013724765.1	5107706	5109257	-
GCF_013724985.1	408089	409640	+
GCF_013724985.1	1238024	1239575	+
GCF_013724985.1	3788685	3790236	-
GCF_013724985.1	4318722	4320273	-
GCF_013724985.1	4464366	4465917	-
GCF_013724985.1	4506148	4507699	-
GCF_013724985.1	4633830	4635381	-
GCF_013724985.1	4722960	4724511	-
GCF_013725165.1	436335	437886	+
GCF_013725165.1	1359643	1361194	+
GCF_013725165.1	4160573	4162124	-
GCF_013725165.1	4792650	4794201	-
GCF_013725165.1	4973404	4974955	-
GCF_013725165.1	5016373	5017924	-
GCF_013725165.1	5144543	5146094	-
GCF_013725165.1	5234696	5236247	-
GCF_013725595.1	446142	447693	+
GCF_013725595.1	1317109	1318660	+
GCF_013725595.1	4008942	4010493	-
GCF_013725595.1	4588482	4590033	-
GCF_013725595.1	4795042	4796593	-
GCF_013725595.1	4838012	4839563	-
GCF_013725595.1	4966215	4967766	-
GCF_013725595.1	5056369	5057920	-
GCF_013726215.1	415097	416648	+
GCF_013726215.1	1199572	1201123	+
GCF_013726215.1	3846817	3848368	-
GCF_013726215.1	4362774	4364325	-
GCF_013726215.1	4507325	4508876	-
GCF_013726215.1	4549107	4550658	-
GCF_013726215.1	4673293	4674844	-
GCF_013726215.1	4761272	4762823	-
GCF_013726615.1	416740	418293	+
GCF_013726615.1	1273781	1275332	+
GCF_013726615.1	3964916	3966467	-
GCF_013726615.1	4484172	4485723	-
GCF_013726615.1	4642785	4644338	-
GCF_013726615.1	4685487	4687038	-
GCF_013726615.1	4813665	4815218	-
GCF_013726615.1	4903833	4905384	-
GCF_013727455.1	446142	447693	+
GCF_013727455.1	1317109	1318660	+
GCF_013727455.1	4013612	4015163	-
GCF_013727455.1	4593151	4594702	-
GCF_013727455.1	4799710	4801261	-
GCF_013727455.1	4842679	4844230	-
GCF_013727455.1	4970881	4972432	-
GCF_013727455.1	5061034	5062585	-
GCF_013729995.1	430876	432427	+
GCF_013729995.1	1309657	1311208	+
GCF_013729995.1	3949789	3951340	-
GCF_013729995.1	4453316	4454867	-
GCF_013729995.1	4607097	4608648	-
GCF_013729995.1	4649845	4651396	-
GCF_013729995.1	4782701	4784252	-
GCF_013729995.1	4873074	4874625	-
GCF_013730455.1	430876	432427	+
GCF_013730455.1	1309657	1311208	+
GCF_013730455.1	3949789	3951340	-
GCF_013730455.1	4453316	4454867	-
GCF_013730455.1	4607097	4608648	-
GCF_013730455.1	4649845	4651396	-
GCF_013730455.1	4782701	4784252	-
GCF_013730455.1	4873074	4874625	-
GCF_013731955.1	422341	423892	+
GCF_013731955.1	1205674	1207225	+
GCF_013731955.1	4016179	4017733	-
GCF_013731955.1	4514127	4515678	-
GCF_013731955.1	4674415	4675966	-
GCF_013731955.1	4717356	4718909	-
GCF_013731955.1	4845814	4847365	-
GCF_013731955.1	4935977	4937528	-
GCF_013738135.1	423881	425432	+
GCF_013738135.1	933206	934757	+
GCF_013738135.1	3673827	3675378	-
GCF_013738135.1	4562832	4564383	-
GCF_013738135.1	4716798	4718349	-
GCF_013738135.1	4760019	4761570	-
GCF_013738135.1	4895999	4897550	-
GCF_013738135.1	4983841	4985392	-
GCF_013738635.1	437359	438910	+
GCF_013738635.1	1243700	1245251	+
GCF_013738635.1	4052231	4053782	-
GCF_013738635.1	4615868	4617419	-
GCF_013738635.1	4776002	4777553	-
GCF_013738635.1	4818972	4820523	-
GCF_013738635.1	4947202	4948753	-
GCF_013738635.1	5037356	5038907	-
GCF_013739375.1	446245	447796	+
GCF_013739375.1	1247744	1249295	+
GCF_013739375.1	4037093	4038644	-
GCF_013739375.1	4541906	4543457	-
GCF_013739375.1	4703569	4705120	-
GCF_013739375.1	4746542	4748093	-
