assembly_accession	rel_start	rel_center	rel_end	orientation	has_tandem
GCF_000534935.2	0.0164764974933083	0.0167830158401409	0.0170895341869734	+	False
GCF_000534935.2	0.0242997310701699	0.0246062494170025	0.024912767763835	+	False
GCF_000534935.2	0.0453753871498655	0.0456819054966981	0.0459884238435305	+	False
GCF_000534935.2	0.0703015935001509	0.0706081118469834	0.070914630193816	+	False
GCF_000534935.2	0.1103007555647605	0.110607273911593	0.1109137922584256	+	False
GCF_000534935.2	0.1184342623876099	0.1187407807344425	0.119047299081275	+	False
GCF_000534935.2	0.1236911212049827	0.1239976395518152	0.1243041578986477	+	False
GCF_000534935.2	0.2196948017966599	0.2200011225172211	0.2203074432377823	+	False
GCF_000534935.2	0.3023504087701796	0.3026569271170121	0.3029634454638447	+	False
GCF_000534935.2	-0.2007756809519382	-0.200487310588454	-0.2001989402249697	-	False
GCF_000725325.1	0.0156772901578506	0.0159845675808252	0.0162918450037998	+	False
GCF_000725325.1	0.0235198975504184	0.0238271749733931	0.0241344523963676	+	False
GCF_000725325.1	0.0446481425862338	0.0449550237778442	0.0452619049694545	+	False
GCF_000725325.1	0.0696400396548349	0.0699477133091737	0.0702553869635126	+	False
GCF_000725325.1	0.1095516325128438	0.1098593061671826	0.1101669798215215	+	False
GCF_000725325.1	0.1177068664518036	0.1180141438747781	0.1183214212977528	+	True
GCF_000725325.1	0.1216584818474525	0.121965759270427	0.1222730366934017	+	True
GCF_000725325.1	0.2178242301818939	0.2181313094891863	0.2184383887964789	+	False
GCF_000725325.1	0.3006841330735112	0.3009920048435321	0.3012998766135532	+	False
GCF_000725325.1	-0.201673036598605	-0.2013847166247788	-0.2010963966509525	-	False
GCF_000742655.1	-0.2964291132064927	-0.2961195298964463	-0.2958099465863999	-	False
GCF_000742655.1	-0.2129470095569625	-0.2126374262469161	-0.2123278429368697	-	False
GCF_000742655.1	-0.1159538199905787	-0.1156444362829244	-0.11533505257527	-	False
GCF_000742655.1	-0.1119589777163889	-0.1116493944063425	-0.1113398110962961	-	False
GCF_000742655.1	-0.1066495540882561	-0.1063399707782097	-0.1060303874681634	-	False
GCF_000742655.1	-0.0984359156560132	-0.0981265319483588	-0.0978171482407045	-	False
GCF_000742655.1	-0.0580300042315707	-0.0577204209215242	-0.0574108376114779	-	False
GCF_000742655.1	-0.0328541545241878	-0.0325447708165335	-0.0322353871088791	-	False
