assembly_accession	seq_id	origin	terminus	repl_1_mean	repl_2_mean	c_skew_min	c_skew_max	length
GCF_000765415.1	NZ_CP007634.1	2555880	1036680	0.056364254809034	-0.0530151674087951	-2477.9924981919744	5576.08072063794	3043139
GCF_001854425.1	NZ_CP013014.1	2565980	1073480	0.0568454651026666	-0.0523522294550876	-1785.7414597188	6033.021016147312	2925021
GCF_001887395.1	NZ_CP013301.1	1530	1574190	0.057324620561797	-0.0515772915829153	0.0666666666666666	9019.405711638194	2996195
GCF_001887415.1	NZ_CP013311.1	174470	1592340	0.0570951138105114	-0.0542937997953855	-922.058161497994	7173.302145938908	2951445
GCF_001887435.1	NZ_CP013303.1	1530	1568630	0.0570048689190218	-0.0515434065011379	0.0666666666666666	8937.424908266898	2993255
GCF_001887455.1	NZ_CP013305.1	1530	1568650	0.0570113906651889	-0.0519187219630645	0.0666666666666666	8938.560988289639	2999012
GCF_001887475.1	NZ_CP013307.1	2705210	1166860	0.0569816038159649	-0.051689512050222	-1417.9251214408582	6533.797615412488	2969901
GCF_001887495.1	NZ_CP013309.1	1812690	361990	0.0513251443784421	-0.0567780300568606	-6577.326273386024	1659.476496347688	2996535
GCF_001887515.1	NZ_CP013317.1	1530	1545450	0.0566125635881324	-0.0512197102373443	0.0666666666666667	8744.715426514931	2981414
GCF_001887615.1	NZ_CP013319.1	1530	1604860	0.0563421072743979	-0.0519315555380423	0.0666666666666666	9039.976517686377	3008486
GCF_001887635.1	NZ_CP013315.1	20470	1556010	0.0532485137017516	-0.0575975842166512	-127.26618845009492	8049.26102106801	2939488
GCF_001887655.1	NZ_CP013313.1	1530	1568190	0.0537574277513874	-0.0537943911958213	0.0666666666666666	8426.15307606555	2961701
GCF_002073335.2	NZ_CP020408.2	2418530	976060	0.0533505397529667	-0.0576901809398612	-3121.622075807624	5207.164579597557	2969957
GCF_002313025.1	NZ_CP016987.1	3013410	1503080	0.0524311494483013	-0.0557205413223029	-557.8198735713361	7865.39169140715	3028272
GCF_002749635.1	NZ_CP024162.1	1530	1563170	0.0567086666035385	-0.0519522609300261	0.0666666666666666	8860.043313993603	2992571
GCF_003063785.1	NZ_CP028827.1	2967130	1521050	0.0533193902872207	-0.0581766913906149	-281.2176696599072	8131.766987079684	2975504
GCF_003063885.1	NZ_CP028892.1	11730	1504100	0.0550832032171457	-0.0548009437800489	0.0150375939849624	8269.27622058537	2955400
GCF_003591575.1	NZ_CP024082.1	3004710	1541860	0.0549632148327097	-0.058695459563919	-65.43389634697395	8531.869512070993	3031091
GCF_003719755.1	NZ_CP033515.1	3066880	1524060	0.0530573663351799	-0.0560105425074965	-533.7099384483331	8128.499302485686	3075249
GCF_004117115.1	NZ_CP026531.1	11520	1533610	0.0540472071432239	-0.0528038774442837	0.0114942528735632	8269.383867375183	2963247
GCF_004328575.1	NZ_CP036499.1	805120	2320260	0.0555909379312679	-0.0578015215188254	-4986.444575620582	3436.365047441825	2942340
GCF_008369605.1	NZ_CP043554.1	6840	1458650	0.0575078191043881	-0.0519796516093367	0.1101694915254235	8439.107083194825	2948589
GCF_008369625.1	NZ_CP043557.1	1052020	2658860	0.0541178710841312	-0.0576231483082921	-6276.117189107038	2419.8555652276814	3162181
GCF_009762895.1	NZ_CP046736.1	555420	2087570	0.0539970382149718	-0.0546159566632758	-3274.843540597928	4998.3690004004375	3101042
GCF_009762915.1	NZ_CP046737.1	2157770	672070	0.0577446227549969	-0.0534835012501916	-4533.692581307389	3412.369140771919	2883085
GCF_009762945.1	NZ_CP046740.1	3047480	1476840	0.0542419555903927	-0.0553430557717729	-688.9864137947369	8004.90834125708	3057992
GCF_009762965.1	NZ_CP046742.1	1510080	2920890	0.0571349404548173	-0.0505162609664401	-7669.660605380014	416.1803110375678	2924072
GCF_009762985.1	NZ_CP046744.1	2228980	797550	0.0517143508004402	-0.056967945072009	-3966.9408858812135	4187.632212472203	2969890
GCF_009763045.1	NZ_CP046747.1	1321980	2893840	0.0543574927434631	-0.0561614078887378	-7559.975134942133	984.2704592386636	3065919
GCF_009763065.1	NZ_CP046749.1	2895880	1383210	0.0577664121264635	-0.0556678120178423	-537.9498196455069	7882.7573851949855	2927934
GCF_009763665.1	NZ_CP046839.1	1864870	436520	0.0542400941068303	-0.0551467592296525	-5825.499590948977	2051.3935276955326	3073750
GCF_009763825.1	NZ_CP046840.1	1450400	3080610	0.0556668338385977	-0.0480818595800754	-6995.262098584298	2092.4152709834407	3082401
GCF_009799825.1	NZ_CP047059.1	2974400	1520470	0.052747731094107	-0.0557496155226966	-62.66898099629871	8042.944888735167	2983109
GCF_012275105.1	NZ_CP051124.1	1855770	372620	0.055338904298627	-0.0583277246237986	-6627.96579461017	2028.190558180269	3018407
GCF_013357605.1	NZ_CP053794.1	3024500	1552120	0.0526109470209729	-0.0577264815995049	-307.9588032518112	8191.584226024203	3033188
GCF_013357625.1	NZ_CP053796.1	2945820	1515950	0.0541596364918382	-0.0579430951639526	-50.37200164099995	8234.765475729055	2954462
GCF_013357645.1	NZ_CP053798.1	11720	1502800	0.0545976491244533	-0.0544448447955674	0.0150375939849623	8188.721539619669	2947299
GCF_013357665.1	NZ_CP053800.1	11740	1506670	0.0551559535340957	-0.0541310536402621	0.0075187969924811	8296.56242492419	2947270
GCF_013357685.1	NZ_CP053802.1	2821600	1453820	0.0538432871974192	-0.0572426079964752	0.0151515151515151	7851.517089097061	2829740
GCF_013357725.1	NZ_CP053804.1	11710	1522200	0.0555026501632928	-0.0557106049290957	0.0114068441064639	8434.98434196633	2900064
GCF_013357745.1	NZ_CP053806.1	11290	1553640	0.0556231649922286	-0.0563406825815022	0.0114068441064638	8628.417392120808	2947818
GCF_013357765.1	NZ_CP053808.1	2859290	1449780	0.0542514353223449	-0.0575114658542083	-214.5261586192437	7891.779486130901	2868038
GCF_013357785.1	NZ_CP053810.1	11290	1576210	0.0535190939010365	-0.0556350442559035	0.0114068441064639	8427.02263048909	2967360
GCF_013357805.1	NZ_CP053813.1	11290	1576620	0.0535325038568503	-0.0556309823327344	0.0114068441064638	8431.316013952419	2967793
GCF_013357825.1	NZ_CP053822.1	2967440	1522800	0.0518325331948296	-0.0573367698790577	-387.77960954629367	7895.922551346933	3000460
GCF_013357845.1	NZ_CP053816.1	2971220	1530330	0.0519159127796801	-0.0574609867683643	-330.6407429358888	7948.859695724799	3004584
GCF_013357865.1	NZ_CP053820.1	2977240	1514610	0.0529585895364382	-0.057279923896627	-349.418506599022	8028.521459296012	3010605
GCF_013357885.1	NZ_CP053744.1	830	1532580	0.0566099680117205	-0.0559734072829658	0.0114068441064638	8672.360682616509	3020084
GCF_013462495.1	NZ_CP040172.1	3030340	1485670	0.05266113855139	-0.0571217518828786	-977.1582625489376	7846.278367621448	3039067
GCF_015168795.1	NZ_CP063420.1	2990410	1496520	0.0532608052336611	-0.0543691511429638	-18.944850140151622	8103.214848238725	3040054
GCF_900185995.1	NZ_LT897797.1	2968420	1467480	0.052622399130506	-0.0563540098471165	-709.4498549573217	7748.955176940109	2976768
GCF_900324425.1	NZ_LT992488.1	3033210	1493230	0.0520048388104517	-0.058375341939075	-1201.683974368554	7788.014906145852	3041946
GCF_900324435.1	NZ_LT992490.1	3021620	1498770	0.0531742286649334	-0.0555404544180389	-468.0405097834361	8000.672195150767	3029538
GCF_900324445.1	NZ_LT992486.1	3033570	1493230	0.0520153776558949	-0.0583602542281006	-1201.812286563725	7787.82058262696	3041944
GCF_900324455.1	NZ_LT992492.1	3033210	1493230	0.0520037200201558	-0.0583751408749462	-1201.8406820186133	7787.82058262696	3041945
