assembly_accession	seq_id	origin	terminus	repl_1_mean	repl_2_mean	c_skew_min	c_skew_max	length
GCF_000953275.1	NZ_LN614756.1	230	2185810	0.2122880882445552	-0.2130322557587362	0.0135135135135134	46469.334999348015	4293049
GCF_001577795.1	NZ_CP010888.1	501660	2619440	0.2199816680833863	-0.2103360387526805	-11439.687037859088	35209.854186446646	4167076
GCF_002007885.1	NZ_CP019870.1	4063140	1977580	0.214467107311589	-0.2208355245794145	-3852.39887936625	42204.18241719975	4124384
GCF_002073735.2	NZ_CP020424.2	2195220	101430	0.2149637007831252	-0.2188040751531859	-44228.49114791428	1584.5102751140791	4109635
GCF_002080065.1	NZ_CP016318.1	70	2212240	0.2085741099238378	-0.21440436178546	0.0135135135135135	46492.88903295554	4293048
GCF_002234355.1	NZ_CP022524.1	70	2048850	0.2213479664213111	-0.2143130947211166	0.0135135135135135	45411.49063499787	4087127
GCF_002812585.1	NZ_CP025044.1	4078980	1985610	0.2209693287139317	-0.2099672420835014	-387.7321817117091	43566.20355886947	4190038
GCF_002812605.1	NZ_CP025045.1	4020150	1958270	0.2214397318509599	-0.2128570492714918	-766.007288258661	43184.62183522384	4110080
GCF_002812625.1	NZ_CP025046.1	4098210	1973960	0.221299347974772	-0.210714192049036	-1325.4461058754378	43613.85999766006	4188456
GCF_002812645.1	NZ_CP025047.1	3985390	1954000	0.2225946649369099	-0.2158830367536756	-594.7489187959732	43259.5263889459	4075361
GCF_002945415.1	NZ_CP026592.1	230	2092860	0.2210006005594017	-0.210053933819456	0.0135135135135135	46321.17082507681	4119484
GCF_002945515.1	NZ_CP026591.1	70	2177830	0.2181091846858275	-0.2108025248438089	0.0135135135135135	47499.060040096665	4201330
GCF_002945665.1	NZ_CP026593.1	70	2096240	0.22105626895755	-0.21078827171812	0.0135135135135134	46337.26967471816	4119604
GCF_002945755.1	NZ_CP026594.1	230	2093070	0.2209831016765751	-0.2089866540502085	0.0135135135135136	46322.140630103706	4177956
GCF_002945855.1	NZ_CP026595.1	250	2096550	0.2209864419407086	-0.2107580976683024	0.0135135135135136	46325.91920876484	4119932
GCF_002945945.1	NZ_CP026596.1	70	2096340	0.2209450950683986	-0.2107799968908546	0.0135135135135135	46316.178721855424	4119720
GCF_002946035.1	NZ_CP026597.1	230	2115160	0.217284970943539	-0.2108949816801135	0.0135135135135135	46324.9336677211	4119749
GCF_002946135.1	NZ_CP026598.1	70	2096640	0.220954457799121	-0.2108293814882441	0.0135135135135134	46324.76650343296	4120065
GCF_002946195.1	NZ_CP026599.1	250	2096720	0.2209439926898386	-0.2107687041779878	0.0135135135135136	46320.79058182872	4119929
GCF_002946515.2	NZ_CP026613.2	50	2125280	0.209042726700273	-0.213243961955736	0.0252100840336133	44426.564273373406	4093143
GCF_002946535.2	NZ_CP026615.2	4065800	1969550	0.2066785459548778	-0.2086392537860285	-2464.3647331638435	41955.36835457751	4093147
GCF_002946555.2	NZ_CP026614.2	50	2125280	0.2090447866865654	-0.2132424369631479	0.0252100840336132	44426.99872343236	4093145
GCF_002954015.1	NZ_CP027014.1	3959530	1940340	0.2186076005993584	-0.214265764533775	-1111.2016364863978	42223.53384273807	4116125
GCF_003095675.1	NZ_CP029154.1	250	2140700	0.2149219209481267	-0.2100549888436087	0.0204081632653059	46019.14575410654	4295210
GCF_003095695.1	NZ_CP029152.1	250	2215870	0.2111474295586339	-0.2154572578035254	0.0204081632653059	46847.10183475245	4240954
GCF_003313545.1	NZ_CP011846.1	70	2092920	0.2215049120654699	-0.2045429719138555	0.0135135135135133	46357.7697575778	4229698
GCF_003313565.1	NZ_CP011847.1	4252460	2089760	0.2078398705342959	-0.2101257063442582	-1770.4945157013117	43974.89583466632	4263997
GCF_003313585.1	NZ_CP011848.1	70	2092850	0.2214123184437343	-0.2045425776611179	0.0135135135135134	46336.844923911165	4229629
GCF_003456975.1	NZ_CP020378.1	250	2190030	0.2200658542593595	-0.2165470789934823	0.0136986301369863	48250.58411040515	4247015
GCF_003457015.1	NZ_CP020379.1	250	2204040	0.2221932923987814	-0.2172230254689963	0.0136986301369862	48967.352175006	4253785
GCF_003457035.1	NZ_CP020380.1	70	2204040	0.2221823268675309	-0.2172447884309873	0.0136986301369862	48968.44096221314	4253783
GCF_003481905.1	NZ_CP019858.1	250	2189730	0.2139180423866767	-0.2158985836748685	0.020408163265306	46890.20124132936	4228964
GCF_003481965.1	NZ_CP019860.1	70	2090690	0.2228302521500935	-0.2196217724203776	0.0067114093959732	46585.40667992694	4175826
GCF_003482035.1	NZ_CP012320.1	70	2095110	0.2213878133864669	-0.2089106356165586	0.0135135135135135	46381.7502003604	4205365
GCF_003482065.1	NZ_CP012321.1	230	2103840	0.2069276290218851	-0.212992523179954	0.0135135135135135	43706.47899353015	4122585
GCF_003482125.1	NZ_CP012323.1	29630	2095090	0.216864723512672	-0.2049994323920383	0.0204081632653064	45468.98125595262	4137693
GCF_003482165.1	NZ_CP012325.1	29740	2171200	0.203902366030752	-0.2079681127289055	0.0758620689655173	44349.968369414	4139418
GCF_003482225.1	NZ_CP012312.1	28840	2155930	0.2149096350582577	-0.2104408769448746	0.0204081632653061	46470.25360068453	4191653
GCF_003482255.1	NZ_CP016102.1	29760	2159120	0.2150846630510493	-0.2069844392815985	0.0204081632653061	46479.91530722521	4209547
GCF_003482305.1	NZ_CP016104.1	250	2103240	0.2208086620239595	-0.2146457482079197	0.020408163265306	46452.00752951807	4111235
GCF_003482325.1	NZ_CP016106.1	70	2054200	0.2230790668232134	-0.2184797529307899	0.0135135135135134	45823.461557953306	4114585
GCF_003482345.1	NZ_CP019857.1	70	2121690	0.2168592089429375	-0.2096616280741481	0.0135135135135134	46009.39769959412	4240646
GCF_003482365.1	NZ_CP019864.1	29800	2103750	0.2100117641492297	-0.2066609235233482	0.0758620689655169	44241.39408426138	4071596
GCF_003490105.1	NZ_CP012309.1	70	2119970	0.2200931117964373	-0.2207984109101987	0.0135135135135134	46657.656465806	4214812
GCF_003597795.1	NZ_CP028526.1	4207250	2143890	0.198957218534688	-0.2213389830563001	-2723.4941722239373	43252.10426015677	4221948
GCF_003597815.1	NZ_CP028527.1	230	2089490	0.2215080817272919	-0.2090129204206965	0.0135135135135137	46352.72125984222	4174373
GCF_003597835.1	NZ_CP028528.1	17080	2081630	0.2207344288239079	-0.1973714369458589	0.1075697211155378	46009.15120504808	4119431
GCF_003597855.1	NZ_CP028529.1	230	2101790	0.2225931636892652	-0.2184301128826795	0.0135135135135136	46852.4659936319	4091287
GCF_003597875.1	NZ_CP028524.1	4005430	1956660	0.2215671343424644	-0.2109703034576516	-192.46974322781497	43030.513672493376	4144005
GCF_003597895.1	NZ_CP028525.1	70	2046400	0.223162660358751	-0.204465088306681	0.0135135135135136	45666.55947741095	4182371
GCF_003597915.1	NZ_CP028530.1	70	2080710	0.2213476211390187	-0.206431938328853	0.0135135135135136	46054.59272262032	4174406
GCF_003697205.1	NZ_CP033213.1	29680	2056170	0.2151021538496332	-0.2105278573666543	0.0758620689655173	44273.94971689262	4049580
GCF_003697225.1	NZ_CP033214.1	29680	2073570	0.2145876334925593	-0.2105241894954918	0.0758620689655171	44543.30020991935	4066982
GCF_003697245.1	NZ_CP033216.1	3984620	1968510	0.2145439763255215	-0.2107828313493308	-15.786466787764889	42772.109893639885	3996135
GCF_008245165.1	NZ_CP042267.1	230	2104190	0.2247563714566371	-0.2160109411108766	0.0135135135135135	47360.85169817516	4123685
GCF_009362915.1	NZ_CP045224.1	4070600	1974320	0.2064731895542498	-0.2088151821960819	-2395.04298758884	42063.44844195439	4100340
GCF_009730495.1	NZ_CP046327.1	3011780	915240	0.2097307089778374	-0.2209939352770022	-27374.39595225081	18957.87425804297	4178106
GCF_009867095.1	NZ_CP029566.1	3245760	1279470	0.2229397874435468	-0.2188660212475896	-14439.989336903303	28595.43366326316	4038993
GCF_014236775.1	NZ_CP028361.1	250	2175520	0.2219730963328478	-0.2098140082733081	0.020408163265306	48285.81872694208	4198599
GCF_015732535.1	NZ_CP021319.1	3997870	1970660	0.204875006461916	-0.2182056061059586	-3624.9446445379217	40901.49787469404	4009385
GCF_016766955.1	NZ_CP068555.1	1801400	3886980	0.2146730889492051	-0.2155099587284367	-39458.03884794987	5313.758888383437	4075360
GCF_016766975.1	NZ_CP068559.1	3398500	1440320	0.2136104913303226	-0.2148628706476812	-11557.954447549251	30516.075174849604	4001197
GCF_016767015.1	NZ_CP068561.1	1777200	3726930	0.2158894945541354	-0.2159743323707192	-38856.05871294824	3236.600162656864	3955466
GCF_016767035.1	NZ_CP068560.1	1116220	3065920	0.2158643135093142	-0.2156256218279086	-24809.992261521544	17277.101711599953	3951345
GCF_016767055.1	NZ_CP068557.1	483740	2476080	0.2160602551354906	-0.2150269299198586	-10664.154541813754	32382.42309806072	4004108
GCF_016767095.1	NZ_CP068556.1	3229460	1125730	0.2086296077143015	-0.2102682831272455	-22039.74670292937	22195.0592772998	4184560
GCF_016767115.1	NZ_CP068552.1	2430060	348080	0.2154983424924167	-0.2112745638556916	-37010.249063181465	6976.703540957922	4065486
GCF_016767135.1	NZ_CP068553.1	2172710	222830	0.2103745653773329	-0.2158977517802184	-38882.89223167042	3214.5950151479647	4070623
GCF_018255775.1	NZ_CP073752.1	230	2133930	0.2160996792512328	-0.2100354433375693	0.0135135135135136	46479.8609838298	4208592
GCF_018603395.1	NZ_CP075684.1	29800	2030950	0.2150271457162659	-0.2079496445212348	0.0758620689655169	43714.45292231705	3998618
GCF_018603455.1	NZ_CP075683.1	29800	2030950	0.2150212420124085	-0.2079347374752118	0.075862068965517	43713.44858235643	3998707
GCF_018603475.1	NZ_CP075685.1	29800	2031040	0.2150008066645768	-0.2079481661735232	0.075862068965517	43711.17430920257	3998712
GCF_902386365.1	NZ_LR698984.1	4078980	1985610	0.2209693287139317	-0.2099672420835014	-387.7321817117091	43566.20355886947	4190038
GCF_000009205.2	NC_009089.1	250	2229520	0.2128521970101173	-0.2130869496761001	0.0135135135135135	47451.03308349321	4290252
GCF_000932055.2	NZ_CP010905.2	60	2210710	0.213963245355639	-0.2123969584743718	0.0135135135135135	47371.43657155416	4274782
GCF_000003215.1	NZ_CM000441.1	8800	2028180	0.2226970577191866	-0.2068216363240589	0.2925170068027209	45187.078036727886	4094363
GCF_000154625.1	NZ_CM000637.1	4118460	2053560	0.2148359545052217	-0.2155295007879134	-459.6248294749686	44045.07372300875	4129288
GCF_000154645.1	NZ_CM000661.1	8790	2076800	0.2179476483418524	-0.2077293453428907	0.2925170068027214	45287.39743153199	4078976
GCF_000154665.1	NZ_CM000657.1	8560	2011570	0.2221734178491503	-0.2086489653125639	0.3488372093023256	44713.84231709699	3998408
GCF_000154685.1	NZ_CM000658.1	8800	2033920	0.2213662509908822	-0.2069886695223427	0.2925170068027213	45045.36787554953	4092698
GCF_000155025.1	NZ_CM000604.1	7640	2124230	0.2195056877357113	-0.2139285474367933	0.3223140495867765	46680.319331273546	4123727
GCF_000155045.1	NZ_CM000659.1	8010	2043480	0.2179293131553436	-0.2084576076904844	0.2925170068027214	44942.34379430703	4016699
GCF_000085225.1	NC_013315.1	230	2083810	0.2214562149916235	-0.2100425402501625	0.0135135135135137	46216.09619343972	4110554
GCF_000027105.1	NC_013316.1	70	2167810	0.2180130230272866	-0.2107986008262392	0.0135135135135136	47259.672798359	4191339
GCF_015732555.1	NZ_CP029423.1	70	2181380	0.2175882385332808	-0.2107960804316808	0.0135135135135135	47462.85429545831	4204902
GCF_000210455.1	NC_017178.1	70	2078910	0.2215728208279128	-0.2101751535727496	0.0135135135135132	46061.56202963247	4179867
GCF_000211235.1	NC_017179.1	70	2095270	0.221014237559586	-0.2107733843412668	0.0135135135135134	46307.01728944139	4118573
GCF_000210435.1	NC_017174.1	29760	2079880	0.2145455823868041	-0.2080153762269161	0.0758620689655174	44664.21754210336	4047729
GCF_000210415.1	NC_017173.1	250	2142140	0.2182517432127198	-0.2170713625356315	0.0204081632653059	46747.87878500741	4159517
GCF_000210395.1	NC_017175.1	23080	2115180	0.2143294172668867	-0.1853290065702195	0.1567164179104476	45443.39155406259	4308325
GCF_001077535.1	NZ_CP011968.1	260	2093880	0.2188635345221919	-0.2149604115475917	0.0135135135135134	45822.22950094397	4109692
