assembly_accession	start	end	orientation
GCF_000754275.1	343711	345252	+
GCF_000754275.1	409142	410683	+
GCF_000754275.1	636987	638528	+
GCF_000754275.1	1078102	1079642	+
GCF_000754275.1	1270767	1272308	+
GCF_000754275.1	1843307	1844848	-
GCF_001721885.1	388467	390008	+
GCF_001721885.1	926960	928501	-
GCF_001721885.1	1227930	1229471	-
GCF_001721885.1	1722187	1723728	-
GCF_001721885.1	1951357	1952898	-
GCF_001721885.1	2016649	2018190	-
GCF_001874445.1	413473	415014	-
GCF_001874445.1	643437	644978	-
GCF_001874445.1	705630	707171	-
GCF_001874445.1	1468928	1470469	+
GCF_001874445.1	1663004	1664545	+
GCF_001874445.1	2246440	2247981	-
GCF_002073255.2	190284	191825	-
GCF_002073255.2	634469	636010	-
GCF_002073255.2	861615	863156	-
GCF_002073255.2	922773	924314	-
GCF_002073255.2	1702493	1704034	+
GCF_002073255.2	2326012	2327553	-
GCF_002073295.2	71890	73431	+
GCF_002073295.2	605930	607470	-
GCF_002073295.2	1060496	1062037	-
GCF_002073295.2	1291981	1293522	-
GCF_002073295.2	1360284	1361825	-
GCF_002073295.2	2159427	2160968	+
GCF_002393385.1	436767	438308	-
GCF_002393385.1	1190782	1192323	+
GCF_002393385.1	1261771	1263312	+
GCF_002393385.1	1495635	1497176	+
GCF_002393385.1	1978758	1980299	+
GCF_002393385.1	2169615	2171156	+
GCF_002591295.1	506105	507646	-
GCF_002591295.1	1260114	1261654	+
GCF_002591295.1	1331102	1332643	+
GCF_002591295.1	1564964	1566505	+
GCF_002591295.1	2048088	2049628	+
GCF_002591295.1	2238944	2240485	+
GCF_002859245.1	15279	16819	+
GCF_002859245.1	80737	82278	+
GCF_002859245.1	308630	310171	+
GCF_002859245.1	755047	756588	+
GCF_002859245.1	1030372	1031913	+
GCF_002859245.1	1565243	1566784	-
GCF_002859265.1	815704	817245	+
GCF_002859265.1	1350439	1351980	-
GCF_002859265.1	1543254	1544795	-
GCF_002859265.1	2035644	2037185	-
GCF_002859265.1	2264812	2266353	-
GCF_002859265.1	2330100	2331641	-
GCF_002859285.1	780294	781835	+
GCF_002859285.1	1315131	1316672	-
GCF_002859285.1	1507936	1509477	-
GCF_002859285.1	2021072	2022613	-
GCF_002859285.1	2248955	2250496	-
GCF_002859285.1	2314388	2315929	-
GCF_002859305.1	14721	16262	+
GCF_002859305.1	80154	81695	+
GCF_002859305.1	308037	309578	+
GCF_002859305.1	821173	822714	+
GCF_002859305.1	1013978	1015519	+
GCF_002859305.1	1548815	1550356	-
GCF_002859325.1	15662	17203	+
GCF_002859325.1	80950	82491	+
GCF_002859325.1	310119	311660	+
GCF_002859325.1	804498	806039	+
GCF_002859325.1	997324	998865	+
GCF_002859325.1	1532060	1533601	-
GCF_002859345.1	15234	16776	+
GCF_002859345.1	80659	82200	+
GCF_002859345.1	308544	310085	+
GCF_002859345.1	831251	832793	+
GCF_002859345.1	1024016	1025557	+
GCF_002859345.1	1558751	1560292	-
GCF_002859365.1	13648	15190	+
GCF_002859365.1	79071	80612	+
GCF_002859365.1	306945	308486	+
GCF_002859365.1	829525	831067	+
GCF_002859365.1	1022085	1023626	+
GCF_002859365.1	1556788	1558329	-
GCF_002859385.1	14451	15992	+
GCF_002859385.1	79875	81416	+
GCF_002859385.1	307760	309301	+
GCF_002859385.1	833415	834956	+
GCF_002859385.1	1026179	1027717	+
GCF_002859385.1	1560899	1562440	-
GCF_002859405.1	15045	16587	+
GCF_002859405.1	80470	82011	+
GCF_002859405.1	308344	309885	+
GCF_002859405.1	830938	832480	+
GCF_002859405.1	1023502	1025043	+
GCF_002859405.1	1558214	1559755	-
GCF_002859425.1	15365	16906	+
GCF_002859425.1	80789	82330	+
GCF_002859425.1	308673	310214	+
GCF_002859425.1	831499	833040	+
GCF_002859425.1	1059371	1060912	+
GCF_002859425.1	1626578	1628119	-
GCF_002859445.1	14872	16413	+
GCF_002859445.1	80293	81834	+
GCF_002859445.1	308173	309714	+
GCF_002859445.1	754715	756256	+
GCF_002859445.1	947463	949004	+
GCF_002859445.1	1482331	1483872	-
GCF_002859465.1	302256	303797	-
GCF_002859465.1	401902	403443	+
GCF_002859465.1	702335	703876	+
GCF_002859465.1	1272329	1273871	+
GCF_002859465.1	1496134	1497676	+
GCF_002859465.1	2068463	2070004	-
GCF_002859485.1	778203	779744	+
GCF_002859485.1	1312925	1314467	-
GCF_002859485.1	1505691	1507232	-
GCF_002859485.1	2031347	2032888	-
GCF_002859485.1	2259232	2260773	-
GCF_002859485.1	2324656	2326197	-
GCF_002859525.1	816163	817704	+
GCF_002859525.1	1350898	1352439	-
GCF_002859525.1	1543713	1545254	-
GCF_002859525.1	2036104	2037645	-
GCF_002859525.1	2265272	2266813	-
GCF_002859525.1	2330560	2332101	-
GCF_002859545.1	13919	15460	+
GCF_002859545.1	79378	80919	+
GCF_002859545.1	307271	308812	+
GCF_002859545.1	753688	755229	+
GCF_002859545.1	1029013	1030554	+
GCF_002859545.1	1563884	1565425	-
GCF_002891825.2	319599	321140	+
GCF_002891825.2	512404	513943	+
GCF_002891825.2	1047229	1048766	-
GCF_002891825.2	1878608	1880143	+
GCF_002891825.2	1945668	1947209	+
GCF_002891825.2	2174824	2176365	+
GCF_002948995.1	314340	315890	+
GCF_002948995.1	371499	373049	+
GCF_002948995.1	581822	583365	+
GCF_002948995.1	1001413	1002962	+
GCF_002948995.1	1188660	1190210	+
GCF_002948995.1	1734194	1735744	-
GCF_003061265.1	692229	693770	-
GCF_003061265.1	918008	919549	-
GCF_003061265.1	985748	987289	-
GCF_003061265.1	1723943	1725484	+
GCF_003061265.1	2271898	2273439	-
GCF_003261335.1	1725845	1727386	-
GCF_003261435.1	1811746	1813296	+
GCF_003261515.1	453333	454874	+
GCF_003402875.1	1	1261	-
GCF_003402875.1	248504	250043	-
GCF_003402875.1	1036281	1037822	-
GCF_003402875.1	1155564	1157104	+
GCF_003402875.1	1383659	1385200	+
GCF_003402875.1	1914020	1915561	+
GCF_003402895.1	1	1260	-
GCF_003402895.1	248502	250042	-
GCF_003402895.1	1127667	1129207	-
GCF_003402895.1	1245348	1246889	+
GCF_003402895.1	1473550	1475091	+
GCF_003402895.1	2003911	2005451	+
GCF_003402915.1	1	1259	-
GCF_003402915.1	248446	249987	-
GCF_003402915.1	1033946	1035486	-
GCF_003402915.1	1153222	1154763	+
GCF_003402915.1	1381090	1382629	+
GCF_003402915.1	1911443	1912981	+
GCF_003402935.1	1	1260	-
GCF_003402935.1	248217	249757	-
GCF_003402935.1	1036016	1037557	-
GCF_003402935.1	1155301	1156841	+
GCF_003402935.1	1383353	1384893	+
GCF_003402935.1	1915053	1916592	+
GCF_004792555.1	170197	171738	-
GCF_004792555.1	394814	396355	-
