assembly_accession	start	end	orientation
GCF_000963635.1	91679	93218	+
GCF_000963635.1	150745	152284	+
GCF_000963635.1	258038	259577	+
GCF_000963635.1	293916	295455	+
GCF_000963635.1	770759	772298	+
GCF_000963635.1	2235654	2237193	-
GCF_000963675.1	91703	93242	+
GCF_000963675.1	150769	152308	+
GCF_000963675.1	258062	259601	+
GCF_000963675.1	293940	295479	+
GCF_000963675.1	770777	772316	+
GCF_000963675.1	2235664	2237203	-
GCF_002285575.1	90796	92335	+
GCF_002285575.1	149936	151475	+
GCF_002285575.1	257193	258732	+
GCF_002285575.1	293071	294609	+
GCF_002285575.1	768639	770178	+
GCF_002285575.1	2315466	2317005	-
GCF_002285615.1	87593	89132	+
GCF_002285615.1	146732	148271	+
GCF_002285615.1	253989	255528	+
GCF_002285615.1	289867	291406	+
GCF_002285615.1	765400	766939	+
GCF_002285615.1	2312199	2313738	-
GCF_002285815.1	22332	23871	+
GCF_002285815.1	81471	83010	+
GCF_002285815.1	188728	190267	+
GCF_002285815.1	224606	226145	+
GCF_002285815.1	700137	701676	+
GCF_002285815.1	2246931	2248470	-
GCF_007963885.1	492679	494222	+
GCF_007963885.1	1928645	1930188	-
GCF_007963885.1	2404179	2405722	-
GCF_007963885.1	2440057	2441600	-
GCF_007963885.1	2547314	2548857	-
GCF_007963885.1	2606454	2607997	-
GCF_007964225.1	493885	495428	+
GCF_007964225.1	1988195	1989738	-
GCF_007964225.1	2463778	2465321	-
GCF_007964225.1	2522802	2524345	-
GCF_007964225.1	2563804	2565347	-
GCF_007964225.1	2673239	2674782	-
GCF_007964465.1	492733	494276	+
GCF_007964465.1	1986096	1987639	-
GCF_007964465.1	2462511	2464054	-
GCF_007964465.1	2498389	2499932	-
GCF_007964465.1	2605646	2607189	-
GCF_007964465.1	2664786	2666329	-
GCF_007964805.1	456302	457845	+
GCF_007964805.1	1878365	1879908	-
GCF_007964805.1	2414250	2415793	-
GCF_007964805.1	2522762	2524305	-
GCF_007964805.1	2581515	2583058	-
GCF_007964805.1	2617994	2619537	-
GCF_007964925.1	493875	495418	+
GCF_007964925.1	1988318	1989861	-
GCF_007964925.1	2463894	2465437	-
GCF_007964925.1	2522918	2524461	-
GCF_007964925.1	2558796	2560339	-
GCF_007964925.1	2666180	2667723	-
GCF_007965585.1	491901	493444	+
GCF_007965585.1	1931427	1932970	-
GCF_007965585.1	2453166	2454709	-
GCF_007965585.1	2489044	2490587	-
GCF_007965585.1	2596417	2597960	-
GCF_007965585.1	2655442	2656985	-
GCF_007965905.1	496008	497551	+
GCF_007965905.1	2037200	2038743	-
GCF_007965905.1	2512711	2514254	-
GCF_007965905.1	2548589	2550132	-
GCF_007965905.1	2655846	2657389	-
GCF_007965905.1	2714986	2716529	-
GCF_007966105.1	494467	496010	+
GCF_007966105.1	1981417	1982960	-
GCF_007966105.1	2456945	2458488	-
GCF_007966105.1	2492823	2494366	-
GCF_007966105.1	2600080	2601623	-
GCF_007966105.1	2659220	2660763	-
GCF_007973265.1	456299	457842	+
GCF_007973265.1	1774036	1775579	-
GCF_007973265.1	2355129	2356672	-
GCF_007973265.1	2463770	2465313	-
GCF_007973265.1	2522523	2524066	-
GCF_007973265.1	2558885	2560428	-
GCF_007973365.1	456299	457842	+
GCF_007973365.1	1774055	1775598	-
GCF_007973365.1	2355142	2356685	-
GCF_007973365.1	2463783	2465326	-
GCF_007973365.1	2522536	2524079	-
