assembly_accession	rel_start	rel_center	rel_end	orientation	has_tandem
GCF_001021995.1	-0.3967976153472172	-0.3964909658959583	-0.3961843164446995	-	False
GCF_001021995.1	-0.2348619977843132	-0.2345553483330543	-0.2342486988817955	-	False
GCF_001021995.1	-0.0983649347647626	-0.0980582853135036	-0.0977516358622448	-	False
GCF_001021995.1	-0.0803525173548844	-0.0800458679036255	-0.0797392184523667	-	False
GCF_001021995.1	-0.0436833002574341	-0.0433766508061752	-0.0430700013549163	-	False
GCF_001021995.1	-0.0068969227458575	-0.0065902732945987	-0.0062836238433397	-	False
GCF_001021995.1	0.1866301015404837	0.1869242971134426	0.1872184926864012	+	False
GCF_001021995.1	0.4710604460073703	0.4713546415803291	0.4716488371532879	+	False
GCF_001559215.2	-0.4692582427503521	-0.4689803546278575	-0.4687024665053627	-	False
GCF_001559215.2	-0.1768610739951608	-0.1765831858726662	-0.1763052977501715	-	False
GCF_001559215.2	0.0068016958910786	0.0071036926014926	0.0074056893119066	+	False
GCF_001559215.2	0.0429938136788222	0.0432958103892362	0.0435978070996502	+	False
GCF_001559215.2	0.0778790451174058	0.0781810418278199	0.0784830385382338	+	False
GCF_001559215.2	0.0956169857549388	0.0959189824653528	0.0962209791757667	+	False
GCF_001559215.2	0.2391547074791967	0.2394567041896107	0.2397587009000247	+	False
GCF_001559215.2	0.3978138499341259	0.3981158466445398	0.3984178433549538	+	False
GCF_001571545.2	-0.3954749280235	-0.3951751395701279	-0.3948753511167558	-	False
GCF_001571545.2	-0.2379759312142308	-0.2376761427608588	-0.2373763543074867	-	False
GCF_001571545.2	-0.0955134972982028	-0.0952137088448307	-0.0949139203914586	-	False
GCF_001571545.2	-0.0779056494247723	-0.0776058609714003	-0.0773060725180282	-	False
GCF_001571545.2	-0.0432758949824879	-0.0429761065291158	-0.0426763180757438	-	False
GCF_001571545.2	-0.0073484208024746	-0.0070486323491025	-0.0067488438957304	-	False
GCF_001571545.2	0.1692417896295967	0.1695084624880178	0.169775135346439	+	False
GCF_001571545.2	0.4502983478412147	0.4505650206996359	0.4508316935580571	+	False
GCF_002591115.1	0.0502244911439706	0.0505147537580326	0.0508050163720947	+	False
GCF_002591115.1	0.0850616666509394	0.0853521179923189	0.0856425693336982	+	False
GCF_002591115.1	0.1186143640361224	0.1189048153775018	0.1191952667188812	+	False
GCF_002591115.1	0.1355990676870523	0.1358895190284317	0.1361799703698111	+	False
GCF_002591115.1	0.2628469515820067	0.2631372141960688	0.2634274768101309	+	False
GCF_002591115.1	0.4151408377605616	0.4154312891019409	0.4157217404433204	+	False
GCF_002591115.1	-0.4389845654878608	-0.4386881627653469	-0.438391760042833	-	False
GCF_002591115.1	-0.1430652548215998	-0.1427688520990859	-0.142472449376572	-	False
GCF_002796405.1	0.0068467770926084	0.0071507578780205	0.0074547386634326	+	False
GCF_002796405.1	0.0428306753943454	0.0431346561797574	0.0434386369651696	+	False
GCF_002796405.1	0.0902141494266041	0.0905181302120161	0.0908221109974283	+	False
GCF_002796405.1	0.1080271469260214	0.1083311277114336	0.1086351084968456	+	False
GCF_002796405.1	0.2410435291003828	0.2413475098857949	0.2416514906712069	+	False
GCF_002796405.1	0.4008548595446806	0.4011588403300927	0.4014628211155048	+	False
GCF_002796405.1	-0.5029124747349468	-0.5026114068536274	-0.502310338972308	-	False
GCF_002796405.1	-0.1924573007885278	-0.1921562329072085	-0.1918551650258891	-	False
GCF_002796425.1	-0.4465551602484942	-0.4462752605395244	-0.4459953608305546	-	False
GCF_002796425.1	-0.2997971409126804	-0.2995172412037106	-0.2992373414947408	-	False
GCF_002796425.1	-0.1782781093693108	-0.177998209660341	-0.1777183099513712	-	False
GCF_002796425.1	0.0073536983734416	0.0076784613956157	0.00800322441779	+	False
GCF_002796425.1	0.046061483401001	0.0463862464231752	0.0467110094453495	+	False
GCF_002796425.1	0.084894615559926	0.0852193785821002	0.0855441416042744	+	False
GCF_002796425.1	0.1038853390281165	0.1042101020502908	0.104534865072465	+	False
GCF_002796425.1	0.4173312456212913	0.4176560086434655	0.4179807716656397	+	False
GCF_002796525.1	-0.4683816320645905	-0.4681042747981545	-0.4678269175317185	-	False
GCF_002796525.1	-0.1765776384083045	-0.1763002811418685	-0.1760229238754325	-	False
GCF_002796525.1	0.0068016667712976	0.0071035925042375	0.0074055182371774	+	False
GCF_002796525.1	0.0430437409755791	0.043345666708519	0.0436475924414589	+	False
GCF_002796525.1	0.0779203810659802	0.0782223067989202	0.0785242325318601	+	False
GCF_002796525.1	0.0956541528030636	0.0959560785360036	0.0962580042689434	+	False
GCF_002796525.1	0.2391208644610458	0.2394227901939858	0.2397247159269257	+	False
GCF_002796525.1	0.3976972032142633	0.3979991289472031	0.3983010546801431	+	False
GCF_002948835.2	-0.2256547259648919	-0.225351649472639	-0.225048572980386	-	False
GCF_002948835.2	-0.0965610763134397	-0.0962579998211868	-0.0959549233289339	-	False
GCF_002948835.2	-0.0787601079653386	-0.0784570314730856	-0.0781539549808327	-	False
GCF_002948835.2	-0.0437513268212258	-0.0434482503289729	-0.0431451738367199	-	False
GCF_002948835.2	-0.0074301988646545	-0.0071271223724016	-0.0068240458801487	-	False
GCF_002948835.2	0.1791922320406306	0.1794746132166866	0.1797569943927428	+	False
GCF_002948835.2	0.4593444499897249	0.4596268311657812	0.4599092123418372	+	False
