assembly_accession	seq_id	origin	terminus	repl_1_mean	repl_2_mean	c_skew_min	c_skew_max	length
GCF_009017435.1	NZ_CP045005.1	2460	559560	0.1203474661200505	-0.1007611124730036	-21.446785733756723	6683.115052613959	1139562
GCF_009017475.1	NZ_CP045004.1	2460	559560	0.1203313852698781	-0.100773444033396	-21.44678573375673	6682.219188450718	1139560
GCF_900291945.1	NZ_LT990038.1	2430	556000	0.120863405810177	-0.099864187553457	-21.417851194488406	6669.23673918338	1140446
GCF_900298965.1	NZ_LT986433.1	2430	556010	0.1207601231302177	-0.0999367383464598	-21.41785119448841	6663.642410844782	1140463
GCF_001628695.1	NZ_CP015162.1	1005630	418790	0.1198512650475523	-0.1000514026618546	-506.9003268877656	5364.537396100243	1139223
GCF_001655235.1	NZ_CP010558.1	2460	555190	0.1212399785127161	-0.1000708263714811	-21.446785733756723	6679.857562863994	1139466
GCF_001655275.1	NZ_CP010559.1	2460	555350	0.1211144972172835	-0.1000152751955417	-21.44678573375672	6674.866584891491	1139722
GCF_001655315.1	NZ_CP010560.1	2460	554100	0.1215407536945795	-0.1000264589211333	-21.446785733756712	6683.241285052845	1138471
GCF_001655355.1	NZ_CP010561.1	2460	555360	0.1210394024797054	-0.100087965966018	-21.44678573375672	6670.833380593772	1139641
GCF_001655395.1	NZ_CP010562.1	2460	559560	0.1203259954678038	-0.1007592147977153	-21.446785733756727	6681.918949739959	1139594
GCF_001655435.1	NZ_CP010563.1	2460	555440	0.1210789011421663	-0.1000490347169259	-21.446785733756723	6673.988223604627	1139829
GCF_001655475.1	NZ_CP010564.1	2460	560020	0.119994047548914	-0.1007456802611568	-21.44678573375673	6668.948007883719	1140059
GCF_001655515.1	NZ_CP010565.1	2460	559860	0.120160824090922	-0.1007524321541489	-21.44678573375672	6676.322049893824	1139865
GCF_001655555.1	NZ_CP010566.1	2460	559760	0.1201170542614758	-0.1006910267995801	-21.44678573375672	6672.681176220624	1139777
GCF_001712895.1	NZ_CP016045.1	2460	559190	0.1197339542652984	-0.1005304793395018	-21.44678573375672	6644.506150877801	1139168
GCF_001712915.1	NZ_CP016047.1	2460	559190	0.1197276811410172	-0.1005154814867883	-21.446785733756723	6644.156907229733	1139148
GCF_001712935.1	NZ_CP016049.1	2460	559200	0.1196596496410082	-0.1003878403496409	-21.44678573375672	6640.495668638927	1139067
GCF_001712955.1	NZ_CP016050.1	2460	559190	0.1197532902427147	-0.100553889924383	-21.44678573375673	6645.582642748565	1139143
GCF_001712975.1	NZ_CP016051.1	2460	559190	0.119731883870124	-0.1005368215027068	-21.44678573375673	6644.390885767265	1139126
