assembly_accession	start	end	orientation
GCF_000685665.1	1101642	1103145	-
GCF_000685665.1	1383538	1385041	-
GCF_000685745.1	1101628	1103131	-
GCF_000685745.1	1383517	1385020	-
GCF_000817025.1	1402773	1404277	-
GCF_000827025.1	1207205	1208647	-
GCF_000827025.1	1510629	1512129	-
GCF_001653375.1	1603989	1605492	-
GCF_001653435.1	1501478	1502981	+
GCF_001653475.1	1525287	1526790	-
GCF_002222575.1	97290	98793	+
GCF_002222575.1	349123	350626	+
GCF_002357315.1	1164553	1166057	-
GCF_002357315.1	1425145	1426649	-
GCF_002357375.1	1151672	1153176	-
GCF_002357375.1	1408288	1409792	-
GCF_002357395.1	1136840	1138344	-
GCF_002357395.1	1393630	1395134	-
GCF_002357435.1	1158120	1159624	-
GCF_002357435.1	1413632	1415136	-
GCF_002357495.1	1152270	1153774	-
GCF_002357495.1	1402826	1404330	-
GCF_002357515.1	177357	178860	+
GCF_002357515.1	1401395	1402898	-
GCF_002357535.1	1199901	1201404	-
GCF_002357535.1	1455233	1456736	-
GCF_002357555.1	1156215	1157719	-
GCF_002357555.1	1409095	1410599	-
GCF_002357615.1	1140596	1142100	-
GCF_002357615.1	1393254	1394758	-
GCF_002357655.1	1157742	1159246	-
GCF_002357655.1	1411074	1412578	-
GCF_002357695.1	1152816	1154320	-
GCF_002357695.1	1402694	1404198	-
GCF_002357735.1	1156124	1157628	-
GCF_002357735.1	1411710	1413214	-
GCF_002357795.1	1168044	1169548	-
GCF_002357795.1	1425965	1427469	-
GCF_002357815.1	1159419	1160923	-
GCF_002357815.1	1412450	1413954	-
GCF_002357835.1	1138176	1139680	-
GCF_002357835.1	1392859	1394363	-
GCF_002357855.1	1142699	1144203	-
GCF_002357855.1	1396087	1397591	-
GCF_002906495.1	1211471	1212974	-
GCF_002906495.1	1516409	1517912	-
GCF_002906535.1	1207632	1209135	-
GCF_002906535.1	1512100	1513603	-
GCF_002906555.1	1207626	1209129	-
GCF_002906555.1	1512364	1513867	-
GCF_002953555.1	1209626	1211129	-
GCF_002953555.1	1514365	1515868	-
GCF_002983705.1	247091	248593	-
GCF_002983705.1	522014	523516	-
GCF_003050665.1	824588	826096	-
GCF_003050665.1	1501911	1503419	+
GCF_003636855.2	440331	441834	+
GCF_003636855.2	793978	795481	+
GCF_003855475.1	93012	94515	+
GCF_003855475.1	346247	347751	+
GCF_003957395.1	97544	99048	+
GCF_003957395.1	353108	354612	+
GCF_004295525.1	659507	661010	+
GCF_004295525.1	1663038	1664542	-
GCF_004295545.1	98889	100392	+
GCF_004295545.1	374508	376011	+
GCF_006337285.1	104279	105782	+
GCF_006337285.1	402684	404187	+
GCF_006337305.1	97284	98787	+
GCF_006337305.1	396194	397697	+
GCF_006337325.1	101246	102749	+
GCF_006337325.1	635891	637394	+
GCF_006337405.1	98380	99883	+
GCF_006337405.1	324046	325549	+
GCF_006337425.1	102355	103858	+
GCF_006337425.1	400880	402383	+
GCF_006337465.1	96811	98314	+
GCF_006337465.1	396640	398143	+
GCF_006337485.1	98019	99522	+
GCF_006337485.1	382598	384101	+
GCF_006337745.1	94768	96272	+
GCF_006337745.1	392604	394108	+
GCF_006338285.1	96561	98064	+
GCF_006338285.1	376746	378249	+
GCF_006338415.1	98383	99886	+
GCF_006338415.1	323893	325396	+
GCF_006338545.1	96405	97908	+
GCF_006338545.1	376522	378025	+
GCF_006338815.1	102389	103892	+
GCF_006338815.1	399356	400859	+
GCF_006338945.1	98459	99967	+
GCF_006338945.1	379095	380603	+
GCF_006339235.1	94011	95514	+
GCF_006339235.1	319200	320703	+
GCF_006339365.1	1299405	1300908	-
GCF_006339365.1	1579205	1580708	-
GCF_006874685.1	1205368	1206871	-
GCF_006874685.1	1483077	1484580	-
GCF_007836735.1	94260	95763	+
GCF_007836735.1	377372	378875	+
GCF_007843915.1	95159	96662	+
GCF_007843915.1	323057	324560	+
GCF_007844055.1	471630	473133	+
GCF_007844055.1	1628266	1629769	-
GCF_008027235.1	143596	145098	-
GCF_008027235.1	422741	424243	-
GCF_008027395.1	681132	682634	+
GCF_008027395.1	960278	961780	+
GCF_008032975.1	1080667	1082169	+
GCF_008032975.1	1356735	1358237	+
GCF_008033015.1	831027	832530	-
GCF_008033015.1	1153327	1154830	-
GCF_008281125.1	1294793	1296296	+
GCF_008281125.1	1577869	1579372	+
GCF_008326525.1	1213870	1215374	-
GCF_008326525.1	1425212	1426716	-
GCF_010917155.1	1626258	1627760	-
GCF_013122035.1	1360939	1362447	-
GCF_013122035.1	1644590	1646098	-
GCF_013122055.1	1361324	1362832	-
GCF_013122055.1	1645934	1647442	-
GCF_013122115.1	1361329	1362837	-
GCF_013122115.1	1645970	1647478	-
GCF_016748175.1	1237622	1239124	-
GCF_016748175.1	1587462	1588964	+
GCF_016748415.1	1182167	1183671	-
GCF_016748415.1	1456661	1458165	-
GCF_016748555.1	1256835	1258338	-
GCF_016748555.1	1532136	1533639	+
GCF_016748675.1	1159249	1160752	-
GCF_016748675.1	1437168	1438671	-
GCF_016748925.1	1189053	1190557	-
GCF_016748925.1	1467834	1469338	-
GCF_016749215.1	1174149	1175652	-
GCF_016749215.1	1458568	1460071	-
GCF_016749335.1	1170743	1172245	-
GCF_016749335.1	1455154	1456656	-
GCF_016749575.1	1165820	1167323	-
GCF_016749575.1	1446482	1447985	-
GCF_016749715.1	1197538	1199042	-
GCF_016749715.1	1473824	1475328	-
GCF_016749815.1	1128037	1129541	-
GCF_016749815.1	1450736	1452240	-
GCF_016755635.1	1167097	1168600	-
GCF_016755635.1	1447516	1449019	-
GCF_016755655.1	1117580	1119084	-
GCF_016755655.1	1388035	1389539	-
GCF_016755675.1	1185359	1186863	-
GCF_016755675.1	1463596	1465100	-
GCF_016755715.1	1147182	1148686	-
GCF_016755715.1	1416974	1418478	-
GCF_016755735.1	1184196	1185700	-
GCF_016755735.1	1496095	1497599	-
GCF_016755775.1	198265	199769	+
GCF_016755775.1	1431697	1433201	-
GCF_016755815.1	1131590	1133094	-
GCF_016755815.1	1441776	1443279	-
GCF_016757555.1	1185910	1187414	-
GCF_016757555.1	1466260	1467764	-
GCF_016757575.1	1160476	1161980	-
GCF_016757575.1	1432087	1433591	-
GCF_016757595.1	1184206	1185710	-
GCF_016757595.1	1496133	1497637	-
GCF_017821535.1	1156331	1157833	-
GCF_017821535.1	1432836	1434338	-
GCF_017821595.1	1228352	1229854	-
GCF_017821595.1	1576064	1577566	+
GCF_017821635.1	1194502	1196005	-
GCF_017821635.1	1544023	1545526	+
GCF_900119955.1	1113429	1114931	-
GCF_900119955.1	1460734	1462236	+
GCF_900119995.1	1113692	1115194	-
GCF_900119995.1	1460942	1462444	+
GCF_900120055.1	1113715	1115217	-
GCF_900120055.1	1461020	1462522	+
GCF_900120135.1	1113977	1115479	-
GCF_900120135.1	1461284	1462786	+
GCF_900120185.1	1113702	1115204	-
GCF_900120185.1	1461006	1462508	+
GCF_900120205.1	1116198	1117700	-
GCF_900120205.1	1463505	1465007	+
GCF_900120225.1	1113748	1115250	-
GCF_900120225.1	1461059	1462561	+
GCF_900120255.1	1113701	1115203	-
GCF_900120255.1	1461000	1462502	+
GCF_900120275.1	1113745	1115247	-
GCF_900120275.1	1461059	1462561	+
GCF_900120315.1	1116124	1117626	-
GCF_900120315.1	1463428	1464930	+
GCF_900120335.1	1113700	1115202	-
GCF_900120335.1	1461000	1462502	+
GCF_900149805.1	1113702	1115204	-
GCF_900149805.1	1461007	1462509	+
GCF_900176185.1	532630	534132	-
GCF_900176185.1	879950	881452	+
GCF_902381665.1	27200	28704	-
GCF_902381665.1	1341095	1342599	-
GCF_000008525.1	1207581	1209081	-
GCF_000008525.1	1511135	1512634	-
GCF_000307795.1	1207597	1209097	-
GCF_000307795.1	1511155	1512656	-
GCF_000008785.1	1188027	1189529	-
GCF_000008785.1	1463045	1464547	-
