assembly_accession	rel_start	rel_center	rel_end	orientation	has_tandem
GCF_000730365.1	-0.4010945200000997	-0.400463034175065	-0.3998315483500302	-	False
GCF_000730365.1	-0.0908624541559583	-0.0902309683309234	-0.0895994825058887	-	False
GCF_000730365.1	0.5420690141093164	0.5427379295767205	0.5434068450441246	+	False
GCF_000730365.1	0.90411037325395	0.9047792887213542	0.9054482041887584	+	False
GCF_000730405.1	-0.9054423721887154	-0.9047734590778422	-0.9041045459669692	-	False
GCF_000730405.1	-0.5434031692125585	-0.5427342561016854	-0.5420653429908122	-	False
GCF_000730405.1	0.0896052281495277	0.0902367134495143	0.0908681987495011	+	False
GCF_000730405.1	0.399839530397765	0.4004710156977518	0.4011025009977385	+	False
GCF_000814865.1	0.5435918730691603	0.5442621526025018	0.5449324321358433	+	False
GCF_000814865.1	0.90442173795099	0.9050920174843315	0.9057622970176732	+	False
GCF_000814865.1	-0.3996519489191219	-0.3990146899257156	-0.3983774309323095	-	False
GCF_000814865.1	-0.088166263250146	-0.0875290042567398	-0.0868917452633336	-	False
GCF_000972805.1	0.5435529608006672	0.5442197445239454	0.5448865282472236	+	False
GCF_000972805.1	0.9044124489706334	0.9050792326939116	0.9057460164171898	+	False
GCF_000972805.1	-0.3994752955112323	-0.398841729439342	-0.3982081633674516	-	False
GCF_000972805.1	-0.0881320019686845	-0.0874984358967941	-0.0868648698249038	-	False
GCF_001017615.1	0.5435054521707302	0.5441729843031202	0.5448405164355101	+	False
GCF_001017615.1	0.9042650958376014	0.9049321890928496	0.905599282348098	+	False
GCF_001017615.1	-0.3996260995843696	-0.3989918042364252	-0.3983575088884808	-	False
GCF_001017615.1	-0.0881553689762806	-0.0875202390291942	-0.0868851090821078	-	False
GCF_001026945.2	0.5629266922742426	0.5636147448905637	0.5643027975068851	+	False
GCF_001026945.2	0.9011568705609508	0.901844923177272	0.9025329757935932	+	False
GCF_001026945.2	-0.4168464125106348	-0.416231009196613	-0.4156156058825913	-	False
GCF_001026945.2	-0.0837937041688611	-0.0831783008548393	-0.0825628975408175	-	False
GCF_001047215.2	0.5606223961566952	0.5612727950023335	0.561923193847972	+	False
GCF_001047215.2	0.9124997323902052	0.9131501312358434	0.913800530081482	+	False
GCF_001047215.2	-0.4065695754914612	-0.405933147865726	-0.4052967202399906	-	False
GCF_001047215.2	-0.0885124604065762	-0.087876032780841	-0.0872396051551056	-	False
GCF_001186445.1	0.5527041501402062	0.5533566122174598	0.5540090742947135	+	False
GCF_001186445.1	0.911952864557813	0.9126053266350668	0.91325778871232	+	False
GCF_001186445.1	-0.4018212456523363	-0.4011916126408061	-0.4005619796292761	-	False
GCF_001186445.1	-0.0876804436069629	-0.0870503955440078	-0.0864203474810529	-	False
GCF_001298505.1	0.5620829527895749	0.562772016915208	0.5634610810408409	+	False
GCF_001298505.1	0.9009399960417396	0.9016295140963092	0.9023190321508788	+	False
GCF_001298505.1	-0.4181308320451915	-0.4175165704944037	-0.4169023089436158	-	False
GCF_001298505.1	-0.085464095238866	-0.0848494290362001	-0.0842347628335343	-	False
GCF_001447295.1	0.5629235416940309	0.5636115350994397	0.5642995285048485	+	False
GCF_001447295.1	0.9010802266437788	0.9017686729744052	0.9024571193050316	+	False
GCF_001447295.1	-0.4170142068708414	-0.4163986838586282	-0.415783160846415	-	False
GCF_001447295.1	-0.0838967185613213	-0.0832811955491081	-0.0826656725368949	-	False
GCF_001456175.1	0.5435562147314102	0.544222752683265	0.5448892906351198	+	False
GCF_001456175.1	0.90424934399326	0.9049158819451149	0.9055824198969696	+	False
GCF_001456175.1	-0.3996453752763987	-0.3990116400350453	-0.3983779047936918	-	False
GCF_001456175.1	-0.088122992198256	-0.0874892569569026	-0.0868555217155492	-	False
GCF_001481675.1	0.5620549814389301	0.5627444963635919	0.5634340112882535	+	False
GCF_001481675.1	0.9009495242392412	0.9016390391639032	0.9023285540885648	+	False
GCF_001481675.1	-0.4180335428751729	-0.4174190755887802	-0.4168046083023874	-	False
GCF_001481675.1	-0.0854615179243222	-0.0848474551588553	-0.0842333923933885	-	False
GCF_001481715.1	0.5623006734422561	0.5629903705748596	0.563680067707463	+	False
GCF_001481715.1	0.9011267626097884	0.9018169137892204	0.9025070649686526	+	False
GCF_001481715.1	-0.4179382027016096	-0.4173238696109358	-0.416709536520262	-	False
GCF_001481715.1	-0.0854339561595082	-0.0848196230688344	-0.0842052899781606	-	False
GCF_001481755.1	0.5619063018641338	0.5625962339428414	0.5632861660215491	+	False
GCF_001481755.1	0.9010458443742148	0.9017362306544224	0.9024266169346304	+	False
GCF_001481755.1	-0.4181271964629861	-0.4175121868268904	-0.4168971771907947	-	False
GCF_001481755.1	-0.0852373394658849	-0.0846223298297893	-0.0840073201936936	-	False
GCF_001579825.2	0.5530639781020956	0.5537166842527546	0.5543693904034137	+	False
GCF_001579825.2	0.9119139081447236	0.9125666142953824	0.9132193204460416	+	False
GCF_001579825.2	-0.403167492008811	-0.4025389622219646	-0.4019104324351181	-	False
GCF_001579825.2	-0.0874948243594627	-0.0868662945726163	-0.0862377647857698	-	False
GCF_001579885.2	0.5524076789406367	0.5530596450177852	0.5537116110949336	+	False
GCF_001579885.2	0.9120180798181712	0.9126700458953194	0.913322011972468	+	False
GCF_001579885.2	-0.4019270223351856	-0.4012965870108727	-0.4006661516865598	-	False
GCF_001579885.2	-0.0877484571362122	-0.0871180218118994	-0.0864875864875864	-	False
GCF_001653295.1	0.561913223106712	0.5626031614528402	0.5632930997989686	+	False
GCF_001653295.1	0.9010513043422966	0.901741696894051	0.9024320894458056	+	False
GCF_001653295.1	-0.418238886728875	-0.4176236877916018	-0.4170084888543287	-	False
GCF_001653295.1	-0.0852619556765163	-0.0846471617418351	-0.0840323678071539	-	False
GCF_001653315.1	0.5621040763005907	0.5627935668129469	0.5634830573253033	+	False
GCF_001653315.1	0.9009530311255716	0.9016429755487329	0.9023329199718938	+	False
GCF_001653315.1	-0.4180050807417235	-0.4173906184265881	-0.4167761561114527	-	False
GCF_001653315.1	-0.0854438367690366	-0.0848293744539011	-0.0842149121387657	-	False
GCF_001663495.1	0.5400531724299623	0.5407286657789849	0.5414041591280075	+	False
GCF_001663495.1	0.9036826994961448	0.9043581928451674	0.90503368619419	+	False
GCF_001663495.1	-0.401896256729124	-0.4012590243291741	-0.4006217919292242	+	False
GCF_001663495.1	-0.0881600801235237	-0.0875228477235738	-0.0868856153236239	-	False
GCF_001682255.2	0.543497723997128	0.5441643742791489	0.5448310245611695	+	False
GCF_001682255.2	0.9042656840560424	0.9049323343380632	0.905598984620084	+	False
GCF_001682255.2	-0.3995760660936326	-0.3989422515229909	-0.3983084369523492	-	False
GCF_001682255.2	-0.0881440373862972	-0.0875102228156554	-0.0868764082450137	-	False
GCF_001682275.1	0.5412280709421574	0.5418919190586031	0.5425557671750487	+	False
GCF_001682275.1	0.9004769742161217	0.9011408223325674	0.901804670449013	+	False
GCF_001682275.1	-0.3996336018027793	-0.3989997078829863	-0.3983658139631932	-	False
GCF_001682275.1	-0.0881559070233276	-0.0875224304135542	-0.0868889538037808	-	False
GCF_001865765.1	0.5620449618539594	0.5627344410996808	0.5634239203454023	+	False
GCF_001865765.1	0.9009510183776404	0.9016409515267494	0.9023308846758584	+	False
GCF_001865765.1	-0.4179121741310836	-0.417297846009496	-0.4166835178879083	-	False
GCF_001865765.1	-0.0854470157161229	-0.0848326875945353	-0.0842183594729477	-	False
GCF_001866985.1	0.5665902278477633	0.5672236019039607	0.5678569759601584	+	False
GCF_001866985.1	0.9147164754027224	0.91534984945892	0.9159832235151176	+	False
GCF_001866985.1	-0.4026429122652704	-0.4020130942403598	-0.4013832762154492	-	False
GCF_001866985.1	-0.0876600476305067	-0.0870302296055961	-0.0864004115806855	-	False
GCF_001867005.1	0.56657261621323	0.5672060172261708	0.5678394182391118	+	False
GCF_001867005.1	0.91468196843343	0.9153153694463708	0.9159487704593116	+	False
GCF_001867005.1	-0.4025306163087849	-0.4019008662175168	-0.4012711161262487	-	False
GCF_001867005.1	-0.0876489329925989	-0.0870191829013308	-0.0863894328100627	-	False
GCF_001867025.1	0.5665837700704343	0.567217177955069	0.5678505858397036	+	False
GCF_001867025.1	0.9147077477718064	0.9153411556564408	0.9159745635410756	+	False
GCF_001867025.1	-0.4025172782861931	-0.4018875438698382	-0.4012578094534834	-	False
GCF_001867025.1	-0.087640943523028	-0.0870112091066732	-0.0863814746903183	-	False
GCF_001867045.1	0.5665881104104843	0.5672215119520116	0.5678549134935391	+	False
GCF_001867045.1	0.9147094364311872	0.9153428379727144	0.915976239514242	+	False
GCF_001867045.1	-0.4024908522166261	-0.4018610864496643	-0.4012313206827026	-	False
GCF_001867045.1	-0.0876519444744069	-0.0870221787074452	-0.0863924129404834	-	False
GCF_001867065.1	0.5666696157017758	0.5673031018285131	0.5679365879552504	+	False
GCF_001867065.1	0.9148950199143332	0.9155285060410704	0.916161992167808	+	False
GCF_001867065.1	-0.4026010553564317	-0.4019713261648745	-0.4013415969733174	-	False
GCF_001867065.1	-0.0876435351121731	-0.0870138059206159	-0.0863840767290588	-	False
GCF_001867085.1	0.5673285762487347	0.5679609102610566	0.5685932442733782	+	False
GCF_001867085.1	0.9148540174870764	0.915486351499398	0.9161186855117198	+	False
GCF_001867085.1	-0.4014860372340426	-0.4008552194148936	-0.4002244015957447	-	False
GCF_001867085.1	-0.0860987367021276	-0.0854679188829787	-0.0848371010638297	-	False
GCF_001867105.1	0.5665775688908287	0.5672109614465051	0.5678443540021814	+	False
GCF_001867105.1	0.9146831076124772	0.9153165001681536	0.91594989272383	+	False
GCF_001867105.1	-0.4025355314576817	-0.4019057970413269	-0.401276062624972	-	False
GCF_001867105.1	-0.0876401138334149	-0.08701037941706	-0.0863806450007052	-	False
GCF_001867125.1	0.5537444082043084	0.5543967306527091	0.55504905310111	+	False
GCF_001867125.1	0.9121650831302884	0.9128174055786892	0.9134697280270898	+	False
GCF_001867125.1	-0.4020814954142184	-0.4014498060821945	-0.4008181167501706	-	False
GCF_001867125.1	-0.0862176873012966	-0.0855859979692728	-0.0849543086372488	-	False
