assembly_accession	rel_start	rel_center	rel_end	orientation	has_tandem
GCF_001281065.1	0.4757419924755692	0.4763473384495256	0.4769526844234819	+	True
GCF_001281065.1	0.4803181714213602	0.4809235173953166	0.4815288633692728	+	True
GCF_001281065.1	-0.8137494340681414	-0.8131376696998489	-0.8125259053315563	-	True
GCF_001281065.1	-0.8091247345699875	-0.8085129702016949	-0.8079012058334024	-	True
GCF_001281065.1	-0.6234401004967447	-0.6228283361284521	-0.6222165717601597	-	True
GCF_001281065.1	-0.6188154009985908	-0.6182036366302983	-0.6175918722620057	-	True
GCF_001469555.1	0.4753294607518759	0.4759240820046695	0.4765187032574632	+	False
GCF_001469555.1	-0.8183882742831526	-0.8177782936552409	-0.8171683130273291	-	False
GCF_001469555.1	-0.5908855125598373	-0.5902755319319255	-0.5896655513040137	-	False
GCF_001469565.1	0.4817977313270827	0.4823851748376822	0.4829726183482815	+	False
GCF_001469565.1	-0.8287342396163198	-0.8280975577149636	-0.8274608758136076	-	False
GCF_001469565.1	-0.6176482875596367	-0.6170116056582806	-0.6163749237569246	-	False
GCF_001469595.1	0.4690083887879999	0.4695962365400608	0.4701840842921218	+	False
GCF_001469595.1	-0.8181884344592991	-0.8175856340479393	-0.8169828336365794	-	False
GCF_001469595.1	-0.5995783561427103	-0.5989755557313503	-0.5983727553199905	-	False
GCF_001469615.1	0.4810828033339813	0.4816706628772098	0.4822585224204384	+	False
GCF_001469615.1	-0.8154448535914711	-0.8148322050523404	-0.8142195565132098	-	False
GCF_001469615.1	-0.6123076428307257	-0.611694994291595	-0.6110823457524642	-	False
GCF_001469635.1	0.4713648010799538	0.4719635531298152	0.4725623051796767	+	False
GCF_001469635.1	-0.807884780811278	-0.8072483860460844	-0.8066119912808907	-	False
GCF_001469655.1	0.4712949215633722	0.4718938364427916	0.4724927513222107	+	False
GCF_001469655.1	-0.8114950068051752	-0.8108702425266058	-0.8102454782480364	-	False
GCF_001469655.1	-0.6043389141236082	-0.6037141498450387	-0.6030893855664693	-	False
GCF_001481615.1	0.4731220601354781	0.4737480263990181	0.4743739926625582	+	False
GCF_001481615.1	-0.8083371390876338	-0.8076926980260821	-0.8070482569645304	-	False
GCF_001481615.1	-0.616274251112126	-0.6156298100505743	-0.6149853689890226	-	False
GCF_003030305.1	0.4713983408782485	0.471997114570867	0.4725958882634856	+	False
GCF_003030305.1	-0.8119322643979058	-0.8113089005235602	-0.8106855366492146	-	False
GCF_003030305.1	-0.6052126963350786	-0.604589332460733	-0.6039659685863874	-	False
GCF_003390995.1	0.8179153168862939	0.8185154818135061	0.8191156467407185	+	False
GCF_003390995.1	-0.4680754956727901	-0.4674851046355769	-0.4668947135983636	-	False
GCF_003390995.1	0.6002586537560322	0.6008588186832444	0.6014589836104567	+	False
GCF_003798465.1	0.6215325999109337	0.6221655478401424	0.6227984957693513	+	False
GCF_003798465.1	0.8297077306239589	0.8303406785531675	0.8309736264823764	+	False
GCF_003798465.1	-0.4771483497979344	-0.4765500268173427	-0.475951703836751	-	False
GCF_003812785.1	0.8130836743610929	0.8136990992344342	0.8143145241077753	+	False
GCF_003812785.1	-0.4660808519783185	-0.4654743427493493	-0.4648678335203801	-	False
GCF_003812785.1	0.6090275237063761	0.6096425447576219	0.6102575658088678	+	False
GCF_008728435.1	0.471610419994717	0.4722094690632823	0.4728085181318474	+	False
GCF_008728435.1	-0.8117182130584193	-0.8110947471772214	-0.8104712812960235	-	False
GCF_008728435.1	-0.6049648175421372	-0.6043413516609393	-0.6037178857797415	-	False
GCF_011399315.1	0.4713406032026722	0.471939483249828	0.472538363296984	+	False
GCF_011399315.1	-0.811856973366608	-0.8112343002086486	-0.8106116270506893	-	False
GCF_011399315.1	-0.605307859100765	-0.6046843677126376	-0.6040608763245101	-	False
GCF_011399455.1	0.4713417145300274	0.4719402030223865	0.4725386915147457	+	False
GCF_011399455.1	-0.8133868428314045	-0.8127684266909055	-0.8121500105504066	-	False
GCF_011399455.1	-0.6085214822509698	-0.6079030661104708	-0.6072846499699719	-	False
GCF_000008345.1	0.4691272397631492	0.4697151233436842	0.4703030069242193	+	False
GCF_000008345.1	-0.8183784382441124	-0.8177756330641015	-0.8171728278840905	-	False
