assembly_accession	start	end	orientation
GCF_000534935.2	9308	10859	+
GCF_000534935.2	29101	30652	+
GCF_000534935.2	82423	83974	+
GCF_000534935.2	145487	147038	+
GCF_000534935.2	246686	248237	+
GCF_000534935.2	267264	268815	+
GCF_000534935.2	280564	282115	+
GCF_000534935.2	523456	525006	+
GCF_000534935.2	732577	734128	+
GCF_000534935.2	4646964	4648515	-
GCF_000725325.1	9308	10859	+
GCF_000725325.1	29101	30652	+
GCF_000725325.1	82424	83973	+
GCF_000725325.1	145498	147051	+
GCF_000725325.1	246226	247779	+
GCF_000725325.1	266808	268359	+
GCF_000725325.1	276781	278332	+
GCF_000725325.1	519482	521032	+
GCF_000725325.1	728602	730156	+
GCF_000725325.1	4640796	4642347	-
GCF_000742655.1	3277701	3279252	-
GCF_000742655.1	3486822	3488373	-
GCF_000742655.1	3729788	3731338	-
GCF_000742655.1	3739795	3741346	-
GCF_000742655.1	3753095	3754646	-
GCF_000742655.1	3773670	3775220	-
GCF_000742655.1	3874886	3876437	-
GCF_000742655.1	3937951	3939501	-
GCF_000742655.1	3991258	3992809	-
GCF_000742655.1	4011053	4012604	-
GCF_000742655.1	4596797	4598347	+
GCF_000742695.1	20172	21723	-
GCF_000742695.1	121123	122674	-
GCF_000742695.1	184410	185961	-
GCF_000742695.1	237501	239052	-
GCF_000742695.1	257290	258840	-
GCF_000742695.1	838833	840384	+
GCF_000742695.1	4753290	4754841	-
GCF_000742695.1	4962418	4963968	-
GCF_000742695.1	5204998	5206549	-
GCF_000742695.1	5215195	5216746	-
GCF_000742875.1	2989472	2991023	-
GCF_000742875.1	3570975	3572526	+
GCF_000742875.1	3590768	3592318	+
GCF_000742875.1	3644139	3645690	+
GCF_000742875.1	3707201	3708752	+
GCF_000742875.1	3807932	3809483	+
GCF_000742875.1	3828511	3830062	+
GCF_000742875.1	3841808	3843359	+
GCF_000742875.1	3851781	3853332	+
GCF_000742875.1	4094141	4095691	+
GCF_000742875.1	4303270	4304821	+
GCF_000831505.1	9298	10849	+
GCF_000831505.1	29092	30643	+
GCF_000831505.1	82414	83965	+
GCF_000831505.1	145478	147029	+
GCF_000831505.1	246198	247749	+
GCF_000831505.1	266777	268328	+
GCF_000831505.1	280075	281626	+
GCF_000831505.1	290048	291599	+
GCF_000831505.1	532446	533996	+
GCF_000831505.1	741548	743099	+
GCF_000831505.1	4655297	4656848	-
GCF_000832425.1	552913	554468	+
GCF_000832425.1	4469390	4470941	-
