assembly_accession	start	end	orientation
GCF_000827935.1	9563	11076	+
GCF_000827935.1	193593	195106	+
GCF_000827935.1	420563	422076	+
GCF_000827935.1	3359015	3360528	-
GCF_000827935.1	3375883	3377396	-
GCF_000827935.1	3493896	3495409	-
GCF_000827935.1	3499789	3501302	-
GCF_000827935.1	3506511	3508024	-
GCF_000827935.1	3512404	3513917	-
GCF_000827935.1	3518356	3519869	-
GCF_000827935.1	3532081	3533594	-
GCF_000827955.1	9563	11076	+
GCF_000827955.1	193593	195106	+
GCF_000827955.1	420563	422076	+
GCF_000827955.1	3359016	3360529	-
GCF_000827955.1	3375884	3377397	-
GCF_000827955.1	3493897	3495410	-
GCF_000827955.1	3499790	3501303	-
GCF_000827955.1	3506512	3508025	-
GCF_000827955.1	3512405	3513918	-
GCF_000827955.1	3518357	3519870	-
GCF_000827955.1	3532082	3533595	-
GCF_000829015.1	9676	11187	+
GCF_000829015.1	43069	44580	+
GCF_000829015.1	49681	51192	+
GCF_000829015.1	57598	59109	+
GCF_000829015.1	64602	66113	+
GCF_000829015.1	70882	72393	+
GCF_000829015.1	77735	79247	+
GCF_000829015.1	509851	511362	+
GCF_000829015.1	3763707	3765218	-
GCF_000829015.1	3768928	3770439	-
GCF_001879605.1	2221608	2223119	-
GCF_001879605.1	2226830	2228341	-
GCF_001879605.1	2368888	2370399	+
GCF_001879605.1	2407556	2409067	+
GCF_001879605.1	2414113	2415624	+
GCF_001879605.1	2421979	2423490	+
GCF_001879605.1	2428984	2430487	+
GCF_001879605.1	2435246	2436757	+
GCF_001879605.1	2888551	2890062	+
GCF_001879625.1	120854	122365	+
GCF_001879625.1	159533	161044	+
GCF_001879625.1	166091	167602	+
GCF_001879625.1	173955	175466	+
GCF_001879625.1	180960	182471	+
GCF_001879625.1	187241	188752	+
GCF_001879625.1	602300	603811	+
GCF_001879625.1	3928437	3929948	-
GCF_001879625.1	3933660	3935171	-
GCF_001889345.1	2422933	2424444	-
GCF_001889345.1	2428155	2429663	-
GCF_001889345.1	2571996	2573507	+
GCF_001889345.1	2605336	2606847	+
GCF_001889345.1	2611975	2613486	+
GCF_001889345.1	2619838	2621349	+
GCF_001889345.1	2626520	2628031	+
GCF_001889345.1	2632737	2634248	+
GCF_001889345.1	3085640	3087151	+
GCF_001889365.1	1131685	1133235	-
GCF_001889365.1	1137101	1138612	-
GCF_001889365.1	1278618	1280129	+
GCF_001889365.1	1326738	1328249	+
GCF_001889365.1	1333294	1334805	+
GCF_001889365.1	1341158	1342669	+
GCF_001889365.1	1348166	1349677	+
GCF_001889365.1	1354446	1355957	+
GCF_001889365.1	1808257	1809768	+
GCF_001921905.1	293894	295405	-
GCF_001921905.1	299118	300629	-
GCF_001921905.1	441285	442796	+
GCF_001921905.1	480482	481993	+
GCF_001921905.1	487094	488605	+
GCF_001921905.1	495012	496523	+
GCF_001921905.1	502071	503582	+
GCF_001921905.1	508350	509861	+
GCF_001921905.1	919936	921447	+
GCF_001921925.1	3424803	3426314	-
GCF_001921925.1	3430027	3431538	-
GCF_001921925.1	3572089	3573600	+
GCF_001921925.1	3605501	3607012	+
GCF_001921925.1	3612057	3613568	+
GCF_001921925.1	3619921	3621432	+
GCF_001921925.1	3626929	3628440	+
GCF_001921925.1	3633209	3634720	+
GCF_001921925.1	4087027	4088538	+
GCF_001921945.1	138464	139975	+
GCF_001921945.1	177130	178641	+
GCF_001921945.1	183706	185217	+
GCF_001921945.1	191571	193082	+
GCF_001921945.1	198566	200077	+
GCF_001921945.1	204845	206356	+
GCF_001921945.1	686703	688214	+
GCF_001921945.1	3919611	3921122	-
GCF_001921945.1	3924771	3926282	-
GCF_001921965.1	94179	95690	-
GCF_001921965.1	100458	101969	-
GCF_001921965.1	107461	108972	-
GCF_001921965.1	115378	116889	-
GCF_001921965.1	121990	123501	-
GCF_001921965.1	161179	162690	-
GCF_001921965.1	303252	304763	+
GCF_001921965.1	308476	309987	+
GCF_001921965.1	3667704	3669215	-
GCF_001921985.1	15381	16892	+
GCF_001921985.1	48422	49933	+
GCF_001921985.1	55015	56526	+
GCF_001921985.1	63008	64519	+
GCF_001921985.1	70067	71578	+
GCF_001921985.1	76402	77913	+
GCF_001921985.1	498881	500392	+
GCF_001921985.1	3709778	3711289	-
GCF_001921985.1	3715001	3716512	-
GCF_002865745.1	9230	10741	+
GCF_002865745.1	42622	44133	+
GCF_002865745.1	49234	50745	+
GCF_002865745.1	57152	58663	+
GCF_002865745.1	64156	65667	+
GCF_002865745.1	70435	71946	+
GCF_002865745.1	482165	483676	+
GCF_002865745.1	3807470	3808981	-
GCF_002865745.1	3812693	3814204	-
GCF_002865765.1	9791	11302	+
GCF_002865765.1	43131	44642	+
GCF_002865765.1	49770	51281	+
GCF_002865765.1	57633	59144	+
GCF_002865765.1	64315	65826	+
GCF_002865765.1	70532	72043	+
GCF_002865765.1	523436	524947	+
GCF_002865765.1	3778360	3779871	-
GCF_002865765.1	3783583	3785094	-
GCF_002865805.1	9364	10875	+
GCF_002865805.1	48030	49541	+
GCF_002865805.1	54606	56117	+
GCF_002865805.1	61608	63119	+
GCF_002865805.1	67887	69398	+
GCF_002865805.1	507259	508770	+
GCF_002865805.1	3766717	3768228	-
GCF_002865805.1	3771877	3773388	-
GCF_002865825.1	10336	11847	+
GCF_002865825.1	43377	44888	+
GCF_002865825.1	50033	51544	+
GCF_002865825.1	58026	59537	+
GCF_002865825.1	65086	66597	+
GCF_002865825.1	71422	72933	+
GCF_002865825.1	491225	492736	+
GCF_002865825.1	3785407	3786918	-
GCF_002865825.1	3790629	3792140	-
GCF_002865845.1	9447	10958	+
GCF_002865845.1	42860	44371	+
GCF_002865845.1	49416	50927	+
GCF_002865845.1	57280	58791	+
GCF_002865845.1	64290	65801	+
GCF_002865845.1	70570	72081	+
GCF_002865845.1	528181	529692	+
GCF_002865845.1	3979023	3980534	-
GCF_002865845.1	3984247	3985758	-
GCF_002866045.1	9364	10875	+
GCF_002866045.1	71603	73114	+
GCF_002866045.1	78163	79674	+
GCF_002866045.1	85964	87475	+
GCF_002866045.1	92969	94480	+
GCF_002866045.1	99187	100698	+
GCF_002866045.1	529290	530801	+
GCF_002866045.1	3790669	3792180	-
GCF_002866045.1	3795829	3797340	-
GCF_002866125.1	9676	11187	+
GCF_002866125.1	48875	50386	+
GCF_002866125.1	55487	56998	+
GCF_002866125.1	63391	64902	+
GCF_002866125.1	70395	71906	+
GCF_002866125.1	76674	78185	+
GCF_002866125.1	488472	489983	+
GCF_002866125.1	3822338	3823848	-
GCF_002866125.1	3827560	3829071	-
GCF_002866225.1	9245	10756	+
GCF_002866225.1	48444	49955	+
GCF_002866225.1	55056	56567	+
GCF_002866225.1	62960	64471	+
GCF_002866225.1	69964	71475	+
GCF_002866225.1	76243	77754	+
GCF_002866225.1	488077	489588	+
GCF_002866225.1	3891283	3892794	-
GCF_002866225.1	3896506	3898017	-
GCF_003017195.1	3988817	3990328	+
GCF_003017195.1	4003567	4004586	-
GCF_003017225.1	3988220	3989731	+
GCF_003017335.1	10350	11861	+
GCF_003017335.1	43790	45301	+
GCF_003017335.1	50480	51991	+
GCF_003017335.1	58308	59819	+
GCF_003017335.1	64240	65751	+
GCF_003017335.1	70523	72034	+
GCF_003017335.1	473668	475179	+
GCF_003017335.1	3916996	3918507	-
GCF_003017335.1	3922212	3923723	-
GCF_003058345.1	9290	10801	+
GCF_003058345.1	48476	49987	+
GCF_003058345.1	55104	56615	+
GCF_003058345.1	63048	64559	+
GCF_003058345.1	70107	71618	+
GCF_003058345.1	76388	77899	+
GCF_003058345.1	490425	491936	+
GCF_003058345.1	3720571	3722082	-
GCF_003058345.1	3725795	3727306	-
GCF_003058445.1	9287	10798	+
GCF_003058445.1	48473	49984	+
GCF_003058445.1	55085	56596	+
GCF_003058445.1	63029	64540	+
GCF_003058445.1	70088	71599	+
GCF_003058445.1	76369	77880	+
GCF_003058445.1	490518	492029	+
GCF_003058445.1	3782379	3783890	-
GCF_003058445.1	3787603	3789114	-
GCF_003345315.1	2338989	2340500	-
GCF_003345315.1	2754049	2755560	-
GCF_003345315.1	2760330	2761841	-
GCF_003345315.1	2767335	2768846	-
GCF_003345315.1	2775199	2776710	-
GCF_003345315.1	2781757	2783268	-
GCF_003345315.1	2820431	2821942	-
GCF_003345315.1	2962402	2963913	+
GCF_003345315.1	2967625	2969136	+
GCF_003345335.1	1977177	1978692	-
GCF_003345335.1	2398097	2399605	-
GCF_003345335.1	2404420	2405931	-
GCF_003345335.1	2411471	2412979	-
GCF_003345335.1	2419457	2420961	-
GCF_003345335.1	2426034	2427545	-
GCF_003345335.1	2459064	2460575	-
GCF_003345335.1	2600830	2602341	+
GCF_003345335.1	2606052	2607563	+
GCF_003345335.1	2611283	2612796	+
GCF_009733885.1	2016256	2017767	-
GCF_009733885.1	2428775	2430286	-
GCF_009733885.1	2435056	2436566	-
GCF_009733885.1	2442114	2443625	-
GCF_009733885.1	2450058	2451569	-
GCF_009733885.1	2456686	2458197	-
GCF_009733885.1	2495872	2497382	-
GCF_009733885.1	2637301	2638812	+
GCF_009733885.1	2642525	2644036	+
