assembly_accession	rel_start	rel_center	rel_end	orientation	has_tandem
GCF_001598635.1	0.6515097977707266	0.6520621239490756	0.6526144501274245	+	False
GCF_001598635.1	-0.3016841333505843	-0.3011234743606331	-0.3005628153706818	-	False
GCF_001598635.1	-0.0356075962105202	-0.0350469372205689	-0.0344862782306177	-	False
GCF_001598635.1	0.1539963277390244	0.1545486539173735	0.1551009800957223	+	False
GCF_001878735.2	0.1692456604406199	0.1698373409574149	0.1704290214742099	+	False
GCF_001878735.2	0.6289548722235582	0.6295465527403532	0.6301382332571481	+	False
GCF_001878735.2	-0.2878771567400855	-0.2873097849806512	-0.2867424132212168	-	False
GCF_001878735.2	-0.0319757630422764	-0.0314083912828421	-0.0308410195234077	-	False
GCF_001886675.1	0.1544056802509737	0.1549967415849535	0.1555878029189336	+	False
GCF_001886675.1	0.6278177712441083	0.6284088325780883	0.6289998939120682	+	False
GCF_001886675.1	-0.3209139882618577	-0.3203356085407405	-0.3197572288196234	-	False
GCF_001886675.1	-0.0364623923416592	-0.035884012620542	-0.0353056328994249	-	False
GCF_001931845.1	0.6377851419784488	0.6383513070573001	0.6389174721361514	+	False
GCF_001931845.1	-0.3273383895822193	-0.3267482846663101	-0.326158179750401	-	False
GCF_001931845.1	-0.0401730773575952	-0.0395829724416861	-0.038992867525777	-	False
GCF_001931845.1	0.1604382486241502	0.1610044137030013	0.1615705787818526	+	False
GCF_001989555.1	0.1639937490623271	0.1644959875650897	0.1649982260678524	+	False
GCF_001989555.1	0.6870423110182757	0.6875445495210384	0.6880467880238009	+	False
GCF_001989555.1	-0.2598522436247167	-0.2593515921359204	-0.2588509406471241	-	False
GCF_001989555.1	-0.0210100322856024	-0.020509380796806	-0.0200087293080097	-	False
GCF_002140075.1	-0.0362379632206178	-0.0357020409705689	-0.0351661187205199	+	False
GCF_002163735.1	0.2482491416690604	0.2487850000683928	0.2493208584677254	+	False
GCF_002163735.1	0.6685946626178068	0.6691305210171392	0.6696663794164718	+	False
GCF_002163735.1	-0.2958212847990021	-0.2952659891137948	-0.2947106934285876	-	False
GCF_002163735.1	-0.0360045642682996	-0.0354492685830923	-0.0348939728978851	-	False
GCF_002289045.2	0.1703103056571284	0.1708209890890519	0.1713316725209756	+	False
GCF_002289045.2	0.6181187862757102	0.6186294697076338	0.6191401531395574	+	False
GCF_002289045.2	-0.2998947270065717	-0.2994088516522877	-0.2989229762980036	-	False
GCF_002289045.2	-0.0302743949917463	-0.0297885196374622	-0.0293026442831781	-	False
GCF_002355755.1	0.1655512281015907	0.1661331960485867	0.166715163995583	+	False
GCF_002355755.1	0.6217700778941714	0.6223520458411675	0.6229340137881637	+	False
GCF_002355755.1	-0.311871374813588	-0.3112997724582932	-0.3107281701029983	-	False
GCF_002355755.1	-0.0383054188636105	-0.0377338165083157	-0.0371622141530208	-	False
GCF_003030425.1	0.0316263850575091	0.0321399179664096	0.0326534508753102	+	False
GCF_003030425.1	0.6700248207572636	0.670538353666164	0.6710518865750646	+	False
GCF_003030425.1	-0.3240492119223531	-0.3234957268111026	-0.3229422416998521	-	False
GCF_003030425.1	-0.1596591667068771	-0.1591056815956266	-0.1585521964843761	-	False
GCF_003345275.1	0.1692269146329128	0.1697448698633352	0.1702628250937575	+	False
GCF_003345275.1	0.6789530363018195	0.6794709915322419	0.6799889467626641	+	False
GCF_003345275.1	-0.2615647134578235	-0.261060206052801	-0.2605556986477785	-	False
GCF_003345275.1	-0.0210972311654861	-0.0205927237604636	-0.020088216355441	-	False
GCF_003812665.1	-0.1482432814785909	-0.1477179622306523	-0.1471926429827137	-	False
GCF_003812665.1	0.0326434267548805	0.0331756306973332	0.0337078346397859	+	False
GCF_003812665.1	0.28539444904835	0.2859263133584209	0.2864581776684916	+	False
GCF_003812665.1	-0.6750094202111468	-0.674484436202039	-0.6739594521929313	-	False
GCF_003966385.1	0.1465220520641074	0.1470778966271637	0.14763374119022	+	False
GCF_003966385.1	0.5976747169112145	0.5982305614742709	0.5987864060373271	+	False
GCF_003966385.1	-0.3129334888646971	-0.3124099799590052	-0.3118864710533133	-	False
GCF_003966385.1	-0.0471084186943687	-0.0465849097886769	-0.046061400882985	-	False
GCF_003966405.1	0.1457363012475808	0.1462933207646877	0.1468503402817947	+	False
GCF_003966405.1	0.5967471488456128	0.5973041683627196	0.5978611878798266	+	False
GCF_003966405.1	-0.3129561737584891	-0.3124326269030593	-0.3119090800476293	-	False
GCF_003966405.1	-0.0471118336356033	-0.0465882867801734	-0.0460647399247435	-	False
GCF_004006595.1	0.1536380685508293	0.1542072578938533	0.1547764472368776	+	False
GCF_004006595.1	0.5954742149930311	0.5960430394710918	0.5966118639491524	+	False
GCF_004006595.1	-0.313882201893757	-0.3133131993988999	-0.3127441969040428	-	False
GCF_004006595.1	-0.0381859033279351	-0.037616900833078	-0.0370478983382209	-	False
GCF_004332015.1	-0.6451816370924048	-0.6446560122052793	-0.644130387318154	-	False
GCF_004332015.1	-0.1447132918404149	-0.1441876669532894	-0.143662042066164	-	False
GCF_004332015.1	0.0434406954316062	0.0439559278146219	0.0444711601976378	+	False
GCF_004332015.1	0.3445966655217058	0.3451118979047216	0.3456271302877374	+	False
GCF_004332035.1	-0.3153359484651096	-0.3147745348544283	-0.314213121243747	-	False
GCF_004332035.1	-0.0363990355202072	-0.0358376219095259	-0.0352762082988447	-	False
GCF_004332035.1	0.1718908364415963	0.1724604006811403	0.1730299649206845	+	False
GCF_004332035.1	0.6112088781921154	0.6117784424316595	0.6123480066712037	+	False
GCF_005158025.1	0.1578401693144372	0.1583649235138104	0.1588896777131835	+	False
GCF_005158025.1	0.6175188201569909	0.6180435743563639	0.6185683285557372	+	False
GCF_005158025.1	-0.3192065348757505	-0.3186629563180687	-0.3181193777603869	-	False
GCF_005158025.1	-0.051260117082728	-0.0507165385250462	-0.0501729599673644	-	False
GCF_005484525.1	0.1580167218151737	0.1585954118411723	0.1591741018671708	+	False
GCF_005484525.1	0.6038377452138974	0.604416435239896	0.6049951252658946	+	False
GCF_005484525.1	-0.3103275707219424	-0.3097440858389299	-0.3091606009559173	-	False
GCF_005484525.1	-0.0388629976005254	-0.0382795127175128	-0.0376960278345003	-	False
GCF_005979285.1	0.0375722194262707	0.0380956215400101	0.0386190236537493	+	False
GCF_005979285.1	0.291035061231337	0.2915584633450763	0.2920818654588156	+	False
GCF_005979285.1	-0.6266760947189673	-0.6260918351219418	-0.6255075755249161	-	False
GCF_005979285.1	-0.1662375854198766	-0.1656533258228509	-0.1650690662258253	-	False
GCF_005979305.1	0.1572515444110201	0.157798486792744	0.1583454291744676	+	False
GCF_005979305.1	0.6046244679582922	0.6051714103400159	0.6057183527217396	+	False
GCF_005979305.1	-0.303577928026298	-0.3030157573556068	-0.3024535866849155	-	False
GCF_005979305.1	-0.0362664948442462	-0.035704324173555	-0.0351421535028638	-	False
GCF_006349345.1	0.0956294269639758	0.0961521397868185	0.0966748526096612	+	False
GCF_006349345.1	0.3565535245254722	0.3570755701972965	0.357597615869121	+	False
GCF_006349345.1	-0.6455407077277036	-0.6449738454748692	-0.6444069832220349	-	False
GCF_006349345.1	-0.0796276868981384	-0.0790608246453041	-0.0784939623924698	-	False
GCF_006494835.1	0.1634290214983579	0.1639317248539109	0.1644344282094638	+	False
GCF_006494835.1	0.6579195212079785	0.6584228669959347	0.6589262127838909	+	False
GCF_006494835.1	-0.273913818828131	-0.2734480790836191	-0.2729823393391072	-	False
GCF_006494835.1	-0.0259286559232465	-0.0254635106136351	-0.0249983653040237	-	False
GCF_006494855.1	0.1633811865762498	0.1638839186762566	0.1643866507762633	+	False
GCF_006494855.1	0.6578999611306172	0.6584033356997614	0.6589067102689055	+	False
GCF_006494855.1	-0.2649787582289297	-0.2645072871911519	-0.264035816153374	-	False
GCF_006494855.1	-0.0263012841342624	-0.0258304148463732	-0.025359545558484	-	False
GCF_006494875.1	0.1633844115744223	0.1638871417364975	0.1643898718985725	+	False
GCF_006494875.1	0.657901279857835	0.6584046524865708	0.6589080251153067	+	False
GCF_006494875.1	-0.2676844984802431	-0.2672082066869301	-0.266731914893617	-	False
GCF_006494875.1	-0.026566565349544	-0.0260908814589665	-0.025615197568389	-	False
GCF_006766145.1	0.1766883539362394	0.1772547531265813	0.1778211523169233	+	False
GCF_006766145.1	0.6314313597918022	0.6319977589821442	0.6325641581724861	+	False
GCF_006766145.1	-0.3099536027057008	-0.3093950243393304	-0.3088364459729601	-	False
GCF_006766145.1	-0.0358416959679696	-0.0352831176015991	-0.0347245392352288	-	False
GCF_007632055.1	-0.3374593071279335	-0.3368248222470563	-0.3361903373661791	-	False
GCF_007632055.1	-0.0401397729297248	-0.0396632006867174	-0.0391866284437102	-	False
GCF_007632055.1	0.1709499617303039	0.1714364968881563	0.1719230320460087	+	False
GCF_007632055.1	0.6503485367620241	0.6509234995013564	0.6514984622406889	+	False
GCF_009498155.1	0.215255394183004	0.2158031339139374	0.2163508736448708	+	False
GCF_009498155.1	0.6550103438541496	0.6555580835850829	0.6561058233160163	+	False
GCF_009498155.1	-0.2592152450601223	-0.258666760424724	-0.2581182757893256	-	False
GCF_009498155.1	0.011117009846675	0.0116647495776083	0.0122124893085417	-	False
GCF_009498175.3	0.1678725441128544	0.1684399587969645	0.1690073734810745	+	False
GCF_009498175.3	0.6402896433725965	0.640856694329345	0.6414237452860934	+	False
GCF_009498175.3	-0.3086731445920516	-0.3081274878101674	-0.3075818310282832	-	False
GCF_009498175.3	-0.0211567923775944	-0.0206111355957102	-0.0200654788138261	-	False
GCF_009914685.2	-0.0341028613169822	-0.0335591894828775	-0.0330155176487726	-	False
GCF_009914685.2	0.1816938365746345	0.182259221942751	0.1828246073108677	+	False
GCF_009914685.2	0.6101305460317921	0.6106959313999087	0.6112613167680253	+	False
GCF_009914685.2	-0.3118926819680084	-0.3113490101339036	-0.3108053382997988	-	False
GCF_011193375.1	0.1895637856531711	0.1901246018564455	0.1906854180597197	+	False
GCF_011193375.1	0.6236980795640014	0.6242588957672757	0.62481971197055	+	False
GCF_011193375.1	-0.3028541958953258	-0.3023135234651835	-0.3017728510350411	-	False
GCF_011193375.1	-0.0361425656154515	-0.0356018931853092	-0.0350612207551668	-	False
GCF_012594215.1	0.1290050449688135	0.129505054584383	0.1300050641999525	+	False
GCF_012594215.1	0.6452592037026353	0.6457592133182048	0.6462592229337744	+	False
GCF_012594215.1	-0.3141207157920879	-0.3135765675828588	-0.3130324193736296	-	False
GCF_012594215.1	-0.036363052894694	-0.0358189046854648	-0.0352747564762357	-	False
GCF_013344625.1	-0.1418803291868819	-0.1413514186750302	-0.1408225081631785	-	False
